transcript_id,num_exon
XM_013422406.1,1
XM_013422407.1,1
XM_013422408.1,3
XM_013422409.1,3
XM_013422410.1,1
XM_013422411.1,2
XM_013422412.1,1
XM_013422413.1,2
XM_013422414.1,1
XM_013422415.1,2
XM_013422416.1,1
XM_013422417.1,3
XM_013422418.1,6
XM_013422419.1,1
XM_013422420.1,2
XM_013422421.1,1
XM_013422422.1,5
XM_013422424.1,1
XM_013422425.1,2
XM_013422426.1,5
XM_013422427.1,1
XM_013422428.1,2
XM_013422429.1,1
XM_013422430.1,2
XM_013422431.1,1
XM_013422432.1,1
XM_013422433.1,3
XM_013422434.1,6
XM_013422435.1,3
XM_013422436.1,1
XM_013422437.1,1
XM_013422438.1,1
XM_013422439.1,1
XM_013422440.1,3
XM_013422441.1,4
XM_013422442.1,2
XM_013422443.1,1
XM_013422444.1,2
XM_013422445.1,1
XM_013422446.1,2
XM_013422447.1,1
XM_013422450.1,3
XM_013422451.1,2
XM_013422452.1,1
XM_013422453.1,1
XM_013422454.1,2
XM_013422455.1,1
XM_013422456.1,7
XM_013422457.1,3
XM_013422458.1,1
XM_013422459.1,1
XM_013422460.1,1
XM_013422461.1,1
XM_013422462.1,2
XM_013422463.1,3
XM_013422464.1,1
XM_013422465.1,2
XM_013422466.1,2
XM_013422467.1,2
XM_013422468.1,6
XM_013422469.1,3
XM_013422470.1,3
XM_013422471.1,3
XM_013422472.1,3
XM_013422473.1,2
XM_013422474.1,2
XM_013422475.1,5
XM_013422476.1,2
XM_013422477.1,1
XM_013422479.1,6
XM_013422480.1,3
XM_013422481.1,1
XM_013422482.1,1
XM_013422483.1,1
XM_013422484.1,2
XM_013422485.1,3
XM_013422486.1,3
XM_013422487.1,2
XM_013422488.1,1
XM_013422489.1,1
XM_013422490.1,1
XM_013422491.1,6
XM_013422492.1,3
XM_013422493.1,3
XM_013422494.1,1
XM_013422495.1,8
XM_013422497.1,1
XM_013422498.1,1
XM_013422499.1,2
XM_013422500.1,1
XM_013422501.1,1
XM_013422502.1,1
XM_013422503.1,1
XM_013422504.1,3
XM_013422505.1,2
XM_013422506.1,2
XM_013422507.1,2
XM_013422508.1,3
XM_013422509.1,2
XM_013422510.1,1
XM_013422511.1,4
XM_013422512.1,2
XM_013422513.1,2
XM_013422514.1,1
XM_013422515.1,2
XM_013422516.1,2
XM_013422518.1,2
XM_013422519.1,2
XM_013422520.1,1
XM_013422521.1,4
XM_013422522.1,2
XM_013422523.1,4
XM_013422524.1,4
XM_013422525.1,3
XM_013422526.1,2
XM_013422527.1,2
XM_013422528.1,1
XM_013422529.1,1
XM_013422530.1,3
