gene_id,num_transcript,num_exon,num_uniq_exon
L228DRAFT_100017,1,3,3
L228DRAFT_100083,1,3,3
L228DRAFT_100415,1,5,5
L228DRAFT_100462,1,4,4
L228DRAFT_100639,1,4,4
L228DRAFT_10174,1,5,5
L228DRAFT_101795,1,1,1
L228DRAFT_101894,1,4,4
L228DRAFT_10190,1,1,1
L228DRAFT_101935,1,4,4
L228DRAFT_102310,1,3,3
L228DRAFT_10249,1,4,4
L228DRAFT_102497,1,5,5
L228DRAFT_102685,1,2,2
L228DRAFT_102689,1,3,3
L228DRAFT_103039,1,1,1
L228DRAFT_103316,1,4,4
L228DRAFT_103667,1,3,3
L228DRAFT_103706,1,3,3
L228DRAFT_103777,1,1,1
L228DRAFT_104142,1,3,3
L228DRAFT_104417,1,3,3
L228DRAFT_104472,1,9,9
L228DRAFT_104537,1,2,2
L228DRAFT_104560,1,2,2
L228DRAFT_10470,1,1,1
L228DRAFT_104826,1,3,3
L228DRAFT_104944,1,4,4
L228DRAFT_10495,1,3,3
L228DRAFT_105058,1,3,3
L228DRAFT_105107,1,4,4
L228DRAFT_105118,1,2,2
L228DRAFT_105371,1,3,3
L228DRAFT_105612,1,4,4
L228DRAFT_105835,1,5,5
L228DRAFT_105859,1,2,2
L228DRAFT_105949,1,2,2
L228DRAFT_106016,1,4,4
L228DRAFT_106098,1,2,2
L228DRAFT_106134,1,4,4
L228DRAFT_106175,1,2,2
L228DRAFT_106480,1,1,1
L228DRAFT_106484,1,4,4
L228DRAFT_106514,1,4,4
L228DRAFT_106577,1,4,4
L228DRAFT_106605,1,4,4
L228DRAFT_106611,1,1,1
L228DRAFT_106897,1,6,6
L228DRAFT_107017,1,2,2
L228DRAFT_107019,1,3,3
L228DRAFT_107130,1,4,4
L228DRAFT_107248,1,2,2
L228DRAFT_107639,1,1,1
L228DRAFT_108139,1,6,6
L228DRAFT_108159,1,2,2
L228DRAFT_108164,1,3,3
L228DRAFT_10917,1,5,5
L228DRAFT_11053,1,5,5
L228DRAFT_113,1,1,1
L228DRAFT_114182,1,4,4
L228DRAFT_114425,1,5,5
L228DRAFT_114495,1,4,4
L228DRAFT_114595,1,1,1
L228DRAFT_114751,1,3,3
L228DRAFT_11492,1,3,3
L228DRAFT_11537,1,4,4
L228DRAFT_115449,1,4,4
L228DRAFT_115620,1,5,5
L228DRAFT_115751,1,2,2
L228DRAFT_115777,1,4,4
L228DRAFT_115873,1,3,3
L228DRAFT_116313,1,6,6
L228DRAFT_116512,1,9,9
L228DRAFT_116733,1,5,5
L228DRAFT_116928,1,2,2
L228DRAFT_117095,1,4,4
L228DRAFT_117311,1,2,2
L228DRAFT_117529,1,5,5
L228DRAFT_117642,1,3,3
L228DRAFT_117876,1,2,2
L228DRAFT_117928,1,4,4
L228DRAFT_118100,1,5,5
L228DRAFT_118154,1,3,3
L228DRAFT_118293,1,5,5
L228DRAFT_118384,1,7,7
L228DRAFT_118391,1,3,3
L228DRAFT_118638,1,1,1
L228DRAFT_119626,1,3,3
L228DRAFT_119672,1,2,2
L228DRAFT_119750,1,6,6
L228DRAFT_119811,1,3,3
L228DRAFT_119821,1,9,9
L228DRAFT_120110,1,4,4
L228DRAFT_120482,1,3,3
L228DRAFT_120694,1,3,3
L228DRAFT_120942,1,2,2
L228DRAFT_120974,1,4,4
L228DRAFT_121098,1,2,2
L228DRAFT_121156,1,1,1
L228DRAFT_12143,1,2,2
L228DRAFT_1216,1,2,2
L228DRAFT_12189,1,2,2
L228DRAFT_122023,1,1,1
L228DRAFT_122105,1,3,3
L228DRAFT_122365,1,3,3
L228DRAFT_122460,1,2,2
L228DRAFT_12252,1,6,6
L228DRAFT_122564,1,3,3
L228DRAFT_122576,1,2,2
L228DRAFT_122713,1,2,2
L228DRAFT_122781,1,1,1
L228DRAFT_122791,1,3,3
L228DRAFT_122819,1,2,2
L228DRAFT_122834,1,2,2
L228DRAFT_122842,1,1,1
L228DRAFT_122925,1,4,4
L228DRAFT_122963,1,2,2
L228DRAFT_123232,1,1,1
L228DRAFT_123495,1,2,2
L228DRAFT_123650,1,6,6
L228DRAFT_123788,1,9,9
L228DRAFT_12393,1,3,3
L228DRAFT_124062,1,2,2
L228DRAFT_124118,1,3,3
L228DRAFT_124332,1,1,1
L228DRAFT_124454,1,7,7
L228DRAFT_124508,1,2,2
L228DRAFT_124638,1,6,6
L228DRAFT_124848,1,6,6
L228DRAFT_124952,1,3,3
L228DRAFT_125204,1,5,5
L228DRAFT_125401,1,2,2
L228DRAFT_125479,1,3,3
L228DRAFT_12590,1,2,2
L228DRAFT_125918,1,3,3
L228DRAFT_125996,1,4,4
L228DRAFT_126057,1,2,2
L228DRAFT_126199,1,5,5
L228DRAFT_12622,1,6,6
L228DRAFT_126377,1,5,5
L228DRAFT_126418,1,1,1
L228DRAFT_126477,1,3,3
L228DRAFT_126548,1,4,4
L228DRAFT_126710,1,3,3
L228DRAFT_126830,1,2,2
L228DRAFT_127112,1,2,2
L228DRAFT_127436,1,7,7
L228DRAFT_127556,1,1,1
L228DRAFT_127791,1,2,2
L228DRAFT_127872,1,1,1
L228DRAFT_127886,1,3,3
L228DRAFT_128225,1,3,3
L228DRAFT_128303,1,3,3
L228DRAFT_128442,1,5,5
L228DRAFT_128655,1,4,4
L228DRAFT_128767,1,3,3
L228DRAFT_12883,1,2,2
L228DRAFT_128900,1,2,2
L228DRAFT_128965,1,3,3
L228DRAFT_129024,1,4,4
L228DRAFT_129154,1,7,7
L228DRAFT_12926,1,2,2
L228DRAFT_129305,1,4,4
L228DRAFT_129406,1,2,2
L228DRAFT_129452,1,1,1
L228DRAFT_129455,1,4,4
L228DRAFT_12960,1,3,3
L228DRAFT_129763,1,5,5
L228DRAFT_129834,1,4,4
L228DRAFT_129949,1,2,2
L228DRAFT_130108,1,1,1
L228DRAFT_13030,1,9,9
L228DRAFT_131240,1,7,7
L228DRAFT_132337,1,2,2
L228DRAFT_132894,1,6,6
L228DRAFT_132935,1,3,3
L228DRAFT_133148,1,3,3
L228DRAFT_134217,1,5,5
L228DRAFT_134228,1,5,5
L228DRAFT_134334,1,2,2
L228DRAFT_134401,1,4,4
L228DRAFT_13442,1,1,1
L228DRAFT_134537,1,2,2
L228DRAFT_13469,1,2,2
L228DRAFT_134694,1,1,1
L228DRAFT_134719,1,2,2
L228DRAFT_13473,1,1,1
L228DRAFT_134802,1,6,6
L228DRAFT_134865,1,3,3
L228DRAFT_134964,1,3,3
L228DRAFT_134973,1,2,2
L228DRAFT_135156,1,4,4
L228DRAFT_135187,1,2,2
L228DRAFT_135470,1,4,4
L228DRAFT_135471,1,1,1
L228DRAFT_135505,1,3,3
L228DRAFT_135542,1,2,2
L228DRAFT_135944,1,3,3
L228DRAFT_136114,1,6,6
L228DRAFT_136258,1,6,6
L228DRAFT_137215,1,1,1
L228DRAFT_137304,1,3,3
L228DRAFT_137464,1,3,3
L228DRAFT_137515,1,3,3
L228DRAFT_137642,1,1,1
L228DRAFT_137667,1,4,4
L228DRAFT_137730,1,3,3
L228DRAFT_137757,1,7,7
L228DRAFT_138091,1,7,7
L228DRAFT_138196,1,1,1
L228DRAFT_138207,1,2,2
L228DRAFT_138505,1,1,1
L228DRAFT_138541,1,2,2
L228DRAFT_138882,1,7,7
L228DRAFT_138887,1,3,3
L228DRAFT_139030,1,5,5
L228DRAFT_139091,1,3,3
L228DRAFT_139580,1,3,3
L228DRAFT_139800,1,3,3
L228DRAFT_140759,1,2,2
L228DRAFT_140872,1,8,8
L228DRAFT_141153,1,2,2
L228DRAFT_141364,1,6,6
L228DRAFT_141513,1,4,4
L228DRAFT_141531,1,7,7
L228DRAFT_141567,1,4,4
L228DRAFT_141932,1,3,3
L228DRAFT_142019,1,4,4
L228DRAFT_142218,1,1,1
L228DRAFT_142274,1,2,2
L228DRAFT_142353,1,4,4
L228DRAFT_142378,1,3,3
L228DRAFT_142458,1,6,6
L228DRAFT_142562,1,6,6
L228DRAFT_142675,1,4,4
L228DRAFT_142833,1,3,3
L228DRAFT_14307,1,2,2
L228DRAFT_143079,1,2,2
L228DRAFT_143308,1,3,3
L228DRAFT_143329,1,6,6
L228DRAFT_143430,1,1,1
L228DRAFT_143655,1,6,6
L228DRAFT_143814,1,1,1
L228DRAFT_143890,1,4,4
L228DRAFT_143907,1,2,2
L228DRAFT_144950,1,2,2
L228DRAFT_145320,1,3,3
L228DRAFT_145554,1,4,4
L228DRAFT_145633,1,4,4
L228DRAFT_145699,1,5,5
L228DRAFT_145720,1,3,3
L228DRAFT_14593,1,1,1
L228DRAFT_145982,1,3,3
L228DRAFT_146078,1,1,1
L228DRAFT_146142,1,1,1
L228DRAFT_146154,1,8,8
L228DRAFT_146658,1,2,2
L228DRAFT_146939,1,2,2
L228DRAFT_147003,1,1,1
L228DRAFT_147055,1,2,2
L228DRAFT_147121,1,1,1
L228DRAFT_147319,1,2,2
L228DRAFT_147491,1,4,4
L228DRAFT_147503,1,5,5
L228DRAFT_147771,1,2,2
L228DRAFT_147860,1,4,4
L228DRAFT_147898,1,2,2
L228DRAFT_147946,1,4,4
L228DRAFT_148037,1,9,9
L228DRAFT_148115,1,1,1
L228DRAFT_148119,1,2,2
L228DRAFT_148248,1,3,3
L228DRAFT_14828,1,3,3
L228DRAFT_148448,1,6,6
L228DRAFT_1486,1,2,2
L228DRAFT_148616,1,2,2
L228DRAFT_148639,1,2,2
L228DRAFT_148782,1,6,6
L228DRAFT_148793,1,2,2
L228DRAFT_148995,1,9,9
L228DRAFT_149415,1,1,1
L228DRAFT_149495,1,1,1
L228DRAFT_149604,1,3,3
L228DRAFT_149645,1,5,5
L228DRAFT_149734,1,4,4
L228DRAFT_14980,1,1,1
L228DRAFT_149814,1,2,2
L228DRAFT_149851,1,1,1
L228DRAFT_149852,1,2,2
L228DRAFT_149896,1,1,1
L228DRAFT_150222,1,5,5
L228DRAFT_150571,1,7,7
L228DRAFT_150998,1,10,10
L228DRAFT_151117,1,3,3
L228DRAFT_151380,1,4,4
L228DRAFT_15165,1,1,1
L228DRAFT_151744,1,3,3
L228DRAFT_151768,1,2,2
L228DRAFT_151786,1,3,3
L228DRAFT_152274,1,1,1
L228DRAFT_152340,1,3,3
L228DRAFT_152596,1,7,7
L228DRAFT_152601,1,4,4
L228DRAFT_153321,1,4,4
L228DRAFT_153333,1,3,3
L228DRAFT_153345,1,4,4
L228DRAFT_153582,1,3,3
L228DRAFT_153720,1,2,2
L228DRAFT_153752,1,1,1
L228DRAFT_153808,1,2,2
L228DRAFT_153866,1,5,5
L228DRAFT_154051,1,1,1
L228DRAFT_154237,1,2,2
L228DRAFT_154247,1,3,3
L228DRAFT_154452,1,10,10
L228DRAFT_154595,1,8,8
L228DRAFT_15487,1,2,2
L228DRAFT_155020,1,3,3
L228DRAFT_155092,1,2,2
L228DRAFT_155238,1,2,2
L228DRAFT_155350,1,2,2
L228DRAFT_155547,1,1,1
L228DRAFT_155743,1,5,5
L228DRAFT_155963,1,6,6
L228DRAFT_156064,1,3,3
L228DRAFT_156079,1,15,15
L228DRAFT_156104,1,2,2
L228DRAFT_156151,1,3,3
L228DRAFT_156374,1,2,2
