gene_id,num_transcript,num_exon,num_uniq_exon
Malapachy_0001,1,1,1
Malapachy_0002,1,2,2
Malapachy_0003,1,1,1
Malapachy_0004,1,3,3
Malapachy_0005,1,2,2
Malapachy_0006,1,3,3
Malapachy_0007,1,2,2
Malapachy_0008,1,2,2
Malapachy_0009,1,1,1
Malapachy_0010,1,1,1
Malapachy_0011,1,1,1
Malapachy_0012,1,1,1
Malapachy_0013,1,3,3
Malapachy_0014,1,3,3
Malapachy_0015,1,6,6
Malapachy_0016,1,3,3
Malapachy_0017,1,3,3
Malapachy_0018,1,5,5
Malapachy_0019,1,2,2
Malapachy_0020,1,3,3
Malapachy_0021,1,1,1
Malapachy_0022,1,1,1
Malapachy_0023,1,1,1
Malapachy_0024,1,1,1
Malapachy_0025,1,1,1
Malapachy_0026,1,1,1
Malapachy_0027,1,1,1
Malapachy_0028,1,1,1
Malapachy_0029,1,1,1
Malapachy_0030,1,1,1
Malapachy_0031,1,2,2
Malapachy_0032,1,3,3
Malapachy_0033,1,1,1
Malapachy_0034,1,7,7
Malapachy_0035,1,1,1
Malapachy_0036,1,1,1
Malapachy_0037,1,1,1
Malapachy_0038,1,1,1
Malapachy_0039,1,1,1
Malapachy_0040,1,2,2
Malapachy_0041,1,3,3
Malapachy_0042,1,1,1
Malapachy_0043,1,1,1
Malapachy_0044,1,1,1
Malapachy_0045,1,1,1
Malapachy_0046,1,2,2
Malapachy_0047,1,1,1
Malapachy_0048,1,5,5
Malapachy_0049,1,1,1
Malapachy_0051,1,5,5
Malapachy_0052,1,1,1
Malapachy_0053,1,1,1
Malapachy_0054,1,1,1
Malapachy_0055,1,1,1
Malapachy_0056,1,2,2
Malapachy_0057,1,1,1
Malapachy_0058,1,2,2
Malapachy_0059,1,1,1
Malapachy_0060,1,2,2
Malapachy_0061,1,4,4
Malapachy_0062,1,2,2
Malapachy_0063,1,1,1
Malapachy_0064,1,1,1
Malapachy_0065,1,1,1
Malapachy_0066,1,1,1
Malapachy_0067,1,4,4
Malapachy_0068,1,2,2
Malapachy_0069,1,4,4
Malapachy_0070,1,2,2
Malapachy_0071,1,1,1
Malapachy_0072,1,1,1
Malapachy_0073,1,1,1
Malapachy_0074,1,1,1
Malapachy_0075,1,2,2
Malapachy_0076,1,3,3
Malapachy_0077,1,4,4
Malapachy_0078,1,3,3
Malapachy_0079,1,3,3
Malapachy_0080,1,2,2
Malapachy_0081,1,1,1
Malapachy_0082,1,1,1
Malapachy_0083,1,4,4
Malapachy_0084,1,2,2
Malapachy_0085,1,4,4
Malapachy_0086,1,4,4
Malapachy_0087,1,3,3
Malapachy_0088,1,1,1
Malapachy_0089,1,1,1
Malapachy_0090,1,3,3
Malapachy_0091,1,2,2
Malapachy_0092,1,3,3
Malapachy_0093,1,1,1
Malapachy_0094,1,3,3
Malapachy_0095,1,1,1
Malapachy_0096,1,4,4
Malapachy_0097,1,3,3
Malapachy_0098,1,7,7
Malapachy_0099,1,2,2
Malapachy_0100,1,1,1
Malapachy_0101,1,5,5
Malapachy_0102,1,1,1
Malapachy_0103,1,1,1
Malapachy_0104,1,1,1
Malapachy_0105,1,1,1
Malapachy_0106,1,2,2
Malapachy_0107,1,2,2
Malapachy_0108,1,1,1
Malapachy_0109,1,2,2
Malapachy_0110,1,7,7
Malapachy_0111,1,3,3
Malapachy_0112,1,4,4
Malapachy_0113,1,2,2
Malapachy_0114,1,1,1
Malapachy_0115,1,2,2
Malapachy_0116,1,2,2
Malapachy_0117,1,1,1
Malapachy_0118,1,1,1
Malapachy_0119,1,2,2
Malapachy_0120,1,5,5
Malapachy_0121,1,2,2
Malapachy_0122,1,1,1
Malapachy_0123,1,5,5
Malapachy_0124,1,1,1
Malapachy_0125,1,2,2
Malapachy_0126,1,3,3
Malapachy_0127,1,5,5
Malapachy_0128,1,1,1
Malapachy_0129,1,4,4
Malapachy_0130,1,3,3
Malapachy_0131,1,1,1
Malapachy_0132,1,4,4
Malapachy_0133,1,6,6
Malapachy_0134,1,1,1
Malapachy_0135,1,2,2
Malapachy_0136,1,3,3
Malapachy_0137,1,1,1
Malapachy_0138,1,1,1
Malapachy_0139,1,2,2
Malapachy_0140,1,2,2
Malapachy_0141,1,1,1
Malapachy_0142,1,2,2
Malapachy_0143,1,2,2
Malapachy_0144,1,1,1
Malapachy_0145,1,1,1
Malapachy_0146,1,1,1
Malapachy_0147,1,1,1
Malapachy_0148,1,1,1
Malapachy_0149,1,2,2
Malapachy_0150,1,1,1
Malapachy_0151,1,1,1
Malapachy_0152,1,4,4
Malapachy_0153,1,1,1
Malapachy_0154,1,4,4
Malapachy_0155,1,2,2
Malapachy_0156,1,1,1
Malapachy_0157,1,2,2
Malapachy_0158,1,5,5
Malapachy_0159,1,2,2
Malapachy_0160,1,8,8
Malapachy_0161,1,1,1
Malapachy_0162,1,1,1
Malapachy_0163,1,1,1
Malapachy_0164,1,6,6
