transcript_id,num_exon
XM_024500569.1,12
XM_024500570.1,11
XM_024500571.1,4
XM_024500572.1,11
XM_024500573.1,11
XM_024500574.1,8
XM_024500575.1,9
XM_024500576.1,18
XM_024500577.1,7
XM_024500578.1,5
XM_024500579.1,6
XM_024500580.1,11
XM_024500583.1,17
XM_024500585.1,9
XM_024500586.1,8
XM_024500587.1,8
XM_024500588.1,8
XM_024500589.1,8
XM_024500590.1,3
XM_024500591.1,22
XM_024500592.1,22
XM_024500593.1,22
XM_024500594.1,22
XM_024500595.1,22
XM_024500596.1,9
XM_024500599.1,3
XM_024500600.1,3
XM_024500601.1,3
XM_024500602.1,3
XM_024500603.1,4
XM_024500604.1,3
XM_024500605.1,25
XM_024500606.1,3
XM_024500611.1,23
XM_024500612.1,18
XM_024500613.1,18
XM_024500614.1,18
XM_024500615.1,7
XM_024500616.1,8
XM_024500618.1,2
XM_024500619.1,3
XM_024500620.1,3
XM_024500621.1,3
XM_024500622.1,20
XM_024500623.1,19
XM_024500624.1,10
XM_024500625.1,2
XM_024500626.1,3
XM_024500627.1,3
XM_024500628.1,3
XM_024500629.1,2
XM_024500631.1,4
XM_024500632.1,10
XM_024500633.1,7
XM_024500634.1,7
XM_024500635.1,7
XM_024500636.1,6
XM_024500637.1,8
XM_024500638.1,3
XM_024500639.1,2
XM_024500640.1,24
XM_024500641.1,24
XM_024500642.1,22
XM_024500643.1,3
XM_024500644.1,5
XM_024500646.1,1
XM_024500647.1,1
XM_024500648.1,1
XM_024500649.1,5
XM_024500650.1,7
XM_024500651.1,6
XM_024500653.1,6
XM_024500654.1,2
XM_024500655.1,9
XM_024500656.1,9
XM_024500657.1,9
XM_024500658.1,8
XM_024500659.1,6
XM_024500661.1,9
XM_024500662.1,17
XM_024500663.1,17
XM_024500664.1,11
XM_024500665.1,11
XM_024500666.1,11
XM_024500667.1,11
XM_024500668.1,11
XM_024500670.1,11
XM_024500671.1,2
XM_024500672.1,2
XM_024500673.1,9
XM_024500674.1,4
XM_024500675.1,4
XM_024500676.1,4
XM_024500677.1,8
XM_024500679.1,8
XM_024500680.1,8
XM_024500682.1,20
XM_024500683.1,20
XM_024500684.1,19
XM_024500685.1,16
XM_024500687.1,21
XM_024500688.1,8
XM_024500691.1,7
XM_024500692.1,6
XM_024500693.1,10
XM_024500694.1,3
XM_024500696.1,10
XM_024500697.1,8
XM_024500698.1,14
XM_024500699.1,14
XM_024500700.1,14
XM_024500701.1,14
XM_024500702.1,14
XM_024500703.1,14
XM_024500704.1,14
XM_024500706.1,11
XM_024500707.1,11
XM_024500708.1,1
XM_024500709.1,8
XM_024500710.1,4
XM_024500711.1,4
XM_024500712.1,4
XM_024500713.1,4
XM_024500714.1,4
XM_024500716.1,20
XM_024500717.1,5
XM_024500718.1,6
XM_024500719.1,3
XM_024500720.1,3
XM_024500721.1,2
XM_024500722.1,15
XM_024500723.1,15
XM_024500730.1,12
XM_024500731.1,12
XM_024500732.1,12
XM_024500733.1,12
XM_024500734.1,11
XM_024500735.1,4
XM_024500736.1,4
XM_024500737.1,4
XM_024500738.1,4
XM_024500739.1,13
XM_024500740.1,6
XM_024500741.1,13
XM_024500742.1,2
XM_024500743.1,2
XM_024500744.1,3
XM_024500745.1,2
XM_024500746.1,2
XM_024500747.1,2
XM_024500748.1,5
XM_024500749.1,4
XM_024500750.1,4
XM_024500751.1,13
XM_024500752.1,13
XM_024500753.1,13
XM_024500754.1,13
XM_024500755.1,13
XM_024500756.1,13
XM_024500758.1,6
XM_024500759.1,3
XM_024500760.1,3
XM_024500763.1,3
XM_024500764.1,1
XM_024500765.1,5
XM_024500766.1,6
XM_024500767.1,6
XM_024500768.1,6
XM_024500769.1,6
XM_024500770.1,6
XM_024500771.1,5
XM_024500772.1,5
XM_024500773.1,5
XM_024500774.1,5
XM_024500775.1,5
XM_024500776.1,6
XM_024500777.1,6
XM_024500778.1,6
XM_024500779.1,6
XM_024500780.1,7
XM_024500781.1,5
XM_024500782.1,14
XM_024500783.1,11
XM_024500784.1,11
XM_024500785.1,18
XM_024500786.1,10
XM_024500787.1,2
XM_024500788.1,2
XM_024500790.1,12
XM_024500793.1,5
XM_024500794.1,5
XM_024500795.1,5
XM_024500796.1,5
XM_024500797.1,5
XM_024500798.1,5
XM_024500799.1,5
XM_024500800.1,5
XM_024500801.1,5
XM_024500802.1,5
XM_024500803.1,5
XM_024500804.1,4
XM_024500805.1,2
XM_024500806.1,6
XM_024500807.1,5
XM_024500808.1,8
XM_024500809.1,8
XM_024500810.1,4
XM_024500811.1,6
XM_024500812.1,10
XM_024500813.1,11
XM_024500814.1,11
XM_024500815.1,7
XM_024500816.1,7
XM_024500817.1,6
XM_024500819.1,4
XM_024500820.1,22
XM_024500821.1,2
XM_024500823.1,8
XM_024500827.1,2
XM_024500828.1,8
XM_024500829.1,9
XM_024500830.1,8
XM_024500833.1,13
XM_024500834.1,1
XM_024500835.1,2
XM_024500836.1,8
XM_024500837.1,8
XM_024500838.1,8
XM_024500839.1,1
XM_024500840.1,12
XM_024500841.1,13
XM_024500842.1,2
XM_024500843.1,13
XM_024500844.1,12
XM_024500846.1,3
XM_024500847.1,2
XM_024500848.1,5
XM_024500849.1,6
XM_024500850.1,2
XM_024500851.1,6
XM_024500852.1,6
XM_024500853.1,4
XM_024500854.1,5
XM_024500855.1,5
XM_024500856.1,5
XM_024500857.1,4
XM_024500858.1,4
XM_024500859.1,4
XM_024500860.1,4
XM_024500861.1,4
XM_024500862.1,4
XM_024500863.1,4
XM_024500864.1,5
XM_024500865.1,12
XM_024500866.1,12
XM_024500867.1,14
XM_024500868.1,6
XM_024500869.1,6
XM_024500870.1,4
XM_024500871.1,5
XM_024500872.1,5
XM_024500873.1,4
XM_024500874.1,5
XM_024500875.1,4
XM_024500876.1,4
XM_024500877.1,6
