transcript_id,num_exon
XM_008090686.1,1
XM_008090687.1,3
XM_008090688.1,3
XM_008090689.1,1
XM_008090690.1,2
XM_008090691.1,2
XM_008090692.1,2
XM_008090693.1,2
XM_008090694.1,1
XM_008090695.1,3
XM_008090696.1,4
XM_008090697.1,3
XM_008090698.1,2
XM_008090699.1,1
XM_008090700.1,2
XM_008090701.1,2
XM_008090702.1,2
XM_008090703.1,2
XM_008090704.1,3
XM_008090705.1,5
XM_008090706.1,2
XM_008090707.1,4
XM_008090708.1,4
XM_008090709.1,3
XM_008090710.1,5
XM_008090711.1,1
XM_008090712.1,6
XM_008090713.1,2
XM_008090714.1,3
XM_008090715.1,3
XM_008090716.1,3
XM_008090717.1,2
XM_008090718.1,2
XM_008090719.1,2
XM_008090720.1,3
XM_008090721.1,2
XM_008090722.1,1
XM_008090723.1,4
XM_008090724.1,1
XM_008090725.1,1
XM_008090726.1,3
XM_008090727.1,9
XM_008090728.1,2
XM_008090729.1,2
XM_008090730.1,1
XM_008090731.1,4
XM_008090732.1,6
XM_008090733.1,10
XM_008090734.1,1
XM_008090735.1,2
XM_008090736.1,1
XM_008090737.1,2
XM_008090738.1,4
XM_008090739.1,3
XM_008090740.1,2
XM_008090741.1,2
XM_008090742.1,5
XM_008090743.1,6
XM_008090744.1,3
XM_008090745.1,3
XM_008090746.1,4
XM_008090747.1,3
XM_008090748.1,4
XM_008090749.1,2
XM_008090750.1,3
XM_008090751.1,2
XM_008090752.1,1
XM_008090753.1,1
XM_008090754.1,4
XM_008090755.1,3
XM_008090756.1,4
XM_008090757.1,3
XM_008090758.1,2
XM_008090759.1,2
XM_008090760.1,1
XM_008090761.1,1
XM_008090762.1,3
XM_008090763.1,3
XM_008090764.1,2
XM_008090765.1,6
XM_008090766.1,2
XM_008090767.1,3
XM_008090768.1,2
XM_008090769.1,3
XM_008090770.1,1
XM_008090771.1,2
XM_008090772.1,1
XM_008090773.1,2
XM_008090774.1,2
XM_008090775.1,2
XM_008090776.1,1
XM_008090777.1,2
XM_008090778.1,4
XM_008090779.1,3
XM_008090780.1,3
XM_008090781.1,4
XM_008090782.1,1
XM_008090783.1,5
XM_008090784.1,2
XM_008090785.1,5
XM_008090786.1,2
XM_008090787.1,5
XM_008090788.1,4
XM_008090789.1,3
XM_008090790.1,4
XM_008090791.1,2
XM_008090792.1,2
XM_008090793.1,5
XM_008090794.1,4
XM_008090795.1,2
XM_008090796.1,1
XM_008090797.1,2
XM_008090798.1,2
XM_008090799.1,3
XM_008090800.1,7
XM_008090801.1,2
XM_008090802.1,3
XM_008090803.1,3
XM_008090804.1,1
XM_008090805.1,3
XM_008090806.1,5
XM_008090807.1,4
XM_008090808.1,1
XM_008090809.1,2
XM_008090810.1,1
XM_008090811.1,4
XM_008090812.1,1
XM_008090813.1,3
XM_008090814.1,2
XM_008090815.1,6
XM_008090816.1,1
XM_008090817.1,1
XM_008090818.1,1
XM_008090819.1,2
XM_008090820.1,1
XM_008090821.1,5
XM_008090822.1,3
XM_008090823.1,3
XM_008090824.1,1
XM_008090825.1,2
XM_008090826.1,2
XM_008090827.1,4
XM_008090828.1,7
XM_008090829.1,1
XM_008090830.1,2
XM_008090831.1,1
XM_008090832.1,2
XM_008090833.1,4
XM_008090834.1,3
XM_008090835.1,2
XM_008090836.1,4
XM_008090837.1,3
XM_008090838.1,3
XM_008090839.1,3
XM_008090840.1,2
XM_008090841.1,4
XM_008090842.1,4
XM_008090843.1,1
XM_008090844.1,2
XM_008090845.1,3
XM_008090846.1,3
XM_008090847.1,4
XM_008090848.1,2
XM_008090849.1,1
XM_008090850.1,1
XM_008090851.1,3
XM_008090852.1,6
XM_008090853.1,6
XM_008090854.1,3
XM_008090855.1,2
XM_008090856.1,5
XM_008090857.1,3
XM_008090858.1,2
XM_008090859.1,1
XM_008090860.1,2
XM_008090861.1,2
XM_008090862.1,2
XM_008090863.1,2
XM_008090864.1,2
XM_008090865.1,3
XM_008090866.1,2
XM_008090867.1,1
XM_008090868.1,2
XM_008090869.1,4
XM_008090870.1,5
XM_008090871.1,1
XM_008090872.1,2
XM_008090873.1,2
XM_008090874.1,5
XM_008090875.1,2
XM_008090876.1,1
XM_008090877.1,3
XM_008090878.1,3
XM_008090879.1,2
XM_008090880.1,4
XM_008090881.1,3
XM_008090882.1,2
XM_008090883.1,3
XM_008090884.1,1
XM_008090885.1,1
XM_008090886.1,3
XM_008090887.1,1
XM_008090888.1,1
XM_008090889.1,3
XM_008090890.1,2
XM_008090891.1,1
XM_008090892.1,1
XM_008090893.1,2
XM_008090894.1,3
XM_008090895.1,2
XM_008090896.1,1
XM_008090897.1,2
XM_008090898.1,3
XM_008090899.1,4
XM_008090900.1,2
XM_008090901.1,1
XM_008090902.1,2
XM_008090903.1,2
XM_008090904.1,3
XM_008090905.1,2
XM_008090906.1,1
XM_008090907.1,1
XM_008090908.1,3
XM_008090909.1,3
XM_008090910.1,2
XM_008090911.1,1
XM_008090912.1,1
XM_008090913.1,2
XM_008090914.1,4
XM_008090915.1,3
XM_008090916.1,6
XM_008090917.1,3
XM_008090918.1,6
XM_008090919.1,2
XM_008090920.1,2
XM_008090921.1,6
XM_008090922.1,2
XM_008090923.1,1
XM_008090924.1,3
XM_008090925.1,1
XM_008090926.1,2
XM_008090927.1,2
XM_008090928.1,2
XM_008090929.1,2
XM_008090930.1,1
XM_008090931.1,1
XM_008090932.1,6
XM_008090933.1,1
XM_008090934.1,1
XM_008090935.1,1
XM_008090936.1,1
XM_008090937.1,2
XM_008090938.1,3
XM_008090939.1,1
XM_008090940.1,1
XM_008090941.1,2
XM_008090942.1,2
XM_008090943.1,5
XM_008090944.1,4
XM_008090945.1,1
XM_008090946.1,2
XM_008090947.1,3
XM_008090948.1,4
XM_008090949.1,3
XM_008090950.1,1
XM_008090951.1,2
XM_008090952.1,1
XM_008090953.1,1
XM_008090954.1,4
XM_008090955.1,6
XM_008090956.1,2
XM_008090957.1,3
XM_008090958.1,2
XM_008090959.1,1
XM_008090960.1,3
XM_008090961.1,2
XM_008090962.1,1
XM_008090963.1,4
XM_008090964.1,3
XM_008090965.1,1
XM_008090966.1,2
XM_008090967.1,2
XM_008090968.1,2
XM_008090969.1,3
XM_008090970.1,4
XM_008090971.1,6
XM_008090972.1,8
XM_008090973.1,1
XM_008090974.1,1
XM_008090975.1,1
XM_008090976.1,5
XM_008090977.1,3
XM_008090978.1,3
XM_008090979.1,3
XM_008090980.1,2
XM_008090981.1,4
XM_008090982.1,4
XM_008090983.1,1
XM_008090984.1,3
XM_008090985.1,4
XM_008090986.1,3
XM_008090987.1,2
XM_008090988.1,1
XM_008090989.1,2
XM_008090990.1,3
XM_008090991.1,3
XM_008090992.1,2
XM_008090993.1,3
XM_008090994.1,2
XM_008090995.1,1
XM_008090996.1,2
XM_008090997.1,3
XM_008090998.1,2
XM_008090999.1,2
XM_008091000.1,2
XM_008091001.1,3
XM_008091002.1,1
XM_008091003.1,2
XM_008091004.1,2
XM_008091005.1,1
XM_008091006.1,7
XM_008091007.1,1
XM_008091008.1,1
XM_008091009.1,2
XM_008091010.1,1
XM_008091011.1,2
XM_008091012.1,2
XM_008091013.1,2
XM_008091014.1,2
XM_008091015.1,3
XM_008091016.1,2
XM_008091017.1,2
XM_008091018.1,3
XM_008091019.1,2
XM_008091020.1,2
XM_008091021.1,1
XM_008091022.1,4
XM_008091023.1,2
XM_008091024.1,2
XM_008091025.1,1
XM_008091026.1,2
XM_008091027.1,1
XM_008091028.1,3
XM_008091029.1,10
XM_008091030.1,2
XM_008091031.1,2
XM_008091032.1,6
XM_008091033.1,3
XM_008091034.1,1
XM_008091035.1,3
XM_008091036.1,2
XM_008091037.1,6
XM_008091038.1,6
XM_008091039.1,2
XM_008091040.1,1
XM_008091041.1,5
XM_008091042.1,1
XM_008091043.1,3
XM_008091044.1,4
XM_008091045.1,3
XM_008091046.1,1
XM_008091047.1,3
XM_008091048.1,1
XM_008091049.1,1
XM_008091050.1,5
XM_008091051.1,2
XM_008091052.1,1
XM_008091053.1,1
XM_008091054.1,1
XM_008091055.1,4
XM_008091056.1,1
XM_008091057.1,6
XM_008091058.1,1
XM_008091059.1,1
XM_008091060.1,4
XM_008091061.1,1
XM_008091062.1,2
XM_008091063.1,3
XM_008091064.1,1
XM_008091065.1,2
XM_008091066.1,1
XM_008091067.1,1
XM_008091068.1,2
XM_008091069.1,2
XM_008091070.1,1
XM_008091071.1,2
XM_008091072.1,7
XM_008091073.1,3
XM_008091074.1,1
XM_008091075.1,3
XM_008091076.1,3
XM_008091077.1,4
XM_008091078.1,1
XM_008091079.1,6
XM_008091080.1,3
XM_008091081.1,2
XM_008091082.1,1
XM_008091083.1,3
XM_008091084.1,3
XM_008091085.1,2
XM_008091086.1,1
XM_008091087.1,1
XM_008091088.1,3
XM_008091089.1,1
XM_008091090.1,7
XM_008091091.1,11
XM_008091092.1,3
XM_008091093.1,1
XM_008091094.1,2
XM_008091095.1,4
