gene_id,num_transcript,num_exon,num_uniq_exon
A1O9_00001,1,1,1
A1O9_00002,1,1,1
A1O9_00003,1,1,1
A1O9_00004,1,1,1
A1O9_00005,1,3,3
A1O9_00006,1,3,3
A1O9_00007,1,2,2
A1O9_00008,1,3,3
A1O9_00009,1,2,2
A1O9_00010,1,3,3
A1O9_00011,1,1,1
A1O9_00012,1,3,3
A1O9_00013,1,1,1
A1O9_00014,1,2,2
A1O9_00015,1,2,2
A1O9_00016,1,2,2
A1O9_00017,1,2,2
A1O9_00018,1,4,4
A1O9_00019,1,5,5
A1O9_00020,1,3,3
A1O9_00021,1,2,2
A1O9_00022,1,3,3
A1O9_00023,1,2,2
A1O9_00024,1,1,1
A1O9_00025,1,1,1
A1O9_00026,1,2,2
A1O9_00027,1,1,1
A1O9_00028,1,6,6
A1O9_00029,1,1,1
A1O9_00030,1,2,2
A1O9_00031,1,2,2
A1O9_00032,1,3,3
A1O9_00033,1,2,2
A1O9_00034,1,7,7
A1O9_00035,1,1,1
A1O9_00036,1,7,7
A1O9_00037,1,2,2
A1O9_00038,1,4,4
A1O9_00039,1,2,2
A1O9_00040,1,2,2
A1O9_00041,1,4,4
A1O9_00042,1,1,1
A1O9_00043,1,2,2
A1O9_00044,1,3,3
A1O9_00045,1,1,1
A1O9_00046,1,4,4
A1O9_00047,1,1,1
A1O9_00048,1,2,2
A1O9_00049,1,2,2
A1O9_00050,1,6,6
A1O9_00051,1,2,2
A1O9_00052,1,1,1
A1O9_00053,1,1,1
A1O9_00054,1,2,2
A1O9_00055,1,1,1
A1O9_00056,1,2,2
A1O9_00057,1,6,6
A1O9_00058,1,1,1
A1O9_00059,1,5,5
A1O9_00060,1,1,1
A1O9_00061,1,1,1
A1O9_00062,1,2,2
A1O9_00063,1,2,2
A1O9_00064,1,3,3
A1O9_00065,1,3,3
A1O9_00066,1,2,2
A1O9_00067,1,1,1
A1O9_00068,1,2,2
A1O9_00069,1,3,3
A1O9_00070,1,1,1
A1O9_00071,1,1,1
A1O9_00072,1,1,1
A1O9_00073,1,1,1
A1O9_00074,1,1,1
A1O9_00075,1,1,1
A1O9_00076,1,2,2
A1O9_00077,1,1,1
A1O9_00078,1,2,2
A1O9_00079,1,2,2
A1O9_00080,1,1,1
A1O9_00081,1,2,2
A1O9_00082,1,1,1
A1O9_00083,1,3,3
A1O9_00084,1,1,1
A1O9_00085,1,2,2
A1O9_00086,1,2,2
A1O9_00087,1,1,1
A1O9_00088,1,1,1
A1O9_00089,1,2,2
A1O9_00090,1,5,5
A1O9_00091,1,1,1
A1O9_00092,1,3,3
A1O9_00093,1,1,1
A1O9_00094,1,1,1
A1O9_00095,1,2,2
A1O9_00096,1,2,2
A1O9_00097,1,3,3
A1O9_00098,1,1,1
A1O9_00099,1,4,4
A1O9_00100,1,3,3
A1O9_00101,1,1,1
A1O9_00102,1,1,1
A1O9_00103,1,1,1
A1O9_00104,1,1,1
A1O9_00105,1,1,1
A1O9_00106,1,1,1
A1O9_00107,1,1,1
A1O9_00108,1,2,2
