gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
LOC109461488,1,11,11
LOC109461489,1,12,12
LOC109461490,1,21,21
LOC109461491,1,3,3
LOC109461492,2,51,27
LOC109461493,1,2,2
LOC109461494,1,14,14
LOC109461495,1,1,1
LOC109461496,1,6,6
LOC109461497,2,27,16
LOC109461498,1,4,4
LOC109461499,2,50,27
LOC109461500,2,41,22
LOC109461501,1,7,7
LOC109461502,1,3,3
LOC109461503,2,31,18
LOC109461504,1,36,36
LOC109461505,1,7,7
LOC109461506,1,2,2
LOC109461507,1,15,15
LOC109461508,1,3,3
LOC109461509,1,21,21
LOC109461510,2,12,8
LOC109461511,4,46,17
LOC109461512,3,14,8
LOC109461513,1,42,42
LOC109461514,4,30,13
LOC109461515,1,4,4
LOC109461516,1,2,2
LOC109461517,1,20,20
LOC109461518,1,11,11
LOC109461519,1,9,9
LOC109461520,1,7,7
LOC109461521,2,6,4
LOC109461523,1,3,3
LOC109461524,1,4,4
LOC109461525,1,3,3
LOC109461526,1,3,3
LOC109461527,1,2,2
LOC109461528,1,2,2
LOC109461529,1,2,2
LOC109461530,1,2,2
LOC109461531,1,2,2
LOC109461532,1,9,9
LOC109461533,1,24,24
LOC109461534,1,8,8
LOC109461535,1,2,2
LOC109461536,1,6,6
LOC109461537,1,12,12
LOC109461538,1,5,5
LOC109461539,1,9,9
LOC109461541,1,6,6
LOC109461543,1,1,1
LOC109461544,1,2,2
LOC109461545,1,4,4
LOC109461546,1,7,7
LOC109461547,1,3,3
LOC109461548,1,4,4
LOC109461549,1,11,11
LOC109461550,1,2,2
LOC109461551,1,1,1
LOC109461552,1,1,1
LOC109461553,1,12,12
LOC109461554,1,2,2
LOC109461555,1,5,5
LOC109461556,1,5,5
LOC109461558,1,26,26
LOC109461559,1,9,9
LOC109461560,1,14,14
LOC109461561,1,16,16
LOC109461562,1,8,8
LOC109461563,1,10,10
LOC109461564,1,4,4
LOC109461565,1,16,16
LOC109461566,1,2,2
LOC109461567,1,3,3
LOC109461571,1,3,3
LOC109461572,1,13,13
LOC109461573,1,10,10
LOC109461574,1,3,3
LOC109461575,1,4,4
LOC109461576,1,4,4
LOC109461577,1,11,11
LOC109461578,1,12,12
LOC109461579,3,40,16
LOC109461580,1,1,1
LOC109461581,1,2,2
LOC109461582,1,5,5
LOC109461583,5,64,17
LOC109461584,1,13,13
LOC109461585,1,2,2
LOC109461586,1,10,10
LOC109461587,1,1,1
LOC109461588,1,5,5
LOC109461589,1,3,3
LOC109461590,1,5,5
LOC109461591,2,45,24
LOC109461594,1,2,2
LOC109461595,1,4,4
LOC109461596,1,2,2
LOC109461598,1,4,4
LOC109461599,1,8,8
LOC109461600,1,3,3
LOC109461601,1,2,2
LOC109461602,1,3,3
LOC109461603,1,1,1
LOC109461604,2,8,5
LOC109461605,1,6,6
LOC109461606,1,29,29
LOC109461607,1,13,13
LOC109461608,7,63,12
LOC109461609,1,2,2
LOC109461610,1,10,10
LOC109461611,1,13,13
LOC109461612,1,2,2
LOC109461613,1,9,9
LOC109461614,1,19,19
LOC109461615,1,9,9
LOC109461616,1,13,13
