transcript_id,num_exon
NM_001281713.1,4
NM_001281714.1,10
NM_001281876.1,7
NM_001282091.1,4
NM_001286008.1,9
NM_001286010.1,8
NM_001286012.1,7
NM_001290517.1,10
NM_001291387.1,5
NM_001291388.1,6
NM_001291389.1,7
NM_001291390.1,6
NM_001291393.1,7
NM_001291394.1,5
NM_001291395.1,13
NM_001291401.1,10
NM_001291467.2,12
NM_001291895.1,5
NM_001291998.1,5
NM_001293111.1,2
NM_001293112.1,1
NM_001293113.1,27
NM_001293116.1,7
NM_001293118.1,5
NM_001293119.1,7
NM_001293120.1,8
NM_001293121.1,9
NM_001293122.1,9
NM_001293123.1,7
NM_001293124.1,26
NM_001293125.1,7
NM_001293126.1,7
NM_001293127.1,11
NM_001293127.1_1,6
NM_001293128.1,5
NM_001293129.1,5
NM_001293131.1,4
NM_001293132.1,3
NM_001293246.1,35
NM_001293247.1,2
NM_001293248.1,35
NM_001293249.1,7
NM_001293706.2,11
NM_001294141.1,3
NM_001302556.1,12
NM_001319780.1,1
XM_003214270.3,1
XM_003214272.3,3
XM_003214273.3,2
XM_003214275.3,5
XM_003214276.3,12
XM_003214277.3,26
XM_003214279.3,18
XM_003214280.2,11
XM_003214284.3,4
XM_003214285.3,3
XM_003214289.3,13
XM_003214291.3,6
XM_003214292.2,13
XM_003214294.3,11
XM_003214296.1,3
XM_003214297.3,8
XM_003214298.3,5
XM_003214302.3,19
XM_003214305.3,4
XM_003214307.3,16
XM_003214311.3,8
XM_003214312.3,16
XM_003214313.2,5
XM_003214317.3,27
XM_003214320.3,2
XM_003214321.3,42
XM_003214322.3,3
XM_003214323.3,18
XM_003214324.3,12
XM_003214327.1,4
XM_003214331.3,13
XM_003214334.3,4
XM_003214335.2,5
XM_003214339.3,10
XM_003214340.3,2
XM_003214341.3,10
XM_003214342.2,8
XM_003214349.2,3
XM_003214352.3,15
XM_003214353.3,20
XM_003214354.3,11
XM_003214356.3,17
XM_003214362.3,2
XM_003214365.3,11
XM_003214366.3,14
XM_003214367.3,9
XM_003214368.3,20
XM_003214370.2,11
XM_003214371.3,9
XM_003214372.3,3
XM_003214373.3,9
XM_003214374.3,5
XM_003214375.3,3
XM_003214376.3,3
XM_003214379.3,22
XM_003214380.3,3
XM_003214381.3,3
XM_003214382.3,21
XM_003214383.3,4
XM_003214384.3,4
XM_003214385.3,6
XM_003214386.3,12
XM_003214387.3,24
XM_003214388.3,9
XM_003214389.3,6
XM_003214391.3,10
XM_003214392.3,9
XM_003214398.3,9
XM_003214401.3,11
XM_003214403.3,17
XM_003214407.3,2
XM_003214408.3,13
XM_003214409.3,18
XM_003214412.3,2
XM_003214413.3,15
XM_003214415.3,14
XM_003214421.3,17
XM_003214422.3,21
XM_003214424.3,11
XM_003214426.3,6
XM_003214429.2,3
XM_003214430.3,6
XM_003214431.3,21
XM_003214432.3,4
XM_003214433.3,25
XM_003214435.3,8
XM_003214437.3,7
XM_003214439.3,5
XM_003214440.2,13
XM_003214443.2,11
XM_003214444.3,15
XM_003214449.3,3
XM_003214450.3,2
XM_003214451.3,19
XM_003214452.3,14
XM_003214453.2,5
XM_003214454.3,12
XM_003214457.2,12
XM_003214459.3,4
XM_003214461.3,10
XM_003214464.3,9
XM_003214471.2,1
XM_003214476.2,2
XM_003214477.3,6
XM_003214483.3,12
XM_003214484.3,12
XM_003214485.3,6
XM_003214486.3,2
XM_003214487.3,2
XM_003214488.3,10
XM_003214489.3,35
XM_003214492.3,11
XM_003214493.3,6
XM_003214494.3,8
XM_003214495.3,17
XM_003214496.3,11
XM_003214498.2,6
XM_003214500.3,5
XM_003214502.3,14
XM_003214503.3,15
XM_003214504.2,7
XM_003214505.3,8
XM_003214507.3,9
XM_003214508.3,12
XM_003214509.3,8
XM_003214514.3,10
XM_003214517.3,5
XM_003214519.3,22
XM_003214522.3,12
XM_003214523.3,19
XM_003214528.3,10
XM_003214529.3,9
XM_003214530.3,8
XM_003214531.3,9
XM_003214533.3,9
XM_003214534.3,9
XM_003214535.3,10
XM_003214536.3,15
XM_003214537.2,6
XM_003214538.3,8
XM_003214541.3,25
XM_003214542.2,18
XM_003214543.3,7
XM_003214544.3,11
XM_003214550.3,3
XM_003214551.3,3
XM_003214555.2,3
XM_003214558.3,6
XM_003214559.3,22
XM_003214565.3,21
XM_003214570.2,6
XM_003214579.3,2
XM_003214580.3,25
XM_003214583.2,5
XM_003214585.2,5
XM_003214587.3,35
XM_003214590.3,3
XM_003214591.3,17
XM_003214592.3,16
