gene_id,num_transcript,num_exon,num_uniq_exon
4CL,1,6,6
ARP,1,3,3
CAD,2,13,9
CUL1,3,59,23
EG2,1,9,9
EG4,1,10,10
EXP1,1,3,3
EXP2,1,3,3
EXP3,1,3,3
EXP5,1,4,4
EXP6,1,3,3
EXP7,1,3,3
EXP8,2,8,5
FT,1,4,4
GAL3,2,37,21
GAL4,1,18,18
GAL6,1,19,19
HCT3,1,3,3
LOC103926516,1,3,3
LOC103926517,2,22,12
LOC103926518,1,6,6
LOC103926520,1,2,2
LOC103926521,1,4,4
LOC103926522,1,4,4
LOC103926523,1,8,8
LOC103926526,1,1,1
LOC103926527,1,1,1
LOC103926528,1,5,5
LOC103926529,5,56,20
LOC103926530,3,9,7
LOC103926531,1,8,8
LOC103926532,1,1,1
LOC103926535,3,14,7
LOC103926536,2,21,12
LOC103926537,2,11,7
LOC103926540,2,12,9
LOC103926541,3,30,12
LOC103926543,1,2,2
LOC103926550,1,3,3
LOC103926552,1,1,1
LOC103926554,3,66,25
LOC103926555,1,1,1
LOC103926556,1,2,2
LOC103926557,1,1,1
LOC103926558,1,1,1
LOC103926561,1,10,10
LOC103926562,1,4,4
LOC103926563,1,4,4
LOC103926564,1,10,10
LOC103926566,1,9,9
LOC103926567,1,3,3
LOC103926568,5,45,12
LOC103926569,1,21,21
LOC103926570,3,42,16
LOC103926572,2,7,7
LOC103926574,1,5,5
LOC103926576,1,3,3
LOC103926578,1,12,12
LOC103926579,2,15,8
LOC103926580,2,16,10
LOC103926581,1,2,2
LOC103926582,1,12,12
LOC103926584,3,14,8
LOC103926585,1,4,4
LOC103926586,1,9,9
LOC103926587,5,56,20
LOC103926588,1,5,5
LOC103926589,1,1,1
LOC103926590,3,5,5
LOC103926592,1,5,5
LOC103926593,1,3,3
LOC103926595,1,4,4
LOC103926602,3,36,25
LOC103926606,1,7,7
LOC103926607,1,8,8
LOC103926609,1,64,64
LOC103926610,4,60,19
LOC103926611,2,16,9
LOC103926612,1,9,9
LOC103926613,1,1,1
LOC103926614,1,3,3
LOC103926615,3,28,13
LOC103926616,1,1,1
LOC103926617,1,1,1
LOC103926618,1,20,20
LOC103926619,3,30,13
LOC103926622,1,19,19
