transcript_id,num_exon
XM_007861905.1,10
XM_007861908.1,3
XM_007861917.1,3
XM_007861920.1,2
XM_007861926.1,4
XM_007861927.1,8
XM_007861948.1,5
XM_007861950.1,4
XM_007861955.1,3
XM_007861956.1,9
XM_007861957.1,4
XM_007861958.1,4
XM_007861959.1,22
XM_007861962.1,3
XM_007861963.1,4
XM_007861964.1,16
XM_007861965.1,1
XM_007861966.1,2
XM_007861967.1,7
XM_007861968.1,3
XM_007861970.1,9
XM_007861972.1,1
XM_007861974.1,2
XM_007861975.1,6
XM_007861976.1,2
XM_007861978.1,15
XM_007861979.1,6
XM_007861980.1,6
XM_007861981.1,5
XM_007861983.1,12
XM_007861984.1,8
XM_007861986.1,3
XM_007861987.1,1
XM_007861988.1,5
XM_007861990.1,1
XM_007861991.1,4
XM_007861992.1,12
XM_007861993.1,11
XM_007861994.1,9
XM_007861995.1,2
XM_007861996.1,9
XM_007861997.1,9
XM_007861998.1,4
XM_007861999.1,5
XM_007862000.1,7
XM_007862001.1,5
XM_007862002.1,3
XM_007862003.1,1
XM_007862005.1,3
XM_007862006.1,2
XM_007862007.1,2
XM_007862009.1,5
XM_007862010.1,3
XM_007862011.1,5
XM_007862012.1,6
XM_007862013.1,7
XM_007862014.1,6
XM_007862016.1,1
XM_007862017.1,14
XM_007862018.1,8
XM_007862019.1,4
XM_007862020.1,3
XM_007862021.1,2
XM_007862022.1,10
XM_007862023.1,2
XM_007862024.1,1
XM_007862025.1,2
XM_007862026.1,1
XM_007862028.1,1
XM_007862029.1,6
XM_007862030.1,16
XM_007862031.1,4
XM_007862032.1,4
XM_007862033.1,4
XM_007862034.1,5
XM_007862035.1,21
XM_007862036.1,6
XM_007862037.1,5
XM_007862038.1,2
XM_007862039.1,3
XM_007862041.1,12
XM_007862042.1,3
XM_007862044.1,11
XM_007862045.1,2
XM_007862046.1,13
XM_007862047.1,13
XM_007862048.1,11
XM_007862049.1,4
XM_007862050.1,6
XM_007862051.1,3
XM_007862052.1,7
XM_007862053.1,8
XM_007862055.1,4
XM_007862056.1,2
XM_007862057.1,10
XM_007862059.1,13
XM_007862060.1,7
XM_007862061.1,3
XM_007862062.1,6
XM_007862063.1,4
XM_007862064.1,2
XM_007862065.1,2
XM_007862066.1,4
XM_007862067.1,9
XM_007862068.1,7
XM_007862069.1,3
XM_007862071.1,6
XM_007862072.1,9
XM_007862073.1,4
XM_007862074.1,7
XM_007862075.1,5
XM_007862077.1,2
XM_007862078.1,4
XM_007862080.1,7
XM_007862083.1,1
XM_007862085.1,10
XM_007862086.1,4
XM_007862088.1,8
XM_007862089.1,5
XM_007862090.1,2
XM_007862092.1,7
XM_007862093.1,6
XM_007862094.1,2
XM_007862095.1,2
XM_007862096.1,2
XM_007862098.1,2
XM_007862099.1,3
XM_007862100.1,9
XM_007862101.1,6
XM_007862102.1,1
XM_007862103.1,4
XM_007862104.1,9
XM_007862105.1,11
XM_007862106.1,2
XM_007862107.1,4
XM_007862108.1,8
XM_007862110.1,5
XM_007862111.1,3
XM_007862112.1,6
XM_007862113.1,6
XM_007862114.1,4
XM_007862117.1,2
XM_007862119.1,2
XM_007862120.1,5
XM_007862121.1,4
XM_007862122.1,18
XM_007862124.1,3
XM_007862125.1,8
XM_007862126.1,2
XM_007862127.1,4
XM_007862128.1,7
XM_007862129.1,24
XM_007862130.1,7
XM_007862132.1,5
XM_007862133.1,10
XM_007862134.1,7
XM_007862135.1,7
XM_007862136.1,4
XM_007862137.1,3
XM_007862138.1,17
XM_007862139.1,5
XM_007862140.1,4
XM_007862141.1,2
XM_007862142.1,5
XM_007862143.1,6
XM_007862144.1,9
XM_007862145.1,3
XM_007862146.1,3
XM_007862147.1,2
XM_007862148.1,8
XM_007862149.1,3
XM_007862150.1,7
XM_007862151.1,7
XM_007862152.1,6
XM_007862154.1,10
XM_007862155.1,3
XM_007862156.1,12
XM_007862157.1,5
XM_007862158.1,1
XM_007862159.1,5
XM_007862160.1,9
XM_007862161.1,3
XM_007862162.1,7
XM_007862163.1,5
XM_007862164.1,6
XM_007862165.1,4
XM_007862166.1,2
XM_007862167.1,7
XM_007862168.1,4
XM_007862170.1,3
XM_007862171.1,4
XM_007862172.1,18
XM_007862173.1,7
XM_007862174.1,2
XM_007862175.1,9
XM_007862176.1,6
XM_007862177.1,2
XM_007862178.1,3
XM_007862179.1,3
XM_007862180.1,12
XM_007862181.1,12
XM_007862182.1,4
XM_007862183.1,7
XM_007862184.1,8
XM_007862185.1,4
XM_007862186.1,9
XM_007862187.1,6
XM_007862188.1,6
XM_007862189.1,5
XM_007862190.1,18
XM_007862191.1,6
XM_007862192.1,16
XM_007862193.1,7
XM_007862194.1,9
XM_007862195.1,10
XM_007862196.1,8
XM_007862197.1,4
XM_007862198.1,6
XM_007862199.1,6
XM_007862200.1,7
XM_007862201.1,4
XM_007862202.1,4
XM_007862203.1,6
XM_007862204.1,5
XM_007862205.1,4
XM_007862206.1,9
XM_007862207.1,11
XM_007862208.1,9
XM_007862209.1,6
XM_007862210.1,6
XM_007862211.1,2
XM_007862212.1,6
XM_007862213.1,3
XM_007862215.1,13
XM_007862216.1,41
XM_007862217.1,5
XM_007862218.1,5
XM_007862219.1,6
XM_007862220.1,15
XM_007862221.1,6
XM_007862222.1,4
XM_007862223.1,6
XM_007862224.1,6
XM_007862225.1,3
XM_007862226.1,9
XM_007862227.1,7
XM_007862228.1,3
XM_007862229.1,3
XM_007862230.1,5
XM_007862231.1,7
XM_007862232.1,1
XM_007862233.1,6
XM_007862234.1,5
XM_007862235.1,15
XM_007862236.1,11
XM_007862237.1,11
XM_007862238.1,17
XM_007862239.1,8
XM_007862240.1,6
XM_007862241.1,15
XM_007862242.1,4
XM_007862243.1,13
XM_007862244.1,3
XM_007862245.1,8
XM_007862246.1,3
XM_007862247.1,4
XM_007862248.1,9
XM_007862249.1,20
XM_007862250.1,3
XM_007862251.1,8
XM_007862252.1,13
XM_007862253.1,2
XM_007862254.1,12
XM_007862255.1,13
XM_007862256.1,6
XM_007862258.1,6
XM_007862259.1,7
XM_007862260.1,7
XM_007862261.1,22
XM_007862262.1,9
XM_007862263.1,6
XM_007862265.1,4
XM_007862266.1,6
XM_007862268.1,8
XM_007862269.1,7
XM_007862270.1,3
XM_007862271.1,5
XM_007862272.1,4
XM_007862273.1,6
XM_007862275.1,5
XM_007862276.1,3
XM_007862277.1,8
XM_007862278.1,1
XM_007862279.1,7
XM_007862280.1,3
XM_007862281.1,13
XM_007862283.1,2
XM_007862284.1,7
XM_007862285.1,3
XM_007862286.1,1
XM_007862287.1,3
XM_007862288.1,5
XM_007862289.1,3
XM_007862290.1,10
XM_007862291.1,3
XM_007862292.1,8
XM_007862293.1,21
XM_007862294.1,17
XM_007862295.1,10
XM_007862296.1,7
XM_007862297.1,4
XM_007862298.1,9
XM_007862299.1,21
XM_007862300.1,4
XM_007862301.1,3
XM_007862302.1,10
XM_007862303.1,3
XM_007862304.1,2
XM_007862305.1,4
XM_007862307.1,10
XM_007862308.1,4
XM_007862310.1,2
XM_007862311.1,15
XM_007862312.1,14
XM_007862313.1,14
