gene_id,num_transcript,num_exon,num_uniq_exon
LOC111274031,1,3,3
LOC111274036,1,1,1
LOC111274037,1,2,2
LOC111274072,1,1,1
LOC111274128,1,3,3
LOC111274129,1,3,3
LOC111274131,1,2,2
LOC111274139,1,2,2
LOC111274157,1,3,3
LOC111274170,1,2,2
LOC111274175,1,7,7
LOC111274179,1,1,1
LOC111274190,1,4,4
LOC111274195,1,2,2
LOC111274208,1,7,7
LOC111274213,1,2,2
LOC111274232,1,2,2
LOC111274238,1,5,5
LOC111274239,1,3,3
LOC111274248,1,3,3
LOC111274253,1,1,1
LOC111274255,1,2,2
LOC111274275,1,1,1
LOC111274282,1,1,1
LOC111274309,1,3,3
LOC111274311,1,1,1
LOC111274323,1,1,1
LOC111274327,1,1,1
LOC111274416,8,31,19
LOC111274441,1,2,2
LOC111274459,2,6,4
LOC111274462,3,6,4
LOC111274498,1,3,3
LOC111274503,1,2,2
LOC111274505,1,2,2
LOC111274542,1,3,3
LOC111274559,1,2,2
LOC111274586,5,20,12
LOC111274590,1,1,1
LOC111274605,1,3,3
LOC111274620,1,5,5
LOC111274627,1,7,7
LOC111274642,1,1,1
LOC111274645,1,2,2
LOC111274667,1,4,4
LOC111274670,1,3,3
LOC111274681,1,1,1
LOC111274685,1,3,3
LOC111274719,2,9,8
LOC111274720,1,3,3
LOC111274749,1,2,2
LOC111274765,1,5,5
LOC111274807,1,3,3
LOC111274814,1,5,5
LOC111274830,2,15,10
LOC111274852,1,3,3
LOC111274861,1,3,3
LOC111274871,1,2,2
LOC111274875,1,2,2
LOC111274913,1,2,2
LOC111274927,1,2,2
LOC111274940,1,3,3
LOC111274960,4,13,10
LOC111274988,1,2,2
LOC111275004,1,7,7
LOC111275041,1,4,4
LOC111275087,1,1,1
LOC111275143,1,4,4
LOC111275233,1,3,3
LOC111275237,1,2,2
LOC111275265,1,2,2
LOC111275295,2,6,5
LOC111275300,2,8,7
LOC111275308,1,3,3
LOC111275310,13,75,22
LOC111275329,3,15,7
LOC111275330,1,4,4
LOC111275364,3,9,5
LOC111275365,1,1,1
LOC111275375,10,96,21
LOC111275400,1,3,3
LOC111275404,1,1,1
LOC111275420,1,4,4
LOC111275421,1,6,6
LOC111275428,1,1,1
LOC111275437,1,2,2
LOC111275479,1,4,4
LOC111275484,2,5,4
LOC111275486,1,2,2
LOC111275510,1,4,4
LOC111275512,1,4,4
LOC111275514,1,3,3
LOC111275547,1,3,3
LOC111275609,1,2,2
LOC111275610,1,1,1
LOC111275615,1,1,1
LOC111275646,1,4,4
LOC111275692,1,2,2
LOC111275710,2,10,6
LOC111275711,1,3,3
LOC111275751,3,11,6
LOC111275760,1,3,3
LOC111275802,1,2,2
LOC111275813,1,1,1
LOC111275815,1,3,3
LOC111275816,1,3,3
LOC111275818,4,13,13
LOC111275838,1,3,3
LOC111275839,1,3,3
LOC111275854,1,8,8
LOC111275856,4,29,10
LOC111275886,2,10,8
LOC111275895,2,9,6
LOC111275898,9,130,23
LOC111275913,1,3,3
LOC111275914,1,2,2
LOC111275932,1,3,3
LOC111275933,1,1,1
LOC111275934,1,1,1
LOC111275949,1,3,3
LOC111275981,1,3,3
LOC111275983,1,2,2
LOC111275984,1,4,4
LOC111275989,2,8,5
LOC111275997,1,3,3
LOC111275998,1,6,6
LOC111275999,1,4,4
LOC111276029,11,69,24
LOC111276037,8,46,16
LOC111276067,1,7,7
LOC111276076,7,22,14
LOC111276078,1,3,3
LOC111276080,1,4,4
LOC111276083,10,46,16
LOC111276089,22,192,32
LOC111276101,3,9,5
LOC111276103,1,3,3
LOC111276127,1,3,3
LOC111276134,1,3,3
LOC111276151,1,1,1
LOC111276153,1,6,6
LOC111276160,1,3,3
LOC111276165,1,5,5
LOC111276167,1,5,5
LOC111276182,1,3,3
LOC111276187,1,4,4
LOC111276191,1,2,2
LOC111276196,1,2,2
LOC111276197,1,1,1
LOC111276200,1,1,1
LOC111276206,1,2,2
LOC111276208,1,1,1
LOC111276211,1,2,2
LOC111276217,1,1,1
LOC111276219,1,3,3
LOC111276221,1,3,3
LOC111276247,1,3,3
LOC111276248,1,2,2
LOC111276257,1,4,4
LOC111276261,1,2,2
LOC111276263,1,1,1
LOC111276264,1,1,1
LOC111276267,1,4,4
LOC111276268,1,3,3
LOC111276269,1,2,2
LOC111276281,1,1,1
LOC111276282,1,2,2
LOC111276285,1,1,1
LOC111276292,1,2,2
LOC111276297,1,4,4
LOC111276321,1,7,7
LOC111276346,1,1,1
LOC111276373,1,3,3
LOC111276382,1,4,4
LOC111276388,1,6,6
LOC111276393,1,4,4
LOC111276395,1,1,1
LOC111276409,1,1,1
LOC111276442,1,3,3
LOC111276454,1,1,1
LOC111276471,1,3,3
LOC111276481,1,2,2
LOC111276494,2,6,4
LOC111276510,1,3,3
LOC111276519,1,1,1
LOC111276529,1,2,2
LOC111276553,1,2,2
LOC111276561,1,3,3
LOC111276574,1,2,2
LOC111276614,4,25,10
LOC111276627,1,3,3
LOC111276628,1,3,3
LOC111276638,1,4,4
LOC111276640,1,3,3
LOC111276641,1,3,3
LOC111276642,1,4,4
LOC111276643,1,4,4
LOC111276644,1,3,3
LOC111276645,2,7,5
LOC111276646,5,20,7
LOC111276665,1,3,3
LOC111276687,3,12,7
LOC111276690,1,5,5
LOC111276691,1,8,8
LOC111276702,1,3,3
LOC111276740,1,3,3
LOC111276742,1,3,3
LOC111276776,12,57,12
LOC111276778,14,85,17
LOC111276805,9,33,17
LOC111276812,1,2,2
LOC111276817,1,2,2
LOC111276828,4,14,7
LOC111276862,3,12,6
