gene_id,num_transcript,num_exon,num_uniq_exon
CONPUDRAFT_100864,1,3,3
CONPUDRAFT_102412,1,2,2
CONPUDRAFT_103706,1,4,4
CONPUDRAFT_105803,1,7,7
CONPUDRAFT_107142,1,1,1
CONPUDRAFT_108158,1,2,2
CONPUDRAFT_108843,1,2,2
CONPUDRAFT_110980,1,5,5
CONPUDRAFT_111054,1,3,3
CONPUDRAFT_114144,1,2,2
CONPUDRAFT_115552,1,3,3
CONPUDRAFT_116749,1,4,4
CONPUDRAFT_116976,1,2,2
CONPUDRAFT_118366,1,6,6
CONPUDRAFT_118657,1,8,8
CONPUDRAFT_118722,1,4,4
CONPUDRAFT_118736,1,4,4
CONPUDRAFT_118778,1,8,8
CONPUDRAFT_118816,1,5,5
CONPUDRAFT_118828,1,7,7
CONPUDRAFT_119885,1,4,4
CONPUDRAFT_120560,1,12,12
CONPUDRAFT_122101,1,9,9
CONPUDRAFT_122445,1,3,3
CONPUDRAFT_124754,1,6,6
CONPUDRAFT_124953,1,7,7
CONPUDRAFT_126348,1,26,26
CONPUDRAFT_126566,1,5,5
CONPUDRAFT_130273,1,3,3
CONPUDRAFT_130421,1,7,7
CONPUDRAFT_130800,1,2,2
CONPUDRAFT_130852,1,4,4
CONPUDRAFT_130891,1,4,4
CONPUDRAFT_131282,1,2,2
CONPUDRAFT_131422,1,6,6
CONPUDRAFT_132466,1,2,2
CONPUDRAFT_132962,1,6,6
CONPUDRAFT_133629,1,1,1
CONPUDRAFT_133650,1,6,6
CONPUDRAFT_133651,1,1,1
CONPUDRAFT_133662,1,14,14
CONPUDRAFT_133682,1,1,1
CONPUDRAFT_133702,1,1,1
CONPUDRAFT_133704,1,3,3
CONPUDRAFT_133709,1,1,1
CONPUDRAFT_133877,1,6,6
CONPUDRAFT_133923,1,2,2
CONPUDRAFT_133933,1,1,1
CONPUDRAFT_134072,1,2,2
CONPUDRAFT_134269,1,3,3
CONPUDRAFT_134537,1,3,3
CONPUDRAFT_134567,1,14,14
CONPUDRAFT_134606,1,4,4
CONPUDRAFT_134636,1,6,6
CONPUDRAFT_134641,1,2,2
CONPUDRAFT_134697,1,1,1
CONPUDRAFT_134730,1,2,2
CONPUDRAFT_134773,1,1,1
CONPUDRAFT_134954,1,3,3
CONPUDRAFT_134979,1,1,1
CONPUDRAFT_135251,1,4,4
CONPUDRAFT_135279,1,4,4
CONPUDRAFT_135288,1,7,7
CONPUDRAFT_135296,1,3,3
CONPUDRAFT_135323,1,2,2
CONPUDRAFT_135324,1,4,4
CONPUDRAFT_135377,1,2,2
CONPUDRAFT_135405,1,1,1
CONPUDRAFT_135484,1,1,1
CONPUDRAFT_135648,1,1,1
CONPUDRAFT_135773,1,2,2
CONPUDRAFT_135810,1,1,1
CONPUDRAFT_135897,1,5,5
CONPUDRAFT_135901,1,3,3
CONPUDRAFT_135957,1,7,7
CONPUDRAFT_135962,1,1,1
CONPUDRAFT_135965,1,1,1
CONPUDRAFT_135975,1,5,5
CONPUDRAFT_136021,1,2,2
CONPUDRAFT_136074,1,3,3
CONPUDRAFT_136260,1,13,13
CONPUDRAFT_136305,1,1,1
CONPUDRAFT_136352,1,4,4
CONPUDRAFT_136409,1,10,10
CONPUDRAFT_136429,1,2,2
CONPUDRAFT_136518,1,6,6
CONPUDRAFT_136589,1,3,3
CONPUDRAFT_137048,1,1,1
CONPUDRAFT_137128,1,2,2
CONPUDRAFT_137218,1,4,4
CONPUDRAFT_137370,1,3,3
CONPUDRAFT_137387,1,2,2
CONPUDRAFT_137389,1,3,3
CONPUDRAFT_137399,1,3,3
CONPUDRAFT_137400,1,4,4
CONPUDRAFT_137401,1,5,5
CONPUDRAFT_137434,1,2,2
CONPUDRAFT_137449,1,3,3
CONPUDRAFT_137464,1,3,3
CONPUDRAFT_137474,1,5,5
CONPUDRAFT_137478,1,1,1
CONPUDRAFT_137484,1,1,1
CONPUDRAFT_137535,1,5,5
CONPUDRAFT_137544,1,5,5
CONPUDRAFT_137557,1,2,2
CONPUDRAFT_137560,1,5,5
CONPUDRAFT_137561,1,4,4
CONPUDRAFT_137573,1,3,3
CONPUDRAFT_137696,1,1,1
CONPUDRAFT_137727,1,1,1
CONPUDRAFT_137738,1,4,4
CONPUDRAFT_137745,1,6,6
CONPUDRAFT_137762,1,6,6
CONPUDRAFT_137783,1,2,2
CONPUDRAFT_137844,1,3,3
CONPUDRAFT_137845,1,5,5
CONPUDRAFT_137847,1,3,3
CONPUDRAFT_137906,1,5,5
CONPUDRAFT_138038,1,4,4
CONPUDRAFT_138051,1,1,1
CONPUDRAFT_138053,1,2,2
CONPUDRAFT_138088,1,11,11
CONPUDRAFT_138089,1,2,2
CONPUDRAFT_138091,1,1,1
CONPUDRAFT_138102,1,6,6
CONPUDRAFT_138125,1,2,2
CONPUDRAFT_138128,1,1,1
CONPUDRAFT_138158,1,2,2
CONPUDRAFT_138190,1,3,3
CONPUDRAFT_138200,1,2,2
CONPUDRAFT_138217,1,6,6
CONPUDRAFT_138223,1,2,2
CONPUDRAFT_138229,1,2,2
CONPUDRAFT_138230,1,2,2
CONPUDRAFT_138397,1,2,2
CONPUDRAFT_138540,1,3,3
CONPUDRAFT_138565,1,1,1
CONPUDRAFT_138570,1,1,1
CONPUDRAFT_138598,1,1,1
CONPUDRAFT_138603,1,3,3
CONPUDRAFT_138699,1,4,4
CONPUDRAFT_138724,1,1,1
CONPUDRAFT_138898,1,1,1
CONPUDRAFT_138916,1,4,4
CONPUDRAFT_138922,1,5,5
CONPUDRAFT_138924,1,3,3
CONPUDRAFT_138939,1,6,6
