transcript_id,num_exon
gnl|WGS:NHYD|auto000001,2
gnl|WGS:NHYD|auto000003,2
gnl|WGS:NHYD|auto000005,3
gnl|WGS:NHYD|auto000007,6
gnl|WGS:NHYD|auto000009,5
gnl|WGS:NHYD|auto000011,3
gnl|WGS:NHYD|auto000013,7
gnl|WGS:NHYD|auto000015,11
gnl|WGS:NHYD|auto000017,2
gnl|WGS:NHYD|auto000019,7
gnl|WGS:NHYD|auto000021,2
gnl|WGS:NHYD|auto000023,4
gnl|WGS:NHYD|auto000025,2
gnl|WGS:NHYD|auto000027,6
gnl|WGS:NHYD|auto000029,2
gnl|WGS:NHYD|auto000031,4
gnl|WGS:NHYD|auto000033,3
gnl|WGS:NHYD|auto000035,10
gnl|WGS:NHYD|auto000037,8
gnl|WGS:NHYD|auto000039,3
gnl|WGS:NHYD|auto000041,5
gnl|WGS:NHYD|auto000043,8
gnl|WGS:NHYD|auto000045,5
gnl|WGS:NHYD|auto000047,6
gnl|WGS:NHYD|auto000049,5
gnl|WGS:NHYD|auto000053,5
gnl|WGS:NHYD|auto000055,2
gnl|WGS:NHYD|auto000057,4
gnl|WGS:NHYD|auto000059,10
gnl|WGS:NHYD|auto000061,12
gnl|WGS:NHYD|auto000067,3
gnl|WGS:NHYD|auto000075,4
gnl|WGS:NHYD|auto000077,5
gnl|WGS:NHYD|auto000079,4
gnl|WGS:NHYD|auto000081,4
gnl|WGS:NHYD|auto000083,18
gnl|WGS:NHYD|auto000085,5
gnl|WGS:NHYD|auto000089,11
gnl|WGS:NHYD|auto000091,10
gnl|WGS:NHYD|auto000093,11
gnl|WGS:NHYD|auto000095,4
gnl|WGS:NHYD|auto000097,12
gnl|WGS:NHYD|auto000099,4
gnl|WGS:NHYD|auto000101,6
gnl|WGS:NHYD|auto000103,4
gnl|WGS:NHYD|auto000105,6
gnl|WGS:NHYD|auto000115,5
gnl|WGS:NHYD|auto000119,5
gnl|WGS:NHYD|auto000121,1
gnl|WGS:NHYD|auto000123,10
gnl|WGS:NHYD|auto000125,8
gnl|WGS:NHYD|auto000133,4
gnl|WGS:NHYD|auto000143,7
gnl|WGS:NHYD|auto000145,5
gnl|WGS:NHYD|auto000147,3
gnl|WGS:NHYD|auto000149,2
gnl|WGS:NHYD|auto000151,10
gnl|WGS:NHYD|auto000153,6
gnl|WGS:NHYD|auto000155,3
gnl|WGS:NHYD|auto000159,2
gnl|WGS:NHYD|auto000161,3
gnl|WGS:NHYD|auto000163,7
gnl|WGS:NHYD|auto000165,11
gnl|WGS:NHYD|auto000167,3
gnl|WGS:NHYD|auto000169,8
gnl|WGS:NHYD|auto000171,19
gnl|WGS:NHYD|auto000173,2
gnl|WGS:NHYD|auto000175,3
gnl|WGS:NHYD|auto000177,3
gnl|WGS:NHYD|auto000181,10
gnl|WGS:NHYD|auto000183,2
gnl|WGS:NHYD|auto000185,1
gnl|WGS:NHYD|auto000199,16
gnl|WGS:NHYD|auto000201,10
gnl|WGS:NHYD|auto000205,3
gnl|WGS:NHYD|auto000207,4
gnl|WGS:NHYD|auto000209,2
gnl|WGS:NHYD|auto000221,5
gnl|WGS:NHYD|auto000227,6
gnl|WGS:NHYD|auto000231,12
gnl|WGS:NHYD|auto000233,4
gnl|WGS:NHYD|auto000235,4
gnl|WGS:NHYD|auto000241,2
gnl|WGS:NHYD|auto000243,1
gnl|WGS:NHYD|auto000249,3
gnl|WGS:NHYD|auto000251,20
gnl|WGS:NHYD|auto000253,7
gnl|WGS:NHYD|auto000255,2
gnl|WGS:NHYD|auto000257,3
gnl|WGS:NHYD|auto000259,2
gnl|WGS:NHYD|auto000261,2
gnl|WGS:NHYD|auto000271,2
gnl|WGS:NHYD|auto000273,3
gnl|WGS:NHYD|auto000279,4
gnl|WGS:NHYD|auto000281,5
gnl|WGS:NHYD|auto000287,3
gnl|WGS:NHYD|auto000289,3
gnl|WGS:NHYD|auto000291,6
gnl|WGS:NHYD|auto000293,3
gnl|WGS:NHYD|auto000295,6
gnl|WGS:NHYD|auto000317,4
gnl|WGS:NHYD|auto000325,5
gnl|WGS:NHYD|auto000327,3
gnl|WGS:NHYD|auto000329,6
gnl|WGS:NHYD|auto000331,3
gnl|WGS:NHYD|auto000333,4
gnl|WGS:NHYD|auto000335,4
gnl|WGS:NHYD|auto000337,5
gnl|WGS:NHYD|auto000338,1
gnl|WGS:NHYD|auto000341,3
gnl|WGS:NHYD|auto000343,3
gnl|WGS:NHYD|auto000345,4
gnl|WGS:NHYD|auto000347,7
gnl|WGS:NHYD|auto000349,12
gnl|WGS:NHYD|auto000351,6
gnl|WGS:NHYD|auto000353,7
gnl|WGS:NHYD|auto000355,6
gnl|WGS:NHYD|auto000357,2
gnl|WGS:NHYD|auto000359,2
gnl|WGS:NHYD|auto000361,3
gnl|WGS:NHYD|auto000363,2
gnl|WGS:NHYD|auto000365,7
gnl|WGS:NHYD|auto000367,8
gnl|WGS:NHYD|auto000369,4
gnl|WGS:NHYD|auto000371,6
gnl|WGS:NHYD|auto000373,3
gnl|WGS:NHYD|auto000375,4
gnl|WGS:NHYD|auto000377,3
