gene_id,num_transcript,num_exon,num_uniq_exon
LOC111004512,2,10,7
LOC111004550,1,2,2
LOC111004575,1,1,1
LOC111004580,1,3,3
LOC111004586,2,5,3
LOC111004589,1,5,5
LOC111004628,1,2,2
LOC111004662,1,2,2
LOC111004688,1,4,4
LOC111004701,3,20,11
LOC111004710,1,4,4
LOC111004729,1,5,5
LOC111004730,1,2,2
LOC111004755,1,4,4
LOC111004785,1,2,2
LOC111004790,1,3,3
LOC111004818,8,69,21
LOC111004834,2,5,4
LOC111004837,6,28,13
LOC111004845,1,2,2
LOC111004862,1,3,3
LOC111004875,1,2,2
LOC111004885,1,2,2
LOC111004939,2,6,4
LOC111004942,5,38,16
LOC111004958,1,1,1
LOC111004986,1,1,1
LOC111004989,1,2,2
LOC111004993,2,7,5
LOC111004994,1,3,3
LOC111005012,1,2,2
LOC111005027,1,3,3
LOC111005032,12,82,17
LOC111005039,1,3,3
LOC111005088,1,1,1
LOC111005090,2,12,7
LOC111005094,1,4,4
LOC111005095,1,2,2
LOC111005115,1,2,2
LOC111005116,1,2,2
LOC111005127,2,10,6
LOC111005129,1,3,3
LOC111005204,1,2,2
LOC111005221,4,12,5
LOC111005251,2,8,6
LOC111005377,1,2,2
LOC111005411,1,3,3
LOC111005422,1,2,2
LOC111005439,2,7,4
LOC111005442,1,4,4
LOC111005482,1,2,2
LOC111005484,1,13,13
LOC111005485,1,9,9
LOC111005490,1,2,2
LOC111005492,1,4,4
LOC111005499,1,3,3
LOC111005510,1,1,1
LOC111005518,1,2,2
LOC111005546,1,2,2
LOC111005547,1,3,3
LOC111005685,1,2,2
LOC111005710,1,2,2
LOC111005722,1,2,2
LOC111005730,1,2,2
LOC111005732,1,1,1
LOC111005743,1,3,3
LOC111005744,1,1,1
LOC111005747,1,5,5
LOC111005755,1,2,2
LOC111005758,1,5,5
LOC111005777,1,2,2
LOC111005779,1,2,2
LOC111005780,1,2,2
LOC111005811,1,2,2
LOC111005815,1,4,4
LOC111005820,1,4,4
LOC111005828,1,2,2
LOC111005838,1,3,3
LOC111005872,1,1,1
LOC111005873,1,2,2
LOC111005891,1,1,1
LOC111005907,1,2,2
LOC111005922,2,4,3
LOC111005931,2,6,4
LOC111005945,1,3,3
LOC111005969,1,2,2
LOC111005982,1,4,4
LOC111006044,1,3,3
LOC111006045,4,25,9
LOC111006061,1,2,2
LOC111006066,1,2,2
LOC111006068,1,3,3
LOC111006087,1,2,2
LOC111006100,1,4,4
LOC111006102,1,2,2
LOC111006105,1,1,1
LOC111006107,1,3,3
LOC111006109,2,6,4
LOC111006112,1,5,5
LOC111006133,1,2,2
LOC111006138,1,1,1
LOC111006145,1,1,1
LOC111006148,1,1,1
LOC111006151,1,2,2
LOC111006161,1,2,2
LOC111006166,1,1,1
LOC111006170,1,5,5
LOC111006172,1,2,2
LOC111006173,1,3,3
LOC111006174,1,3,3
LOC111006179,1,2,2
LOC111006182,1,1,1
LOC111006197,4,36,12
LOC111006201,1,3,3
LOC111006209,6,54,16
LOC111006212,1,5,5
LOC111006213,2,25,14
LOC111006228,1,3,3
LOC111006264,7,52,16
LOC111006299,1,2,2
LOC111006319,3,8,5
LOC111006330,1,2,2
LOC111006343,3,9,5
LOC111006362,2,8,5
LOC111006375,1,2,2
LOC111006390,2,8,6
LOC111006391,1,3,3
LOC111006404,1,3,3
LOC111006437,1,2,2
LOC111006450,1,2,2
LOC111006451,1,2,2
LOC111006455,1,2,2
LOC111006482,1,3,3
LOC111006494,3,10,6
LOC111006519,1,2,2
LOC111006538,2,6,5
LOC111006543,1,2,2
LOC111006545,1,7,7
LOC111006549,1,1,1
LOC111006552,1,1,1
LOC111006558,1,1,1
LOC111006560,1,3,3
LOC111006582,1,1,1
LOC111006590,1,4,4
LOC111006603,2,7,5
LOC111006604,1,3,3
LOC111006615,1,2,2
LOC111006627,1,2,2
LOC111006660,5,42,15
LOC111006729,1,2,2
LOC111006764,1,2,2
LOC111006807,1,2,2
LOC111006823,1,2,2
LOC111006832,2,9,6
LOC111006847,1,4,4
LOC111006860,3,9,7
LOC111006866,1,2,2
LOC111006869,21,85,23
LOC111006898,2,5,5
LOC111006905,1,2,2
LOC111006911,1,3,3
LOC111006913,1,3,3
LOC111006914,2,7,5
LOC111006926,1,2,2
LOC111006932,2,4,3
LOC111006937,1,4,4
LOC111006938,1,2,2
LOC111006949,1,4,4
LOC111006963,3,26,13
LOC111006973,1,1,1
LOC111007021,8,33,11
LOC111007044,1,2,2
LOC111007066,2,7,6
LOC111007095,1,4,4
LOC111007106,1,2,2
LOC111007110,1,2,2
LOC111007152,1,2,2
LOC111007168,1,3,3
LOC111007225,2,4,3
LOC111007238,1,1,1
LOC111007265,1,1,1
LOC111007271,1,2,2
LOC111007303,1,1,1
LOC111007337,1,2,2
LOC111007338,1,1,1
LOC111007346,1,3,3
LOC111007354,1,2,2
LOC111007366,1,2,2
LOC111007378,1,3,3
LOC111007402,1,6,6
LOC111007431,1,2,2
LOC111007494,1,4,4
LOC111007507,1,2,2
LOC111007520,1,2,2
LOC111007533,1,3,3
LOC111007534,3,6,4
LOC111007543,2,4,4
