gene_id,num_transcript,num_exon,num_uniq_exon
METBIDRAFT_10013,1,1,1
METBIDRAFT_10024,1,1,1
METBIDRAFT_10061,1,1,1
METBIDRAFT_10074,1,1,1
METBIDRAFT_10080,1,1,1
METBIDRAFT_100945,1,1,1
METBIDRAFT_101360,1,1,1
METBIDRAFT_101393,1,1,1
METBIDRAFT_101773,1,1,1
METBIDRAFT_101873,1,1,1
METBIDRAFT_101876,1,1,1
METBIDRAFT_10204,1,1,1
METBIDRAFT_10208,1,1,1
METBIDRAFT_102154,1,1,1
METBIDRAFT_102286,1,1,1
METBIDRAFT_102616,1,1,1
METBIDRAFT_10301,1,1,1
METBIDRAFT_103077,1,1,1
METBIDRAFT_103226,1,1,1
METBIDRAFT_103253,1,1,1
METBIDRAFT_103598,1,2,2
METBIDRAFT_10360,1,1,1
METBIDRAFT_103630,1,1,1
METBIDRAFT_103849,1,1,1
METBIDRAFT_103972,1,1,1
METBIDRAFT_103995,1,2,2
METBIDRAFT_104047,1,2,2
METBIDRAFT_104270,1,1,1
METBIDRAFT_104486,1,1,1
METBIDRAFT_104627,1,1,1
METBIDRAFT_10491,1,2,2
METBIDRAFT_10493,1,1,1
METBIDRAFT_10494,1,1,1
METBIDRAFT_10500,1,1,1
METBIDRAFT_10504,1,1,1
METBIDRAFT_105094,1,1,1
METBIDRAFT_105450,1,1,1
METBIDRAFT_105591,1,1,1
METBIDRAFT_10642,1,1,1
METBIDRAFT_107155,1,1,1
METBIDRAFT_107159,1,1,1
METBIDRAFT_107435,1,1,1
METBIDRAFT_10745,1,1,1
METBIDRAFT_107537,1,1,1
METBIDRAFT_107710,1,1,1
METBIDRAFT_10776,1,1,1
METBIDRAFT_10844,1,1,1
METBIDRAFT_108640,1,1,1
METBIDRAFT_10868,1,1,1
METBIDRAFT_10892,1,1,1
METBIDRAFT_10918,1,1,1
METBIDRAFT_109282,1,1,1
METBIDRAFT_10966,1,1,1
METBIDRAFT_10977,1,1,1
METBIDRAFT_10984,1,1,1
METBIDRAFT_110480,1,1,1
METBIDRAFT_110556,1,1,1
METBIDRAFT_110695,1,1,1
METBIDRAFT_110843,1,1,1
METBIDRAFT_110848,1,1,1
METBIDRAFT_110948,1,1,1
METBIDRAFT_11192,1,1,1
METBIDRAFT_111983,1,1,1
METBIDRAFT_111984,1,1,1
METBIDRAFT_112224,1,1,1
METBIDRAFT_11226,1,1,1
METBIDRAFT_11228,1,1,1
METBIDRAFT_112376,1,1,1
METBIDRAFT_11246,1,1,1
METBIDRAFT_11266,1,3,3
METBIDRAFT_11267,1,1,1
METBIDRAFT_112918,1,1,1
METBIDRAFT_113252,1,1,1
METBIDRAFT_113431,1,1,1
METBIDRAFT_113718,1,1,1
METBIDRAFT_113824,1,2,2
METBIDRAFT_11387,1,2,2
METBIDRAFT_113968,1,1,1
METBIDRAFT_11418,1,2,2
METBIDRAFT_114380,1,1,1
METBIDRAFT_114432,1,1,1
METBIDRAFT_114529,1,1,1
METBIDRAFT_114600,1,1,1
METBIDRAFT_114928,1,1,1
METBIDRAFT_11497,1,1,1
METBIDRAFT_11509,1,1,1
METBIDRAFT_11520,1,1,1
METBIDRAFT_115731,1,1,1
METBIDRAFT_115920,1,1,1
METBIDRAFT_115949,1,1,1
METBIDRAFT_11596,1,2,2
METBIDRAFT_11598,1,1,1
METBIDRAFT_116074,1,1,1
METBIDRAFT_116093,1,1,1
METBIDRAFT_11618,1,1,1
METBIDRAFT_11619,1,1,1
METBIDRAFT_116242,1,1,1
METBIDRAFT_116248,1,1,1
METBIDRAFT_116343,1,1,1
METBIDRAFT_11652,1,3,3
METBIDRAFT_116672,1,1,1
METBIDRAFT_116683,1,1,1
METBIDRAFT_116685,1,1,1
METBIDRAFT_116728,1,1,1
METBIDRAFT_11673,1,3,3
METBIDRAFT_11674,1,1,1
METBIDRAFT_116843,1,1,1
METBIDRAFT_11692,1,1,1
METBIDRAFT_117039,1,1,1
METBIDRAFT_11708,1,1,1
METBIDRAFT_117096,1,1,1
