gene_id,num_transcript,num_exon,num_uniq_exon
FKU89_mgp09,1,1,1
FKU89_mgp12,1,1,1
FKU89_mgp14,1,1,1
FKU89_mgp28,1,1,1
FKU89_mgr01,1,1,1
FKU89_mgr02,1,1,1
FKU89_mgr03,1,1,1
FKU89_mgr04,1,1,1
FKU89_mgr05,1,1,1
FKU89_mgr06,1,1,1
FKU89_mgt01,1,1,1
FKU89_mgt02,1,1,1
FKU89_mgt03,1,1,1
FKU89_mgt04,1,1,1
FKU89_mgt05,1,1,1
FKU89_mgt06,1,1,1
FKU89_mgt07,1,1,1
FKU89_mgt08,1,1,1
FKU89_mgt09,1,1,1
FKU89_mgt10,1,1,1
FKU89_mgt11,1,1,1
FKU89_mgt12,1,1,1
FKU89_mgt13,1,1,1
FKU89_mgt14,1,1,1
FKU89_mgt15,1,1,1
FKU89_mgt16,1,1,1
FKU89_mgt17,1,1,1
FKU89_mgt18,1,1,1
FKU89_mgt19,1,1,1
FKU89_mgt20,1,1,1
FKU89_mgt21,1,1,1
FKU89_mgt22,1,1,1
FKU89_mgt23,1,1,1
FKU89_mgt24,1,1,1
FKU89_mgt25,1,1,1
LOC111875838,1,2,2
LOC111875840,1,4,4
LOC111875842,1,4,4
LOC111875844,1,1,1
LOC111875847,1,3,3
LOC111875848,1,1,1
LOC111875852,1,1,1
LOC111875854,2,13,8
LOC111875856,1,1,1
LOC111875857,2,7,5
LOC111875858,1,4,4
LOC111875859,10,84,17
LOC111875860,1,2,2
LOC111875861,1,1,1
LOC111875862,1,2,2
LOC111875864,2,10,7
LOC111875868,1,1,1
LOC111875872,1,1,1
LOC111875875,1,1,1
LOC111875879,3,8,6
LOC111875889,1,4,4
LOC111875898,1,2,2
LOC111875900,1,1,1
LOC111875901,8,67,18
LOC111875903,10,41,16
LOC111875910,1,1,1
LOC111875914,1,1,1
LOC111875917,1,1,1
LOC111875921,1,2,2
LOC111875926,1,1,1
LOC111875935,1,2,2
LOC111875938,1,2,2
LOC111875941,2,4,3
LOC111875944,2,4,3
LOC111875947,2,4,3
LOC111875949,1,2,2
LOC111875953,1,3,3
LOC111875955,2,6,4
LOC111875957,1,4,4
LOC111875959,1,1,1
LOC111875960,1,1,1
LOC111875961,1,1,1
LOC111875962,1,1,1
LOC111875964,2,11,7
LOC111875970,1,4,4
LOC111875973,1,3,3
LOC111875975,1,4,4
LOC111875992,1,1,1
LOC111875996,1,1,1
LOC111875998,1,6,6
LOC111876005,2,9,7
LOC111876007,1,1,1
LOC111876008,1,4,4
LOC111876010,1,1,1
LOC111876020,1,7,7
LOC111876025,4,15,8
LOC111876027,8,141,30
LOC111876028,1,3,3
LOC111876035,2,10,6
LOC111876045,2,5,4
LOC111876046,1,3,3
LOC111876047,1,2,2
LOC111876050,1,3,3
LOC111876051,5,21,13
LOC111876058,1,4,4
LOC111876060,1,2,2
LOC111876062,1,1,1
LOC111876067,3,8,6
LOC111876076,2,4,4
LOC111876077,1,1,1
LOC111876078,1,1,1
LOC111876079,1,1,1
LOC111876080,1,1,1
LOC111876085,1,5,5
LOC111876089,1,1,1
LOC111876090,1,5,5
LOC111876094,3,12,6
LOC111876096,2,9,6
LOC111876130,1,3,3
LOC111876131,1,1,1
LOC111876134,1,2,2
LOC111876137,1,2,2
LOC111876142,1,1,1
LOC111876145,1,1,1
LOC111876146,1,2,2
LOC111876159,1,4,4
LOC111876160,2,9,7
LOC111876181,7,30,14
LOC111876185,1,2,2
LOC111876191,1,2,2
LOC111876202,1,2,2
LOC111876212,1,3,3
LOC111876219,3,16,8
LOC111876221,2,5,5
LOC111876223,7,42,11
LOC111876224,2,9,6
LOC111876225,1,2,2
LOC111876226,2,12,7
LOC111876227,1,3,3
LOC111876228,1,2,2
LOC111876231,2,5,4
LOC111876242,4,20,9
LOC111876273,4,8,4
LOC111876281,1,2,2
LOC111876283,1,2,2
LOC111876285,2,7,6
LOC111876286,1,3,3
