gene_id,num_transcript,num_exon,num_uniq_exon
Z518_00001,1,1,1
Z518_00002,1,1,1
Z518_00004,1,2,2
Z518_00005,1,2,2
Z518_00006,1,2,2
Z518_00007,1,2,2
Z518_00008,1,2,2
Z518_00009,1,5,5
Z518_00010,1,3,3
Z518_00011,1,7,7
Z518_00012,1,3,3
Z518_00013,1,5,5
Z518_00014,1,3,3
Z518_00015,1,2,2
Z518_00016,1,1,1
Z518_00018,1,2,2
Z518_00019,1,1,1
Z518_00020,1,3,3
Z518_00021,1,1,1
Z518_00022,1,3,3
Z518_00023,1,1,1
Z518_00024,1,1,1
Z518_00025,1,6,6
Z518_00026,1,1,1
Z518_00027,1,2,2
Z518_00028,1,1,1
Z518_00029,1,1,1
Z518_00030,1,1,1
Z518_00031,1,3,3
Z518_00032,1,3,3
Z518_00033,1,2,2
Z518_00034,1,2,2
Z518_00035,1,1,1
Z518_00036,1,2,2
Z518_00037,1,2,2
Z518_00038,1,2,2
Z518_00039,1,2,2
Z518_00040,1,3,3
Z518_00041,1,1,1
Z518_00042,1,2,2
Z518_00043,1,3,3
Z518_00044,1,1,1
Z518_00045,1,3,3
Z518_00046,1,1,1
Z518_00048,1,5,5
Z518_00049,1,1,1
Z518_00050,1,2,2
Z518_00051,1,6,6
Z518_00052,1,1,1
Z518_00053,1,1,1
Z518_00054,1,1,1
Z518_00055,1,1,1
Z518_00056,1,1,1
Z518_00057,1,1,1
Z518_00058,1,1,1
Z518_00059,1,2,2
Z518_00060,1,2,2
Z518_00061,1,2,2
Z518_00062,1,1,1
Z518_00063,1,3,3
Z518_00064,1,2,2
Z518_00065,1,1,1
Z518_00066,1,6,6
Z518_00067,1,2,2
Z518_00068,1,4,4
Z518_00069,1,1,1
Z518_00070,1,1,1
Z518_00071,1,1,1
Z518_00072,1,1,1
Z518_00073,1,2,2
Z518_00074,1,3,3
Z518_00075,1,2,2
Z518_00077,1,3,3
Z518_00079,1,2,2
Z518_00080,1,3,3
Z518_00081,1,2,2
Z518_00082,1,2,2
Z518_00083,1,1,1
Z518_00084,1,1,1
Z518_00085,1,2,2
Z518_00086,1,2,2
Z518_00087,1,3,3
Z518_00088,1,3,3
Z518_00089,1,2,2
Z518_00090,1,4,4
Z518_00091,1,3,3
Z518_00092,1,1,1
