transcript_id,num_exon
LOC105916459,2
LOC105916490,3
LOC105916496,2
LOC105922357,2
LOC105922797,2
LOC105923123,2
LOC105923758,2
LOC105924175,3
LOC105924229,3
LOC105924378,3
LOC105924543,3
LOC105924706,2
LOC105924751,2
LOC105924814,3
LOC105925097,2
LOC105939553,8
LOC105939879,7
LOC110366549,2
LOC110369246,3
LOC118556077,2
LOC118556145,2
LOC118559121,2
LOC118559125,2
LOC118559251,2
LOC118559252,3
LOC118559253,2
LOC118559254,2
LOC118560756,2
LOC118560757,2
LOC118560758,2
LOC118560759,3
LOC118560760,2
LOC118560761,2
LOC118560762,3
LOC118560763,2
LOC118560764,2
LOC118560765,3
LOC118560766,2
LOC118560770,2
LOC118560771,2
LOC118560772,2
LOC118560773,2
LOC118560774,2
LOC118560779,2
LOC118561109,4
LOC118561110,2
LOC118561840,2
LOC118561841,2
LOC118562039,2
LOC118562040,2
LOC118562041,4
LOC118562047,2
LOC118562048,3
LOC118562049,2
LOC118562051,3
LOC118562058,2
LOC118562060,2
LOC118562061,2
LOC118562062,2
LOC118562063,2
LOC118562064,2
LOC118562065,2
LOC118562066,2
LOC118562067,2
LOC118562068,2
LOC118562069,2
LOC118562070,2
LOC118562071,2
LOC118562072,2
LOC118562073,1
LOC118562074,2
LOC118562075,2
LOC118562076,2
LOC118562468,7
LOC118562469,2
LOC118562471,3
LOC118562472,2
LOC118562473,2
LOC118562474,2
LOC118562475,2
LOC118562476,2
LOC118562477,2
LOC118562478,2
LOC118562479,2
LOC118562480,2
LOC118562481,2
LOC118562482,2
LOC118562483,2
LOC118562484,2
LOC118562485,2
LOC118562486,2
LOC118562488,2
LOC118562489,2
LOC118562491,2
LOC118562492,2
LOC118562494,3
LOC118562495,2
LOC118562497,3
LOC118562499,2
LOC118562500,3
LOC118562501,2
LOC118562502,2
LOC118562503,3
LOC118562504,2
LOC118562505,2
LOC118562507,2
LOC118562508,2
LOC118562509,3
LOC118562511,2
LOC118562513,3
LOC118562514,2
LOC118562515,3
LOC118562517,4
LOC118565253,2
LOC118565254,2
LOC118565255,1
LOC118565256,2
LOC118565257,2
LOC118565258,2
LOC118565259,2
LOC118565260,2
LOC118565261,2
LOC118565262,2
LOC118565263,2
LOC118565264,2
LOC118565265,2
LOC118565266,2
LOC118565267,2
LOC118565268,2
LOC118565269,2
LOC118565270,2
LOC118565271,2
LOC118565272,2
LOC118565286,2
LOC118565287,2
LOC118565288,2
LOC118565289,2
LOC118565290,1
LOC118565292,2
LOC118565293,2
LOC118565294,2
LOC118565295,2
LOC118565296,2
LOC118565297,2
LOC118565298,2
LOC118565299,2
LOC118565300,3
LOC118565301,2
LOC118565302,2
LOC118565303,1
LOC118565304,2
LOC118565305,2
LOC118565306,2
LOC118565307,2
LOC118565308,1
LOC118565309,2
LOC118565313,2
LOC118565314,2
LOC118565433,2
LOC118565434,2
LOC118565435,3
LOC118565436,3
LOC118565437,3
LOC118565438,2
LOC118565439,3
LOC118565440,3
LOC118565441,2
LOC118565442,3
LOC118565443,3
LOC118565444,2
LOC118565445,3
LOC118565446,2
LOC118565447,3
LOC118565448,2
LOC118565449,2
LOC118565450,3
LOC118565451,3
LOC118565452,3
LOC118565453,2
LOC118565458,3
LOC118565459,2
LOC118565461,3
LOC118565462,2
LOC118565463,2
LOC118565466,3
LOC118565468,2
LOC118565469,3
LOC118565470,3
LOC118565471,2
LOC118565472,2
LOC118565473,2
LOC118565474,3
LOC118565475,3
LOC118565476,4
LOC118565477,3
LOC118565478,2
LOC118565483,3
LOC118565484,2
LOC118565485,2
LOC118565486,2
LOC118565487,2
LOC118565488,2
LOC118565489,2
LOC118565490,2
LOC118565491,2
LOC118565492,2
LOC118565493,2
LOC118565494,2
LOC118565495,2
LOC118565496,2
LOC118565497,2
LOC118565498,2
LOC118565499,2
LOC118565500,2
LOC118565501,2
LOC118565502,2
LOC118565503,2
LOC118565504,2
LOC118565505,2
LOC118565506,2
LOC118565507,2
LOC118565508,2
LOC118565509,2
LOC118565538,2
LOC118565539,2
LOC118566320,2
LOC118566321,3
LOC118566407,2
LOC118567015,3
LOC118567016,3
LOC118567018,1
LOC118567019,3
LOC118567020,3
LOC118567021,4
LOC118567022,3
LOC118567023,4
LOC118567024,3
LOC118567025,3
LOC118567026,2
LOC118567028,2
LOC118567029,4
LOC118567044,1
LOC118567045,1
LOC118567046,2
LOC118567047,1
LOC118567056,2
LOC118567057,3
LOC118567058,2
LOC118567059,2
LOC118567060,2
NM_001309984.1,9
XM_012849494.3,3
XM_012850174.3,6
XM_012850175.3,6
XM_012850315.3,2
XM_012851045.3,4
XM_012852234.3,3
XM_012852274.3,4
XM_012852630.3,4
XM_012852999.3,8
XM_012853524.3,2
XM_012853527.3,2
XM_012853879.3,2
XM_012854220.3,3
XM_012854472.3,9
XM_012855088.3,11
XM_012856425.3,3
XM_012856725.3,6
XM_012857199.3,7
XM_012857314.3,2
XM_012857519.3,5
XM_012858270.3,3
XM_012858359.3,3
XM_012858945.3,1
XM_012859405.3,5
XM_012859601.3,3
XM_012859661.3,3
XM_012859682.3,2
XM_012860203.3,4
XM_012860345.3,2
XM_012860440.3,1
XM_012860572.3,5
XM_012860736.2,2
XM_012861773.3,6
XM_012861826.3,2
XM_012861904.3,8
XM_012862081.3,11
XM_012862515.3,10
XM_012862696.3,5
XM_012863254.3,1
XM_012863411.3,2
XM_012863715.3,2
XM_012865251.3,6
XM_012865911.3,5
XM_012866225.3,7
XM_012866584.3,3
XM_012866586.3,2
XM_012866716.3,7
XM_012866717.3,6
XM_012866718.3,6
XM_012867072.3,3
XM_012867429.3,6
XM_012867544.3,3
XM_012868298.3,2
XM_012869080.3,7
XM_012869394.3,20
XM_012869985.3,2
XM_012870358.3,3
XM_012870563.3,4
XM_012870714.3,16
XM_012871102.3,2
XM_012871824.3,5
XM_012871858.3,7
XM_012871904.3,1
XM_012871946.3,2
XM_012872269.3,5
XM_012872373.3,10
XM_012872487.3,2
XM_012872772.3,2
XM_012872946.3,2
XM_012873062.3,2
XM_012873353.3,6
XM_012873802.3,3
XM_012875245.3,1
XM_012875310.3,3
XM_012875338.3,4
XM_012876555.3,4
XM_012876657.3,2
XM_012877655.3,4
XM_012877656.3,4
XM_012878957.3,8
XM_012878958.3,8
XM_012879551.3,16
XM_012879552.3,15
XM_012879916.3,4
XM_012880857.3,3
XM_012881176.3,7
XM_021307195.2,1
XM_021307400.2,1
XM_021307528.2,8
XM_021307536.2,7
XM_021307764.2,5
XM_021307879.2,7
XM_021308106.2,3
XM_021308112.2,3
XM_021308119.2,3
XM_021308172.2,3
XM_021309195.2,7
XM_021309528.2,1
XM_021310390.2,2
XM_021310392.2,2
XM_021310682.2,1
XM_021310740.2,4
XM_021311323.2,8
XM_021311361.2,3
XM_021311801.2,3
XM_021312013.2,1
XM_021312441.2,4
XM_021312987.2,3
XM_021313411.2,2
XM_021313670.2,3
XM_021313671.2,3
XM_021313980.2,5
XM_021314079.2,3
XM_021314139.2,6
XM_021314379.2,2
XM_021314793.2,4
XM_021315135.2,3
XM_021315233.2,8
XM_021316439.2,8
XM_021316440.2,8
XM_021316441.2,8
XM_021316442.2,8
XM_021316886.2,6
XM_021317426.2,3
XM_021318240.2,5
XM_021318241.2,5
XM_021318302.2,4
XM_021318465.2,4
XM_021318563.2,7
XM_021318564.2,6
XM_021318566.2,6
XM_021318633.2,3
XM_021318943.2,3
XM_021319053.2,3
XM_021319082.2,5
XM_021319085.2,4
XM_021319762.2,7
XM_021320354.2,6
XM_021320423.2,2
XM_021321535.2,8
XM_021321779.2,2
XM_021321780.2,3
XM_021322791.2,3
XM_021322792.2,2
XM_021324507.2,6
XM_036124551.1,7
XM_036124553.1,3
XM_036124557.1,2
XM_036124559.1,1
XM_036124560.1,11
XM_036124565.1,11
XM_036124566.1,10
XM_036124567.1,11
XM_036124568.1,10
XM_036124569.1,3
XM_036124588.1,3
XM_036124594.1,3
XM_036124635.1,1
XM_036124667.1,2
XM_036124668.1,2
XM_036124669.1,10
XM_036124670.1,4
XM_036124676.1,1
XM_036124680.1,6
XM_036124681.1,5
XM_036124682.1,5
XM_036124683.1,7
XM_036124684.1,4
XM_036124688.1,13
XM_036124690.1,4
XM_036124691.1,4
XM_036124694.1,2
XM_036124695.1,6
XM_036124696.1,4
XM_036124697.1,2
XM_036124698.1,13
XM_036124703.1,2
XM_036124706.1,9
XM_036124707.1,10
XM_036124708.1,2
XM_036124713.1,2
XM_036124719.1,2
XM_036124721.1,3
XM_036124722.1,4
