gene_id,num_transcript,num_exon,num_uniq_exon
,1,25,25
AAMDC,1,3,3
ANAPC13,1,4,4
ANXA5,1,12,12
ARGLU1,2,8,6
ATPIF1,2,6,4
CACNA1F,1,11,11
CCDC86,1,4,4
CUNH19orf33,1,4,4
CYSTM1,1,3,3
DIO1,4,19,8
DMP1,1,5,5
ELN,1,39,39
EMCN,1,7,7
FANCF,1,4,4
GAS2L1,2,6,6
HAMP,1,3,3
HMGA1,1,6,6
HMGA2,1,5,5
HMGN2,1,6,6
HOXA4,1,2,2
IGBP1,1,7,7
IGFBPL1,2,11,7
INIP,2,10,7
LAD1,1,4,4
LOC108783666,1,3,3
LOC108783755,1,4,4
LOC108783758,1,5,5
LOC108783759,1,3,3
LOC108783788,1,3,3
LOC108783838,1,2,2
LOC108783864,1,2,2
LOC108783875,1,3,3
LOC108783884,1,3,3
LOC108783899,1,4,4
LOC108783902,1,3,3
LOC108783905,1,3,3
LOC108783933,1,3,3
LOC108783936,1,2,2
LOC108783942,1,3,3
LOC108783948,1,3,3
LOC108783980,1,2,2
LOC108783981,1,3,3
LOC108784010,1,3,3
LOC108784015,1,3,3
LOC108784016,1,3,3
LOC108784045,1,3,3
LOC108784046,1,2,2
LOC108784069,1,3,3
LOC108784103,1,2,2
LOC108784140,1,7,7
LOC108784143,1,3,3
LOC108784176,1,3,3
LOC108784203,1,3,3
LOC108784221,1,3,3
LOC108784222,1,3,3
LOC108784238,1,3,3
LOC108784251,1,3,3
LOC108784270,1,5,5
LOC108784280,1,3,3
LOC108784298,1,3,3
LOC108784299,1,3,3
LOC108784313,1,3,3
LOC108784380,1,4,4
LOC108784387,1,3,3
LOC108784395,1,5,5
LOC108784406,1,2,2
LOC108784460,1,4,4
LOC108784461,1,4,4
LOC108784462,1,3,3
LOC108784464,1,4,4
LOC108784465,1,3,3
LOC108784470,1,5,5
LOC108784484,1,2,2
LOC108784488,1,2,2
LOC108784494,1,3,3
LOC108784522,1,3,3
LOC108784531,1,2,2
LOC108784543,1,4,4
LOC108784587,1,6,6
LOC108784610,1,3,3
LOC108784619,1,4,4
LOC108784644,1,3,3
LOC108784653,1,2,2
LOC108784656,1,5,5
LOC108784659,1,3,3
LOC108784667,2,4,3
