gene_id,num_transcript,num_exon,num_uniq_exon
1-3-1A,1,2,2
1-3-1B,1,2,2
100801599,1,2,2
100805863,1,3,3
13-1-1,1,1,1
14-1-1,1,1,1
19-1-5,1,3,3
4CL,1,6,6
4CL1,1,5,5
4CL2,1,5,5
4CL3,2,13,9
4CL4,1,6,6
A1,1,2,2
AAH,6,76,20
AAH2,2,24,15
AAPT1,2,40,23
AAT,1,12,12
ABI3-1,3,19,9
ABI3-2,5,35,12
ABI5,2,9,6
ACCA-1,2,24,14
ACCA-2,1,11,11
ACCA-3,1,11,11
ACCB-1,1,7,7
ACCB-2,1,7,7
ACCC-2,1,16,16
ACCC-3,2,33,19
ACP1,1,4,4
ACPD,1,3,3
ACS,1,4,4
ACS1,1,4,4
ACS2,1,3,3
ACSL2,2,37,20
ACX1,3,42,30
ADC,1,1,1
ADF1,2,5,5
ADH1,3,10,7
ADH2,1,10,10
ADH3,1,6,6
ADR11,1,2,2
ADR12,1,2,2
AFB3A,1,3,3
AFB3B,1,3,3
AG1,1,7,7
AGL1,4,34,15
AGL11,4,34,13
AGL15,1,8,8
AGL1L,3,27,12
AGL3L,1,6,6
AGO5,1,22,22
AHAS3,1,1,1
AIR12,1,1,1
AK-HSDH,1,18,18
AKR1,2,17,10
ALAAT1,1,15,15
ALAAT2,1,14,14
ALDH10A1,1,15,15
ALDH10A2,1,15,15
ALDH11A1,1,9,9
ALDH11A2,1,9,9
ALDH11A3,1,9,9
ALDH12A1,2,30,16
ALDH12A2,2,32,18
ALDH12A3,3,44,19
ALDH18B1,11,219,31
ALDH18B2,1,17,17
ALDH18B3,1,20,20
ALDH18B4,1,17,17
ALDH22A1,1,14,14
ALDH22A2,2,26,15
ALDH22A3,1,14,14
ALDH22A4,1,15,15
ALDH2B1,1,11,11
ALDH2B2,2,21,14
ALDH2B4,1,11,11
ALDH2B5,1,11,11
ALDH2B6,3,33,15
ALDH2B7,1,11,11
ALDH2B8,1,11,11
ALDH2C1,1,9,9
ALDH2C3,1,9,9
ALDH2C4,2,17,10
ALDH2C5,1,9,9
ALDH2C6,1,9,9
ALDH2C7,1,9,9
ALDH2C8,1,9,9
ALDH2C9,1,9,9
ALDH3F1,1,10,10
ALDH3F2,1,10,10
ALDH3H1,3,32,14
ALDH3H2,2,19,13
ALDH3H3,1,10,10
ALDH3H4,4,40,13
ALDH3I1,1,12,12
ALDH3J1,1,9,9
ALDH3J2,1,9,9
ALDH3J3,1,10,10
ALDH3J4,1,10,10
ALDH5F1,1,20,20
ALDH5F2,2,40,21
ALDH6B1,1,19,19
