transcript_id,num_exon
NM_001301877.1,9
NM_001301878.1,4
NM_001301879.1,8
NM_001301880.1,3
NM_001301881.1,5
NM_001301882.1,1
NM_001301884.1,7
NM_001301885.1,3
NM_001301887.1,2
NM_001301888.1,1
NM_001301889.1,1
NM_001301890.1,5
NM_001301891.1,10
NM_001301892.1,3
NM_001301893.1,5
NM_001301894.1,5
NM_001301895.1,13
NM_001301896.1,5
NM_001301897.1,3
NM_001301898.1,8
NM_001301899.1,5
NM_001301900.1,7
NM_001301901.1,3
NM_001301902.1,3
NM_001301903.1,3
NM_001301904.1,5
NM_001301905.1,7
NM_001301906.1,4
NM_001301907.1,3
NM_001301908.1,3
NM_001301909.1,7
NM_001301910.1,2
NM_001301911.1,5
NM_001301912.1,11
NM_001301913.1,3
NM_001301914.1,3
NM_001301915.1,3
NM_001301916.1,3
NM_001301917.1,4
NM_001301918.1,3
NM_001301919.1,9
NM_001301920.1,4
NM_001301921.1,6
NM_001301922.1,3
NM_001301923.1,3
NM_001301924.1,5
NM_001301925.1,4
NM_001301926.1,4
NM_001301927.1,6
NM_001301928.1,4
NM_001301929.1,4
NM_001301930.1,10
NM_001301931.1,3
NM_001301932.1,3
NM_001301933.1,5
NM_001301934.1,8
NM_001301935.1,18
NM_001301936.1,5
NM_001301937.1,5
NM_001301938.1,3
NM_001301939.1,4
NM_001301940.1,7
NM_001301941.1,3
NM_001301942.1,4
NM_001301943.1,4
NM_001301944.1,7
NM_001301945.1,1
NM_001301946.1,4
NM_001301947.1,6
NM_001301948.1,5
NM_001301949.1,17
NM_001301950.1,4
NM_001301951.1,3
NM_001301952.1,4
NM_001301953.1,4
NM_001301954.1,5
NM_001301955.1,3
NM_001301956.1,4
NM_001301957.1,7
NM_001301958.1,3
NM_001301959.1,6
NM_001301960.1,3
NM_001301961.1,7
NM_001301962.1,4
NM_001301963.1,5
NM_001301964.1,4
NM_001301965.1,3
NM_001301966.1,8
NM_001301967.1,5
NM_001301968.1,3
NM_001301969.1,5
NM_001301970.1,3
NM_001301971.1,7
NM_001301972.1,6
NM_001301973.1,7
NM_001301974.1,6
NM_001301975.1,7
NM_001301976.1,7
NM_001301978.1,4
NM_001301979.1,3
NM_001301980.1,4
NM_001301981.1,4
NM_001301982.1,3
NM_001301983.1,6
NM_001301984.1,5
NM_001301985.1,6
NM_001301986.1,4
NM_001301987.1,3
NM_001301988.1,13
NM_001301989.1,5
NM_001301990.1,3
NM_001301991.1,6
NM_001301992.1,4
NM_001301993.1,4
NM_001301995.1,4
NM_001301996.1,4
NM_001301997.1,3
NM_001301998.1,7
NM_001301999.1,6
NM_001302000.1,2
NM_001302001.1,4
NM_001302002.1,5
NM_001302003.1,5
NM_001302004.1,4
NM_001302005.1,14
NM_001302006.1,6
NM_001302007.1,3
NM_001302008.1,3
NM_001302009.1,4
NM_001302010.1,5
NM_001302011.1,3
NM_001302012.1,6
NM_001302013.1,3
NM_001302014.1,2
NM_001302015.1,3
NM_001302016.1,3
NM_001302017.1,5
NM_001302018.1,3
NM_001302019.1,5
NM_001302020.1,4
NM_001302021.1,5
NM_001302022.1,6
NM_001302023.1,2
NM_001302024.1,4
NM_001302025.1,17
NM_001302026.1,6
NM_001302027.1,3
NM_001302028.1,9
NM_001302029.1,7
NM_001302030.1,3
NM_001302031.1,7
NM_001302032.1,3
NM_001302033.1,3
NM_001302034.1,3
NM_001302035.1,6
NM_001302036.1,16
NM_001302037.1,5
NM_001302038.1,20
NM_001302039.1,20
NM_001302040.1,5
NM_001302041.1,4
NM_001302042.1,16
NM_001302043.1,6
NM_001302044.1,3
NM_001302045.1,3
NM_001302046.1,12
NM_001302047.1,4
NM_001302048.2,3
NM_001302049.1,7
NM_001302050.1,5
NM_001302051.1,4
NM_001302052.1,5
NM_001302053.1,3
NM_001302054.1,3
NM_001302055.1,3
NM_001302056.1,10
NM_001302057.1,11
NM_001302058.1,3
NM_001302059.1,5
NM_001302060.1,3
NM_001302061.1,3
NM_001302062.1,7
NM_001302063.1,4
NM_001302064.1,3
NM_001302065.1,2
NM_001302066.1,5
NM_001302067.1,3
NM_001302069.1,2
NM_001302070.1,4
NM_001302071.1,7
NM_001302072.1,1
NM_001302073.1,3
NM_001302074.1,17
NM_001302075.1,3
NM_001302120.1,1
NM_001302121.1,2
NM_001302263.1,3
NM_001302264.1,3
NM_001311180.1,1
NM_001317066.1,1
NM_001317245.1,6
NM_001319316.1,2
NM_001319318.1,13
NM_001319320.1,2
NM_001319321.1,2
XM_009102983.3,2
XM_009102984.3,7
XM_009102985.2,2
XM_009102986.3,11
XM_009102988.2,7
XM_009102989.3,6
XM_009102990.3,6
XM_009102991.3,6
XM_009102992.2,7
XM_009102993.3,7
XM_009102994.3,7
XM_009102995.3,7
XM_009102996.3,13
XM_009102997.3,4
XM_009102998.2,7
XM_009102999.2,7
XM_009103000.2,7
XM_009103001.3,2
XM_009103002.3,8
XM_009103003.3,29
XM_009103004.2,7
XM_009103005.2,7
XM_009103006.2,7
XM_009103007.2,7
