gene_id,num_transcript,num_exon,num_uniq_exon
LY90DRAFT_10045,1,6,6
LY90DRAFT_101675,1,2,2
LY90DRAFT_101826,1,1,1
LY90DRAFT_101951,1,2,2
LY90DRAFT_102013,1,1,1
LY90DRAFT_103020,1,1,1
LY90DRAFT_103030,1,1,1
LY90DRAFT_103239,1,9,9
LY90DRAFT_103240,1,2,2
LY90DRAFT_103418,1,2,2
LY90DRAFT_104344,1,5,5
LY90DRAFT_104754,1,1,1
LY90DRAFT_104930,1,4,4
LY90DRAFT_105093,1,5,5
LY90DRAFT_105370,1,1,1
LY90DRAFT_105379,1,1,1
LY90DRAFT_106129,1,1,1
LY90DRAFT_106220,1,5,5
LY90DRAFT_107093,1,3,3
LY90DRAFT_107231,1,1,1
LY90DRAFT_107292,1,1,1
LY90DRAFT_107779,1,1,1
LY90DRAFT_107905,1,3,3
LY90DRAFT_107960,1,1,1
LY90DRAFT_10845,1,1,1
LY90DRAFT_108958,1,2,2
LY90DRAFT_109198,1,1,1
LY90DRAFT_109276,1,1,1
LY90DRAFT_109427,1,5,5
LY90DRAFT_109460,1,1,1
LY90DRAFT_109581,1,1,1
LY90DRAFT_109625,1,1,1
LY90DRAFT_110858,1,4,4
LY90DRAFT_110874,1,3,3
LY90DRAFT_110884,1,3,3
LY90DRAFT_110962,1,6,6
LY90DRAFT_110965,1,4,4
LY90DRAFT_111024,1,3,3
LY90DRAFT_111367,1,1,1
LY90DRAFT_111631,1,7,7
LY90DRAFT_112081,1,1,1
LY90DRAFT_112487,1,1,1
LY90DRAFT_112936,1,1,1
LY90DRAFT_112951,1,1,1
LY90DRAFT_113060,1,1,1
LY90DRAFT_113584,1,10,10
LY90DRAFT_113696,1,1,1
LY90DRAFT_114372,1,1,1
LY90DRAFT_115002,1,1,1
LY90DRAFT_115050,1,1,1
LY90DRAFT_115241,1,1,1
LY90DRAFT_115486,1,6,6
LY90DRAFT_115554,1,1,1
LY90DRAFT_115625,1,7,7
LY90DRAFT_115883,1,1,1
LY90DRAFT_11590,1,2,2
LY90DRAFT_116186,1,1,1
LY90DRAFT_11623,1,1,1
LY90DRAFT_116311,1,3,3
LY90DRAFT_116369,1,1,1
LY90DRAFT_117656,1,1,1
LY90DRAFT_118112,1,2,2
LY90DRAFT_120274,1,1,1
LY90DRAFT_120326,1,1,1
LY90DRAFT_120650,1,1,1
LY90DRAFT_120996,1,3,3
LY90DRAFT_122278,1,2,2
LY90DRAFT_122842,1,1,1
LY90DRAFT_123189,1,2,2
LY90DRAFT_123454,1,1,1
LY90DRAFT_124224,1,2,2
LY90DRAFT_124617,1,1,1
LY90DRAFT_124680,1,1,1
LY90DRAFT_124846,1,1,1
LY90DRAFT_124848,1,1,1
LY90DRAFT_125149,1,1,1
LY90DRAFT_125420,1,2,2
LY90DRAFT_125641,1,5,5
LY90DRAFT_125643,1,2,2
LY90DRAFT_125756,1,1,1
LY90DRAFT_126777,1,3,3
LY90DRAFT_126918,1,1,1
LY90DRAFT_127512,1,1,1
LY90DRAFT_127871,1,4,4
LY90DRAFT_128127,1,2,2
LY90DRAFT_128422,1,1,1
LY90DRAFT_129196,1,1,1
LY90DRAFT_129487,1,3,3
LY90DRAFT_129560,1,3,3
LY90DRAFT_129659,1,1,1
LY90DRAFT_131148,1,4,4
LY90DRAFT_131545,1,2,2
LY90DRAFT_131716,1,1,1
LY90DRAFT_131982,1,2,2
LY90DRAFT_132002,1,3,3
LY90DRAFT_132044,1,2,2
LY90DRAFT_132443,1,2,2
LY90DRAFT_13255,1,1,1
LY90DRAFT_133129,1,1,1
LY90DRAFT_133806,1,9,9
LY90DRAFT_134643,1,1,1
LY90DRAFT_135838,1,1,1
LY90DRAFT_136392,1,4,4
LY90DRAFT_13646,1,1,1
LY90DRAFT_136633,1,1,1
LY90DRAFT_136634,1,1,1
LY90DRAFT_136636,1,1,1
LY90DRAFT_136683,1,2,2
LY90DRAFT_136845,1,1,1
LY90DRAFT_136958,1,5,5
LY90DRAFT_137097,1,13,13
LY90DRAFT_13751,1,1,1
LY90DRAFT_137602,1,1,1
LY90DRAFT_137737,1,1,1
LY90DRAFT_13795,1,4,4
LY90DRAFT_138131,1,4,4
LY90DRAFT_13824,1,7,7
LY90DRAFT_13830,1,6,6
LY90DRAFT_138833,1,2,2
LY90DRAFT_138840,1,1,1
LY90DRAFT_139442,1,1,1
LY90DRAFT_139672,1,2,2
LY90DRAFT_14022,1,5,5
LY90DRAFT_140238,1,1,1
LY90DRAFT_14027,1,2,2
LY90DRAFT_141005,1,4,4
LY90DRAFT_141028,1,1,1
LY90DRAFT_141540,1,4,4
LY90DRAFT_142012,1,1,1
LY90DRAFT_142250,1,1,1
LY90DRAFT_142277,1,1,1
LY90DRAFT_143831,1,1,1
LY90DRAFT_144702,1,1,1
LY90DRAFT_145192,1,1,1
LY90DRAFT_14548,1,2,2
LY90DRAFT_145686,1,1,1
LY90DRAFT_145719,1,4,4
LY90DRAFT_145721,1,13,13
LY90DRAFT_146014,1,1,1
LY90DRAFT_146369,1,4,4
LY90DRAFT_146508,1,15,15
LY90DRAFT_146768,1,1,1
LY90DRAFT_146770,1,1,1
LY90DRAFT_14685,1,1,1
LY90DRAFT_147044,1,1,1
LY90DRAFT_147438,1,1,1
LY90DRAFT_14784,1,6,6
LY90DRAFT_14795,1,4,4
LY90DRAFT_14808,1,3,3
LY90DRAFT_148112,1,1,1
LY90DRAFT_148494,1,1,1
LY90DRAFT_148739,1,1,1
LY90DRAFT_149072,1,1,1
LY90DRAFT_149974,1,3,3
LY90DRAFT_150249,1,1,1
LY90DRAFT_150431,1,1,1
LY90DRAFT_150435,1,2,2
LY90DRAFT_150861,1,1,1
LY90DRAFT_151004,1,6,6
LY90DRAFT_1511,1,3,3
LY90DRAFT_151316,1,1,1
LY90DRAFT_151496,1,2,2
LY90DRAFT_151542,1,6,6
LY90DRAFT_151932,1,5,5
LY90DRAFT_152062,1,1,1
LY90DRAFT_152077,1,2,2
LY90DRAFT_152477,1,1,1
LY90DRAFT_152817,1,3,3
LY90DRAFT_1529,1,8,8
LY90DRAFT_153194,1,1,1
LY90DRAFT_15356,1,1,1
LY90DRAFT_153962,1,1,1
LY90DRAFT_153986,1,3,3
LY90DRAFT_153987,1,1,1
LY90DRAFT_154793,1,1,1
LY90DRAFT_154989,1,7,7
LY90DRAFT_155156,1,2,2
LY90DRAFT_155243,1,1,1
LY90DRAFT_155618,1,1,1
LY90DRAFT_155750,1,1,1
LY90DRAFT_156048,1,1,1
LY90DRAFT_156076,1,1,1
LY90DRAFT_156121,1,2,2
LY90DRAFT_156312,1,3,3
LY90DRAFT_156423,1,1,1
LY90DRAFT_156505,1,5,5
LY90DRAFT_156602,1,1,1
LY90DRAFT_156908,1,1,1
LY90DRAFT_157651,1,1,1
LY90DRAFT_15835,1,2,2
LY90DRAFT_159364,1,3,3
LY90DRAFT_159619,1,1,1
LY90DRAFT_160611,1,6,6
LY90DRAFT_1609,1,1,1
LY90DRAFT_160992,1,1,1
LY90DRAFT_161061,1,3,3
LY90DRAFT_16129,1,7,7
LY90DRAFT_161318,1,1,1
LY90DRAFT_162122,1,1,1
LY90DRAFT_162345,1,11,11
LY90DRAFT_163341,1,1,1
LY90DRAFT_163690,1,2,2
LY90DRAFT_163700,1,1,1
LY90DRAFT_163771,1,1,1
LY90DRAFT_164434,1,2,2
LY90DRAFT_164464,1,10,10
LY90DRAFT_164564,1,1,1
LY90DRAFT_164589,1,3,3
LY90DRAFT_165122,1,5,5
LY90DRAFT_165365,1,1,1
LY90DRAFT_165639,1,2,2
LY90DRAFT_166284,1,5,5
LY90DRAFT_16651,1,1,1
LY90DRAFT_166524,1,2,2
LY90DRAFT_166525,1,3,3
LY90DRAFT_166827,1,3,3
LY90DRAFT_16684,1,1,1
LY90DRAFT_167303,1,3,3
LY90DRAFT_167435,1,1,1
LY90DRAFT_168625,1,2,2
LY90DRAFT_16882,1,2,2
LY90DRAFT_168951,1,10,10
LY90DRAFT_169058,1,24,24
LY90DRAFT_169165,1,5,5
LY90DRAFT_171098,1,4,4
LY90DRAFT_171121,1,2,2
LY90DRAFT_171196,1,5,5
LY90DRAFT_171513,1,5,5
LY90DRAFT_171627,1,2,2
LY90DRAFT_171811,1,1,1
LY90DRAFT_172079,1,1,1
LY90DRAFT_172463,1,1,1
LY90DRAFT_172829,1,3,3
LY90DRAFT_172846,1,5,5
LY90DRAFT_17307,1,3,3
LY90DRAFT_173572,1,1,1
LY90DRAFT_173606,1,1,1
LY90DRAFT_173645,1,2,2
LY90DRAFT_173666,1,1,1
LY90DRAFT_173787,1,2,2
LY90DRAFT_174309,1,3,3
LY90DRAFT_174523,1,1,1
LY90DRAFT_175836,1,1,1
LY90DRAFT_176047,1,1,1
LY90DRAFT_176151,1,1,1
LY90DRAFT_176165,1,1,1
LY90DRAFT_176805,1,1,1
LY90DRAFT_176823,1,3,3
LY90DRAFT_176957,1,1,1
LY90DRAFT_177633,1,3,3
LY90DRAFT_17825,1,10,10
LY90DRAFT_178970,1,4,4
LY90DRAFT_179171,1,1,1
LY90DRAFT_179256,1,9,9
LY90DRAFT_179407,1,1,1
LY90DRAFT_180227,1,1,1
LY90DRAFT_180229,1,1,1
LY90DRAFT_180235,1,1,1
LY90DRAFT_180346,1,2,2
LY90DRAFT_181401,1,1,1
LY90DRAFT_181605,1,1,1
LY90DRAFT_18482,1,1,1
LY90DRAFT_185288,1,7,7
LY90DRAFT_18620,1,1,1
LY90DRAFT_186499,1,1,1
LY90DRAFT_186849,1,3,3
LY90DRAFT_187080,1,10,10
LY90DRAFT_187607,1,1,1
LY90DRAFT_187999,1,2,2
LY90DRAFT_188309,1,3,3
LY90DRAFT_188626,1,1,1
LY90DRAFT_188883,1,12,12
LY90DRAFT_18924,1,6,6
LY90DRAFT_189361,1,2,2
LY90DRAFT_189365,1,2,2
LY90DRAFT_189412,1,3,3
LY90DRAFT_189446,1,1,1
LY90DRAFT_189570,1,2,2
LY90DRAFT_190203,1,1,1
LY90DRAFT_190777,1,1,1
LY90DRAFT_191605,1,2,2
LY90DRAFT_191723,1,1,1
LY90DRAFT_192128,1,1,1
LY90DRAFT_192254,1,1,1
LY90DRAFT_192277,1,1,1
LY90DRAFT_192681,1,4,4
LY90DRAFT_192906,1,1,1
LY90DRAFT_193423,1,5,5
LY90DRAFT_193703,1,3,3
LY90DRAFT_193817,1,1,1
LY90DRAFT_194081,1,3,3
LY90DRAFT_194086,1,5,5
LY90DRAFT_1944,1,2,2
LY90DRAFT_194690,1,4,4
LY90DRAFT_194877,1,1,1
LY90DRAFT_194914,1,1,1
LY90DRAFT_194981,1,1,1
LY90DRAFT_195116,1,2,2
LY90DRAFT_195291,1,15,15
LY90DRAFT_195738,1,1,1
LY90DRAFT_19594,1,1,1
LY90DRAFT_196261,1,3,3
LY90DRAFT_196321,1,2,2
LY90DRAFT_196456,1,1,1
LY90DRAFT_196482,1,1,1
LY90DRAFT_196739,1,1,1
LY90DRAFT_197010,1,1,1
LY90DRAFT_197167,1,1,1
LY90DRAFT_197426,1,1,1
LY90DRAFT_197646,1,1,1
LY90DRAFT_19803,1,1,1
LY90DRAFT_19816,1,1,1
LY90DRAFT_198213,1,3,3
LY90DRAFT_198247,1,3,3
LY90DRAFT_198279,1,2,2
LY90DRAFT_198776,1,4,4
LY90DRAFT_199002,1,2,2
LY90DRAFT_199386,1,12,12
LY90DRAFT_19939,1,7,7
LY90DRAFT_199646,1,14,14
LY90DRAFT_200322,1,2,2
LY90DRAFT_200323,1,15,15
LY90DRAFT_201540,1,2,2
LY90DRAFT_201796,1,5,5
LY90DRAFT_202409,1,1,1
LY90DRAFT_202518,1,1,1
LY90DRAFT_202616,1,2,2
LY90DRAFT_202685,1,5,5
LY90DRAFT_202758,1,1,1
LY90DRAFT_203812,1,4,4
LY90DRAFT_203968,1,4,4
LY90DRAFT_204114,1,1,1
LY90DRAFT_204353,1,2,2
LY90DRAFT_205727,1,3,3
LY90DRAFT_205842,1,4,4
LY90DRAFT_205890,1,3,3
LY90DRAFT_206181,1,2,2
LY90DRAFT_20688,1,2,2
LY90DRAFT_20710,1,1,1
LY90DRAFT_207434,1,2,2
LY90DRAFT_207967,1,3,3
LY90DRAFT_208183,1,3,3
LY90DRAFT_208184,1,3,3
LY90DRAFT_209329,1,1,1
LY90DRAFT_210028,1,4,4
LY90DRAFT_210033,1,1,1
