gene_id,num_transcript,num_exon,num_uniq_exon
LOC112272624,2,12,7
LOC112272625,2,22,14
LOC112272626,3,24,12
LOC112272627,2,11,7
LOC112272628,1,11,11
LOC112272629,1,4,4
LOC112272630,1,3,3
LOC112272631,4,24,10
LOC112272632,3,25,12
LOC112272633,2,16,10
LOC112272634,1,3,3
LOC112272635,5,110,26
LOC112272636,1,9,9
LOC112272637,2,6,5
LOC112272638,5,16,7
LOC112272639,1,3,3
LOC112272640,1,3,3
LOC112272641,1,25,25
LOC112272642,1,3,3
LOC112272643,4,8,7
LOC112272644,1,23,23
LOC112272645,3,54,20
LOC112272646,2,7,6
LOC112272647,2,15,9
LOC112272648,4,11,6
LOC112272649,3,9,5
LOC112272650,2,39,20
LOC112272651,1,10,10
LOC112272652,5,13,7
LOC112272653,1,10,10
LOC112272654,1,2,2
LOC112272655,1,4,4
LOC112272656,4,27,10
LOC112272657,1,8,8
LOC112272658,1,3,3
LOC112272659,1,2,2
LOC112272660,3,70,29
LOC112272661,9,60,15
LOC112272662,1,3,3
LOC112272663,1,5,5
LOC112272664,1,1,1
LOC112272665,1,1,1
LOC112272666,1,1,1
LOC112272667,1,5,5
LOC112272668,2,6,5
LOC112272669,7,45,15
LOC112272670,1,3,3
LOC112272671,1,2,2
LOC112272672,7,58,20
LOC112272673,3,49,22
LOC112272674,6,66,16
LOC112272675,2,4,4
LOC112272676,1,9,9
LOC112272677,3,12,6
LOC112272678,3,24,13
LOC112272679,4,8,5
LOC112272680,2,40,21
LOC112272681,2,35,21
LOC112272682,1,21,21
LOC112272683,1,8,8
LOC112272684,2,6,4
LOC112272685,1,7,7
LOC112272686,1,6,6
LOC112272687,2,20,11
LOC112272688,1,8,8
LOC112272689,9,120,24
LOC112272690,1,1,1
LOC112272691,1,8,8
LOC112272692,5,20,8
LOC112272693,1,20,20
LOC112272694,3,18,10
LOC112272695,2,6,4
LOC112272696,1,2,2
LOC112272697,2,30,16
LOC112272698,1,3,3
LOC112272699,1,1,1
LOC112272700,4,8,5
LOC112272701,4,48,16
LOC112272702,1,11,11
LOC112272703,2,8,5
LOC112272704,2,11,8
LOC112272705,1,4,4
LOC112272706,1,4,4
LOC112272707,2,26,15
LOC112272708,2,4,4
LOC112272709,1,3,3
LOC112272710,1,2,2
LOC112272711,4,8,6
LOC112272712,1,2,2
LOC112272713,2,8,5
LOC112272714,2,5,5
LOC112272715,1,13,13
LOC112272716,6,78,20
LOC112272717,3,18,10
LOC112272718,1,2,2
LOC112272719,2,6,5
LOC112272720,2,8,5
LOC112272721,1,3,3
LOC112272722,1,1,1
LOC112272723,7,39,11
LOC112272724,8,45,12
LOC112272725,1,14,14
LOC112272726,1,8,8
LOC112272727,2,22,13
LOC112272728,1,18,18
LOC112272729,1,10,10
LOC112272730,1,12,12
LOC112272731,1,2,2
LOC112272732,2,4,3
LOC112272733,3,41,19
LOC112272734,1,2,2
LOC112272735,11,55,14
LOC112272736,1,4,4
LOC112272737,1,2,2
LOC112272738,1,6,6
LOC112272739,1,5,5
LOC112272740,5,37,15
LOC112272741,1,6,6
LOC112272742,1,7,7
LOC112272743,4,42,15
LOC112272744,2,13,9
LOC112272745,1,3,3
LOC112272746,1,2,2
LOC112272747,1,4,4
LOC112272748,1,22,22
LOC112272749,1,2,2
LOC112272750,4,23,11
LOC112272751,4,8,7
LOC112272752,1,2,2
LOC112272753,4,35,15
LOC112272754,2,5,4
LOC112272755,1,13,13
LOC112272756,1,1,1
LOC112272757,3,24,10
LOC112272758,1,2,2
LOC112272760,1,1,1
LOC112272761,5,61,20
LOC112272762,2,5,4
LOC112272763,1,3,3
LOC112272764,1,2,2
LOC112272765,4,23,9
LOC112272766,1,2,2
LOC112272767,1,4,4
LOC112272768,7,31,13
LOC112272769,2,9,6
LOC112272770,3,13,7
LOC112272771,2,24,14
LOC112272772,1,14,14
LOC112272773,2,12,8
LOC112272774,6,26,10
LOC112272775,1,6,6
LOC112272776,1,5,5
LOC112272777,1,2,2
LOC112272778,1,3,3
LOC112272779,4,69,21
LOC112272780,1,2,2
LOC112272781,2,10,6
LOC112272782,3,22,10
LOC112272783,1,3,3
LOC112272784,6,92,21
LOC112272785,1,4,4
LOC112272786,3,13,7
LOC112272787,7,42,12
LOC112272788,1,2,2
LOC112272789,1,2,2
LOC112272790,5,36,12
LOC112272791,3,15,9
LOC112272792,1,2,2
LOC112272793,1,2,2
LOC112272794,2,4,3
LOC112272795,1,2,2
LOC112272796,18,127,24
LOC112272797,1,3,3
LOC112272798,1,3,3
LOC112272799,1,10,10
LOC112272800,1,4,4
LOC112272802,2,5,4
LOC112272803,1,11,11
LOC112272804,5,51,17
LOC112272805,1,11,11
LOC112272806,4,39,16
LOC112272807,2,9,6
LOC112272808,7,29,12
LOC112272809,1,1,1
LOC112272810,1,1,1
LOC112272811,6,125,24
LOC112272812,2,14,9
LOC112272813,1,1,1
LOC112272814,2,31,17
LOC112272815,2,24,14
LOC112272816,2,5,4
LOC112272817,1,6,6
LOC112272818,1,5,5
LOC112272819,2,8,5
LOC112272820,1,5,5
LOC112272821,1,1,1
LOC112272822,4,14,7
LOC112272823,4,18,8
LOC112272824,2,18,11
LOC112272825,1,5,5
LOC112272826,1,26,26
LOC112272827,1,2,2
LOC112272828,1,7,7
LOC112272829,1,3,3
LOC112272830,1,1,1
LOC112272831,2,6,4
LOC112272832,1,2,2
LOC112272833,1,4,4
LOC112272834,1,7,7
LOC112272835,2,8,5
LOC112272836,3,38,15
LOC112272837,3,6,4
LOC112272838,5,11,7
LOC112272839,6,34,11
LOC112272840,2,14,8
LOC112272841,1,9,9
LOC112272842,1,1,1
LOC112272843,1,1,1
LOC112272844,1,7,7
LOC112272845,1,1,1
LOC112272846,4,19,9
LOC112272847,1,1,1
LOC112272848,1,2,2
LOC112272849,1,2,2
LOC112272850,2,8,6
LOC112272851,2,4,3
LOC112272852,2,16,10
LOC112272853,2,22,13
LOC112272854,1,11,11
LOC112272855,1,3,3
LOC112272856,4,22,9
LOC112272857,1,2,2
LOC112272858,2,11,8
LOC112272859,4,20,8
LOC112272860,1,5,5
LOC112272861,4,40,13
LOC112272862,2,3,3
LOC112272863,1,4,4
LOC112272864,1,6,6
LOC112272865,1,10,10
LOC112272866,1,4,4
LOC112272867,2,6,6
LOC112272868,1,2,2
LOC112272869,3,10,7
LOC112272870,1,2,2
LOC112272871,4,9,6
LOC112272872,5,30,12
LOC112272873,1,12,12
LOC112272877,1,19,19
LOC112272878,2,6,4
LOC112272879,3,9,5
LOC112272881,1,9,9
LOC112272882,1,9,9
LOC112272883,1,20,20
LOC112272884,1,6,6
LOC112272885,1,1,1
LOC112272886,1,1,1
LOC112272887,1,1,1
