transcript_id,num_exon
XM_009541959.1,14
XM_009541960.1,1
XM_009541961.1,3
XM_009541962.1,1
XM_009541963.1,4
XM_009541964.1,1
XM_009541965.1,8
XM_009541967.1,7
XM_009541968.1,5
XM_009541969.1,9
XM_009541970.1,1
XM_009541971.1,4
XM_009541973.1,1
XM_009541974.1,3
XM_009541975.1,1
XM_009541981.1,8
XM_009542011.1,1
XM_009542014.1,1
XM_009542018.1,5
XM_009542027.1,1
XM_009542030.1,1
XM_009542033.1,5
XM_009542037.1,3
XM_009542038.1,14
XM_009542040.1,1
XM_009542045.1,6
XM_009542047.1,1
XM_009542048.1,14
XM_009542062.1,2
XM_009542063.1,1
XM_009542066.1,1
XM_009542068.1,12
XM_009542070.1,1
XM_009542105.1,2
XM_009542131.1,1
XM_009542132.1,2
XM_009542136.1,1
XM_009542146.1,2
XM_009542147.1,3
XM_009542152.1,6
XM_009542158.1,1
XM_009542159.1,4
XM_009542161.1,5
XM_009542166.1,3
XM_009542167.1,2
XM_009542168.1,6
XM_009542173.1,1
XM_009542174.1,1
XM_009542175.1,1
XM_009542176.1,1
XM_009542177.1,1
XM_009542179.1,5
XM_009542184.1,1
XM_009542185.1,2
XM_009542187.1,1
XM_009542188.1,1
XM_009542189.1,5
XM_009542190.1,1
XM_009542192.1,3
XM_009542193.1,2
XM_009542194.1,4
XM_009542196.1,1
XM_009542200.1,9
XM_009542201.1,2
XM_009542202.1,4
XM_009542205.1,2
XM_009542206.1,1
XM_009542207.1,1
XM_009542209.1,5
XM_009542211.1,2
XM_009542220.1,4
XM_009542222.1,9
XM_009542225.1,2
XM_009542226.1,2
XM_009542227.1,2
XM_009542228.1,2
XM_009542229.1,2
XM_009542230.1,1
XM_009542231.1,17
XM_009542232.1,5
XM_009542233.1,3
XM_009542236.1,2
XM_009542237.1,3
XM_009542239.1,4
XM_009542240.1,4
XM_009542241.1,5
XM_009542243.1,2
XM_009542245.1,2
XM_009542246.1,1
XM_009542247.1,2
XM_009542249.1,2
XM_009542252.1,4
XM_009542253.1,2
XM_009542254.1,7
XM_009542255.1,2
XM_009542257.1,3
XM_009542262.1,5
XM_009542263.1,3
XM_009542268.1,3
XM_009542269.1,4
XM_009542270.1,2
XM_009542277.1,14
XM_009542280.1,1
XM_009542285.1,1
XM_009542286.1,1
XM_009542288.1,2
XM_009542290.1,1
XM_009542292.1,2
XM_009542293.1,1
XM_009542294.1,6
XM_009542295.1,4
XM_009542296.1,3
XM_009542305.1,4
XM_009542316.1,4
XM_009542328.1,4
XM_009542329.1,1
XM_009542330.1,3
XM_009542333.1,3
XM_009542335.1,3
XM_009542339.1,6
XM_009542340.1,6
XM_009542341.1,1
XM_009542347.1,3
XM_009542349.1,2
XM_009542350.1,2
XM_009542351.1,2
XM_009542361.1,1
XM_009542374.1,1
XM_009542376.1,2
XM_009542377.1,4
XM_009542378.1,5
XM_009542382.1,2
XM_009542386.1,1
XM_009542390.1,3
XM_009542391.1,1
XM_009542395.1,1
XM_009542397.1,2
XM_009542398.1,1
XM_009542399.1,3
XM_009542400.1,1
XM_009542401.1,1
XM_009542406.1,2
XM_009542407.1,5
XM_009542408.1,4
XM_009542417.1,2
XM_009542422.1,10
XM_009542435.1,3
XM_009542436.1,8
XM_009542437.1,2
XM_009542448.1,3
XM_009542451.1,1
XM_009542452.1,9
XM_009542453.1,2
XM_009542461.1,3
XM_009542464.1,2
XM_009542468.1,2
XM_009542473.1,1
XM_009542478.1,1
XM_009542491.1,4
XM_009542492.1,8
XM_009542493.1,1
XM_009542494.1,1
XM_009542495.1,2
XM_009542498.1,1
XM_009542502.1,2
XM_009542503.1,1
XM_009542506.1,1
XM_009542521.1,1
XM_009542524.1,1
XM_009542525.1,1
XM_009542526.1,2
XM_009542528.1,3
XM_009542530.1,3
XM_009542531.1,2
XM_009542534.1,3
XM_009542538.1,3
XM_009542540.1,2
XM_009542545.1,1
XM_009542549.1,15
XM_009542570.1,3
XM_009542578.1,1
XM_009542579.1,8
XM_009542589.1,2
XM_009542598.1,1
XM_009542606.1,1
XM_009542607.1,2
XM_009542609.1,5
XM_009542612.1,2
XM_009542616.1,4
XM_009542645.1,1
XM_009542650.1,8
XM_009542658.1,1
XM_009542660.1,1
XM_009542672.1,3
XM_009542686.1,4
XM_009542689.1,5
XM_009542697.1,6
XM_009542703.1,1
XM_009542705.1,2
XM_009542726.1,7
XM_009542727.1,4
XM_009542732.1,3
XM_009542750.1,2
XM_009542757.1,5
XM_009542758.1,2
XM_009542760.1,5
XM_009542776.1,1
XM_009542778.1,2
XM_009542790.1,4
XM_009542795.1,2
XM_009542799.1,6
XM_009542807.1,1
XM_009542811.1,3
XM_009542812.1,4
XM_009542816.1,3
XM_009542822.1,1
XM_009542824.1,5
XM_009542826.1,1
XM_009542827.1,1
XM_009542833.1,1
XM_009542834.1,1
XM_009542835.1,7
XM_009542837.1,2
XM_009542838.1,6
XM_009542839.1,3
XM_009542846.1,1
XM_009542847.1,2
XM_009542851.1,4
XM_009542857.1,3
XM_009542865.1,2
XM_009542870.1,2
XM_009542872.1,1
XM_009542874.1,12
XM_009542879.1,2
XM_009542883.1,2
XM_009542894.1,1
XM_009542895.1,1
XM_009542903.1,3
XM_009542906.1,2
XM_009542910.1,2
XM_009542911.1,1
