gene_id,num_transcript,num_exon,num_uniq_exon
A1BG,3,23,11
A1CF,5,60,17
A2ML1,1,36,36
A3GALT2,1,7,7
A4GALT,2,13,8
A4GNT,1,2,2
AAAS,2,31,17
AACS,6,100,24
AADACL4,1,6,6
AAGAB,4,38,14
AAK1,10,198,27
AAMDC,1,4,4
AAMP,4,46,16
AANAT,1,6,6
AAR2,2,8,5
AARD,1,2,2
AARS1,5,100,25
AARS2,8,169,25
AARSD1,1,11,11
AASDH,7,93,23
AASDHPPT,1,7,7
AASS,2,48,26
AATF,6,78,18
AATK,2,25,15
ABAT,2,32,18
ABCA1,5,251,56
ABCA12,3,148,53
ABCA13,1,56,56
ABCA2,4,193,52
ABCA4,1,46,46
ABCA5,7,264,44
ABCB1,1,28,28
ABCB10,3,40,17
ABCB11,7,188,35
ABCB4,10,264,34
ABCB5,1,27,27
ABCB6,2,36,21
ABCB7,5,74,21
ABCB8,3,47,18
ABCB9,9,125,23
ABCC1,5,151,36
ABCC10,2,42,23
ABCC2,5,151,40
ABCC3,6,177,33
ABCC5,10,201,43
ABCC6,1,31,31
ABCC8,13,475,51
ABCC9,2,82,42
ABCD1,2,20,12
ABCD2,1,10,10
ABCD3,2,41,25
ABCD4,12,207,30
ABCE1,1,18,18
ABCF1,3,74,26
ABCF2,1,15,15
ABCF3,2,42,24
ABCG1,3,44,18
ABCG2,10,160,29
ABCG4,3,43,17
ABCG5,2,26,14
ABCG8,4,49,17
ABHD1,1,13,13
ABHD10,2,10,7
ABHD11,2,11,8
ABHD12,4,45,19
ABHD12B,1,5,5
ABHD13,2,5,4
ABHD14A,1,4,4
ABHD14B,1,4,4
ABHD15,2,5,4
ABHD16A,1,20,20
ABHD16B,1,4,4
ABHD17A,1,5,5
ABHD17B,2,8,5
ABHD17C,2,7,5
ABHD18,4,50,16
ABHD2,2,21,12
ABHD3,2,17,10
ABHD4,2,14,9
ABHD5,5,35,10
ABHD6,5,50,14
ABHD8,2,10,7
ABI1,15,149,19
ABI2,39,425,27
ABI3,2,16,10
ABI3BP,1,68,68
ABITRAM,2,12,8
ABL1,3,32,14
ABL2,8,97,19
ABLIM1,13,270,35
ABLIM2,25,502,39
ABLIM3,8,180,32
ABR,4,76,27
ABRA,1,2,2
ABRACL,1,3,3
ABRAXAS1,4,34,13
ABRAXAS2,2,18,11
ABT1,2,7,5
ABTB1,13,152,26
ABTB2,4,68,21
ACAA1,2,23,14
ACAA2,3,29,13
ACACA,14,773,74
ACACB,3,158,57
ACAD10,8,167,28
ACAD11,4,79,25
ACAD8,5,52,15
ACAD9,4,74,23
ACADL,2,21,12
ACADM,3,28,13
ACADS,1,10,10
ACADSB,5,49,12
ACADVL,2,40,22
ACAN,1,16,16
ACAP1,3,64,26
ACAP2,5,115,28
ACAP3,2,48,26
ACAT1,1,12,12
ACAT2,2,17,10
ACBD3,1,8,8
ACBD4,5,48,17
ACBD5,9,118,23
ACBD6,10,89,23
ACBD7,1,4,4
ACCS,9,146,23
ACD,1,13,13
ACE2,3,58,21
ACER1,1,6,6
ACER2,2,13,8
ACER3,5,51,17
ACHE,2,10,7
ACIN1,7,124,25
ACKR1,3,10,6
ACKR2,8,28,14
ACKR3,3,7,5
ACKR4,1,2,2
ACLY,2,57,31
ACMSD,6,55,16
ACO1,1,21,21
ACO2,5,96,27
