gene_id,num_transcript,num_exon,num_uniq_exon
39d1,1,5,5
A1bg,1,7,7
A1cf,3,36,14
A3galt2,1,5,5
A4galt,1,1,1
A4gnt,1,2,2
Aaas,1,9,9
Aacs,1,18,18
Aadacl3,1,4,4
Aadacl4,1,4,4
Aadat,3,39,24
Aaed1,1,8,8
Aagab,1,8,8
Aak1,2,44,23
Aamdc,3,11,7
Aamp,3,33,14
Aanat,2,9,6
Aar2,1,4,4
Aars,4,84,24
Aars2,1,23,23
Aasdh,4,57,19
Aasdhppt,1,6,6
Aass,5,121,26
Aatf,1,12,12
Aatk,7,96,21
Abat,3,48,18
Abca1,1,50,50
Abca12,2,106,54
Abca13,1,63,63
Abca2,2,97,49
Abca3,2,66,34
Abca4,1,50,50
Abca5,1,39,39
Abca6,1,35,35
Abca7,3,136,48
Abca9,5,201,45
Abcb1,1,27,27
Abcb10,1,13,13
Abcb11,1,28,28
Abcb5,1,33,33
Abcb6,2,34,21
Abcb7,1,16,16
Abcb8,3,48,18
Abcb9,3,36,14
Abcc1,1,31,31
Abcc10,1,23,23
Abcc12,1,31,31
Abcc2,1,32,32
Abcc3,4,105,35
Abcc4,1,31,31
Abcc5,4,73,35
Abcc6,1,31,31
Abcc8,3,109,41
Abcc9,1,40,40
Abcd1,1,10,10
Abcd2,1,11,11
Abcd3,1,22,22
Abcd4,6,103,25
Abce1,1,18,18
Abcf1,1,28,28
Abcf2,2,29,17
Abcf3,1,21,21
Abcg1,3,44,17
Abcg4,2,30,16
Abcg5,1,13,13
Abcg8,1,13,13
Abhd1,1,9,9
Abhd10,1,5,5
Abhd11,2,12,8
Abhd12,2,26,14
Abhd12b,1,13,13
Abhd13,1,1,1
Abhd14b,4,16,7
Abhd15,1,2,2
Abhd16a,4,78,24
Abhd16b,1,1,1
Abhd17a,2,11,8
Abhd17b,1,4,4
Abhd17c,1,3,3
Abhd18,2,23,15
Abhd2,1,11,11
Abhd3,1,8,8
Abhd4,2,14,8
Abhd5,1,7,7
Abhd6,3,32,13
Abhd8,1,5,5
Abi1,1,12,12
Abi2,4,44,12
Abi3,1,6,6
Abi3bp,1,61,61
Abl1,2,22,12
Abl2,6,73,17
Ablim1,17,393,30
Ablim2,23,478,38
Ablim3,7,149,30
Abr,6,117,28
Abra,2,4,3
Abracl,2,7,5
Abraxas1,2,15,8
Abraxas2,1,10,10
Abt1,1,3,3
Abtb1,1,12,12
Abtb2,1,17,17
Acaa1,1,12,12
Acaa2,1,10,10
Acaca,3,166,57
Acacb,4,211,56
Acad10,4,86,26
Acad11,2,41,22
Acad8,2,22,12
Acad9,3,54,20
Acadl,1,11,11
Acadm,1,9,9
Acads,2,20,11
Acadsb,1,11,11
Acadvl,1,19,19
Acan,3,54,20
Acap1,3,64,24
Acap2,7,172,31
Acap3,5,120,29
Acat1,2,25,14
Acat2,1,9,9
Acbd3,2,15,9
Acbd4,3,26,13
Acbd5,2,23,13
Acbd6,2,15,9
Acbd7,1,4,4
Accs,4,69,22
Accsl,1,16,16
Acd,5,54,15
Ace,1,26,26
Ace2,1,21,21
Acer1,1,6,6
Acer2,1,6,6
Acer3,2,21,11
Ache,4,19,9
Acin1,2,32,21
Ackr1,1,2,2
Ackr2,2,4,3
Ackr3,2,4,3
Ackr4,2,6,5
Acly,2,57,29
Acmsd,3,28,11
Aco1,1,21,21
Aco2,1,18,18
Acod1,1,6,6
Acot11,2,32,17
Acot12,3,40,18
Acot13,2,7,5
Acot4,1,3,3
Acot7,2,18,10
Acot8,1,6,6
Acot9,2,31,16
Acox1,1,15,15
Acox2,2,29,16
Acox3,3,55,20
Acp1,2,12,8
Acp2,1,11,11
Acp4,1,10,10
Acp5,3,15,8
Acp6,2,22,13
Acp7,2,26,14
Acpp,1,11,11
Acr,1,5,5
Acrbp,1,10,10
Acsbg1,3,45,17
Acsf2,1,16,16
Acsf3,2,20,12
Acsl1,2,42,24
Acsl3,2,31,17
Acsl4,1,15,15
Acsl5,4,90,26
Acsl6,1,22,22
Acsm3,4,53,18
Acsm4,1,15,15
Acsm5,3,43,17
Acss1,1,17,17
Acss2,1,20,20
Acss3,1,16,16
Acta1,1,7,7
Acta2,2,18,10
Actb,2,11,8
Actbl2,2,3,3
Actc1,1,7,7
Actg1,1,6,6
Actg2,1,9,9
Actl10,1,2,2
Actl6a,2,28,15
Actl6b,1,14,14
Actl7a,1,1,1
Actl7b,1,1,1
Actl8,1,2,2
Actl9,1,2,2
Actn1,3,64,23
Actn2,1,21,21
Actn3,1,20,20
Actn4,5,106,26
Actr10,1,14,14
Actr1a,2,21,12
Actr1b,2,21,12
Actr2,2,19,11
Actr3,2,21,12
Actr3b,1,14,14
Actr5,1,9,9
Actr6,1,12,12
Actr8,1,13,13
Actrt1,1,1,1
Actrt2,1,1,1
Actrt3,1,4,4
Acvr1,4,42,14
Acvr1b,1,8,8
Acvr1c,1,8,8
Acvr2a,1,10,10
Acvr2b,1,11,11
Acvrl1,5,57,16
Acy3,4,28,13
Acyp1,5,18,6
Acyp2,1,5,5
Ada,2,24,13
Adad1,1,13,13
Adad2,1,10,10
Adal,5,49,15
Adam10,1,14,14
Adam11,2,52,29
Adam12,1,26,26
Adam15,8,174,29
Adam17,1,20,20
Adam19,2,44,25
Adam2,1,23,23
Adam21,1,1,1
Adam22,5,156,34
Adam23,1,25,25
Adam28,1,24,24
Adam29,1,1,1
Adam32,1,25,25
Adam33,4,85,26
Adam7,1,24,24
Adam8,2,49,26
Adam9,1,22,22
Adamdec1,2,28,17
Adamts1,1,9,9
Adamts10,4,76,29
Adamts12,1,24,24
Adamts13,1,30,30
Adamts14,4,88,25
Adamts15,1,9,9
Adamts16,1,25,25
Adamts17,1,24,24
Adamts18,2,44,25
Adamts19,1,26,26
Adamts2,1,22,22
Adamts20,2,74,40
Adamts3,1,22,22
Adamts4,1,9,9
Adamts5,1,11,11
Adamts6,1,21,21
Adamts7,3,72,27
Adamts8,1,11,11
Adamts9,7,277,42
Adamtsl1,1,30,30
Adamtsl2,2,38,20
Adamtsl3,3,89,31
Adamtsl4,5,91,23
Adamtsl5,1,12,12
Adap1,1,11,11
Adap2,1,11,11
Adar,3,45,17
Adarb1,4,33,13
Adarb2,1,10,10
Adat1,1,10,10
Adat2,1,7,7
Adck1,2,22,12
Adck2,5,37,13
Adck5,2,29,15
Adcy1,1,20,20
Adcy10,1,32,32
Adcy2,3,71,28
Adcy3,1,21,21
Adcy4,1,25,25
Adcy5,2,42,22
