gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
LOC100551560,1,4,4
LOC100551625,1,5,5
LOC100551700,2,4,3
LOC100551764,1,2,2
LOC100551837,2,18,10
LOC100551961,1,5,5
LOC100551978,1,4,4
LOC100552119,1,3,3
LOC100552161,1,3,3
LOC100552451,1,3,3
LOC100552502,1,7,7
LOC100552577,1,8,8
LOC100552614,1,2,2
LOC100552628,1,9,9
LOC100552651,1,5,5
LOC100552664,1,2,2
LOC100552789,1,3,3
LOC100553112,1,5,5
LOC100553386,1,3,3
LOC100553407,2,19,11
LOC100553450,1,6,6
LOC100553468,1,1,1
LOC100553507,1,1,1
LOC100553578,1,2,2
LOC100553595,1,2,2
LOC100553760,1,3,3
LOC100553793,1,4,4
LOC100553794,1,1,1
LOC100553804,1,3,3
LOC100553857,1,4,4
LOC100553962,1,7,7
LOC100554294,2,6,4
LOC100554320,1,4,4
LOC100554377,1,6,6
LOC100554452,1,2,2
LOC100554570,1,7,7
LOC100554593,1,2,2
LOC100554598,1,1,1
LOC100554656,1,3,3
LOC100554692,1,5,5
LOC100554747,2,9,5
LOC100554770,3,12,8
LOC100554838,1,1,1
LOC100554917,1,7,7
LOC100554954,1,2,2
LOC100555080,1,4,4
LOC100555098,1,4,4
LOC100555191,1,4,4
LOC100555227,1,3,3
LOC100555232,1,2,2
LOC100555236,1,3,3
LOC100555284,1,2,2
LOC100555304,1,4,4
LOC100555314,1,2,2
LOC100555370,1,3,3
LOC100555381,1,2,2
LOC100555538,1,4,4
LOC100555557,1,2,2
LOC100555560,1,3,3
LOC100555565,1,3,3
LOC100555588,1,40,40
LOC100555632,1,3,3
LOC100555637,1,2,2
LOC100555657,1,4,4
LOC100555730,1,4,4
LOC100555756,1,4,4
LOC100556011,2,12,7
LOC100556047,1,2,2
LOC100556382,1,4,4
LOC100556403,1,6,6
LOC100556457,2,10,6
LOC100556525,1,2,2
LOC100556609,3,17,7
LOC100556697,1,2,2
LOC100556709,1,4,4
LOC100556893,1,3,3
LOC100557088,2,8,5
LOC100557115,1,5,5
LOC100557120,1,1,1
LOC100557222,1,4,4
LOC100557223,1,2,2
LOC100557352,1,4,4
LOC100557385,3,6,4
LOC100557452,1,3,3
LOC100557507,1,3,3
LOC100557523,1,3,3
LOC100557599,1,3,3
LOC100557616,1,4,4
LOC100557657,1,3,3
LOC100557707,1,4,4
LOC100557829,1,2,2
LOC100557852,1,3,3
LOC100557905,1,6,6
LOC100557940,1,2,2
LOC100557949,1,6,6
LOC100557981,2,7,5
LOC100558044,1,4,4
LOC100558059,3,14,9
LOC100558149,1,3,3
LOC100558308,1,2,2
LOC100558316,1,4,4
LOC100558360,1,3,3
LOC100558391,1,1,1
LOC100558475,1,2,2
LOC100558695,1,1,1
LOC100558801,1,2,2
LOC100558847,1,3,3
LOC100558861,1,3,3
LOC100558983,1,3,3
LOC100559008,1,5,5
LOC100559019,1,11,11
LOC100559122,2,13,7
LOC100559185,1,4,4
LOC100559203,1,5,5
LOC100559353,1,2,2
LOC100559392,1,26,26
LOC100559429,1,5,5
LOC100559497,1,2,2
LOC100559638,1,2,2
LOC100559717,1,5,5
LOC100559722,1,2,2
LOC100559786,2,12,7
LOC100559788,1,3,3
LOC100559828,3,11,7
LOC100559902,1,6,6
LOC100559959,2,18,10
LOC100559992,2,8,5
LOC100560112,1,6,6
LOC100560138,1,2,2
LOC100560220,1,4,4
LOC100560275,1,3,3
LOC100560289,1,1,1
LOC100560295,1,3,3
LOC100560335,1,2,2
LOC100560400,2,8,6
LOC100560419,1,4,4
LOC100560551,1,3,3
LOC100560656,1,1,1
LOC100560725,1,3,3
LOC100560769,1,2,2
LOC100560822,1,6,6
LOC100560823,14,114,22
LOC100560860,1,3,3
LOC100560861,2,9,6
LOC100560887,1,3,3
LOC100561009,1,3,3
LOC100561117,1,2,2
LOC100561179,1,2,2
LOC100561258,1,3,3
LOC100561287,2,11,7
LOC100561346,1,3,3
LOC100561379,1,1,1
LOC100561516,1,2,2
LOC100561538,1,4,4
LOC100561611,1,2,2
LOC100561626,1,3,3
LOC100561671,2,4,3
LOC100561880,1,5,5
LOC100561909,1,3,3
LOC100561916,5,16,8
LOC100561967,1,4,4
LOC100562033,1,2,2
LOC100562037,1,3,3
LOC100562103,1,3,3
LOC100562171,1,3,3
LOC100562305,1,3,3
LOC100562556,4,84,23
LOC100562595,1,3,3
LOC100562642,1,2,2
LOC100562699,2,10,7
LOC100562706,1,4,4
LOC100562784,1,3,3
LOC100562898,1,4,4
LOC100562934,1,2,2
LOC100562938,9,92,18
LOC100563041,1,3,3
LOC100563045,4,18,9
LOC100563177,1,2,2
LOC100563337,1,3,3
LOC100563404,1,1,1
LOC100563409,2,11,7
LOC100563523,5,32,10
LOC100563642,1,3,3
LOC100563656,1,3,3
LOC100563824,1,3,3
LOC100563877,1,2,2
LOC100563921,1,2,2
LOC100564037,1,1,1
LOC100564111,1,5,5
LOC100564159,1,3,3
LOC100564162,1,1,1
LOC100564225,2,13,9
LOC100564244,1,2,2
LOC100564295,1,1,1
LOC100564360,1,2,2
LOC100564399,1,3,3
LOC100564417,1,4,4
LOC100564427,1,3,3
LOC100564475,2,18,11
LOC100564669,2,7,5
LOC100564735,1,2,2
LOC100564736,5,22,10
LOC100564767,1,1,1
LOC100564813,1,2,2
LOC100564822,1,2,2
LOC100565126,1,1,1
LOC100565191,1,2,2
LOC100565390,1,4,4
LOC100565400,1,4,4
LOC100565401,1,2,2
LOC100565554,1,7,7
LOC100565602,1,1,1
LOC100565668,1,4,4
LOC100565767,1,2,2
LOC100565801,1,2,2
LOC100566064,4,17,8
LOC100566073,1,4,4
LOC100566418,4,25,11
LOC100566480,1,3,3
LOC100566488,1,4,4
LOC100566497,1,2,2
LOC100566568,3,16,10
LOC100566710,1,4,4
LOC100566832,1,2,2
LOC100566910,1,4,4
LOC100566987,1,2,2
LOC100567135,1,5,5
LOC100567396,1,4,4
LOC100567448,1,4,4
LOC100567475,1,1,1
LOC100567521,1,1,1
LOC100567547,1,3,3
LOC100567647,2,16,9
LOC100567935,1,2,2
LOC100567968,1,5,5
LOC100568010,3,25,11
LOC100568058,3,19,10
LOC100568127,1,2,2
LOC100568129,1,3,3
LOC100568134,1,1,1
LOC100568147,2,9,9
LOC100568217,1,1,1
LOC100568238,1,3,3
LOC103277482,1,1,1
LOC103277490,2,7,5
LOC103277496,1,4,4
LOC103277505,1,4,4
LOC103277515,1,3,3
LOC103277516,2,7,5
LOC103277517,2,6,4
LOC103277532,1,5,5
LOC103277538,1,3,3
LOC103277559,2,5,4
LOC103277566,1,3,3
LOC103277570,1,6,6
LOC103277571,1,3,3
LOC103277572,1,3,3
LOC103277574,1,3,3
LOC103277577,1,3,3
LOC103277586,1,3,3
LOC103277587,1,3,3
LOC103277589,1,3,3
LOC103277590,1,3,3
LOC103277593,1,3,3
LOC103277595,1,3,3
LOC103277597,1,2,2
LOC103277598,2,7,6
LOC103277601,1,3,3
LOC103277603,2,6,4
LOC103277604,1,3,3
LOC103277605,1,3,3
LOC103277608,1,2,2
LOC103277609,2,6,4
LOC103277610,1,2,2
LOC103277612,2,8,5
LOC103277613,2,5,4
LOC103277614,2,6,4
LOC103277617,1,4,4
LOC103277618,1,3,3
LOC103277619,2,4,3
LOC103277620,1,3,3
LOC103277621,1,2,2
LOC103277622,2,9,5
LOC103277623,1,3,3
LOC103277624,1,1,1
LOC103277625,2,6,4
LOC103277628,1,3,3
LOC103277633,4,16,7
LOC103277636,1,3,3
LOC103277637,1,3,3
LOC103277640,1,2,2
LOC103277641,1,2,2
LOC103277643,2,6,4
