gene_id,num_transcript,num_exon,num_uniq_exon
PFICI_00001,1,1,1
PFICI_00002,1,3,3
PFICI_00003,1,2,2
PFICI_00004,1,4,4
PFICI_00005,1,3,3
PFICI_00006,1,2,2
PFICI_00007,1,2,2
PFICI_00008,1,5,5
PFICI_00009,1,3,3
PFICI_00010,1,5,5
PFICI_00011,1,2,2
PFICI_00012,1,2,2
PFICI_00013,1,5,5
PFICI_00014,1,2,2
PFICI_00015,1,3,3
PFICI_00016,1,4,4
PFICI_00017,1,3,3
PFICI_00018,1,2,2
PFICI_00019,1,1,1
PFICI_00020,1,1,1
PFICI_00021,1,2,2
PFICI_00022,1,16,16
PFICI_00023,1,2,2
PFICI_00024,1,4,4
PFICI_00025,1,2,2
PFICI_00026,1,5,5
PFICI_00027,1,3,3
PFICI_00028,1,4,4
PFICI_00029,1,3,3
PFICI_00030,1,1,1
PFICI_00031,1,2,2
PFICI_00032,1,3,3
PFICI_00033,1,4,4
PFICI_00034,1,7,7
PFICI_00035,1,6,6
PFICI_00036,1,5,5
PFICI_00037,1,3,3
PFICI_00038,1,1,1
PFICI_00039,1,2,2
PFICI_00040,1,2,2
PFICI_00041,1,2,2
PFICI_00042,1,3,3
PFICI_00043,1,2,2
PFICI_00044,1,8,8
PFICI_00045,1,3,3
PFICI_00046,1,2,2
PFICI_00047,1,1,1
PFICI_00048,1,2,2
PFICI_00049,1,1,1
PFICI_00050,1,4,4
PFICI_00051,1,2,2
PFICI_00052,1,3,3
PFICI_00053,1,2,2
PFICI_00054,1,2,2
PFICI_00055,1,2,2
PFICI_00056,1,1,1
PFICI_00057,1,4,4
PFICI_00058,1,2,2
PFICI_00059,1,5,5
PFICI_00060,1,3,3
PFICI_00061,1,3,3
PFICI_00062,1,1,1
PFICI_00063,1,1,1
PFICI_00064,1,1,1
PFICI_00065,1,1,1
PFICI_00066,1,3,3
PFICI_00067,1,1,1
PFICI_00068,1,3,3
PFICI_00069,1,1,1
PFICI_00070,1,2,2
PFICI_00071,1,1,1
PFICI_00072,1,4,4
PFICI_00073,1,9,9
PFICI_00074,1,5,5
PFICI_00075,1,1,1
PFICI_00076,1,4,4
PFICI_00077,1,3,3
PFICI_00078,1,3,3
PFICI_00079,1,8,8
PFICI_00080,1,3,3
PFICI_00081,1,3,3
PFICI_00082,1,3,3
PFICI_00083,1,2,2
PFICI_00084,1,1,1
PFICI_00085,1,2,2
PFICI_00086,1,1,1
PFICI_00087,1,5,5
PFICI_00088,1,7,7
PFICI_00089,1,5,5
PFICI_00090,1,1,1
PFICI_00091,1,3,3
PFICI_00092,1,10,10
PFICI_00093,1,5,5
PFICI_00094,1,1,1
PFICI_00095,1,6,6
PFICI_00096,1,5,5
PFICI_00097,1,2,2
PFICI_00098,1,5,5
PFICI_00099,1,1,1
PFICI_00100,1,4,4
PFICI_00101,1,2,2
PFICI_00102,1,1,1
PFICI_00103,1,3,3
PFICI_00104,1,2,2
PFICI_00105,1,1,1
PFICI_00106,1,2,2
PFICI_00107,1,2,2
PFICI_00108,1,6,6
PFICI_00109,1,3,3
PFICI_00110,1,2,2
PFICI_00111,1,3,3
PFICI_00112,1,2,2
PFICI_00113,1,5,5
PFICI_00114,1,3,3
PFICI_00115,1,3,3
PFICI_00116,1,10,10
PFICI_00117,1,2,2
PFICI_00118,1,4,4
PFICI_00119,1,1,1
PFICI_00120,1,1,1
PFICI_00121,1,1,1
PFICI_00122,1,1,1
PFICI_00123,1,2,2
PFICI_00124,1,2,2
PFICI_00125,1,2,2
PFICI_00126,1,2,2
PFICI_00127,1,1,1
PFICI_00128,1,2,2
PFICI_00129,1,1,1
PFICI_00130,1,2,2
PFICI_00131,1,2,2
PFICI_00132,1,7,7
PFICI_00133,1,2,2
PFICI_00134,1,1,1
PFICI_00135,1,2,2
PFICI_00136,1,4,4
PFICI_00137,1,3,3
PFICI_00138,1,4,4
PFICI_00139,1,14,14
PFICI_00140,1,8,8
PFICI_00141,1,4,4
PFICI_00142,1,5,5
PFICI_00143,1,3,3
PFICI_00144,1,1,1
PFICI_00145,1,1,1
PFICI_00146,1,2,2
PFICI_00147,1,1,1
PFICI_00148,1,8,8
PFICI_00149,1,6,6
PFICI_00150,1,2,2
PFICI_00151,1,2,2
PFICI_00152,1,4,4
PFICI_00153,1,2,2
PFICI_00154,1,2,2
PFICI_00155,1,1,1
PFICI_00156,1,2,2
PFICI_00157,1,2,2
PFICI_00158,1,3,3
PFICI_00159,1,1,1
PFICI_00160,1,2,2
PFICI_00161,1,4,4
PFICI_00162,1,1,1
PFICI_00163,1,4,4
PFICI_00164,1,6,6
PFICI_00165,1,2,2
PFICI_00166,1,1,1
PFICI_00167,1,4,4
PFICI_00168,1,2,2
PFICI_00169,1,1,1
PFICI_00170,1,2,2
PFICI_00171,1,2,2
PFICI_00172,1,3,3
PFICI_00173,1,1,1
PFICI_00174,1,6,6
PFICI_00175,1,2,2
PFICI_00176,1,2,2
PFICI_00177,1,11,11
PFICI_00178,1,1,1
PFICI_00179,1,3,3
PFICI_00180,1,1,1
PFICI_00181,1,4,4
PFICI_00182,1,2,2
PFICI_00183,1,1,1
PFICI_00184,1,5,5
PFICI_00185,1,3,3
PFICI_00186,1,2,2
PFICI_00187,1,3,3
PFICI_00188,1,2,2
PFICI_00189,1,2,2
PFICI_00190,1,1,1
PFICI_00191,1,19,19
PFICI_00192,1,5,5
PFICI_00193,1,2,2
PFICI_00194,1,3,3
PFICI_00195,1,5,5
PFICI_00196,1,5,5
PFICI_00197,1,1,1
PFICI_00198,1,5,5
PFICI_00199,1,2,2
PFICI_00200,1,4,4
PFICI_00201,1,1,1
PFICI_00202,1,2,2
PFICI_00203,1,2,2
PFICI_00204,1,1,1
PFICI_00205,1,1,1
PFICI_00206,1,5,5
PFICI_00207,1,2,2
PFICI_00208,1,2,2
PFICI_00209,1,1,1
PFICI_00210,1,1,1
PFICI_00211,1,1,1
PFICI_00212,1,1,1
PFICI_00213,1,2,2
PFICI_00214,1,3,3
PFICI_00215,1,1,1
PFICI_00216,1,2,2
PFICI_00217,1,1,1
PFICI_00218,1,2,2
PFICI_00219,1,5,5
PFICI_00220,1,1,1
PFICI_00221,1,5,5
PFICI_00222,1,1,1
PFICI_00223,1,1,1
PFICI_00224,1,9,9
PFICI_00225,1,5,5
PFICI_00226,1,1,1
PFICI_00227,1,2,2
PFICI_00228,1,2,2
PFICI_00229,1,3,3
PFICI_00230,1,3,3
PFICI_00231,1,2,2
PFICI_00232,1,2,2
PFICI_00233,1,5,5
PFICI_00234,1,1,1
PFICI_00235,1,5,5
PFICI_00236,1,3,3
PFICI_00237,1,3,3
PFICI_00238,1,2,2
PFICI_00239,1,1,1
PFICI_00240,1,4,4
PFICI_00241,1,1,1
PFICI_00242,1,4,4
PFICI_00243,1,1,1
PFICI_00244,1,1,1
PFICI_00245,1,1,1
PFICI_00246,1,1,1
PFICI_00247,1,1,1
PFICI_00248,1,2,2
PFICI_00249,1,1,1
PFICI_00250,1,5,5
PFICI_00251,1,6,6
PFICI_00252,1,2,2
PFICI_00253,1,3,3
PFICI_00254,1,1,1
PFICI_00255,1,1,1
PFICI_00256,1,1,1
PFICI_00257,1,1,1
PFICI_00258,1,2,2
PFICI_00259,1,1,1
PFICI_00260,1,2,2
PFICI_00261,1,1,1
PFICI_00262,1,5,5
PFICI_00263,1,2,2
PFICI_00264,1,1,1
PFICI_00265,1,2,2
PFICI_00266,1,2,2
PFICI_00267,1,2,2
PFICI_00268,1,5,5
PFICI_00269,1,1,1
PFICI_00270,1,7,7
PFICI_00271,1,2,2
PFICI_00272,1,8,8
PFICI_00273,1,2,2
PFICI_00274,1,1,1
PFICI_00275,1,2,2
PFICI_00276,1,3,3
PFICI_00277,1,2,2
PFICI_00278,1,7,7
PFICI_00279,1,1,1
PFICI_00280,1,2,2
PFICI_00281,1,2,2
PFICI_00282,1,4,4
PFICI_00283,1,1,1
PFICI_00284,1,3,3
PFICI_00285,1,1,1
PFICI_00286,1,1,1
PFICI_00287,1,1,1
PFICI_00288,1,5,5
PFICI_00289,1,5,5
PFICI_00290,1,1,1
PFICI_00291,1,2,2
PFICI_00292,1,3,3
PFICI_00293,1,1,1
PFICI_00294,1,6,6
PFICI_00295,1,3,3
PFICI_00296,1,3,3
PFICI_00297,1,5,5
PFICI_00298,1,1,1
PFICI_00299,1,6,6
PFICI_00300,1,8,8
PFICI_00301,1,6,6
PFICI_00302,1,1,1
PFICI_00303,1,3,3
PFICI_00304,1,3,3
PFICI_00305,1,1,1
PFICI_00306,1,3,3
PFICI_00307,1,4,4
PFICI_00308,1,1,1
PFICI_00309,1,4,4
PFICI_00310,1,1,1
PFICI_00311,1,3,3
PFICI_00312,1,5,5
PFICI_00313,1,2,2
PFICI_00314,1,2,2
PFICI_00315,1,2,2
PFICI_00316,1,1,1
PFICI_00317,1,1,1
PFICI_00318,1,4,4
PFICI_00319,1,2,2
PFICI_00320,1,1,1
PFICI_00321,1,2,2
PFICI_00322,1,1,1
PFICI_00323,1,2,2
PFICI_00324,1,2,2
PFICI_00325,1,1,1
PFICI_00326,1,2,2
PFICI_00327,1,2,2
PFICI_00328,1,1,1
PFICI_00329,1,1,1
PFICI_00330,1,4,4
PFICI_00331,1,2,2
PFICI_00332,1,7,7
PFICI_00333,1,2,2
PFICI_00334,1,4,4
PFICI_00335,1,1,1
PFICI_00336,1,4,4
PFICI_00337,1,9,9
PFICI_00338,1,1,1
PFICI_00339,1,2,2
PFICI_00340,1,2,2
PFICI_00341,1,4,4
PFICI_00342,1,6,6
PFICI_00343,1,3,3
PFICI_00344,1,5,5
PFICI_00345,1,1,1
PFICI_00346,1,4,4
PFICI_00347,1,3,3
PFICI_00348,1,2,2
PFICI_00349,1,2,2
PFICI_00350,1,2,2
PFICI_00351,1,5,5
PFICI_00352,1,2,2
PFICI_00353,1,2,2
PFICI_00354,1,2,2
PFICI_00355,1,7,7
PFICI_00356,1,2,2
PFICI_00357,1,1,1
PFICI_00358,1,3,3
PFICI_00359,1,1,1
PFICI_00360,1,4,4
PFICI_00361,1,8,8
PFICI_00362,1,7,7
PFICI_00363,1,2,2
PFICI_00364,1,3,3
PFICI_00365,1,3,3
PFICI_00366,1,2,2
PFICI_00367,1,4,4
PFICI_00368,1,7,7
PFICI_00369,1,1,1
PFICI_00370,1,4,4
PFICI_00371,1,3,3
PFICI_00372,1,3,3
PFICI_00373,1,2,2
PFICI_00374,1,2,2
PFICI_00375,1,2,2
PFICI_00376,1,2,2
PFICI_00377,1,3,3
PFICI_00378,1,3,3
PFICI_00379,1,11,11
PFICI_00380,1,10,10
PFICI_00381,1,2,2
PFICI_00382,1,2,2
PFICI_00383,1,2,2
PFICI_00384,1,2,2
PFICI_00385,1,2,2
PFICI_00386,1,1,1
PFICI_00387,1,1,1
PFICI_00388,1,1,1
PFICI_00389,1,3,3
PFICI_00390,1,9,9
PFICI_00391,1,2,2
PFICI_00392,1,1,1
PFICI_00393,1,2,2
PFICI_00394,1,3,3
PFICI_00395,1,1,1
PFICI_00396,1,3,3
PFICI_00397,1,1,1
PFICI_00398,1,2,2
PFICI_00399,1,4,4
PFICI_00400,1,2,2
PFICI_00401,1,1,1
PFICI_00402,1,1,1
PFICI_00403,1,2,2
PFICI_00404,1,5,5
PFICI_00405,1,2,2
PFICI_00406,1,3,3
PFICI_00407,1,5,5
PFICI_00408,1,1,1
PFICI_00409,1,2,2
PFICI_00410,1,1,1
PFICI_00411,1,2,2
PFICI_00412,1,1,1
PFICI_00413,1,2,2
PFICI_00414,1,2,2
PFICI_00415,1,4,4
PFICI_00416,1,2,2
PFICI_00417,1,3,3
PFICI_00418,1,3,3
PFICI_00419,1,2,2
PFICI_00420,1,2,2
PFICI_00421,1,1,1
PFICI_00422,1,1,1
PFICI_00423,1,1,1
PFICI_00424,1,1,1
PFICI_00425,1,6,6
PFICI_00426,1,1,1
PFICI_00427,1,3,3
PFICI_00428,1,1,1
PFICI_00429,1,2,2
PFICI_00430,1,2,2
PFICI_00431,1,1,1
PFICI_00432,1,1,1
PFICI_00433,1,2,2
PFICI_00434,1,2,2
PFICI_00435,1,2,2
PFICI_00436,1,2,2
PFICI_00437,1,4,4
PFICI_00438,1,3,3
PFICI_00439,1,3,3
PFICI_00440,1,1,1
PFICI_00441,1,4,4
PFICI_00442,1,1,1
PFICI_00443,1,5,5
PFICI_00444,1,5,5
PFICI_00445,1,1,1
PFICI_00446,1,1,1
PFICI_00447,1,2,2
PFICI_00448,1,2,2
PFICI_00449,1,2,2
PFICI_00450,1,3,3
PFICI_00451,1,3,3
PFICI_00452,1,4,4
PFICI_00453,1,2,2
PFICI_00454,1,4,4
PFICI_00455,1,1,1
PFICI_00456,1,5,5
PFICI_00457,1,4,4
PFICI_00458,1,3,3
PFICI_00459,1,3,3
PFICI_00460,1,2,2
PFICI_00461,1,3,3
PFICI_00462,1,3,3
