gene_id,num_transcript,num_exon,num_uniq_exon
A1BG,2,15,8
A1CF,2,24,13
A2ML1,1,36,36
A3GALT2,2,9,5
A4GALT,5,19,10
A4GNT,2,4,4
AAAS,4,64,19
AACS,4,73,23
AADAC,1,5,5
AADACL2,1,5,5
AAED1,2,13,8
AAGAB,2,21,12
AAK1,12,254,26
AAMDC,2,8,5
AAMP,2,22,13
AANAT,7,31,9
AAR2,1,4,4
AARD,1,2,2
AARS,2,42,22
AARS2,1,22,22
AASDH,1,17,17
AASDHPPT,2,13,8
AASS,1,24,24
AATF,3,34,15
AATK,1,9,9
ABAT,2,32,18
ABCA1,3,150,54
ABCA10,4,158,42
ABCA12,2,107,58
ABCA13,1,67,67
ABCA2,1,47,47
ABCA3,6,201,38
ABCA4,2,97,52
ABCA5,3,116,42
ABCA6,3,118,40
ABCA7,5,225,53
ABCA8,1,39,39
ABCA9,1,39,39
ABCB1,3,84,31
ABCB10,1,13,13
ABCB11,2,57,29
ABCB4,7,94,42
ABCB5,1,29,29
ABCB6,2,38,21
ABCB7,1,17,17
ABCB8,3,48,19
ABCB9,6,72,17
ABCC1,4,128,33
ABCC10,3,66,24
ABCC11,9,248,38
ABCC12,12,364,42
ABCC2,1,32,32
ABCC3,5,135,36
ABCC4,2,63,32
ABCC5,8,187,38
ABCC6,1,31,31
ABCC8,4,155,42
ABCC9,1,44,44
ABCD1,2,21,11
ABCD2,7,76,19
ABCD3,2,46,24
ABCD4,3,53,20
ABCE1,2,36,20
ABCF1,1,25,25
ABCF2,3,45,19
ABCF3,3,60,23
ABCG1,2,30,16
ABCG2,1,16,16
ABCG4,4,60,20
ABCG5,1,14,14
ABCG8,5,65,17
ABHD1,1,9,9
ABHD10,1,5,5
ABHD11,9,52,17
ABHD12,2,26,14
ABHD12B,6,74,17
ABHD13,1,2,2
ABHD14A,4,21,8
ABHD14B,1,4,4
ABHD15,2,5,4
ABHD16A,4,77,24
ABHD16B,1,1,1
ABHD17A,1,5,5
ABHD17B,1,4,4
ABHD17C,1,4,4
ABHD18,12,137,25
ABHD2,4,43,13
ABHD3,1,9,9
ABHD4,11,79,21
ABHD5,2,14,8
ABHD6,11,114,19
ABHD8,1,5,5
ABI1,16,164,13
ABI2,20,217,18
ABI3,2,16,9
ABI3BP,28,1567,68
ABL1,3,33,13
ABL2,8,96,21
ABLIM1,25,597,39
ABLIM2,34,680,31
ABLIM3,11,242,28
ABO,9,67,19
ABR,6,122,29
ABRA,1,2,2
ABRACL,1,3,3
ABT1,2,7,5
ABTB2,1,17,17
ACAA1,3,38,16
ACAA2,2,20,11
ACACA,1,56,56
ACACB,3,158,55
ACAD10,5,100,22
ACAD11,2,39,21
ACAD8,3,32,12
ACAD9,1,18,18
ACADL,1,11,11
ACADM,1,12,12
ACADS,2,21,14
ACADSB,3,34,15
ACADVL,4,76,22
ACAN,1,26,26
ACAP1,2,47,26
ACAP2,12,306,32
ACAP3,6,137,27
ACAT1,1,12,12
ACAT2,2,18,10
ACBD3,2,16,10
ACBD4,3,35,13
ACBD5,1,14,14
ACBD6,1,8,8
ACBD7,2,8,5
ACCS,2,31,16
ACCSL,1,14,14
ACD,4,47,15
ACE,2,39,27
ACE2,1,19,19
ACER1,1,6,6
ACER2,1,6,6
ACER3,3,33,14
ACHE,9,44,14
ACIN1,11,194,28
ACKR1,1,2,2
ACKR2,5,12,7
ACKR3,1,2,2
ACKR4,2,5,5
ACLY,4,116,33
ACMSD,3,29,14
ACO1,2,43,23
ACO2,1,17,17
ACOD1,1,5,5
ACOT11,9,152,27
ACOT12,1,15,15
ACOT13,2,7,5
ACOT8,2,11,7
ACOT9,2,31,17
ACOX1,1,9,9
ACOX2,5,73,20
ACOX3,1,18,18
ACOXL,6,114,25
ACP1,2,12,8
ACP2,1,11,11
ACP5,3,17,8
ACP6,1,10,10
ACP7,2,26,14
ACPP,1,11,11
ACPT,1,13,13
ACR,1,5,5
ACRBP,2,19,10
ACRV1,1,4,4
ACSBG1,3,46,20
ACSF2,2,29,17
ACSF3,1,10,10
ACSL1,7,147,28
ACSL3,1,15,15
ACSL4,3,48,20
ACSL5,8,179,31
ACSL6,1,20,20
ACSM1,7,95,20
ACSM4,2,28,15
ACSM5,1,15,15
ACSM6,2,21,11
ACSS1,2,29,16
ACSS2,4,75,23
ACSS3,2,30,18
ACTA1,2,14,8
ACTA2,1,9,9
ACTB,1,6,6
ACTBL2,2,3,3
ACTC1,1,7,7
ACTG1,1,6,6
ACTG2,2,18,10
ACTL10,1,1,1
ACTL6A,4,56,17
ACTL6B,3,40,15
ACTL7B,1,1,1
ACTL8,2,6,4
ACTL9,1,1,1
ACTN1,3,64,23
ACTN2,2,42,22
ACTN3,2,41,23
ACTN4,6,126,27
ACTR10,1,9,9
ACTR1A,1,11,11
ACTR1B,1,11,11
ACTR2,4,40,15
ACTR3,1,12,12
ACTR3B,7,80,18
ACTR5,1,9,9
ACTR6,1,11,11
ACTR8,4,55,17
ACTRT1,1,1,1
ACTRT2,1,1,1
ACTRT3,3,11,6
ACVR1,3,30,13
ACVR1B,4,37,14
ACVR1C,3,27,11
ACVR2A,1,11,11
ACVR2B,4,43,15
ACVRL1,4,41,13
ACY1,2,30,18
ACY3,1,7,7
ACYP1,3,9,5
ACYP2,2,9,7
ADA,3,34,14
ADA2,5,44,16
ADAD1,3,39,15
ADAD2,4,40,17
ADAL,3,33,13
ADAM10,2,32,17
ADAM11,6,153,32
ADAM12,3,66,25
ADAM15,12,265,32
ADAM17,1,19,19
ADAM19,4,85,26
ADAM20,1,2,2
ADAM21,3,6,5
ADAM22,12,377,37
ADAM23,5,130,28
ADAM28,3,72,26
ADAM29,3,8,5
ADAM30,1,1,1
ADAM33,2,40,24
ADAM7,1,22,22
ADAM8,3,68,31
ADAMDEC1,1,14,14
ADAMTS1,1,9,9
ADAMTS10,1,25,25
ADAMTS12,1,26,26
ADAMTS13,10,291,39
ADAMTS14,2,39,24
ADAMTS15,1,8,8
ADAMTS16,1,24,24
ADAMTS17,2,47,24
ADAMTS18,4,81,24
ADAMTS19,13,270,35
ADAMTS2,8,156,32
ADAMTS20,4,145,43
ADAMTS3,9,197,34
ADAMTS4,2,18,11
ADAMTS5,1,8,8
ADAMTS6,5,123,29
ADAMTS7,1,24,24
ADAMTS8,1,9,9
ADAMTSL1,3,88,31
ADAMTSL2,3,57,21
ADAMTSL3,7,172,38
ADAMTSL4,17,343,34
ADAMTSL5,7,81,19
ADAP1,3,32,14
ADAP2,2,22,13
ADAR,4,60,17
ADARB1,1,9,9
ADAT1,1,11,11
ADAT2,1,6,6
ADAT3,1,1,1
ADCK1,6,67,17
ADCK2,2,15,8
ADCK5,1,15,15
ADCY1,1,21,21
ADCY10,1,34,34
ADCY2,2,50,26
ADCY3,2,44,23
ADCY4,3,76,29
ADCY5,1,24,24
ADCY6,4,86,25
ADCY7,12,321,38
ADCY8,3,52,21
ADCY9,5,62,18
ADCYAP1,4,25,11
ADCYAP1R1,3,50,18
ADD2,2,32,17
ADD3,17,255,29
ADGB,8,285,42
ADGRA1,2,14,8
ADGRA2,2,31,27
ADGRA3,2,38,21
ADGRB1,6,180,38
ADGRB2,15,465,38
ADGRB3,3,92,35
ADGRD1,1,29,29
ADGRD2,1,16,16
ADGRE1,1,25,25
ADGRE2,1,18,18
ADGRE3,1,17,17
ADGRE5,1,17,17
ADGRF1,3,47,17
ADGRF2,1,9,9
ADGRF3,11,149,26
ADGRF4,1,8,8
ADGRF5,8,174,31
ADGRG1,5,70,19
ADGRG2,5,138,29
ADGRG3,1,13,13
ADGRG4,1,14,14
ADGRG5,1,12,12
ADGRG6,5,117,31
ADGRG7,1,16,16
ADGRL1,3,71,25
ADGRL2,32,740,53
ADGRL3,17,423,39
ADGRL4,1,16,16
ADGRV1,1,90,90
ADH4,1,9,9
ADH5,2,18,10
ADH7,1,9,9
ADHFE1,2,28,16
ADI1,1,3,3
ADIG,1,3,3
ADIPOQ,3,11,6
ADIPOR1,1,7,7
ADIPOR2,5,37,14
ADIRF,1,3,3
ADK,2,22,13
ADM,1,4,4
ADM2,1,2,2
ADM5,1,5,5
ADNP,7,35,11
ADNP2,8,30,11
ADO,1,1,1
ADORA1,3,10,6
ADORA2A,6,18,8
ADORA3,1,5,5
ADPGK,3,21,9
ADPRH,1,4,4
ADPRHL1,2,15,10
ADPRHL2,1,6,6
ADPRM,3,14,7
ADRA1A,9,32,15
ADRA1B,1,2,2
ADRA1D,1,2,2
ADRA2A,1,2,2
ADRA2B,3,6,4
ADRA2C,4,8,6
ADRB1,3,7,4
ADRB2,1,1,1
ADRB3,3,10,5
ADRM1,2,20,11
ADSL,2,26,14
ADSS,4,52,18
ADSSL1,1,13,13
ADTRP,1,10,10
AEBP1,1,21,21
AEBP2,5,45,14
AEN,2,8,5
AES,2,14,9
AFAP1,8,144,26
AFAP1L1,1,19,19
AFAP1L2,15,307,29
AFDN,8,253,40
AFF2,5,103,24
AFF3,2,45,23
AFF4,5,108,26
AFG3L2,2,34,18
AFM,1,16,16
AFMID,7,70,19
AFP,1,15,15
AFTPH,4,34,12
AGA,1,9,9
AGAP1,12,218,27
AGAP2,3,55,21
AGAP3,4,44,21
AGBL1,1,23,23
AGBL2,1,21,21
AGBL3,11,207,32
AGBL5,8,123,25
AGER,5,52,16
AGFG1,14,191,19
AGFG2,5,64,16
AGGF1,1,14,14
AGK,4,59,19
AGL,2,68,35
AGMAT,2,14,8
AGMO,7,97,20
AGO1,4,76,22
AGO2,1,19,19
AGO3,1,19,19
AGO4,2,35,20
AGPAT1,4,28,10
AGPAT2,1,6,6
AGPAT3,3,28,12
AGPAT4,4,37,12
AGPAT5,1,8,8
AGPS,7,147,29
AGR2,2,16,9
AGR3,3,24,11
AGRN,2,75,39
AGRP,1,3,3
AGT,1,5,5
AGTPBP1,7,183,38
AGTR1,2,7,4
AGTR2,1,3,3
AGTRAP,2,10,7
AGXT,1,11,11
AGXT2,2,28,15
AHCTF1,3,106,41
AHCY,2,20,11
AHCYL1,3,51,20
AHCYL2,6,102,20
AHDC1,11,72,16
AHI1,6,155,37
AHNAK,1,10,10
AHR,1,11,11
AHRR,1,12,12
AHSA1,2,18,10
AHSA2,6,49,14
AHSG,1,8,8
AHSP,1,3,3
AIDA,1,10,10
AIF1,2,14,9
AIF1L,3,16,8
AIFM1,3,48,19
AIFM2,6,65,17
