gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
A1BG,1,10,10
A1CF,1,13,13
A2M,1,31,31
A2ML1,1,12,12
A3GALT2,1,5,5
A4GALT,1,2,2
A4GNT,1,3,3
AAAS,4,59,20
AADAC,1,5,5
AADAT,1,13,13
AAED1,1,6,6
AAGAB,1,8,8
AAK1,2,42,23
AAMDC,2,8,5
AAMP,2,22,12
AANAT,1,5,5
AAR2,1,5,5
AARD,1,3,3
AARS,1,21,21
AARS2,1,22,22
AARSD1,1,9,9
AASDHPPT,2,13,9
AASS,2,41,22
AATF,1,11,11
AATK,1,11,11
ABAT,3,50,19
ABCA1,1,51,51
ABCA12,1,51,51
ABCA13,1,27,27
ABCA3,6,191,37
ABCA4,1,44,44
ABCA5,1,38,38
ABCA6,1,38,38
ABCA7,1,48,48
ABCA8,1,37,37
ABCB1,1,27,27
ABCB10,1,13,13
ABCB11,3,83,32
ABCB4,3,80,28
ABCB6,2,33,20
ABCB7,1,12,12
ABCB8,3,47,18
ABCB9,1,13,13
ABCC1,1,24,24
ABCC10,2,39,25
ABCC11,2,57,29
ABCC12,1,11,11
ABCC2,1,10,10
ABCC3,1,30,30
ABCC4,1,27,27
ABCC5,4,72,34
ABCC6,1,31,31
ABCC8,2,78,40
ABCC9,1,38,38
ABCD1,2,21,15
ABCD2,2,20,13
ABCD3,1,21,21
ABCD4,1,20,20
ABCE1,2,36,20
ABCF1,2,50,27
ABCF2,2,30,16
ABCF3,1,21,21
ABCG1,1,14,14
ABCG2,1,13,13
ABCG4,1,14,14
ABCG5,1,13,13
ABCG8,1,13,13
ABHD1,1,17,17
ABHD10,1,5,5
ABHD11,1,6,6
ABHD12,1,12,12
ABHD12B,2,19,12
ABHD13,2,4,3
ABHD14A,4,21,12
ABHD14B,1,4,4
ABHD15,1,3,3
ABHD16A,4,77,24
ABHD16B,1,2,2
ABHD17A,2,7,5
ABHD17B,1,4,4
ABHD2,2,21,13
ABHD3,1,11,11
ABHD4,1,7,7
ABHD5,1,7,7
ABHD6,1,10,10
ABHD8,1,5,5
ABI1,3,21,9
ABI2,3,29,13
ABI3,2,16,10
ABL1,1,11,11
ABL2,2,25,14
ABLIM1,1,17,17
ABLIM3,3,55,20
ABR,1,8,8
ABRA,1,2,2
ABRACL,1,2,2
ABT1,1,4,4
ABTB1,2,18,16
ABTB2,1,17,17
ACAA1,1,11,11
ACAA2,1,7,7
ACACB,1,52,52
ACAD10,1,20,20
ACAD11,1,21,21
ACAD8,2,20,11
ACAD9,1,18,18
ACADL,1,11,11
ACADM,3,31,13
ACADS,1,10,10
ACADSB,2,24,13
ACADVL,3,56,22
ACAN,2,34,18
ACAP1,1,22,22
ACAP2,2,47,24
ACAP3,4,96,27
ACAT1,1,12,12
ACAT2,1,9,9
ACBD3,2,15,9
ACBD4,5,46,17
ACBD5,1,13,13
ACBD6,3,22,9
ACBD7,1,2,2
ACD,5,55,16
ACE,1,24,24
ACER1,1,6,6
ACER2,1,4,4
ACER3,1,11,11
ACHE,3,12,8
ACIN1,1,19,19
ACKR1,1,2,2
ACKR2,1,1,1
ACKR3,1,2,2
ACKR4,1,2,2
ACLY,1,29,29
ACMSD,1,10,10
ACN9,2,4,4
ACO1,1,6,6
ACO2,1,18,18
ACOT11,1,16,16
ACOT12,1,15,15
ACOT13,1,1,1
ACOT4,1,3,3
ACOT7,2,18,10
ACOT8,2,11,7
ACOT9,2,29,16
ACOX1,2,25,14
ACOX2,1,14,14
ACOX3,2,36,19
ACP1,5,31,11
ACP2,1,11,11
ACP5,1,6,6
ACP6,1,9,9
ACPP,1,11,11
ACPT,1,11,11
ACR,1,6,6
ACRBP,1,10,10
ACRC,1,6,6
ACRV1,1,4,4
ACSBG1,1,15,15
ACSBG2,1,14,14
ACSF2,3,42,19
ACSF3,2,16,9
ACSL1,2,40,22
ACSL3,2,30,17
ACSL4,2,29,16
ACSL5,1,23,23
ACSL6,5,105,25
ACSM1,1,13,13
ACSM3,7,90,17
ACSM6,1,9,9
ACSS2,1,18,18
ACTA1,1,6,6
ACTBL2,2,3,3
ACTG1,1,5,5
ACTG2,1,9,9
ACTL10,1,1,1
ACTL6A,1,14,14
ACTL6B,2,27,15
ACTL7A,1,1,1
ACTL7B,1,1,1
ACTL8,1,2,2
ACTL9,1,1,1
ACTN1,2,41,21
ACTN2,5,86,27
ACTN4,1,23,23
ACTR10,2,25,14
ACTR1A,2,21,12
ACTR1B,1,10,10
ACTR2,2,19,10
ACTR3,1,10,10
ACTR5,1,9,9
ACTR6,1,6,6
ACTR8,2,25,14
ACTRT3,1,2,2
ACVR1,1,7,7
ACVR1B,1,8,8
ACVR1C,3,24,11
ACVR2A,2,23,14
ACVR2B,1,11,11
ACVRL1,1,10,10
ACY1,4,57,18
ACY3,1,7,7
ACYP1,2,6,4
ADA,1,13,13
