transcript_id,num_exon
XM_014082022.1,1
XM_014082023.1,3
XM_014082024.1,1
XM_014082025.1,2
XM_014082026.1,1
XM_014082027.1,3
XM_014082028.1,1
XM_014082029.1,1
XM_014082030.1,2
XM_014082031.1,1
XM_014082032.1,8
XM_014082033.1,4
XM_014082034.1,2
XM_014082035.1,15
XM_014082036.1,4
XM_014082037.1,2
XM_014082038.1,6
XM_014082039.1,2
XM_014082040.1,3
XM_014082041.1,6
XM_014082042.1,3
XM_014082043.1,2
XM_014082044.1,8
XM_014082045.1,3
XM_014082046.1,3
XM_014082047.1,2
XM_014082048.1,2
XM_014082049.1,4
XM_014082050.1,2
XM_014082051.1,2
XM_014082052.1,2
XM_014082053.1,1
XM_014082054.1,3
XM_014082055.1,2
XM_014082056.1,5
XM_014082057.1,4
XM_014082058.1,3
XM_014082059.1,2
XM_014082060.1,1
XM_014082061.1,3
XM_014082062.1,3
XM_014082063.1,3
XM_014082064.1,5
XM_014082065.1,5
XM_014082066.1,3
XM_014082067.1,3
XM_014082068.1,3
XM_014082069.1,1
XM_014082070.1,2
XM_014082071.1,1
XM_014082072.1,2
XM_014082073.1,4
XM_014082074.1,1
XM_014082075.1,1
XM_014082076.1,2
XM_014082077.1,1
XM_014082078.1,4
XM_014082079.1,2
XM_014082080.1,2
XM_014082081.1,2
XM_014082082.1,1
XM_014082083.1,1
XM_014082084.1,2
XM_014082085.1,2
XM_014082086.1,5
XM_014082087.1,3
XM_014082088.1,4
XM_014082089.1,3
XM_014082090.1,7
XM_014082091.1,2
XM_014082092.1,5
XM_014082093.1,2
XM_014082094.1,2
XM_014082095.1,3
XM_014082096.1,3
XM_014082097.1,4
XM_014082098.1,3
XM_014082099.1,2
XM_014082100.1,2
XM_014082101.1,2
XM_014082102.1,1
XM_014082103.1,2
XM_014082104.1,3
XM_014082105.1,2
XM_014082106.1,1
XM_014082107.1,2
XM_014082108.1,4
XM_014082109.1,3
XM_014082110.1,1
XM_014082111.1,3
XM_014082112.1,2
XM_014082113.1,3
XM_014082114.1,1
XM_014082115.1,2
XM_014082116.1,2
XM_014082117.1,4
XM_014082118.1,3
XM_014082119.1,4
XM_014082120.1,2
XM_014082121.1,3
XM_014082122.1,3
XM_014082123.1,2
XM_014082124.1,2
XM_014082125.1,1
XM_014082126.1,4
XM_014082127.1,5
XM_014082128.1,5
XM_014082129.1,1
XM_014082130.1,1
XM_014082131.1,3
XM_014082132.1,3
XM_014082133.1,3
XM_014082134.1,2
XM_014082135.1,2
XM_014082136.1,1
XM_014082137.1,4
XM_014082138.1,4
XM_014082139.1,1
XM_014082140.1,2
XM_014082141.1,2
XM_014082142.1,2
XM_014082143.1,2
XM_014082144.1,3
XM_014082145.1,1
XM_014082146.1,3
XM_014082147.1,3
XM_014082148.1,3
XM_014082149.1,1
XM_014082150.1,1
XM_014082151.1,3
XM_014082152.1,2
XM_014082153.1,2
XM_014082154.1,1
XM_014082155.1,1
XM_014082156.1,2
XM_014082157.1,4
XM_014082158.1,1
XM_014082159.1,6
XM_014082160.1,4
XM_014082161.1,2
XM_014082162.1,5
XM_014082163.1,4
XM_014082164.1,3
XM_014082165.1,1
XM_014082166.1,1
XM_014082167.1,2
XM_014082168.1,3
XM_014082169.1,4
XM_014082170.1,3
XM_014082171.1,4
XM_014082172.1,1
XM_014082173.1,4
XM_014082174.1,3
XM_014082175.1,2
XM_014082176.1,1
XM_014082177.1,3
XM_014082178.1,1
XM_014082179.1,10
XM_014082180.1,3
XM_014082181.1,2
XM_014082182.1,2
XM_014082183.1,3
XM_014082184.1,2
XM_014082185.1,5
XM_014082186.1,3
XM_014082187.1,2
XM_014082188.1,1
XM_014082189.1,4
XM_014082190.1,3
XM_014082191.1,3
XM_014082192.1,7
XM_014082193.1,4
XM_014082194.1,5
XM_014082195.1,5
XM_014082196.1,4
XM_014082197.1,1
XM_014082198.1,4
XM_014082199.1,1
XM_014082200.1,2
XM_014082201.1,4
XM_014082202.1,7
XM_014082203.1,4
XM_014082204.1,1
