transcript_id,num_exon
XM_019501175.1,14
XM_019501176.1,9
XM_019501177.1,9
XM_019501178.1,8
XM_019501179.1,8
XM_019501180.1,16
XM_019501181.1,12
XM_019501182.1,11
XM_019501183.1,50
XM_019501184.1,50
XM_019501185.1,49
XM_019501186.1,49
XM_019501187.1,49
XM_019501188.1,48
XM_019501189.1,7
XM_019501190.1,8
XM_019501191.1,9
XM_019501192.1,9
XM_019501193.1,11
XM_019501194.1,10
XM_019501195.1,10
XM_019501196.1,10
XM_019501197.1,7
XM_019501198.1,7
XM_019501199.1,45
XM_019501200.1,11
XM_019501201.1,11
XM_019501202.1,11
XM_019501203.1,10
XM_019501204.1,10
XM_019501205.1,11
XM_019501206.1,10
XM_019501207.1,11
XM_019501208.1,22
XM_019501209.1,6
XM_019501210.1,16
XM_019501211.1,19
XM_019501212.1,20
XM_019501213.1,19
XM_019501214.1,18
XM_019501215.1,105
XM_019501216.1,16
XM_019501217.1,13
XM_019501218.1,1
XM_019501219.1,17
XM_019501220.1,20
XM_019501221.1,20
XM_019501222.1,9
XM_019501223.1,8
XM_019501224.1,107
XM_019501225.1,7
XM_019501226.1,1
XM_019501227.1,16
XM_019501228.1,12
XM_019501229.1,11
XM_019501230.1,21
XM_019501231.1,20
XM_019501232.1,19
XM_019501233.1,9
XM_019501234.1,9
XM_019501235.1,18
XM_019501236.1,6
XM_019501237.1,7
XM_019501238.1,13
XM_019501239.1,4
XM_019501240.1,18
XM_019501241.1,3
XM_019501242.1,9
XM_019501243.1,7
XM_019501244.1,10
XM_019501245.1,2
XM_019501246.1,22
XM_019501247.1,18
XM_019501248.1,8
XM_019501249.1,10
XM_019501250.1,10
XM_019501251.1,4
XM_019501252.1,4
XM_019501253.1,16
XM_019501254.1,15
XM_019501255.1,14
XM_019501256.1,15
XM_019501257.1,18
XM_019501258.1,18
XM_019501259.1,17
XM_019501260.1,17
XM_019501261.1,17
XM_019501262.1,7
XM_019501263.1,6
XM_019501264.1,7
XM_019501265.1,6
XM_019501266.1,3
XM_019501267.1,6
XM_019501268.1,4
XM_019501269.1,6
XM_019501270.1,7
XM_019501271.1,4
XM_019501272.1,15
XM_019501273.1,3
XM_019501274.1,5
XM_019501275.1,10
XM_019501276.1,18
XM_019501277.1,9
XM_019501278.1,9
XM_019501279.1,4
XM_019501280.1,5
XM_019501281.1,5
XM_019501282.1,7
XM_019501283.1,5
XM_019501284.1,11
XM_019501285.1,11
XM_019501286.1,16
XM_019501287.1,9
XM_019501288.1,14
XM_019501289.1,2
XM_019501290.1,4
XM_019501291.1,3
XM_019501293.1,32
XM_019501294.1,31
XM_019501295.1,32
XM_019501296.1,32
XM_019501297.1,31
XM_019501298.1,32
XM_019501299.1,31
XM_019501300.1,31
XM_019501301.1,30
XM_019501302.1,19
XM_019501303.1,10
XM_019501304.1,24
XM_019501305.1,22
XM_019501306.1,4
XM_019501307.1,18
XM_019501308.1,6
XM_019501309.1,1
XM_019501310.1,7
XM_019501311.1,7
XM_019501312.1,7
XM_019501313.1,7
XM_019501314.1,6
XM_019501315.1,7
XM_019501316.1,31
XM_019501317.1,24
XM_019501318.1,23
XM_019501319.1,1
XM_019501320.1,24
XM_019501321.1,20
XM_019501322.1,25
XM_019501323.1,24
XM_019501324.1,18
XM_019501325.1,18
XM_019501326.1,6
XM_019501327.1,20
XM_019501328.1,19
XM_019501329.1,7
XM_019501330.1,11
XM_019501331.1,6
XM_019501332.1,7
XM_019501333.1,7
XM_019501334.1,7
XM_019501335.1,6
XM_019501336.1,14
XM_019501337.1,14
XM_019501338.1,13
XM_019501339.1,13
XM_019501340.1,10
XM_019501341.1,13
XM_019501342.1,14
XM_019501343.1,13
XM_019501344.1,14
XM_019501345.1,6
XM_019501346.1,17
XM_019501347.1,17
XM_019501348.1,2
XM_019501349.1,4
XM_019501350.1,4
XM_019501351.1,12
XM_019501352.1,11
XM_019501353.1,12
XM_019501354.1,12
XM_019501355.1,12
XM_019501356.1,9
XM_019501357.1,11
XM_019501358.1,2
XM_019501359.1,8
XM_019501360.1,10
XM_019501361.1,4
XM_019501362.1,3
XM_019501363.1,14
XM_019501364.1,12
XM_019501365.1,15
XM_019501366.1,12
XM_019501367.1,16
XM_019501368.1,15
XM_019501369.1,4
XM_019501370.1,15
XM_019501371.1,6
XM_019501372.1,7
XM_019501373.1,4
XM_019501374.1,10
XM_019501375.1,11
XM_019501376.1,18
XM_019501377.1,20
XM_019501378.1,9
XM_019501379.1,8
XM_019501380.1,15
XM_019501381.1,10
XM_019501382.1,29
XM_019501383.1,14
XM_019501384.1,13
XM_019501385.1,13
XM_019501386.1,8
XM_019501387.1,12
XM_019501388.1,11
XM_019501389.1,5
XM_019501390.1,7
XM_019501391.1,10
XM_019501392.1,10
XM_019501393.1,5
XM_019501394.1,11
XM_019501395.1,11
XM_019501396.1,4
XM_019501397.1,5
XM_019501398.1,11
XM_019501399.1,11
XM_019501400.1,7
XM_019501401.1,17
XM_019501402.1,13
XM_019501403.1,5
XM_019501404.1,10
XM_019501405.1,16
XM_019501406.1,12
XM_019501407.1,7
XM_019501408.1,7
XM_019501409.1,8
XM_019501410.1,8
XM_019501411.1,14
XM_019501412.1,8
XM_019501413.1,6
XM_019501414.1,10
XM_019501415.1,22
XM_019501416.1,21
XM_019501417.1,11
XM_019501418.1,3
XM_019501419.1,3
XM_019501420.1,2
XM_019501421.1,2
XM_019501422.1,15
XM_019501423.1,10
XM_019501424.1,15
XM_019501425.1,15
XM_019501426.1,14
XM_019501427.1,15
XM_019501428.1,14
XM_019501429.1,7
XM_019501430.1,7
XM_019501431.1,7
XM_019501432.1,7
XM_019501433.1,7
XM_019501434.1,10
XM_019501435.1,11
XM_019501436.1,10
XM_019501437.1,11
XM_019501438.1,6
XM_019501439.1,7
XM_019501440.1,13
XM_019501441.1,13
XM_019501442.1,13
XM_019501443.1,12
XM_019501444.1,12
XM_019501445.1,12
XM_019501446.1,11
XM_019501447.1,11
XM_019501448.1,11
XM_019501449.1,10
XM_019501451.1,3
XM_019501452.1,20
XM_019501453.1,35
XM_019501454.1,34
XM_019501455.1,34
XM_019501456.1,33
XM_019501457.1,34
XM_019501458.1,33
XM_019501459.1,32
XM_019501461.1,33
XM_019501462.1,54
XM_019501463.1,53
XM_019501464.1,52
XM_019501465.1,6
XM_019501466.1,13
XM_019501467.1,5
XM_019501469.1,5
XM_019501470.1,13
XM_019501471.1,13
XM_019501472.1,12
XM_019501473.1,25
XM_019501474.1,25
XM_019501475.1,25
XM_019501476.1,24
XM_019501477.1,20
XM_019501478.1,23
XM_019501479.1,22
XM_019501480.1,25
XM_019501481.1,22
XM_019501482.1,22
XM_019501483.1,22
XM_019501484.1,21
XM_019501485.1,14
XM_019501486.1,14
XM_019501487.1,13
XM_019501488.1,13
XM_019501489.1,14
XM_019501490.1,13
XM_019501491.1,12
XM_019501492.1,12
XM_019501493.1,13
XM_019501494.1,15
XM_019501495.1,67
XM_019501496.1,15
XM_019501497.1,3
XM_019501498.1,4
XM_019501499.1,3
XM_019501500.1,5
XM_019501501.1,2
XM_019501502.1,8
XM_019501503.1,19
XM_019501504.1,24
XM_019501505.1,2
XM_019501506.1,22
XM_019501507.1,23
XM_019501508.1,23
XM_019501509.1,23
XM_019501510.1,22
XM_019501511.1,25
XM_019501512.1,24
XM_019501513.1,20
XM_019501514.1,18
XM_019501515.1,5
XM_019501516.1,10
XM_019501517.1,10
XM_019501518.1,11
XM_019501519.1,10
XM_019501520.1,6
XM_019501521.1,2
XM_019501522.1,5
XM_019501523.1,4
XM_019501524.1,4
XM_019501525.1,9
XM_019501526.1,13
XM_019501527.1,7
XM_019501528.1,6
XM_019501529.1,35
XM_019501530.1,16
XM_019501531.1,15
XM_019501532.1,15
XM_019501533.1,15
XM_019501534.1,13
XM_019501535.1,3
XM_019501536.1,14
XM_019501537.1,13
XM_019501538.1,22
XM_019501539.1,23
XM_019501540.1,2
XM_019501541.1,8
XM_019501542.1,8
XM_019501543.1,8
XM_019501544.1,8
XM_019501545.1,7
XM_019501546.1,6
XM_019501547.1,14
XM_019501548.1,13
XM_019501549.1,14
XM_019501550.1,3
XM_019501551.1,5
XM_019501552.1,10
XM_019501553.1,9
XM_019501554.1,11
XM_019501555.1,60
XM_019501556.1,59
XM_019501557.1,16
XM_019501558.1,15
XM_019501559.1,13
XM_019501560.1,12
XM_019501561.1,12
XM_019501562.1,12
XM_019501563.1,12
XM_019501564.1,11
XM_019501565.1,10
XM_019501566.1,5
XM_019501567.1,7
XM_019501568.1,5
XM_019501569.1,7
XM_019501570.1,15
XM_019501571.1,15
XM_019501572.1,15
XM_019501573.1,14
XM_019501574.1,14
XM_019501575.1,12
XM_019501576.1,14
XM_019501577.1,7
XM_019501578.1,6
XM_019501579.1,3
XM_019501580.1,3
XM_019501581.1,10
XM_019501582.1,8
XM_019501583.1,11
XM_019501584.1,6
XM_019501585.1,10
XM_019501586.1,12
XM_019501587.1,10
XM_019501588.1,10
XM_019501589.1,9
XM_019501590.1,37
XM_019501591.1,34
XM_019501592.1,32
XM_019501593.1,12
XM_019501594.1,14
XM_019501595.1,18
XM_019501596.1,17
XM_019501597.1,18
XM_019501598.1,5
XM_019501599.1,17
XM_019501600.1,17
XM_019501601.1,16
XM_019501602.1,14
XM_019501603.1,7
XM_019501604.1,19
XM_019501605.1,13
XM_019501606.1,12
XM_019501607.1,17
XM_019501608.1,19
XM_019501609.1,6
XM_019501610.1,20
XM_019501611.1,20
XM_019501612.1,18
XM_019501613.1,7
XM_019501614.1,5
XM_019501615.1,15
XM_019501616.1,15
XM_019501617.1,4
XM_019501618.1,4
XM_019501619.1,33
XM_019501620.1,29
XM_019501621.1,29
XM_019501622.1,30
XM_019501623.1,16
XM_019501624.1,3
XM_019501625.1,13
XM_019501626.1,14
XM_019501627.1,12
XM_019501628.1,12
XM_019501629.1,10
XM_019501630.1,17
XM_019501631.1,7
XM_019501632.1,7
XM_019501633.1,7
XM_019501634.1,8
XM_019501635.1,3
XM_019501636.1,13
XM_019501637.1,50
XM_019501638.1,24
XM_019501639.1,24
XM_019501640.1,24
XM_019501641.1,22
XM_019501642.1,23
XM_019501643.1,6
XM_019501644.1,8
XM_019501645.1,9
XM_019501646.1,9
XM_019501647.1,7
XM_019501648.1,19
XM_019501649.1,8
XM_019501650.1,4
XM_019501651.1,7
XM_019501652.1,7
XM_019501653.1,14
XM_019501654.1,7
XM_019501655.1,4
XM_019501656.1,4
XM_019501657.1,14
XM_019501658.1,14
XM_019501659.1,14
XM_019501660.1,14
XM_019501661.1,15
XM_019501662.1,13
XM_019501663.1,12
XM_019501664.1,23
XM_019501665.1,9
XM_019501666.1,8
XM_019501667.1,7
XM_019501668.1,8
XM_019501669.1,16
XM_019501670.1,17
XM_019501671.1,16
XM_019501672.1,33
XM_019501673.1,12
XM_019501674.1,33
XM_019501675.1,20
XM_019501676.1,60
XM_019501677.1,8
XM_019501678.1,8
XM_019501679.1,17
XM_019501680.1,17
XM_019501681.1,14
XM_019501682.1,14
XM_019501683.1,12
XM_019501684.1,11
XM_019501685.1,5
XM_019501686.1,11
XM_019501687.1,9
XM_019501688.1,9
XM_019501689.1,11
XM_019501690.1,11
XM_019501691.1,7
XM_019501692.1,16
XM_019501693.1,15
XM_019501694.1,5
XM_019501695.1,8
XM_019501696.1,8
XM_019501697.1,8
XM_019501698.1,7
XM_019501699.1,2
XM_019501700.1,6
XM_019501701.1,6
XM_019501702.1,14
XM_019501703.1,14
XM_019501704.1,13
XM_019501705.1,13
XM_019501706.1,5
XM_019501707.1,4
XM_019501708.1,6
XM_019501709.1,18
XM_019501710.1,5
XM_019501711.1,16
XM_019501712.1,7
XM_019501713.1,6
XM_019501714.1,7
XM_019501715.1,4
XM_019501716.1,14
XM_019501717.1,4
XM_019501718.1,6
XM_019501719.1,6
XM_019501720.1,4
XM_019501721.1,6
XM_019501722.1,67
XM_019501723.1,67
XM_019501724.1,45
XM_019501725.1,45
XM_019501726.1,45
XM_019501727.1,14
XM_019501728.1,14
XM_019501729.1,15
XM_019501730.1,15
XM_019501731.1,4
XM_019501732.1,15
XM_019501733.1,10
XM_019501734.1,18
XM_019501735.1,9
XM_019501736.1,20
XM_019501737.1,21
XM_019501738.1,7
XM_019501739.1,6
XM_019501740.1,5
XM_019501741.1,4
XM_019501742.1,4
XM_019501743.1,18
XM_019501744.1,17
XM_019501745.1,15
XM_019501746.1,23
XM_019501747.1,22
XM_019501748.1,20
XM_019501749.1,23
XM_019501750.1,11
XM_019501751.1,28
XM_019501752.1,10
XM_019501753.1,28
XM_019501754.1,23
