gene_id,num_transcript,num_exon,num_uniq_exon
LOC112340394,3,15,8
LOC112340395,2,6,4
LOC112340396,1,3,3
LOC112340397,1,6,6
LOC112340398,1,2,2
LOC112340399,1,1,1
LOC112340400,2,16,9
LOC112340401,1,2,2
LOC112340402,2,20,12
LOC112340403,1,6,6
LOC112340404,1,15,15
LOC112340405,1,20,20
LOC112340406,1,8,8
LOC112340407,1,2,2
LOC112340408,1,19,19
LOC112340409,3,7,5
LOC112340410,2,20,12
LOC112340411,1,1,1
LOC112340412,2,5,5
LOC112340413,1,2,2
LOC112340414,1,10,10
LOC112340415,1,7,7
LOC112340416,3,97,35
LOC112340417,2,28,15
LOC112340418,1,3,3
LOC112340419,1,5,5
LOC112340420,1,3,3
LOC112340421,1,6,6
LOC112340422,1,19,19
LOC112340423,1,14,14
LOC112340424,4,67,20
LOC112340425,1,5,5
LOC112340426,1,1,1
LOC112340428,1,2,2
LOC112340429,2,28,15
LOC112340430,2,39,21
LOC112340431,1,5,5
LOC112340432,1,7,7
LOC112340433,1,9,9
LOC112340434,5,38,14
LOC112340436,1,6,6
LOC112340437,1,4,4
LOC112340438,1,7,7
LOC112340439,1,1,1
LOC112340440,2,14,9
LOC112340441,1,3,3
LOC112340442,1,4,4
LOC112340443,1,2,2
LOC112340444,2,29,16
LOC112340445,1,9,9
LOC112340446,1,2,2
LOC112340447,5,40,21
LOC112340448,2,13,9
LOC112340449,8,129,28
LOC112340450,1,5,5
LOC112340451,1,6,6
LOC112340452,2,13,8
LOC112340453,2,15,9
LOC112340454,2,26,15
LOC112340455,1,3,3
LOC112340456,3,13,8
LOC112340458,2,26,15
LOC112340459,1,3,3
LOC112340460,2,4,4
LOC112340461,1,4,4
LOC112340462,2,3,3
LOC112340463,1,2,2
LOC112340464,1,2,2
LOC112340465,1,1,1
LOC112340467,1,13,13
LOC112340468,1,3,3
LOC112340469,1,8,8
LOC112340470,1,1,1
LOC112340471,1,3,3
LOC112340472,1,7,7
LOC112340473,3,19,10
LOC112340474,2,3,3
LOC112340475,1,14,14
LOC112340476,2,12,8
LOC112340477,1,2,2
LOC112340478,1,1,1
