gene_id,num_transcript,num_exon,num_uniq_exon
AGL6,4,32,15
BDG1,1,1,1
BrdiC_r001,1,1,1
BrdiC_r002,1,1,1
BrdiC_r003,1,1,1
BrdiC_r004,1,1,1
BrdiC_r005,1,1,1
BrdiC_r006,1,1,1
BrdiC_r007,1,1,1
BrdiC_r008,1,1,1
BrdiC_t001,1,2,2
BrdiC_t002,1,1,1
BrdiC_t003,1,1,1
BrdiC_t004,1,1,1
BrdiC_t005,1,1,1
BrdiC_t006,1,1,1
BrdiC_t007,1,2,2
BrdiC_t008,1,1,1
BrdiC_t009,1,1,1
BrdiC_t010,1,1,1
BrdiC_t011,1,1,1
BrdiC_t012,1,1,1
BrdiC_t013,1,1,1
BrdiC_t014,1,1,1
BrdiC_t015,1,1,1
BrdiC_t016,1,2,2
BrdiC_t017,1,1,1
BrdiC_t018,1,2,2
BrdiC_t019,1,1,1
BrdiC_t020,1,1,1
BrdiC_t021,1,1,1
BrdiC_t022,1,1,1
BrdiC_t023,1,1,1
BrdiC_t024,1,1,1
BrdiC_t025,1,1,1
BrdiC_t026,1,2,2
BrdiC_t027,1,2,2
BrdiC_t028,1,1,1
BrdiC_t029,1,1,1
BrdiC_t030,1,1,1
BrdiC_t031,1,1,1
BrdiC_t032,1,1,1
BrdiC_t033,1,2,2
BrdiC_t034,1,2,2
BrdiC_t035,1,1,1
BrdiC_t036,1,1,1
BrdiC_t037,1,1,1
BrdiC_t038,1,1,1
CAD5,1,4,4
CBF2,1,1,1
CBF3,1,1,1
CBF4,1,1,1
CBF5,1,1,1
CBF7,1,1,1
CBL2,2,17,11
LOC100820831,1,5,5
LOC100820833,1,1,1
LOC100820835,1,11,11
LOC100820836,1,1,1
LOC100820837,1,1,1
LOC100820838,8,36,13
LOC100820840,2,21,12
LOC100820841,1,16,16
LOC100820842,1,1,1
LOC100820843,3,20,10
LOC100820844,1,5,5
LOC100820845,1,4,4
LOC100820846,3,23,11
LOC100820847,1,3,3
LOC100820848,1,6,6
LOC100820849,1,1,1
LOC100820850,7,28,11
LOC100820851,1,11,11
LOC100820852,1,1,1
LOC100820853,3,36,14
LOC100820854,1,1,1
LOC100820856,1,3,3
LOC100820857,1,1,1
LOC100820859,4,12,7
LOC100820860,1,12,12
LOC100820863,1,1,1
LOC100820864,1,2,2
LOC100820865,1,12,12
LOC100820866,1,2,2
LOC100820867,1,2,2
LOC100820868,1,7,7
LOC100820870,1,2,2
LOC100820871,2,24,14
LOC100820872,4,27,11
LOC100820873,19,109,29
LOC100820874,2,19,11
LOC100820876,2,7,5
LOC100820878,1,13,13
LOC100820879,1,4,4
LOC100820881,1,7,7
LOC100820882,1,1,1
LOC100820883,1,4,4
LOC100820884,1,4,4
LOC100820885,1,3,3
LOC100820886,1,4,4
LOC100820888,1,2,2
LOC100820889,1,2,2
LOC100820890,1,4,4
LOC100820891,1,3,3
LOC100820892,1,1,1
LOC100820894,2,8,7
LOC100820895,1,6,6
LOC100820897,1,9,9
LOC100820898,1,1,1
LOC100820899,1,9,9
LOC100820900,1,3,3
LOC100820901,1,4,4
LOC100820902,2,12,7
LOC100820903,1,6,6
LOC100820904,1,2,2
LOC100820905,1,3,3
LOC100820906,1,3,3
LOC100820907,2,28,16
LOC100820908,1,4,4
LOC100820909,1,3,3
LOC100820912,1,2,2
LOC100820913,1,2,2
LOC100820914,1,1,1
LOC100820915,1,10,10
LOC100820916,2,10,6
LOC100820919,6,59,15
LOC100820920,1,4,4
LOC100820922,1,1,1
LOC100820923,4,14,7
LOC100820924,1,5,5
LOC100820925,1,9,9
LOC100820926,1,3,3
LOC100820927,1,7,7
LOC100820928,1,12,12
LOC100820929,1,10,10
LOC100820930,1,4,4
LOC100820931,1,3,3
LOC100820932,1,5,5
LOC100820933,1,2,2
LOC100820934,1,2,2
LOC100820935,1,5,5
LOC100820938,2,19,11
LOC100820939,1,2,2
LOC100820941,3,30,13
LOC100820942,2,11,7
LOC100820943,2,30,16
LOC100820944,1,1,1
LOC100820945,1,4,4
LOC100820946,1,2,2
LOC100820947,1,7,7
LOC100820948,1,5,5
LOC100820949,1,1,1
LOC100820951,1,9,9
LOC100820952,2,19,11
LOC100820954,4,22,11
LOC100820955,1,5,5
LOC100820956,1,4,4
LOC100820958,5,33,12
LOC100820959,1,1,1
LOC100820960,4,42,17
LOC100820961,1,2,2
LOC100820962,2,4,4
LOC100820963,9,32,19
LOC100820964,1,4,4
LOC100820965,1,1,1
LOC100820966,1,9,9
LOC100820967,2,14,8
LOC100820968,1,4,4
LOC100820969,1,15,15
LOC100820970,3,8,5
LOC100820972,1,5,5
LOC100820974,2,3,3
LOC100820976,1,1,1
LOC100820977,1,5,5
LOC100820978,2,12,7
LOC100820980,1,9,9
LOC100820981,1,1,1
LOC100820982,1,6,6
LOC100820983,4,20,7
LOC100820984,1,3,3
LOC100820985,2,16,10
LOC100820986,1,11,11
LOC100820987,1,1,1
LOC100820988,1,1,1
LOC100820989,2,9,6
LOC100820990,1,6,6
LOC100820991,2,17,11
LOC100820995,1,1,1
LOC100820997,1,4,4
LOC100820998,1,3,3
LOC100820999,1,4,4
LOC100821000,1,2,2
LOC100821001,1,3,3
LOC100821002,1,6,6
LOC100821003,1,6,6
LOC100821004,1,4,4
LOC100821005,1,13,13
LOC100821006,1,5,5
LOC100821007,2,13,7
LOC100821008,2,3,3
LOC100821009,2,19,11
LOC100821010,1,5,5
LOC100821012,2,4,4
LOC100821013,1,11,11
LOC100821016,1,1,1
LOC100821017,1,1,1
LOC100821018,3,12,7
LOC100821019,1,5,5
LOC100821020,1,1,1
LOC100821021,2,20,11
LOC100821022,3,12,6
LOC100821024,3,9,5
LOC100821025,1,9,9
LOC100821026,2,29,16
LOC100821027,1,2,2
LOC100821028,1,2,2
LOC100821029,1,7,7
LOC100821030,1,2,2
LOC100821031,1,3,3
LOC100821032,1,1,1
LOC100821033,1,2,2
LOC100821034,1,2,2
LOC100821037,1,2,2
LOC100821038,1,1,1
LOC100821039,1,7,7
LOC100821040,1,12,12
LOC100821041,1,36,36
LOC100821042,3,25,13
LOC100821043,2,5,4
LOC100821044,1,1,1
LOC100821045,1,3,3
LOC100821046,1,12,12
LOC100821047,1,2,2
LOC100821048,1,4,4
LOC100821049,2,16,10
LOC100821050,1,1,1
LOC100821051,1,1,1
LOC100821053,1,1,1
LOC100821054,1,2,2
LOC100821055,1,1,1
LOC100821056,1,8,8
LOC100821058,1,5,5
LOC100821059,1,9,9
LOC100821061,1,9,9
LOC100821062,1,2,2
LOC100821063,1,7,7
LOC100821064,1,4,4
LOC100821065,1,10,10
LOC100821066,4,8,4
LOC100821067,4,27,11
LOC100821068,1,12,12
LOC100821069,1,2,2
LOC100821070,5,31,10
LOC100821071,1,13,13
LOC100821072,1,1,1
LOC100821073,1,8,8
LOC100821074,1,2,2
LOC100821076,1,49,49
LOC100821078,2,26,15
LOC100821079,1,6,6
LOC100821080,1,1,1
LOC100821081,7,22,8
LOC100821082,1,8,8
LOC100821084,1,17,17
LOC100821085,1,1,1
LOC100821086,1,11,11
LOC100821087,1,6,6
LOC100821088,1,8,8
LOC100821089,2,18,10
LOC100821090,1,3,3
LOC100821091,1,12,12
LOC100821092,1,1,1
LOC100821093,1,5,5
LOC100821094,1,4,4
LOC100821096,1,1,1
LOC100821099,2,6,5
LOC100821101,1,2,2
LOC100821102,3,29,15
LOC100821103,1,4,4
LOC100821104,1,5,5
LOC100821105,1,14,14
LOC100821106,1,1,1
LOC100821107,4,9,6
LOC100821108,2,14,9
LOC100821109,1,14,14
LOC100821110,1,14,14
LOC100821111,1,2,2
LOC100821112,1,1,1
LOC100821113,1,3,3
LOC100821114,1,6,6
LOC100821116,1,1,1
LOC100821117,1,5,5
LOC100821119,1,5,5
LOC100821120,2,10,7
LOC100821121,1,20,20
LOC100821122,3,23,12
LOC100821123,4,42,16
LOC100821124,1,2,2
LOC100821125,1,4,4
LOC100821126,1,2,2
LOC100821127,1,3,3
LOC100821128,1,2,2
LOC100821129,1,3,3
LOC100821130,1,17,17
LOC100821131,1,3,3
LOC100821133,2,12,8
LOC100821134,1,5,5
LOC100821136,3,23,11
LOC100821137,10,159,31
LOC100821138,1,6,6
LOC100821139,1,3,3
LOC100821140,1,2,2
LOC100821141,3,32,14
LOC100821142,1,10,10
LOC100821143,1,2,2
LOC100821144,1,2,2
LOC100821145,1,6,6
LOC100821147,2,5,4
LOC100821148,1,4,4
LOC100821149,1,3,3
LOC100821150,1,2,2
LOC100821152,1,1,1
LOC100821153,1,2,2
LOC100821154,1,23,23
LOC100821155,1,2,2
LOC100821158,1,8,8
LOC100821159,1,3,3
LOC100821160,1,3,3
LOC100821161,1,7,7
LOC100821162,1,1,1
LOC100821163,1,1,1
LOC100821164,2,14,9
LOC100821165,1,9,9
LOC100821166,1,4,4
LOC100821168,3,9,8
LOC100821169,5,14,7
LOC100821170,3,30,14
LOC100821172,2,8,7
LOC100821174,1,1,1
LOC100821175,7,59,19
LOC100821177,1,4,4
LOC100821178,2,34,18
