transcript_id,num_exon
XM_020188507.1,3
XM_020188508.1,1
XM_020188509.1,1
XM_020188510.1,1
XM_020188511.1,1
XM_020188512.1,2
XM_020188513.1,2
XM_020188514.1,1
XM_020188515.1,1
XM_020188516.1,1
XM_020188517.1,1
XM_020188518.1,1
XM_020188519.1,1
XM_020188520.1,1
XM_020188521.1,1
XM_020188522.1,3
XM_020188523.1,3
XM_020188524.1,3
XM_020188525.1,2
XM_020188526.1,1
XM_020188527.1,2
XM_020188528.1,1
XM_020188529.1,1
XM_020188530.1,1
XM_020188531.1,1
XM_020188532.1,1
XM_020188533.1,1
XM_020188534.1,1
XM_020188535.1,2
XM_020188536.1,1
XM_020188537.1,1
XM_020188538.1,1
XM_020188539.1,3
XM_020188540.1,1
XM_020188541.1,2
XM_020188542.1,1
XM_020188543.1,1
XM_020188544.1,1
XM_020188545.1,1
XM_020188546.1,1
XM_020188547.1,1
XM_020188548.1,1
XM_020188549.1,2
XM_020188550.1,1
XM_020188551.1,1
XM_020188552.1,2
XM_020188553.1,1
XM_020188554.1,1
XM_020188555.1,1
XM_020188556.1,1
XM_020188557.1,1
XM_020188558.1,1
XM_020188559.1,1
XM_020188560.1,2
XM_020188561.1,1
XM_020188562.1,1
XM_020188563.1,2
XM_020188564.1,1
XM_020188565.1,1
XM_020188566.1,1
XM_020188567.1,2
XM_020188568.1,1
XM_020188569.1,1
XM_020188570.1,1
XM_020188571.1,1
XM_020188572.1,1
XM_020188573.1,1
XM_020188574.1,1
XM_020188575.1,1
XM_020188576.1,1
XM_020188577.1,2
XM_020188578.1,2
XM_020188579.1,1
XM_020188580.1,1
XM_020188581.1,4
XM_020188582.1,1
XM_020188583.1,2
XM_020188584.1,1
XM_020188585.1,1
XM_020188586.1,1
XM_020188587.1,1
XM_020188588.1,1
XM_020188589.1,2
XM_020188590.1,2
XM_020188591.1,1
XM_020188592.1,1
XM_020188593.1,1
XM_020188594.1,1
XM_020188595.1,3
XM_020188596.1,1
XM_020188597.1,2
XM_020188598.1,2
XM_020188599.1,1
XM_020188600.1,1
XM_020188601.1,1
XM_020188602.1,1
XM_020188603.1,1
XM_020188604.1,1
XM_020188605.1,1
XM_020188606.1,1
XM_020188607.1,1
XM_020188608.1,1
XM_020188609.1,2
XM_020188610.1,1
XM_020188611.1,1
XM_020188612.1,3
XM_020188613.1,2
XM_020188614.1,1
XM_020188615.1,1
XM_020188616.1,1
XM_020188617.1,1
XM_020188618.1,1
XM_020188619.1,2
XM_020188620.1,1
XM_020188621.1,1
XM_020188622.1,1
XM_020188623.1,1
XM_020188624.1,1
XM_020188625.1,1
XM_020188626.1,1
XM_020188627.1,1
XM_020188628.1,1
XM_020188629.1,1
XM_020188630.1,1
XM_020188631.1,1
XM_020188632.1,3
XM_020188633.1,1
XM_020188634.1,1
XM_020188635.1,1
XM_020188636.1,11
XM_020188637.1,2
XM_020188638.1,2
XM_020188639.1,2
XM_020188640.1,1
XM_020188641.1,4
XM_020188642.1,2
XM_020188643.1,3
XM_020188644.1,2
XM_020188645.1,1
XM_020188646.1,1
XM_020188647.1,5
XM_020188648.1,1
XM_020188649.1,2
XM_020188650.1,1
XM_020188651.1,1
XM_020188652.1,1
XM_020188653.1,2
XM_020188654.1,1
XM_020188655.1,1
XM_020188656.1,1
XM_020188657.1,4
XM_020188658.1,6
XM_020188659.1,1
XM_020188660.1,1
XM_020188661.1,1
XM_020188662.1,1
XM_020188663.1,1
XM_020188664.1,1
XM_020188665.1,1
XM_020188666.1,1
XM_020188667.1,2
XM_020188668.1,1
XM_020188669.1,2
XM_020188670.1,3
XM_020188671.1,1
XM_020188672.1,2
XM_020188673.1,1
XM_020188674.1,3
XM_020188675.1,1
XM_020188676.1,1
XM_020188677.1,2
XM_020188678.1,1
XM_020188679.1,2
XM_020188680.1,2
XM_020188681.1,4
XM_020188682.1,2
XM_020188683.1,4
XM_020188684.1,1
XM_020188685.1,1
XM_020188686.1,1
XM_020188687.1,2
XM_020188688.1,1
XM_020188689.1,1
XM_020188690.1,2
XM_020188691.1,2
XM_020188692.1,1
XM_020188693.1,1
XM_020188694.1,2
XM_020188695.1,1
XM_020188696.1,1
XM_020188697.1,1
XM_020188698.1,1
XM_020188699.1,1
XM_020188700.1,1
XM_020188701.1,1
XM_020188702.1,1
XM_020188703.1,1
XM_020188704.1,1
XM_020188705.1,1
XM_020188706.1,1
XM_020188707.1,1
XM_020188708.1,1
XM_020188709.1,1
XM_020188710.1,1
XM_020188711.1,1
XM_020188712.1,1
XM_020188713.1,1
XM_020188714.1,1
XM_020188715.1,1
XM_020188716.1,1
XM_020188717.1,1
XM_020188718.1,1
XM_020188719.1,1
XM_020188720.1,1
XM_020188721.1,1
XM_020188722.1,1
XM_020188723.1,2
XM_020188724.1,1
XM_020188725.1,1
XM_020188726.1,1
XM_020188727.1,1
XM_020188728.1,1
XM_020188729.1,1
XM_020188730.1,1
XM_020188731.1,2
XM_020188732.1,1
XM_020188733.1,2
XM_020188734.1,1
XM_020188735.1,1
XM_020188736.1,1
XM_020188737.1,2
XM_020188738.1,1
XM_020188739.1,1
XM_020188740.1,1
XM_020188741.1,1
XM_020188742.1,1
XM_020188743.1,2
XM_020188744.1,1
XM_020188745.1,2
XM_020188746.1,1
XM_020188747.1,1
XM_020188748.1,1
XM_020188749.1,3
XM_020188750.1,1
XM_020188751.1,1
XM_020188752.1,1
XM_020188753.1,1
XM_020188754.1,2
XM_020188755.1,1
XM_020188756.1,1
XM_020188757.1,1
XM_020188758.1,2
XM_020188759.1,1
XM_020188760.1,1
XM_020188761.1,1
XM_020188762.1,1
XM_020188763.1,1
XM_020188764.1,1
XM_020188765.1,1
XM_020188766.1,1
XM_020188767.1,1
XM_020188768.1,1
XM_020188769.1,1
XM_020188770.1,1
XM_020188771.1,2
XM_020188772.1,2
XM_020188773.1,1
XM_020188774.1,2
XM_020188775.1,2
XM_020188776.1,1
XM_020188777.1,1
XM_020188778.1,1
XM_020188779.1,1
XM_020188780.1,1
XM_020188781.1,1
XM_020188782.1,1
XM_020188783.1,2
XM_020188784.1,1
XM_020188785.1,1
XM_020188786.1,1
XM_020188787.1,2
XM_020188788.1,1
XM_020188789.1,1
XM_020188790.1,1
XM_020188791.1,1
XM_020188792.1,1
XM_020188793.1,1
XM_020188794.1,1
XM_020188795.1,1
XM_020188796.1,1
XM_020188797.1,1
XM_020188798.1,2
XM_020188799.1,1
XM_020188800.1,1
XM_020188801.1,1
XM_020188802.1,1
XM_020188803.1,1
XM_020188804.1,1
XM_020188805.1,2
XM_020188806.1,1
XM_020188807.1,1
XM_020188808.1,2
XM_020188809.1,3
XM_020188810.1,3
XM_020188811.1,1
XM_020188812.1,1
XM_020188813.1,1
XM_020188814.1,1
XM_020188815.1,1
XM_020188816.1,1
XM_020188817.1,1
XM_020188818.1,1
XM_020188819.1,1
XM_020188820.1,1
XM_020188821.1,1
XM_020188822.1,1
XM_020188823.1,3
XM_020188824.1,1
XM_020188825.1,1
XM_020188826.1,1
XM_020188827.1,1
XM_020188828.1,1
XM_020188829.1,1
XM_020188830.1,1
XM_020188831.1,1
XM_020188832.1,1
XM_020188833.1,1
XM_020188834.1,1
XM_020188835.1,1
XM_020188836.1,2
XM_020188837.1,1
XM_020188838.1,3
XM_020188839.1,1
XM_020188840.1,1
XM_020188841.1,1
XM_020188842.1,2
XM_020188843.1,2
XM_020188844.1,1
XM_020188845.1,1
XM_020188846.1,2
XM_020188847.1,3
XM_020188848.1,1
XM_020188849.1,2
XM_020188850.1,1
XM_020188851.1,1
XM_020188852.1,1
XM_020188853.1,1
XM_020188854.1,1
XM_020188855.1,2
XM_020188856.1,1
