transcript_id,num_exon
NM_001302842.1,5
NM_001302843.1,5
NM_001302844.1,3
NM_001302845.1,12
NM_001302846.1,11
NM_001302847.1,6
NM_001302848.1,8
NM_001302849.1,14
NM_001302850.1,8
NM_001302851.1,6
NM_001302852.1,4
NM_001302853.1,4
NM_001302854.1,4
NM_001302855.1,6
NM_001302856.1,14
NM_001302857.1,14
NM_001302858.1,5
NM_001302859.1,12
NM_001302860.1,5
NM_001318155.1,2
NM_001319693.1,1
NM_001319694.1,1
NM_001319695.1,1
XM_010242498.2,4
XM_010242500.2,2
XM_010242502.2,1
XM_010242503.2,10
XM_010242504.2,4
XM_010242505.2,4
XM_010242506.1,9
XM_010242507.2,8
XM_010242509.2,8
XM_010242510.1,9
XM_010242511.2,9
XM_010242512.1,9
XM_010242513.2,8
XM_010242514.2,9
XM_010242518.2,2
XM_010242519.2,4
XM_010242520.1,9
XM_010242521.2,3
XM_010242522.2,2
XM_010242523.2,12
XM_010242524.2,6
XM_010242525.2,7
XM_010242526.2,6
XM_010242527.1,8
XM_010242529.2,19
XM_010242530.2,18
XM_010242531.2,18
XM_010242532.2,8
XM_010242533.1,7
XM_010242534.2,7
XM_010242535.2,13
XM_010242536.2,9
XM_010242537.2,13
XM_010242538.2,13
XM_010242539.1,5
XM_010242540.1,6
XM_010242541.1,1
XM_010242542.2,3
XM_010242544.1,11
XM_010242545.2,10
XM_010242546.2,9
XM_010242547.2,1
XM_010242548.2,6
XM_010242549.1,1
XM_010242550.2,2
XM_010242551.2,1
XM_010242552.2,20
XM_010242553.2,20
XM_010242555.2,20
XM_010242556.2,20
XM_010242557.2,20
XM_010242558.2,20
XM_010242559.2,20
XM_010242560.2,20
XM_010242561.2,20
XM_010242562.2,1
XM_010242563.1,1
XM_010242564.2,4
XM_010242565.2,4
XM_010242566.1,2
XM_010242568.2,3
XM_010242569.2,16
XM_010242570.2,16
XM_010242572.1,4
XM_010242573.2,4
XM_010242574.2,4
XM_010242575.1,4
XM_010242576.2,2
XM_010242578.1,5
XM_010242579.2,5
XM_010242580.2,5
XM_010242581.2,3
XM_010242582.2,7
XM_010242583.1,8
XM_010242584.2,8
XM_010242585.2,5
XM_010242586.1,3
XM_010242587.2,4
XM_010242588.2,14
XM_010242589.2,3
XM_010242590.2,1
XM_010242591.2,4
XM_010242592.2,4
XM_010242593.2,4
XM_010242594.2,4
XM_010242596.1,12
XM_010242597.2,1
XM_010242598.2,3
XM_010242600.1,3
XM_010242601.1,2
XM_010242602.2,2
XM_010242604.1,1
XM_010242605.1,4
XM_010242607.2,2
XM_010242608.2,5
XM_010242609.2,5
XM_010242611.2,1
XM_010242612.2,3
XM_010242613.2,1
XM_010242614.2,4
XM_010242615.2,4
XM_010242616.1,4
XM_010242617.2,3
XM_010242618.2,5
XM_010242619.2,2
XM_010242620.2,11
XM_010242621.2,2
XM_010242623.2,16
XM_010242624.2,16
XM_010242625.2,5
XM_010242626.2,5
XM_010242627.2,3
XM_010242628.2,12
XM_010242629.2,7
XM_010242630.2,7
XM_010242631.2,4
XM_010242632.2,5
XM_010242633.2,3
XM_010242634.1,4
XM_010242635.2,4
XM_010242636.2,10
XM_010242641.2,1
XM_010242643.2,1
XM_010242644.2,12
XM_010242645.2,10
XM_010242646.2,10
XM_010242647.2,11
XM_010242648.2,3
XM_010242649.2,4
XM_010242650.2,10
XM_010242651.2,16
XM_010242652.2,2
XM_010242653.2,20
XM_010242654.2,20
XM_010242655.2,8
XM_010242657.2,2
XM_010242658.2,9
XM_010242659.2,9
XM_010242660.2,15
XM_010242661.2,15
XM_010242662.2,6
XM_010242663.2,3
XM_010242666.1,3
XM_010242668.2,5
XM_010242669.2,2
XM_010242681.2,16
XM_010242686.2,7
XM_010242688.2,1
XM_010242689.2,1
XM_010242690.1,4
XM_010242691.2,4
XM_010242692.2,7
XM_010242693.2,5
XM_010242694.2,3
XM_010242696.2,14
XM_010242699.2,7
XM_010242700.2,5
XM_010242701.2,2
XM_010242702.2,4
XM_010242703.2,15
XM_010242704.2,2
XM_010242705.2,4
XM_010242706.2,3
XM_010242707.2,4
XM_010242709.2,4
XM_010242710.2,4
XM_010242711.2,3
XM_010242713.2,1
XM_010242714.2,2
XM_010242715.2,20
XM_010242716.2,8
XM_010242717.2,1
XM_010242718.2,2
XM_010242719.2,2
XM_010242720.2,6
XM_010242721.2,2
XM_010242722.2,8
XM_010242724.2,7
XM_010242725.2,7
XM_010242726.2,5
XM_010242727.2,3
XM_010242728.2,2
XM_010242729.2,2
XM_010242730.2,8
XM_010242731.2,1
XM_010242732.2,2
XM_010242736.1,7
XM_010242737.2,4
XM_010242738.1,1
XM_010242739.1,1
XM_010242740.1,1
XM_010242741.2,4
XM_010242743.2,4
XM_010242745.2,4
XM_010242746.2,4
XM_010242747.2,6
XM_010242748.2,4
XM_010242749.2,8
XM_010242750.2,8
XM_010242752.2,7
XM_010242753.2,9
