transcript_id,num_exon
LOC100580700,2
LOC100580822,2
LOC100582149,4
LOC100582397,2
LOC100582477,9
LOC100582740,2
LOC100583150,2
LOC100583480,3
LOC100583820,2
LOC100583923,2
LOC100584148,4
LOC100584252,2
LOC100584821,2
LOC100585141,3
LOC100585329,2
LOC100585398,3
LOC100585689,2
LOC100585827,2
LOC100586143,2
LOC100586148,2
LOC100586349,2
LOC100586487,2
LOC100586493,4
LOC100586598,5
LOC100587263,4
LOC100587363,2
LOC100588602,2
LOC100589708,2
LOC100593792,2
LOC100597161,3
LOC100597854,2
LOC100602734,2
LOC100604649,2
LOC100604781,2
LOC100605847,2
LOC100605873,2
LOC100606892,2
LOC100607591,2
LOC100607834,2
LOC101175764,2
LOC101175866,3
LOC101175907,2
LOC101175952,3
LOC101175986,3
LOC101175992,2
LOC101176023,2
LOC101176047,2
LOC101176361,7
LOC101176513,8
LOC101176558,3
LOC101176608,6
LOC101176793,4
LOC101176815,3
LOC101176838,7
LOC101176890,2
LOC101176899,2
LOC101177143,10
LOC101177159,3
LOC101177540,2
LOC101177794,2
LOC101177849,2
LOC101177954,2
LOC101177994,2
LOC101178034,2
LOC101178071,2
LOC101178679,3
LOC101178711,4
LOC101178800,2
LOC101178826,2
LOC101178858,3
LOC101178896,2
LOC101179117,2
LOC101179288,3
LOC101179325,3
LOC101179412,3
LOC101179512,2
LOC101179599,2
LOC101179644,3
LOC105737553,2
LOC105737964,2
LOC105738167,2
LOC105738169,2
LOC105738935,2
LOC105740054,2
LOC105740751,3
LOC115830338,2
LOC115830362,2
LOC115830440,2
LOC115830459,2
LOC115830828,2
LOC115832273,2
LOC115832486,3
LOC115832515,4
LOC115832516,2
LOC115833664,2
LOC115833665,2
LOC115833666,2
LOC115833667,2
LOC115833679,4
LOC115833680,2
LOC115833681,3
LOC115833714,2
LOC115833758,2
LOC115833802,2
LOC115834106,2
LOC115834245,2
LOC115834307,2
LOC115834308,2
LOC115834309,2
LOC115834310,2
LOC115834311,2
LOC115835849,3
LOC115835851,3
LOC115835852,2
LOC115835853,2
LOC115835854,3
LOC115835855,2
LOC115835856,4
LOC115835858,3
LOC115835859,3
LOC115835994,2
LOC115835995,2
LOC115837961,3
LOC115838008,9
LOC115838036,2
LOC115838037,2
LOC115838038,2
LOC115838039,3
LOC115838040,2
LOC115838041,3
LOC115838042,3
LOC115838043,2
LOC115838045,2
LOC115838046,3
LOC115838047,2
LOC115838048,2
LOC115838049,2
NM_001345972.1,8
NR_132145.1,5
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_10,1
TRNAA-AGC_11,1
TRNAA-AGC_12,1
TRNAA-AGC_13,1
TRNAA-AGC_14,1
TRNAA-AGC_15,1
TRNAA-AGC_16,1
TRNAA-AGC_17,1
TRNAA-AGC_18,1
TRNAA-AGC_19,1
TRNAA-AGC_2,1
TRNAA-AGC_20,1
TRNAA-AGC_21,1
TRNAA-AGC_3,1
TRNAA-AGC_4,1
TRNAA-AGC_5,1
TRNAA-AGC_6,1
TRNAA-AGC_7,1
TRNAA-AGC_8,1
TRNAA-AGC_9,1
TRNAA-CGC,1
TRNAA-CGC_1,1
TRNAA-CGC_2,1
TRNAA-CGC_3,1
TRNAA-CGC_4,1
TRNAA-GGC,1
TRNAA-UGC,1
TRNAA-UGC_1,1
TRNAA-UGC_2,1
TRNAA-UGC_3,1
TRNAA-UGC_4,1
TRNAA-UGC_5,1
TRNAA-UGC_6,1
TRNAA-UGC_7,1
TRNAA-UGC_8,1
TRNAC-ACA,1
TRNAC-GCA,1
TRNAC-GCA_1,1
TRNAC-GCA_10,1
TRNAC-GCA_11,1
TRNAC-GCA_12,1
TRNAC-GCA_13,1
TRNAC-GCA_14,1
TRNAC-GCA_15,1
TRNAC-GCA_16,1
TRNAC-GCA_17,1
TRNAC-GCA_18,1
TRNAC-GCA_19,1
TRNAC-GCA_2,1
TRNAC-GCA_20,1
TRNAC-GCA_21,1
TRNAC-GCA_3,1
TRNAC-GCA_4,1
TRNAC-GCA_5,1
TRNAC-GCA_6,1
TRNAC-GCA_7,1
