gene_id,num_transcript,num_exon,num_uniq_exon
CIMG_00053,1,3,3
CIMG_00082,1,2,2
CIMG_00086,1,2,2
CIMG_00129,1,2,2
CIMG_00138,1,1,1
CIMG_00143,1,2,2
CIMG_00148,1,3,3
CIMG_00159,1,1,1
CIMG_00168,1,6,6
CIMG_00180,1,3,3
CIMG_00187,1,2,2
CIMG_00188,1,2,2
CIMG_00191,1,5,5
CIMG_00204,1,2,2
CIMG_00207,1,2,2
CIMG_00212,1,2,2
CIMG_00217,1,3,3
CIMG_00219,1,5,5
CIMG_00226,1,2,2
CIMG_00239,1,3,3
CIMG_00250,1,2,2
CIMG_00253,1,1,1
CIMG_00275,1,1,1
CIMG_00283,1,1,1
CIMG_00296,1,4,4
CIMG_00298,1,1,1
CIMG_00319,1,2,2
CIMG_00326,1,3,3
CIMG_00334,1,1,1
CIMG_00347,1,1,1
CIMG_00350,1,1,1
CIMG_00353,1,2,2
CIMG_00371,1,4,4
CIMG_00373,1,2,2
CIMG_00380,1,2,2
CIMG_00390,1,1,1
CIMG_00446,1,3,3
CIMG_00452,1,1,1
CIMG_00455,1,3,3
CIMG_00462,1,4,4
CIMG_00471,1,5,5
CIMG_00473,1,2,2
CIMG_00478,1,7,7
CIMG_00493,1,3,3
CIMG_00498,1,2,2
CIMG_00509,1,3,3
CIMG_00512,1,1,1
CIMG_00554,1,2,2
CIMG_00564,1,2,2
CIMG_00577,1,7,7
CIMG_00578,1,2,2
CIMG_00581,1,2,2
CIMG_00601,1,3,3
CIMG_00648,1,3,3
CIMG_00653,1,1,1
CIMG_00656,1,1,1
CIMG_00657,1,4,4
CIMG_00681,1,1,1
CIMG_00682,1,3,3
CIMG_00686,1,5,5
CIMG_00687,1,2,2
CIMG_00688,1,2,2
CIMG_00708,1,2,2
CIMG_00772,1,3,3
CIMG_00776,1,2,2
CIMG_00805,1,6,6
CIMG_00816,1,1,1
CIMG_00850,1,4,4
CIMG_00856,1,1,1
CIMG_00873,1,3,3
CIMG_00897,1,1,1
CIMG_00913,1,1,1
CIMG_00916,1,3,3
CIMG_00930,1,2,2
CIMG_00934,1,1,1
CIMG_00935,1,4,4
CIMG_00942,1,3,3
CIMG_00960,1,3,3
CIMG_00974,1,2,2
CIMG_00980,1,1,1
CIMG_00994,1,2,2
CIMG_01008,1,6,6
CIMG_01020,1,2,2
CIMG_01075,1,4,4
CIMG_01080,1,1,1
CIMG_01088,1,4,4
CIMG_01123,1,1,1
CIMG_01130,1,2,2
CIMG_01138,1,1,1
CIMG_01143,1,2,2
CIMG_01144,1,4,4
CIMG_01159,1,5,5
CIMG_01170,1,1,1
CIMG_01180,1,2,2
CIMG_01182,1,3,3
CIMG_01185,1,3,3
CIMG_01189,1,2,2
CIMG_01193,1,2,2
CIMG_01216,1,4,4
CIMG_01218,1,2,2
CIMG_01259,1,2,2
CIMG_01277,1,3,3
CIMG_01278,1,2,2
CIMG_01280,1,4,4
CIMG_01324,1,2,2
CIMG_01326,1,2,2
CIMG_01327,1,4,4
CIMG_01338,1,2,2
CIMG_01347,1,3,3
CIMG_01368,1,2,2
CIMG_01390,1,3,3
CIMG_01411,1,2,2
CIMG_01415,1,5,5
CIMG_01417,1,1,1
CIMG_01419,1,1,1
CIMG_01421,1,4,4
