gene_id,num_transcript,num_exon,num_uniq_exon
M427DRAFT_100015,1,2,2
M427DRAFT_100030,1,1,1
M427DRAFT_100037,1,7,7
M427DRAFT_100050,1,9,9
M427DRAFT_100051,1,9,9
M427DRAFT_100176,1,5,5
M427DRAFT_100186,1,9,9
M427DRAFT_100203,1,4,4
M427DRAFT_100258,1,7,7
M427DRAFT_100271,1,4,4
M427DRAFT_100276,1,3,3
M427DRAFT_100318,1,9,9
M427DRAFT_100323,1,1,1
M427DRAFT_100344,1,8,8
M427DRAFT_100371,1,14,14
M427DRAFT_100372,1,6,6
M427DRAFT_100375,1,24,24
M427DRAFT_100397,1,1,1
M427DRAFT_100421,1,2,2
M427DRAFT_100449,1,1,1
M427DRAFT_100458,1,2,2
M427DRAFT_100483,1,4,4
M427DRAFT_100491,1,2,2
M427DRAFT_100496,1,5,5
M427DRAFT_100498,1,3,3
M427DRAFT_100513,1,6,6
M427DRAFT_100515,1,4,4
M427DRAFT_100548,1,10,10
M427DRAFT_100570,1,3,3
M427DRAFT_100579,1,9,9
M427DRAFT_100596,1,10,10
M427DRAFT_100597,1,9,9
M427DRAFT_100712,1,18,18
M427DRAFT_100719,1,4,4
M427DRAFT_100726,1,13,13
M427DRAFT_100742,1,6,6
M427DRAFT_100761,1,7,7
M427DRAFT_100765,1,9,9
M427DRAFT_100782,1,12,12
M427DRAFT_100785,1,1,1
M427DRAFT_100817,1,7,7
M427DRAFT_100856,1,5,5
M427DRAFT_100871,1,4,4
M427DRAFT_100883,1,10,10
M427DRAFT_100903,1,3,3
M427DRAFT_100953,1,5,5
M427DRAFT_100997,1,4,4
M427DRAFT_101034,1,3,3
M427DRAFT_101047,1,4,4
M427DRAFT_101060,1,13,13
M427DRAFT_101062,1,6,6
M427DRAFT_101086,1,9,9
M427DRAFT_101089,1,10,10
M427DRAFT_101126,1,7,7
M427DRAFT_101150,1,6,6
M427DRAFT_101170,1,3,3
M427DRAFT_101213,1,3,3
M427DRAFT_101226,1,3,3
M427DRAFT_101234,1,5,5
M427DRAFT_101238,1,9,9
M427DRAFT_101250,1,4,4
M427DRAFT_101279,1,2,2
M427DRAFT_101293,1,12,12
M427DRAFT_101300,1,16,16
M427DRAFT_101309,1,7,7
M427DRAFT_101315,1,5,5
M427DRAFT_101371,1,13,13
M427DRAFT_101404,1,6,6
M427DRAFT_101408,1,2,2
M427DRAFT_101458,1,7,7
M427DRAFT_101540,1,5,5
M427DRAFT_101544,1,15,15
M427DRAFT_101559,1,1,1
M427DRAFT_101586,1,10,10
M427DRAFT_101592,1,2,2
M427DRAFT_101628,1,6,6
M427DRAFT_101691,1,4,4
M427DRAFT_101692,1,5,5
M427DRAFT_101695,1,7,7
M427DRAFT_101720,1,18,18
M427DRAFT_101722,1,8,8
M427DRAFT_101724,1,2,2
M427DRAFT_101808,1,2,2
M427DRAFT_101811,1,5,5
M427DRAFT_101813,1,4,4
M427DRAFT_101849,1,3,3
M427DRAFT_101872,1,7,7
M427DRAFT_101892,1,7,7
M427DRAFT_101907,1,3,3
M427DRAFT_102018,1,1,1
M427DRAFT_102038,1,4,4
M427DRAFT_102047,1,8,8
M427DRAFT_102069,1,8,8
M427DRAFT_102073,1,4,4
M427DRAFT_102082,1,8,8
M427DRAFT_102104,1,5,5
M427DRAFT_102190,1,13,13
M427DRAFT_102208,1,3,3
M427DRAFT_102213,1,4,4
M427DRAFT_102244,1,6,6
M427DRAFT_102249,1,8,8
M427DRAFT_102254,1,4,4
M427DRAFT_102255,1,8,8
M427DRAFT_102272,1,10,10
M427DRAFT_102305,1,2,2
M427DRAFT_102315,1,6,6
M427DRAFT_102386,1,3,3
M427DRAFT_102441,1,4,4
M427DRAFT_102445,1,7,7
M427DRAFT_102455,1,5,5
M427DRAFT_102476,1,3,3
M427DRAFT_102477,1,2,2
M427DRAFT_102497,1,8,8
M427DRAFT_102537,1,1,1
M427DRAFT_102543,1,6,6
M427DRAFT_102641,1,6,6
M427DRAFT_102645,1,5,5
M427DRAFT_102656,1,7,7
M427DRAFT_102848,1,5,5
M427DRAFT_102849,1,9,9
M427DRAFT_102876,1,3,3
M427DRAFT_102911,1,6,6
M427DRAFT_102927,1,8,8
M427DRAFT_102973,1,6,6
M427DRAFT_102975,1,15,15
M427DRAFT_102987,1,9,9
M427DRAFT_103017,1,7,7
M427DRAFT_103026,1,6,6
M427DRAFT_103031,1,7,7
M427DRAFT_103044,1,3,3
M427DRAFT_103066,1,4,4
M427DRAFT_103173,1,21,21
M427DRAFT_103178,1,3,3
M427DRAFT_103287,1,7,7
M427DRAFT_103423,1,3,3
M427DRAFT_103442,1,3,3
M427DRAFT_103471,1,9,9
M427DRAFT_103480,1,7,7
M427DRAFT_103485,1,7,7
M427DRAFT_103492,1,4,4
M427DRAFT_103514,1,4,4
M427DRAFT_103522,1,7,7
M427DRAFT_103534,1,5,5
M427DRAFT_103791,1,3,3
M427DRAFT_103797,1,6,6
M427DRAFT_103915,1,4,4
M427DRAFT_103967,1,2,2
M427DRAFT_103970,1,2,2
M427DRAFT_103975,1,4,4
M427DRAFT_103992,1,3,3
M427DRAFT_103996,1,4,4
M427DRAFT_104201,1,9,9
M427DRAFT_104329,1,4,4
M427DRAFT_104333,1,4,4
M427DRAFT_104369,1,7,7
M427DRAFT_104399,1,7,7
M427DRAFT_104407,1,9,9
M427DRAFT_104410,1,2,2
M427DRAFT_104417,1,5,5
M427DRAFT_104422,1,13,13
M427DRAFT_104550,1,5,5
M427DRAFT_104551,1,4,4
M427DRAFT_104718,1,4,4
M427DRAFT_104805,1,6,6
M427DRAFT_104834,1,2,2
M427DRAFT_104836,1,7,7
M427DRAFT_104918,1,2,2
M427DRAFT_104932,1,5,5
M427DRAFT_105053,1,5,5
M427DRAFT_105109,1,3,3
M427DRAFT_105111,1,8,8
M427DRAFT_105135,1,8,8
M427DRAFT_105141,1,3,3
M427DRAFT_105142,1,4,4
M427DRAFT_105150,1,8,8
M427DRAFT_105154,1,7,7
M427DRAFT_105171,1,2,2
M427DRAFT_105178,1,6,6
M427DRAFT_105180,1,2,2
M427DRAFT_105271,1,19,19
M427DRAFT_105278,1,6,6
M427DRAFT_105378,1,17,17
M427DRAFT_105380,1,6,6
M427DRAFT_105382,1,3,3
M427DRAFT_105415,1,2,2
M427DRAFT_105416,1,4,4
M427DRAFT_105417,1,9,9
M427DRAFT_105419,1,15,15
M427DRAFT_105531,1,16,16
M427DRAFT_105570,1,3,3
M427DRAFT_105660,1,12,12
M427DRAFT_105784,1,1,1
M427DRAFT_105797,1,5,5
M427DRAFT_105800,1,6,6
M427DRAFT_105802,1,6,6
M427DRAFT_105810,1,5,5
M427DRAFT_105875,1,7,7
M427DRAFT_105886,1,6,6
M427DRAFT_105918,1,5,5
M427DRAFT_105924,1,2,2
M427DRAFT_105928,1,1,1
M427DRAFT_105991,1,6,6
M427DRAFT_106095,1,4,4
M427DRAFT_106104,1,5,5
M427DRAFT_106107,1,2,2
M427DRAFT_106116,1,4,4
M427DRAFT_106160,1,15,15
M427DRAFT_106164,1,4,4
M427DRAFT_106172,1,1,1
M427DRAFT_106216,1,2,2
M427DRAFT_106256,1,1,1
M427DRAFT_106257,1,1,1
M427DRAFT_106308,1,4,4
M427DRAFT_106357,1,1,1
M427DRAFT_106382,1,1,1
M427DRAFT_106431,1,1,1
M427DRAFT_106492,1,4,4
M427DRAFT_106494,1,5,5
M427DRAFT_106499,1,5,5
M427DRAFT_106509,1,10,10
M427DRAFT_106518,1,4,4
M427DRAFT_106540,1,16,16
M427DRAFT_106558,1,9,9
M427DRAFT_106563,1,9,9
M427DRAFT_106570,1,6,6
M427DRAFT_106585,1,4,4
M427DRAFT_106596,1,5,5
M427DRAFT_106611,1,8,8
M427DRAFT_106617,1,14,14
M427DRAFT_106618,1,4,4
M427DRAFT_106653,1,22,22
M427DRAFT_106675,1,6,6
M427DRAFT_106727,1,4,4
M427DRAFT_106730,1,5,5
M427DRAFT_106740,1,4,4
M427DRAFT_106780,1,3,3
M427DRAFT_106800,1,3,3
M427DRAFT_106805,1,4,4
M427DRAFT_106854,1,2,2
M427DRAFT_106889,1,7,7
M427DRAFT_106906,1,8,8
M427DRAFT_106967,1,4,4
M427DRAFT_106976,1,4,4
M427DRAFT_106982,1,12,12
M427DRAFT_106991,1,12,12
M427DRAFT_107002,1,2,2
M427DRAFT_107032,1,8,8
M427DRAFT_107042,1,10,10
M427DRAFT_107062,1,4,4
M427DRAFT_107116,1,4,4
M427DRAFT_107149,1,15,15
M427DRAFT_107155,1,9,9
M427DRAFT_107166,1,11,11
M427DRAFT_107181,1,7,7
M427DRAFT_107206,1,3,3
M427DRAFT_107244,1,10,10
M427DRAFT_107252,1,6,6
M427DRAFT_107253,1,7,7
M427DRAFT_107276,1,4,4
M427DRAFT_107296,1,7,7
M427DRAFT_107305,1,6,6
M427DRAFT_107320,1,13,13
M427DRAFT_107341,1,6,6
M427DRAFT_107368,1,7,7
M427DRAFT_107393,1,12,12
M427DRAFT_107409,1,10,10
M427DRAFT_107449,1,10,10
M427DRAFT_107464,1,13,13
M427DRAFT_107471,1,8,8
M427DRAFT_107477,1,7,7
M427DRAFT_107480,1,4,4
M427DRAFT_107502,1,20,20
M427DRAFT_107503,1,5,5
M427DRAFT_107508,1,8,8
M427DRAFT_107530,1,27,27
M427DRAFT_107662,1,8,8
M427DRAFT_107672,1,4,4
