transcript_id,num_exon
XM_007198747.2,2
XM_007198764.2,8
XM_007198765.2,6
XM_007198767.2,7
XM_007198769.2,4
XM_007198770.2,9
XM_007198772.2,9
XM_007198774.2,11
XM_007198775.2,2
XM_007198776.2,2
XM_007198777.2,9
XM_007198778.2,7
XM_007198779.2,5
XM_007198780.2,2
XM_007198781.2,1
XM_007198783.2,2
XM_007198784.1,1
XM_007198789.2,5
XM_007198791.2,2
XM_007198802.2,2
XM_007198806.2,2
XM_007198812.2,3
XM_007198814.2,5
XM_007198815.2,1
XM_007198826.2,3
XM_007198837.2,9
XM_007198838.2,3
XM_007198840.2,2
XM_007198841.2,7
XM_007198843.2,2
XM_007198844.2,5
XM_007198846.2,5
XM_007198866.2,25
XM_007198867.2,8
XM_007198868.2,11
XM_007198870.2,24
XM_007198873.2,3
XM_007198874.2,1
XM_007198875.2,2
XM_007198876.2,6
XM_007198880.2,4
XM_007198881.2,4
XM_007198884.2,4
XM_007198885.2,25
XM_007198888.1,1
XM_007198890.2,15
XM_007198900.2,2
XM_007198902.2,2
XM_007198905.2,1
XM_007198906.2,1
XM_007198918.2,2
XM_007198921.2,1
XM_007198923.2,7
XM_007198924.2,8
XM_007198925.2,2
XM_007198927.2,2
XM_007198928.2,6
XM_007198929.2,14
XM_007198930.2,3
XM_007198931.2,9
XM_007198932.2,10
XM_007198933.2,15
XM_007198936.2,20
XM_007198937.2,12
XM_007198939.2,2
XM_007198942.2,6
XM_007198943.2,5
XM_007198948.2,1
XM_007198951.2,2
XM_007198952.2,1
XM_007198956.2,9
XM_007198958.2,1
XM_007198959.2,2
XM_007198960.2,1
XM_007198964.2,3
XM_007198967.2,1
XM_007198968.2,3
XM_007198976.2,5
XM_007198983.2,1
XM_007198985.2,2
XM_007198988.2,2
XM_007198989.2,4
XM_007198990.2,1
XM_007198992.2,1
XM_007198995.2,5
XM_007198996.2,5
XM_007198997.2,9
XM_007198998.2,5
XM_007198999.2,1
XM_007199002.2,4
XM_007199003.2,2
XM_007199005.2,8
XM_007199006.2,24
XM_007199008.2,3
XM_007199015.1,1
XM_007199017.2,1
XM_007199019.2,1
XM_007199021.2,1
XM_007199022.2,3
XM_007199023.2,4
XM_007199027.2,1
XM_007199028.2,1
XM_007199030.2,1
XM_007199031.1,1
XM_007199040.2,17
XM_007199041.2,1
XM_007199042.2,1
XM_007199043.2,5
XM_007199047.2,2
XM_007199048.2,1
XM_007199052.2,2
XM_007199053.2,2
XM_007199070.1,1
XM_007199075.2,1
XM_007199078.1,5
XM_007199083.2,1
XM_007199085.2,1
XM_007199091.2,2
XM_007199096.2,6
XM_007199101.2,4
XM_007199106.2,6
XM_007199108.2,2
XM_007199110.2,7
XM_007199111.2,2
XM_007199114.2,8
XM_007199115.2,4
XM_007199117.2,1
XM_007199121.2,6
XM_007199126.2,2
XM_007199130.2,9
XM_007199131.2,7
XM_007199133.2,10
XM_007199135.2,1
XM_007199137.2,3
XM_007199140.2,6
XM_007199142.2,1
XM_007199144.2,11
XM_007199145.2,3
XM_007199153.2,1
XM_007199155.2,2
XM_007199160.2,1
XM_007199162.2,3
XM_007199163.1,1
XM_007199164.2,3
XM_007199166.2,1
XM_007199170.2,5
XM_007199178.2,9
XM_007199181.2,12
XM_007199182.2,2
XM_007199184.2,2
XM_007199187.2,1
XM_007199189.2,3
XM_007199190.2,11
XM_007199199.2,2
XM_007199202.2,9
XM_007199204.2,2
XM_007199209.2,1
XM_007199210.2,1
XM_007199213.1,1
XM_007199215.2,2
XM_007199219.2,7
XM_007199221.2,6
XM_007199222.2,9
XM_007199224.2,2
XM_007199231.2,2
XM_007199240.2,9
XM_007199245.2,1
XM_007199249.2,2
XM_007199252.2,1
XM_007199253.2,1
XM_007199254.2,4
XM_007199269.2,14
XM_007199271.2,2
XM_007199274.2,1
XM_007199275.2,1
XM_007199276.2,1
XM_007199277.2,1
XM_007199278.2,13
XM_007199283.2,2
XM_007199284.2,2
XM_007199285.2,3
XM_007199291.2,1
XM_007199292.2,4
XM_007199293.2,2
XM_007199295.2,6
XM_007199296.2,4
XM_007199297.2,2
XM_007199299.2,1
XM_007199300.2,3
XM_007199301.2,1
XM_007199302.2,1
XM_007199308.1,1
XM_007199313.2,3
XM_007199322.2,1
XM_007199324.2,4
XM_007199328.2,2
XM_007199330.2,1
XM_007199332.1,1
XM_007199334.2,9
XM_007199339.2,1
XM_007199340.2,2
XM_007199344.2,2
XM_007199345.2,2
XM_007199346.2,1
XM_007199349.2,1
XM_007199351.2,4
XM_007199355.2,2
XM_007199356.2,3
XM_007199357.2,1
XM_007199363.2,4
XM_007199365.2,1
XM_007199367.2,2
XM_007199368.2,2
XM_007199371.2,4
XM_007199374.2,3
XM_007199379.2,1
XM_007199386.2,5
XM_007199391.2,3
XM_007199392.2,4
XM_007199394.2,12
XM_007199398.2,3
XM_007199401.2,2
XM_007199412.2,14
XM_007199415.2,10
XM_007199427.2,2
XM_007199433.2,1
XM_007199437.2,3
XM_007199458.2,1
XM_007199462.2,1
XM_007199500.2,1
XM_007199523.2,1
XM_007199538.2,10
XM_007199542.1,4
XM_007199543.2,2
XM_007199544.2,1
XM_007199547.2,1
XM_007199551.2,18
XM_007199553.2,1
XM_007199554.2,11
XM_007199557.2,2
XM_007199562.1,1
XM_007199564.2,5
XM_007199567.2,1
XM_007199568.2,7
XM_007199569.2,2
XM_007199570.2,3
XM_007199572.2,3
XM_007199574.2,4
XM_007199575.2,5
XM_007199576.2,7
XM_007199580.2,5
XM_007199582.2,10
XM_007199583.2,7
XM_007199584.2,7
XM_007199585.2,2
XM_007199588.2,2
XM_007199589.2,9
XM_007199591.2,8
XM_007199592.2,9
XM_007199593.2,13
XM_007199596.2,16
XM_007199598.2,15
XM_007199599.2,19
XM_007199600.2,1
XM_007199601.2,11
XM_007199602.2,18
XM_007199603.2,20
XM_007199604.2,16
XM_007199605.2,1
XM_007199606.2,4
XM_007199607.2,16
XM_007199610.2,15
XM_007199611.2,19
XM_007199614.2,12
XM_007199615.2,18
XM_007199617.2,12
XM_007199618.2,12
XM_007199626.2,16
XM_007199627.2,14
XM_007199628.2,25
XM_007199632.2,2
XM_007199633.2,2
XM_007199634.2,14
XM_007199635.2,7
XM_007199636.2,9
XM_007199639.2,24
XM_007199642.2,12
XM_007199643.2,2
XM_007199644.2,1
XM_007199645.2,14
XM_007199646.2,18
XM_007199648.2,2
XM_007199652.2,15
XM_007199653.2,4
XM_007199655.2,7
XM_007199657.2,10
XM_007199658.2,20
XM_007199659.2,20
XM_007199660.2,12
XM_007199662.2,14
XM_007199663.2,5
XM_007199664.2,8
XM_007199667.2,1
XM_007199668.2,6
XM_007199671.2,2
XM_007199673.2,4
XM_007199674.2,4
XM_007199675.2,7
XM_007199676.2,5
XM_007199677.2,14
XM_007199678.2,5
XM_007199679.2,11
XM_007199681.2,2
XM_007199683.2,7
XM_007199684.2,7
XM_007199685.2,4
XM_007199686.2,16
XM_007199688.2,1
XM_007199689.2,2
XM_007199690.2,4
XM_007199691.2,2
XM_007199693.2,12
XM_007199694.2,7
XM_007199695.2,15
XM_007199696.2,15
XM_007199697.2,13
XM_007199700.2,1
XM_007199701.2,3
XM_007199702.2,4
XM_007199703.2,5
XM_007199704.2,11
XM_007199705.2,5
XM_007199706.2,5
XM_007199707.2,7
XM_007199708.2,2
XM_007199709.2,7
XM_007199710.2,10
XM_007199712.2,14
XM_007199713.2,3
XM_007199715.2,8
XM_007199716.2,3
XM_007199717.2,3
XM_007199718.2,13
XM_007199719.2,13
XM_007199720.2,5
XM_007199721.2,9
XM_007199722.2,6
XM_007199723.2,2
XM_007199724.2,2
XM_007199725.2,20
XM_007199726.2,8
XM_007199729.2,1
XM_007199730.2,1
XM_007199731.2,3
XM_007199732.2,14
XM_007199734.2,9
XM_007199735.2,12
XM_007199737.2,7
XM_007199740.2,5
XM_007199741.2,5
XM_007199742.2,1
XM_007199743.2,15
XM_007199744.2,15
XM_007199745.2,8
XM_007199746.2,9
XM_007199748.2,10
XM_007199751.2,2
XM_007199752.2,2
XM_007199753.2,4
XM_007199754.2,1
XM_007199755.2,2
XM_007199757.2,14
