transcript_id,num_exon
FBtr0256719,1
FBtr0256780,5
FBtr0257169,4
FBtr0257177,1
FBtr0257280,1
FBtr0257447,2
FBtr0257517,2
FBtr0257578,5
FBtr0257595,2
FBtr0257611,1
FBtr0257657,3
FBtr0257666,2
FBtr0257677,1
FBtr0257695,1
FBtr0257714,2
FBtr0257726,2
FBtr0257730,2
FBtr0257776,7
FBtr0257805,4
FBtr0257823,2
FBtr0257826,4
FBtr0257900,2
FBtr0258055,1
FBtr0258069,1
FBtr0258171,2
FBtr0258467,1
FBtr0258549,1
FBtr0258764,2
FBtr0258871,1
FBtr0258898,1
FBtr0258963,1
FBtr0259015,3
FBtr0259380,1
FBtr0259566,1
FBtr0259621,2
FBtr0259692,4
FBtr0259697,3
FBtr0259968,1
FBtr0259979,2
FBtr0260001,1
FBtr0260144,1
FBtr0260282,2
FBtr0260352,1
FBtr0260433,2
FBtr0260434,2
FBtr0260503,2
FBtr0260543,17
FBtr0260655,3
FBtr0260711,6
FBtr0260721,2
FBtr0260724,2
FBtr0260793,2
FBtr0260839,1
FBtr0260840,1
FBtr0260845,8
FBtr0260902,2
FBtr0260933,1
FBtr0260983,2
FBtr0260991,1
FBtr0260999,1
FBtr0261095,1
FBtr0261106,2
FBtr0261116,4
FBtr0261125,3
FBtr0261147,2
FBtr0261220,1
FBtr0261229,3
FBtr0261269,2
FBtr0261306,2
FBtr0261312,2
FBtr0261424,1
FBtr0261485,1
FBtr0261501,2
FBtr0261507,3
FBtr0261513,1
FBtr0261530,1
FBtr0261533,2
FBtr0261578,2
FBtr0261594,2
FBtr0261623,3
FBtr0261628,1
FBtr0261639,2
FBtr0261657,3
FBtr0261664,3
FBtr0261690,2
FBtr0261694,4
FBtr0261725,2
FBtr0261733,1
FBtr0261775,2
FBtr0261816,1
FBtr0261817,1
FBtr0261897,1
FBtr0261907,2
FBtr0261912,2
FBtr0262131,1
FBtr0262132,1
FBtr0262241,2
FBtr0262340,1
FBtr0262400,2
FBtr0262479,2
FBtr0262581,3
FBtr0262592,4
FBtr0262705,2
FBtr0262715,2
FBtr0262764,2
FBtr0262787,9
FBtr0262815,1
FBtr0262990,2
FBtr0263095,2
FBtr0263112,2
FBtr0263164,2
FBtr0263224,3
FBtr0263417,1
