transcript_id,num_exon
XM_022011905.1,3
XM_022011906.1,2
XM_022011907.1,3
XM_022011908.1,3
XM_022011909.1,5
XM_022011910.1,4
XM_022011911.1,12
XM_022011912.1,3
XM_022011913.1,8
XM_022011914.1,2
XM_022011915.1,6
XM_022011916.1,8
XM_022011917.1,11
XM_022011918.1,10
XM_022011919.1,3
XM_022011920.1,7
XM_022011921.1,13
XM_022011922.1,8
XM_022011923.1,12
XM_022011924.1,1
XM_022011925.1,3
XM_022011926.1,3
XM_022011927.1,4
XM_022011928.1,5
XM_022011929.1,5
XM_022011930.1,5
XM_022011931.1,11
XM_022011932.1,4
XM_022011933.1,10
XM_022011934.1,3
XM_022011935.1,3
XM_022011936.1,10
XM_022011937.1,4
XM_022011938.1,1
XM_022011939.1,7
XM_022011940.1,6
XM_022011941.1,1
XM_022011942.1,5
XM_022011943.1,6
XM_022011944.1,3
XM_022011945.1,4
XM_022011946.1,4
XM_022011947.1,2
XM_022011948.1,6
XM_022011949.1,5
XM_022011950.1,4
XM_022011951.1,4
XM_022011952.1,2
XM_022011953.1,3
XM_022011954.1,5
XM_022011955.1,2
XM_022011956.1,2
XM_022011957.1,2
XM_022011958.1,4
XM_022011959.1,3
XM_022011960.1,11
XM_022011961.1,5
XM_022011962.1,5
XM_022011963.1,3
XM_022011964.1,3
XM_022011965.1,6
XM_022011966.1,1
XM_022011967.1,7
XM_022011968.1,10
XM_022011969.1,4
XM_022011970.1,9
XM_022011971.1,2
XM_022011972.1,7
XM_022011973.1,11
XM_022011974.1,2
XM_022011975.1,5
XM_022011976.1,2
XM_022011977.1,7
XM_022011978.1,10
XM_022011979.1,1
XM_022011980.1,1
XM_022011981.1,14
XM_022011982.1,6
XM_022011983.1,16
XM_022011984.1,1
XM_022011985.1,2
XM_022011986.1,2
XM_022011987.1,8
XM_022011988.1,1
XM_022011989.1,13
XM_022011990.1,6
XM_022011991.1,11
XM_022011992.1,4
XM_022011993.1,5
XM_022011994.1,4
XM_022011995.1,3
XM_022011996.1,4
XM_022011997.1,8
XM_022011998.1,8
XM_022011999.1,4
XM_022012000.1,3
XM_022012001.1,17
XM_022012002.1,10
XM_022012003.1,13
XM_022012004.1,3
XM_022012005.1,1
XM_022012006.1,4
XM_022012007.1,3
XM_022012008.1,6
XM_022012009.1,7
XM_022012010.1,9
XM_022012011.1,1
XM_022012012.1,4
XM_022012013.1,12
XM_022012014.1,2
XM_022012015.1,19
XM_022012016.1,4
XM_022012017.1,14
XM_022012018.1,3
XM_022012019.1,8
XM_022012020.1,6
XM_022012021.1,4
XM_022012022.1,11
XM_022012023.1,8
XM_022012024.1,9
XM_022012025.1,5
XM_022012026.1,9
XM_022012027.1,7
XM_022012028.1,18
XM_022012029.1,1
XM_022012030.1,3
XM_022012031.1,4
XM_022012032.1,3
XM_022012033.1,1
XM_022012034.1,3
XM_022012035.1,1
XM_022012036.1,3
XM_022012037.1,6
XM_022012038.1,6
XM_022012039.1,9
XM_022012040.1,9
XM_022012041.1,1
XM_022012042.1,8
XM_022012043.1,4
XM_022012044.1,3
XM_022012045.1,2
XM_022012046.1,7
XM_022012047.1,7
XM_022012048.1,2
XM_022012049.1,9
XM_022012050.1,1
XM_022012051.1,13
XM_022012052.1,6
XM_022012053.1,1
XM_022012054.1,6
XM_022012055.1,7
XM_022012056.1,6
XM_022012057.1,5
XM_022012058.1,2
XM_022012059.1,9
XM_022012060.1,3
XM_022012061.1,5
XM_022012062.1,10
XM_022012063.1,3
XM_022012064.1,1
XM_022012065.1,2
XM_022012066.1,5
XM_022012067.1,8
XM_022012068.1,5
XM_022012069.1,3
XM_022012070.1,4
XM_022012071.1,1
XM_022012072.1,2
XM_022012073.1,2
XM_022012074.1,7
XM_022012075.1,4
XM_022012076.1,1
XM_022012077.1,7
XM_022012078.1,5
XM_022012079.1,6
XM_022012080.1,1
XM_022012081.1,3
XM_022012082.1,5
XM_022012083.1,5
XM_022012084.1,4
XM_022012085.1,8
XM_022012086.1,2
XM_022012087.1,2
XM_022012088.1,13
XM_022012089.1,15
XM_022012090.1,1
XM_022012091.1,1
XM_022012092.1,2
XM_022012093.1,2
XM_022012094.1,3
XM_022012095.1,6
XM_022012096.1,3
XM_022012097.1,9
XM_022012098.1,19
XM_022012099.1,4
XM_022012100.1,7
XM_022012101.1,3
XM_022012102.1,2
XM_022012103.1,12
XM_022012104.1,3
XM_022012105.1,5
XM_022012106.1,4
XM_022012107.1,5
XM_022012108.1,3
XM_022012109.1,3
XM_022012110.1,3
XM_022012111.1,6
XM_022012112.1,4
XM_022012113.1,1
XM_022012114.1,2
XM_022012115.1,1
XM_022012116.1,11
XM_022012117.1,6
XM_022012118.1,2
XM_022012119.1,2
XM_022012120.1,3
XM_022012121.1,2
XM_022012122.1,12
XM_022012123.1,6
XM_022012124.1,5
XM_022012125.1,11
XM_022012126.1,4
XM_022012127.1,2
XM_022012128.1,7
XM_022012129.1,3
XM_022012130.1,1
XM_022012131.1,4
XM_022012132.1,6
XM_022012133.1,4
XM_022012134.1,4
XM_022012135.1,1
XM_022012136.1,5
XM_022012137.1,2
XM_022012138.1,3
XM_022012139.1,1
XM_022012140.1,7
XM_022012141.1,2
XM_022012142.1,3
XM_022012143.1,11
XM_022012144.1,4
XM_022012145.1,1
XM_022012146.1,3
XM_022012147.1,6
XM_022012148.1,7
XM_022012149.1,7
XM_022012150.1,4
XM_022012151.1,3
XM_022012152.1,1
XM_022012153.1,5
XM_022012154.1,7
XM_022012155.1,7
XM_022012156.1,3
XM_022012157.1,9
XM_022012158.1,10
XM_022012159.1,7
XM_022012160.1,8
XM_022012161.1,2
XM_022012162.1,14
XM_022012163.1,6
XM_022012164.1,5
XM_022012165.1,5
XM_022012166.1,3
XM_022012167.1,5
XM_022012168.1,8
XM_022012169.1,2
XM_022012170.1,1
XM_022012171.1,9
XM_022012172.1,3
XM_022012173.1,2
XM_022012174.1,5
XM_022012175.1,3
XM_022012176.1,2
XM_022012177.1,9
XM_022012178.1,6
XM_022012179.1,5
XM_022012180.1,5
XM_022012181.1,6
XM_022012182.1,9
XM_022012183.1,4
XM_022012184.1,7
XM_022012185.1,10
XM_022012186.1,2
XM_022012187.1,6
XM_022012188.1,4
XM_022012189.1,4
XM_022012190.1,5
XM_022012191.1,2
XM_022012192.1,7
XM_022012193.1,2
XM_022012194.1,20
XM_022012195.1,4
XM_022012196.1,6
XM_022012197.1,4
XM_022012198.1,3
XM_022012199.1,1
XM_022012200.1,2
XM_022012201.1,12
XM_022012202.1,8
XM_022012203.1,7
XM_022012204.1,6
XM_022012205.1,3
XM_022012206.1,5
XM_022012207.1,7
XM_022012208.1,6
XM_022012209.1,5
XM_022012210.1,8
XM_022012211.1,5
XM_022012212.1,5
XM_022012213.1,10
XM_022012214.1,8
XM_022012215.1,5
XM_022012216.1,5
XM_022012217.1,8
XM_022012218.1,5
XM_022012219.1,3
XM_022012220.1,4
XM_022012221.1,6
XM_022012222.1,4
XM_022012223.1,2
XM_022012224.1,11
XM_022012225.1,2
XM_022012226.1,2
XM_022012227.1,2
XM_022012228.1,7
XM_022012229.1,6
XM_022012230.1,2
XM_022012231.1,6
XM_022012232.1,4
XM_022012233.1,4
XM_022012234.1,14
XM_022012235.1,4
XM_022012236.1,3
XM_022012237.1,8
XM_022012238.1,2
XM_022012239.1,3
XM_022012240.1,1
XM_022012241.1,7
XM_022012242.1,3
XM_022012243.1,6
XM_022012244.1,3
XM_022012245.1,7
XM_022012246.1,7
XM_022012247.1,3
XM_022012248.1,1
XM_022012249.1,2
XM_022012250.1,3
XM_022012251.1,3
XM_022012252.1,2
XM_022012253.1,5
XM_022012254.1,6
XM_022012255.1,4
XM_022012256.1,10
XM_022012257.1,3
XM_022012258.1,3
XM_022012259.1,8
XM_022012260.1,3
XM_022012261.1,12
XM_022012262.1,4
XM_022012263.1,6
XM_022012264.1,1
XM_022012265.1,5
XM_022012266.1,2
XM_022012267.1,4
XM_022012268.1,2
XM_022012269.1,8
XM_022012270.1,2
XM_022012271.1,6
XM_022012272.1,3
XM_022012273.1,12
XM_022012274.1,2
XM_022012275.1,2
XM_022012276.1,6
XM_022012277.1,5
XM_022012278.1,9
XM_022012279.1,5
XM_022012280.1,3
XM_022012281.1,1
XM_022012282.1,5
XM_022012283.1,5
XM_022012284.1,4
XM_022012285.1,10
XM_022012286.1,2
XM_022012287.1,3
XM_022012288.1,2
XM_022012289.1,1
XM_022012290.1,3
XM_022012291.1,1
XM_022012292.1,4
XM_022012293.1,11
XM_022012294.1,8
XM_022012295.1,4
XM_022012296.1,3
XM_022012297.1,8
XM_022012298.1,2
XM_022012299.1,2
XM_022012300.1,4
XM_022012301.1,15
XM_022012302.1,2
XM_022012303.1,2
XM_022012304.1,3
XM_022012305.1,1
XM_022012306.1,2
XM_022012307.1,8
XM_022012308.1,10
XM_022012309.1,3
XM_022012310.1,1
XM_022012311.1,7
XM_022012312.1,4
XM_022012313.1,9
XM_022012314.1,3
XM_022012315.1,3
XM_022012316.1,8
