gene_id,num_transcript,num_exon,num_uniq_exon
POSPLADRAFT_1030222,1,10,10
POSPLADRAFT_1030265,1,2,2
POSPLADRAFT_1030291,1,3,3
POSPLADRAFT_1030461,1,9,9
POSPLADRAFT_1030524,1,3,3
POSPLADRAFT_1030719,1,4,4
POSPLADRAFT_1030979,1,1,1
POSPLADRAFT_1030989,1,3,3
POSPLADRAFT_1031009,1,6,6
POSPLADRAFT_1031033,1,5,5
POSPLADRAFT_1031052,1,1,1
POSPLADRAFT_1031118,1,6,6
POSPLADRAFT_1031127,1,4,4
POSPLADRAFT_1031130,1,7,7
POSPLADRAFT_1031139,1,3,3
POSPLADRAFT_1031142,1,2,2
POSPLADRAFT_1031151,1,13,13
POSPLADRAFT_1031197,1,4,4
POSPLADRAFT_1031241,1,5,5
POSPLADRAFT_1031306,1,3,3
POSPLADRAFT_1031315,1,1,1
POSPLADRAFT_1031326,1,4,4
POSPLADRAFT_1031423,1,2,2
POSPLADRAFT_1031429,1,9,9
POSPLADRAFT_1031433,1,2,2
POSPLADRAFT_1031452,1,2,2
POSPLADRAFT_1031509,1,2,2
POSPLADRAFT_1031656,1,2,2
POSPLADRAFT_1031706,1,2,2
POSPLADRAFT_1031978,1,4,4
POSPLADRAFT_1031991,1,3,3
POSPLADRAFT_1032132,1,5,5
POSPLADRAFT_1032151,1,9,9
POSPLADRAFT_1032156,1,10,10
POSPLADRAFT_1032191,1,3,3
POSPLADRAFT_1032196,1,2,2
POSPLADRAFT_1032304,1,1,1
POSPLADRAFT_1032348,1,3,3
POSPLADRAFT_1032351,1,16,16
POSPLADRAFT_1032356,1,4,4
POSPLADRAFT_1032415,1,8,8
POSPLADRAFT_1032422,1,5,5
POSPLADRAFT_1032448,1,6,6
POSPLADRAFT_1032471,1,1,1
POSPLADRAFT_1032489,1,2,2
POSPLADRAFT_1032492,1,8,8
POSPLADRAFT_1032493,1,9,9
POSPLADRAFT_1032494,1,3,3
POSPLADRAFT_1032512,1,5,5
POSPLADRAFT_1032533,1,1,1
POSPLADRAFT_1032585,1,1,1
POSPLADRAFT_1032657,1,5,5
POSPLADRAFT_1032679,1,3,3
POSPLADRAFT_1032749,1,2,2
POSPLADRAFT_1032764,1,3,3
POSPLADRAFT_1032778,1,1,1
POSPLADRAFT_1032852,1,7,7
POSPLADRAFT_1032930,1,7,7
POSPLADRAFT_1032950,1,6,6
POSPLADRAFT_1032960,1,5,5
POSPLADRAFT_1032988,1,8,8
POSPLADRAFT_1032989,1,3,3
POSPLADRAFT_1033010,1,6,6
POSPLADRAFT_1033078,1,2,2
POSPLADRAFT_1033148,1,6,6
POSPLADRAFT_1033157,1,2,2
POSPLADRAFT_1033210,1,2,2
POSPLADRAFT_1033238,1,3,3
POSPLADRAFT_1033303,1,1,1
POSPLADRAFT_1033307,1,3,3
POSPLADRAFT_1033309,2,29,24
POSPLADRAFT_1033348,1,12,12
POSPLADRAFT_1033373,1,2,2
POSPLADRAFT_1033460,1,15,15
POSPLADRAFT_1033474,1,5,5
POSPLADRAFT_1033535,1,2,2
POSPLADRAFT_1033543,1,11,11
POSPLADRAFT_1033545,1,3,3
POSPLADRAFT_1033552,1,3,3
POSPLADRAFT_1033568,1,2,2
POSPLADRAFT_1033599,1,1,1
POSPLADRAFT_1033601,1,4,4
POSPLADRAFT_1033602,1,8,8
POSPLADRAFT_1033639,1,5,5
POSPLADRAFT_1033713,1,2,2
POSPLADRAFT_1033730,1,5,5
POSPLADRAFT_1033801,1,4,4
POSPLADRAFT_1033838,1,3,3
POSPLADRAFT_1033853,1,5,5
POSPLADRAFT_1033861,1,4,4
POSPLADRAFT_1033994,1,5,5
POSPLADRAFT_1034008,1,6,6
POSPLADRAFT_1034013,1,3,3
POSPLADRAFT_1034037,1,4,4
POSPLADRAFT_1034066,1,6,6
POSPLADRAFT_1034108,1,13,13
POSPLADRAFT_1034110,1,4,4
POSPLADRAFT_1034117,1,6,6
POSPLADRAFT_1034118,1,3,3
POSPLADRAFT_1034119,1,12,12
POSPLADRAFT_1034168,1,2,2
POSPLADRAFT_1034177,1,3,3
POSPLADRAFT_1034178,1,3,3
POSPLADRAFT_1034192,1,12,12
POSPLADRAFT_1034220,1,2,2
POSPLADRAFT_1034228,1,1,1
POSPLADRAFT_1034274,1,3,3
POSPLADRAFT_1034352,1,1,1
POSPLADRAFT_1034362,1,3,3
POSPLADRAFT_1034421,1,8,8
POSPLADRAFT_1034453,1,3,3
POSPLADRAFT_1034477,1,4,4
POSPLADRAFT_1034545,1,2,2
POSPLADRAFT_1034583,1,5,5
POSPLADRAFT_1034595,1,9,9
POSPLADRAFT_1034636,1,2,2
POSPLADRAFT_1034767,1,6,6
POSPLADRAFT_1034815,1,2,2
POSPLADRAFT_1034904,1,3,3
POSPLADRAFT_1035065,1,3,3
POSPLADRAFT_1035090,1,6,6
POSPLADRAFT_1035227,1,4,4
POSPLADRAFT_1035275,1,2,2
POSPLADRAFT_1035359,1,1,1
POSPLADRAFT_1035467,1,2,2
POSPLADRAFT_1035502,1,5,5
POSPLADRAFT_1035538,1,4,4
POSPLADRAFT_1035616,1,3,3
POSPLADRAFT_1035629,1,9,9
POSPLADRAFT_1035841,1,2,2
POSPLADRAFT_1035846,1,2,2
POSPLADRAFT_1035915,1,3,3
POSPLADRAFT_1035984,1,6,6
POSPLADRAFT_1036010,1,2,2
POSPLADRAFT_1036061,1,4,4
POSPLADRAFT_1036165,1,2,2
POSPLADRAFT_1036231,1,2,2
POSPLADRAFT_1036253,1,10,10
POSPLADRAFT_1036277,1,2,2
POSPLADRAFT_1036307,1,4,4
POSPLADRAFT_1036335,1,2,2
POSPLADRAFT_1036365,1,3,3
POSPLADRAFT_1036367,1,5,5
POSPLADRAFT_1036441,1,8,8
POSPLADRAFT_1036489,1,5,5
POSPLADRAFT_1036653,1,3,3
POSPLADRAFT_1036657,1,2,2
POSPLADRAFT_1036666,1,2,2
POSPLADRAFT_1036728,1,4,4
POSPLADRAFT_1036843,1,2,2
POSPLADRAFT_1036849,1,4,4
POSPLADRAFT_1036854,1,11,11
POSPLADRAFT_1036894,1,3,3
POSPLADRAFT_1036949,1,3,3
POSPLADRAFT_1036961,1,13,13
POSPLADRAFT_1037059,1,2,2
