transcript_id,num_exon
NM_001292097.1,13
NM_001292098.1,8
NM_001292099.1,2
NM_001292101.1,3
NM_001292102.1,6
NM_001292103.1,5
NM_001292104.1,4
NM_001292106.1,4
NM_001292107.1,9
NM_001292108.1,8
NM_001292109.1,9
NM_001292110.1,9
NM_001292111.1,8
NM_001292112.1,4
NM_001292113.1,5
NM_001292114.1,7
NM_001292115.1,4
NM_001292116.1,11
NM_001292117.1,3
NM_001292118.1,3
NM_001292119.1,9
NM_001292120.1,7
NM_001292121.1,8
NM_001292122.1,6
NM_001292124.1,5
NM_001292125.1,8
NM_001292126.1,9
NM_001292127.1,5
NM_001292128.1,6
NM_001292128.1_1,6
NM_001292129.1,15
NM_001292130.1,3
NM_001292131.1,7
NM_001292132.1,11
NM_001292133.1,12
NM_001292134.1,5
NM_001292135.1,7
NM_001292136.1,5
NM_001292137.1,4
NM_001292138.1,11
NM_001292139.1,11
NM_001292140.1,11
NM_001292141.1,15
NM_001292142.1,3
NM_001292143.1,11
NM_001292144.1,11
NM_001292145.1,8
NM_001292146.1,15
NM_001292147.1,11
NM_001292148.1,4
NM_001292149.1,10
NM_001292150.1,7
NM_001292151.1,5
NM_001292152.1,8
NM_001292153.1,5
NM_001292154.1,5
NM_001292155.1,4
NM_001292156.1,6
NM_001292157.1,7
NM_001292158.1,8
NM_001292159.1,6
NM_001292160.1,13
NM_001292161.1,4
NM_001292162.1,3
NM_001292163.1,7
NM_001292164.1,7
NM_001292165.1,4
NM_001292166.1,5
NM_001292167.1,7
NM_001292168.1,4
NM_001292169.1,9
NM_001292170.1,5
NM_001292171.1,7
NM_001292172.1,11
NM_001292173.1,16
NM_001292174.1,14
NM_001292175.1,6
NM_001292176.1,7
NM_001292177.1,6
NM_001292178.1,5
NM_001292179.1,4
NM_001292180.1,4
NM_001292181.1,12
NM_001292182.1,8
NM_001292183.1,9
NM_001292184.1,9
NM_001292185.1,13
NM_001292186.1,5
NM_001292187.1,5
NM_001292188.1,11
NM_001292189.1,12
NM_001292190.1,1
NM_001292192.1,14
NM_001292193.1,4
NM_001292195.1,8
NM_001292196.1,4
NM_001292197.1,15
NM_001292198.1,4
NM_001292199.1,9
NM_001292200.1,7
NM_001292201.1,15
NM_001292202.1,3
NM_001292203.1,9
NM_001292204.1,3
NM_001292205.1,9
NM_001292206.1,2
NM_001292207.1,4
NM_001292208.1,7
NM_001292209.1,3
NM_001292210.1,14
NM_001292211.1,5
NM_001292212.1,9
NM_001292213.1,4
NM_001292214.1,9
NM_001292215.1,13
NM_001292216.1,10
NM_001292217.1,2
NM_001292218.1,11
NM_001292219.1,9
NM_001292220.1,4
NM_001292221.1,5
NM_001292221.1_1,1
NM_001292222.1,4
NM_001292223.1,7
NM_001292224.1,8
NM_001292225.1,13
NM_001292226.1,8
NM_001292227.1,5
NM_001292228.1,5
NM_001292230.1,7
NM_001292231.1,6
NM_001292232.1,6
NM_001292233.1,9
NM_001292234.1,5
NM_001292235.1,4
NM_001292236.1,4
NM_001292237.1,8
NM_001292238.1,2
NM_001292239.1,4
NM_001292240.1,9
NM_001292241.1,10
NM_001292242.1,9
NM_001292242.1_1,1
NM_001292243.1,3
NM_001292244.1,4
NM_001292245.1,6
NM_001292246.1,8
NM_001292247.1,5
NM_001292248.1,4
NM_001292249.1,2
NM_001292250.1,5
NM_001292251.1,4
NM_001292252.1,5
NM_001292253.1,8
NM_001292254.1,8
NM_001292255.1,9
NM_001292256.1,7
NM_001292257.1,8
NM_001292258.1,5
NM_001292259.1,8
NM_001292260.1,4
NM_001292262.1,4
NM_001292263.1,8
NM_001292264.1,9
NM_001292265.1,16
NM_001292266.1,3
NM_001292267.1,4
NM_001292268.1,15
NM_001292269.1,6
NM_001292270.1,7
NM_001292271.1,8
NM_001292272.1,6
NM_001292273.1,9
NM_001292274.1,5
NM_001292275.1,6
NM_001292276.1,3
NM_001292277.1,7
NM_001292278.1,4
NM_001292279.1,5
NM_001292280.1,7
NM_001292281.1,13
NM_001292282.1,10
NM_001292283.1,7
NM_001292284.1,5
NM_001292285.1,9
NM_001292286.1,9
NM_001292287.1,4
NM_001292288.1,4
NM_001292289.1,4
NM_001292290.1,4
NM_001292291.1,8
NM_001292292.1,13
NM_001292293.1,2
NM_001292294.1,8
NM_001292295.1,9
NM_001292296.1,8
NM_001292297.1,6
NM_001292298.1,9
NM_001292299.1,5
NM_001292300.1,8
NM_001292301.1,9
NM_001292302.1,7
NM_001292305.1,3
NM_001292306.1,16
NM_001292307.1,9
NM_001292308.1,4
NM_001292309.1,2
NM_001292310.1,10
NM_001292311.1,6
NM_001292312.1,4
NM_001292313.1,6
NM_001292314.1,5
NM_001292315.1,2
NM_001292316.1,4
NM_001292318.1,6
NM_001292319.1,8
NM_001292320.1,10
NM_001292321.1,9
NM_001292322.1,5
NM_001292323.1,4
NM_001292324.1,9
NM_001292325.1,1
NM_001292326.1,4
NM_001292327.1,7
NM_001292328.1,17
NM_001292329.1,6
NM_001292330.1,6
NM_001292331.1,12
NM_001292332.1,6
NM_001292333.1,5
NM_001292334.1,15
NM_001292335.1,7
NM_001292336.1,3
NM_001292337.1,15
NM_001292338.1,7
NM_001292339.1,7
NM_001292340.1,3
NM_001292341.1,3
NM_001292342.1,5
NM_001292343.1,3
NM_001292343.1_1,1
NM_001292344.1,8
NM_001292345.1,11
NM_001292346.1,3
NM_001292347.1,4
NM_001292348.1,6
NM_001292349.1,12
NM_001292350.1,7
NM_001292351.1,7
NM_001292352.1,4
NM_001292353.1,7
NM_001292354.1,8
NM_001292355.1,8
NM_001292356.1,4
NM_001292357.1,3
NM_001292358.1,14
NM_001292359.1,2
NM_001292360.1,7
NM_001292361.1,9
NM_001292362.1,2
NM_001292363.1,5
NM_001292364.1,11
NM_001292365.1,9
NM_001292366.1,6
NM_001292367.1,17
NM_001292369.1,9
NM_001292371.1,6
NM_001292372.1,5
NM_001292373.1,10
NM_001292374.1,7
NM_001292375.1,7
NM_001292376.1,4
NM_001292377.1,9
NM_001292378.1,6
NM_001292379.1,16
NM_001292380.1,3
NM_001292381.1,9
NM_001292382.1,2
NM_001292383.1,4
NM_001292384.1,1
NM_001292385.1,9
NM_001292386.1,6
NM_001292387.1,7
NM_001292388.1,15
NM_001292389.1,17
NM_001292390.1,14
NM_001292391.1,9
NM_001292392.1,3
NM_001292393.1,1
NM_001292394.1,4
NM_001292395.1,1
NM_001292396.1,9
NM_001292397.1,12
NM_001292398.1,11
NM_001292399.1,1
NM_001292400.1,8
NM_001292401.1,11
NM_001292402.1,13
NM_001292403.1,6
NM_001292404.1,2
NM_001292405.1,1
NM_001292406.1,13
NM_001292407.1,1
NM_001292408.1,5
NM_001292409.1,7
NM_001292410.1,4
NM_001292411.1,14
NM_001292412.1,7
NM_001292413.1,18
NM_001292414.1,7
NM_001292415.1,12
NM_001292416.1,7
NM_001292417.1,5
NM_001292418.1,12
NM_001292420.1,7
NM_001292421.1,4
NM_001292422.1,4
NM_001292423.1,6
NM_001292424.1,11
NM_001292425.1,2
NM_001292426.1,10
NM_001292427.1,8
NM_001292428.1,11
NM_001292429.1,8
NM_001292430.1,5
NM_001292431.2,7
NM_001292432.1,5
NM_001292433.1,5
NM_001292434.1,5
NM_001292435.1,7
NM_001292436.1,10
NM_001292437.1,10
NM_001292438.1,11
NM_001292439.1,10
NM_001292440.1,11
NM_001292441.1,4
NM_001292442.1,8
NM_001292443.1,4
NM_001292444.1,6
NM_001292445.1,5
NM_001292446.1,5
NM_001292447.1,11
NM_001292448.1,4
NM_001292449.1,4
NM_001292450.1,5
NM_001292451.1,6
NM_001292452.1,4
NM_001292453.1,6
NM_001292455.1,8
NM_001292456.1,4
NM_001292457.1,4
NM_001292459.1,6
NM_001292460.1,12
NM_001292461.1,5
NM_001292462.1,11
NM_001292463.1,18
NM_001292464.1,5
NM_001292465.1,8
NM_001292466.1,6
NM_001292467.1,2
NM_001292468.1,3
NM_001292469.1,7
NM_001292470.1,5
NM_001292471.1,9
NM_001292472.1,2
NM_001292473.1,4
NM_001292474.1,4
NM_001292475.1,4
NM_001292476.1,5
NM_001292477.1,9
NM_001292478.1,13
NM_001292479.1,10
NM_001292481.1,7
NM_001292482.1,2
NM_001292483.1,4
NM_001292484.1,6
NM_001292485.1,5
NM_001292486.1,6
NM_001292487.1,8
NM_001292488.1,4
NM_001292489.1,7
NM_001292490.1,13
NM_001292491.1,4
NM_001292492.1,5
NM_001292493.1,4
NM_001292494.1,5
NM_001292495.1,14
NM_001292497.1,6
NM_001292498.1,4
NM_001292499.1,7
NM_001292500.1,2
NM_001292502.1,12
NM_001292503.1,5
NM_001292504.1,7
NM_001292505.1,2
NM_001292507.1,11
NM_001292508.1,8
NM_001292509.1,10
NM_001292510.1,4
NM_001292511.1,5
NM_001292512.1,11
NM_001292513.1,4
NM_001292514.1,7
NM_001292515.1,5
NM_001292516.1,9
NM_001292517.1,12
NM_001292518.1,7
NM_001292519.1,6
NM_001292520.1,8
NM_001292521.1,11
NM_001292522.1,2
NM_001292523.1,3
NM_001292524.1,6
NM_001292525.1,1
NM_001292526.1,6
NM_001292527.1,4
NM_001292528.1,11
NM_001292529.1,8
NM_001292530.1,8
NM_001292531.1,9
NM_001292532.1,8
NM_001292534.1,4
NM_001292535.1,4
