transcript_id,num_exon
XM_019528456.1,1
XM_019528457.1,31
XM_019528458.1,8
XM_019528459.1,64
XM_019528460.1,3
XM_019528461.1,3
XM_019528462.1,2
XM_019528463.1,3
XM_019528464.1,7
XM_019528465.1,6
XM_019528466.1,9
XM_019528467.1,9
XM_019528468.1,14
XM_019528469.1,9
XM_019528470.1,5
XM_019528471.1,2
XM_019528472.1,33
XM_019528473.1,8
XM_019528474.1,41
XM_019528475.1,13
XM_019528476.1,1
XM_019528477.1,12
XM_019528478.1,1
XM_019528479.1,4
XM_019528480.1,11
XM_019528481.1,10
XM_019528482.1,10
XM_019528483.1,2
XM_019528484.1,8
XM_019528485.1,48
XM_019528486.1,23
XM_019528487.1,24
XM_019528488.1,4
XM_019528489.1,2
XM_019528490.1,9
XM_019528491.1,18
XM_019528492.1,6
XM_019528493.1,32
XM_019528494.1,22
XM_019528495.1,2
XM_019528496.1,1
XM_019528497.1,2
XM_019528498.1,39
XM_019528499.1,4
XM_019528500.1,3
XM_019528501.1,8
XM_019528502.1,22
XM_019528503.1,82
XM_019528504.1,1
XM_019528505.1,3
XM_019528506.1,2
XM_019528507.1,3
XM_019528508.1,45
XM_019528509.1,5
XM_019528510.1,2
XM_019528511.1,3
XM_019528512.1,19
XM_019528513.1,4
XM_019528514.1,13
XM_019528515.1,3
XM_019528516.1,12
XM_019528517.1,5
XM_019528518.1,8
XM_019528519.1,13
XM_019528520.1,27
XM_019528521.1,4
XM_019528522.1,6
XM_019528523.1,33
XM_019528524.1,2
XM_019528525.1,3
XM_019528526.1,2
XM_019528527.1,19
XM_019528528.1,10
XM_019528529.1,9
XM_019528530.1,4
XM_019528531.1,9
XM_019528532.1,6
XM_019528533.1,9
XM_019528534.1,11
XM_019528535.1,8
XM_019528536.1,7
XM_019528537.1,10
XM_019528538.1,1
XM_019528539.1,4
XM_019528540.1,2
XM_019528541.1,11
XM_019528542.1,7
XM_019528543.1,4
XM_019528544.1,11
XM_019528545.1,8
XM_019528546.1,1
XM_019528547.1,11
XM_019528548.1,18
XM_019528549.1,11
XM_019528550.1,4
XM_019528551.1,9
XM_019528552.1,5
XM_019528553.1,39
XM_019528554.1,4
XM_019528555.1,10
XM_019528556.1,10
XM_019528557.1,5
XM_019528558.1,9
XM_019528559.1,1
XM_019528560.1,2
XM_019528561.1,2
XM_019528562.1,1
XM_019528563.1,28
XM_019528564.1,3
XM_019528565.1,5
XM_019528566.1,11
XM_019528567.1,9
XM_019528568.1,8
XM_019528569.1,7
XM_019528570.1,3
XM_019528571.1,17
XM_019528572.1,17
XM_019528573.1,3
XM_019528574.1,8
XM_019528575.1,25
XM_019528576.1,3
XM_019528577.1,2
XM_019528578.1,2
XM_019528579.1,2
XM_019528580.1,6
XM_019528581.1,6
XM_019528582.1,6
XM_019528583.1,6
XM_019528584.1,5
