transcript_id,num_exon
LOC102345283,4
LOC102345493,2
LOC102346495,2
LOC102347183,2
LOC102347208,8
LOC102347866,4
LOC102347986,2
LOC102348128,1
LOC102348324,8
LOC102348646,1
LOC102348831,5
LOC102349102,2
LOC102349615,2
LOC102350156,2
LOC102350172,2
LOC102350424,4
LOC102350434,4
LOC102350484,2
LOC102350680,2
LOC102351000,4
LOC102351260,2
LOC102351521,2
LOC102352030,1
LOC102352067,2
LOC102352105,1
LOC102352346,2
LOC102352383,2
LOC102352616,2
LOC102352654,2
LOC102352884,2
LOC102352929,2
LOC102353414,2
LOC102354312,1
LOC102354771,1
LOC102354827,4
LOC102355802,2
LOC102356192,2
LOC102356293,2
LOC102357162,1
LOC102357607,5
LOC102357769,2
LOC102358486,2
LOC102359760,1
LOC102359811,2
LOC102360544,2
LOC102360803,4
LOC102361318,2
LOC102361665,2
LOC102361846,5
LOC102361942,2
LOC102362102,6
LOC102362116,2
LOC102367490,2
LOC106701881,2
LOC106701888,3
LOC106701889,2
LOC106701890,2
LOC106702087,2
LOC106702106,2
LOC106702234,2
LOC106702243,2
LOC106702369,2
LOC106702478,2
LOC106703669,2
LOC106703670,2
LOC106703671,2
LOC106703672,2
LOC106703673,3
LOC106703675,2
LOC106703677,2
LOC106703678,2
LOC106703679,2
LOC106703682,3
LOC106704477,7
LOC106704478,2
LOC106704479,2
LOC106704481,2
LOC106704482,2
LOC106704483,2
LOC106705619,1
LOC106705832,2
LOC106705833,2
LOC106705834,2
LOC106705836,7
LOC106705837,3
LOC106705839,2
LOC106706321,2
LOC106706935,2
LOC106706981,2
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_2,1
TRNAA-AGC_3,1
TRNAA-AGC_4,1
TRNAA-CGC,1
TRNAA-CGC_1,1
TRNAA-CGC_2,1
TRNAA-UGC,1
TRNAA-UGC_1,1
TRNAA-UGC_10,1
TRNAA-UGC_11,1
TRNAA-UGC_12,1
TRNAA-UGC_13,1
TRNAA-UGC_14,1
TRNAA-UGC_15,1
TRNAA-UGC_16,1
TRNAA-UGC_17,1
TRNAA-UGC_2,1
TRNAA-UGC_3,1
TRNAA-UGC_4,1
TRNAA-UGC_5,1
TRNAA-UGC_6,1
TRNAA-UGC_7,1
TRNAA-UGC_8,1
TRNAA-UGC_9,1
TRNAC-ACA,1
TRNAC-ACA_1,1
TRNAC-ACA_2,1
TRNAC-ACA_3,1
TRNAC-ACA_4,1
TRNAC-GCA,1
TRNAC-GCA_1,1
TRNAC-GCA_10,1
TRNAC-GCA_11,1
TRNAC-GCA_12,1
TRNAC-GCA_13,1
TRNAC-GCA_14,1
TRNAC-GCA_2,1
TRNAC-GCA_3,1
TRNAC-GCA_4,1
TRNAC-GCA_5,1
TRNAC-GCA_6,1
TRNAC-GCA_7,1
TRNAC-GCA_8,1
TRNAC-GCA_9,1
TRNAD-GUC,1
TRNAD-GUC_1,1
TRNAD-GUC_10,1
TRNAD-GUC_11,1
TRNAD-GUC_12,1
TRNAD-GUC_2,1
TRNAD-GUC_3,1
TRNAD-GUC_4,1
TRNAD-GUC_5,1
TRNAD-GUC_6,1
TRNAD-GUC_7,1
TRNAD-GUC_8,1
TRNAD-GUC_9,1
TRNAE-CUC,1
TRNAE-CUC_1,1
TRNAE-CUC_2,1
TRNAE-CUC_3,1
TRNAE-CUC_4,1
TRNAE-CUC_5,1
TRNAE-CUC_6,1
TRNAE-UUC,1
TRNAE-UUC_1,1
TRNAE-UUC_2,1
TRNAE-UUC_3,1
TRNAE-UUC_4,1
TRNAE-UUC_5,1
TRNAE-UUC_6,1
TRNAE-UUC_7,1
TRNAE-UUC_8,1
TRNAE-UUC_9,1
TRNAF-GAA,1
TRNAF-GAA_1,1
TRNAF-GAA_2,1
TRNAF-GAA_3,1
TRNAF-GAA_4,1
TRNAF-GAA_5,1
TRNAF-GAA_6,1
TRNAG-CCC,1
TRNAG-CCC_1,1
TRNAG-GCC,1
TRNAG-GCC_1,1
TRNAG-GCC_2,1
TRNAG-GCC_3,1
TRNAG-GCC_4,1
TRNAG-GCC_5,1
TRNAG-GCC_6,1
TRNAG-GCC_7,1
TRNAG-UCC,1
TRNAG-UCC_1,1
TRNAG-UCC_2,1
TRNAG-UCC_3,1
TRNAG-UCC_4,1
TRNAH-GUG,1
TRNAH-GUG_1,1
TRNAH-GUG_2,1
TRNAH-GUG_3,1
TRNAI-AAU,1
TRNAI-AAU_1,1
TRNAI-AAU_2,1
TRNAI-AAU_3,1
TRNAI-AAU_4,1
TRNAI-AAU_5,1
TRNAI-AAU_6,1
TRNAI-UAU,2
TRNAI-UAU_1,2
TRNAI-UAU_2,1
TRNAI-UAU_3,2
TRNAI-UAU_4,1
TRNAK-CUU,1
TRNAK-CUU_1,1
TRNAK-CUU_10,1
TRNAK-CUU_2,1
TRNAK-CUU_3,1
TRNAK-CUU_4,1
TRNAK-CUU_5,1
TRNAK-CUU_6,1
TRNAK-CUU_7,1
TRNAK-CUU_8,1
TRNAK-CUU_9,1
TRNAK-UUU,1
TRNAK-UUU_1,1
TRNAK-UUU_10,1
TRNAK-UUU_11,1
TRNAK-UUU_12,1
TRNAK-UUU_13,1
TRNAK-UUU_14,1
TRNAK-UUU_15,1
TRNAK-UUU_16,1
TRNAK-UUU_17,1
TRNAK-UUU_18,1
TRNAK-UUU_19,1
TRNAK-UUU_2,1
TRNAK-UUU_20,1
TRNAK-UUU_3,1
TRNAK-UUU_4,1
TRNAK-UUU_5,1
TRNAK-UUU_6,1
TRNAK-UUU_7,1
TRNAK-UUU_8,1
TRNAK-UUU_9,1
TRNAL-AAG,1
TRNAL-AAG_1,1
TRNAL-AAG_2,1
TRNAL-AAG_3,1
TRNAL-CAA,2
TRNAL-CAA_1,2
TRNAL-CAA_2,2
TRNAL-CAA_3,2
TRNAL-CAG,1
TRNAL-CAG_1,1
TRNAL-CAG_2,1
TRNAL-CAG_3,1
TRNAL-CAG_4,1
TRNAL-CAG_5,1
TRNAL-CAG_6,1
TRNAL-CAG_7,1
TRNAL-UAA,1
TRNAL-UAA_1,1
TRNAL-UAA_2,1
TRNAL-UAA_3,1
TRNAL-UAA_4,1
TRNAL-UAA_5,1
TRNAL-UAA_6,1
TRNAL-UAG,1
TRNAL-UAG_1,1
TRNAL-UAG_2,1
TRNAL-UAG_3,1
TRNAM-CAU,1
TRNAM-CAU_1,1
TRNAM-CAU_10,1
TRNAM-CAU_2,1
TRNAM-CAU_3,1
TRNAM-CAU_4,1
TRNAM-CAU_5,1
TRNAM-CAU_6,1
TRNAM-CAU_7,1
TRNAM-CAU_8,1
TRNAM-CAU_9,1
TRNAN-AUU,1
TRNAN-AUU_1,1
TRNAN-AUU_2,1
TRNAN-GUU,1
TRNAN-GUU_1,1
TRNAN-GUU_2,1
TRNAN-GUU_3,1
TRNAN-GUU_4,1
TRNAN-GUU_5,1
TRNAN-GUU_6,1
TRNAP-AGG,1
TRNAP-AGG_1,1
TRNAP-AGG_10,1
TRNAP-AGG_2,1
TRNAP-AGG_3,1
TRNAP-AGG_4,1
TRNAP-AGG_5,1
TRNAP-AGG_6,1
TRNAP-AGG_7,1
TRNAP-AGG_8,1
TRNAP-AGG_9,1
TRNAP-CGG,1
TRNAP-CGG_1,1
TRNAP-CGG_2,1
TRNAP-CGG_3,1
TRNAP-UGG,1
TRNAP-UGG_1,1
TRNAP-UGG_2,1
TRNAP-UGG_3,1
TRNAP-UGG_4,1
TRNAP-UGG_5,1
TRNAP-UGG_6,1
TRNAP-UGG_7,1
TRNAQ-CUG,1
TRNAQ-CUG_1,1
TRNAQ-CUG_2,1
TRNAQ-CUG_3,1
TRNAQ-CUG_4,1
TRNAQ-CUG_5,1
TRNAQ-UUG,1
TRNAQ-UUG_1,1
TRNAQ-UUG_2,1
TRNAQ-UUG_3,1
TRNAQ-UUG_4,1
TRNAQ-UUG_5,1
TRNAR-ACG,1
TRNAR-ACG_1,1
TRNAR-ACG_2,1
TRNAR-ACG_3,1
TRNAR-CCG,1
TRNAR-CCU,1
TRNAR-CCU_1,1
TRNAR-CCU_2,1
TRNAR-CCU_3,1
TRNAR-CCU_4,1
TRNAR-CCU_5,1
TRNAR-CCU_6,1
TRNAR-CCU_7,1
TRNAR-UCG,1
TRNAR-UCG_1,1
TRNAR-UCG_2,1
TRNAR-UCU,2
TRNAR-UCU_1,2
TRNAR-UCU_2,1
TRNAR-UCU_3,2
TRNAR-UCU_4,1
TRNAR-UCU_5,1
TRNAR-UCU_6,2
TRNAR-UCU_7,1
TRNAR-UCU_8,1
TRNAS-AGA,1
TRNAS-AGA_1,1
TRNAS-AGA_2,1
TRNAS-CGA,1
TRNAS-CGA_1,1
TRNAS-CGA_2,1
TRNAS-GCU,1
TRNAS-GCU_1,1
TRNAS-GCU_2,1
TRNAS-GCU_3,1
TRNAS-GCU_4,1
TRNAS-GCU_5,1
TRNAS-GCU_6,1
TRNAS-UGA,1
TRNAS-UGA_1,1
TRNAS-UGA_2,1
TRNAS-UGA_3,1
TRNAS-UGA_4,1
TRNASTOP-CUA,1
TRNASTOP-CUA_1,1
