gene_id,num_transcript,num_exon,num_uniq_exon
FBgn0013162,1,4,4
FBgn0013163,1,4,4
FBgn0013164,1,6,6
FBgn0013165,1,1,1
FBgn0013166,1,2,2
FBgn0013168,1,2,2
FBgn0013171,2,12,8
FBgn0013172,1,3,3
FBgn0013173,1,2,2
FBgn0013174,1,3,3
FBgn0013176,1,4,4
FBgn0013924,1,1,1
FBgn0013927,2,6,5
FBgn0015215,2,11,6
FBgn0015691,2,8,5
FBgn0017652,2,14,8
FBgn0017654,1,1,1
FBgn0020061,1,15,15
FBgn0020062,1,1,1
FBgn0020063,1,1,1
FBgn0020664,2,12,8
FBgn0020665,1,2,2
FBgn0020944,1,4,4
FBgn0020945,2,5,4
FBgn0020949,1,1,1
FBgn0020950,1,1,1
FBgn0022409,3,33,15
FBgn0022412,1,2,2
FBgn0022414,1,2,2
FBgn0022418,1,4,4
FBgn0022816,1,3,3
FBgn0022818,1,6,6
FBgn0022822,1,3,3
FBgn0022824,1,2,2
FBgn0022825,2,6,4
FBgn0022826,3,18,12
FBgn0022827,1,1,1
FBgn0022828,1,1,1
FBgn0022829,1,2,2
FBgn0024766,1,3,3
FBgn0025012,2,6,4
FBgn0025015,1,2,2
FBgn0025397,1,1,1
FBgn0025398,1,1,1
FBgn0027797,1,4,4
FBgn0028749,1,2,2
FBgn0028750,1,2,2
FBgn0029186,1,4,4
FBgn0029187,1,3,3
FBgn0029191,1,2,2
FBgn0041637,1,6,6
FBgn0041638,1,6,6
FBgn0041639,1,4,4
FBgn0041640,4,59,19
FBgn0041642,1,19,19
FBgn0041643,1,13,13
FBgn0041644,1,2,2
FBgn0041645,1,2,2
FBgn0041646,1,5,5
FBgn0041647,1,15,15
FBgn0041648,2,8,7
FBgn0042715,8,67,20
FBgn0042719,1,1,1
FBgn0042720,1,1,1
FBgn0042721,1,1,1
FBgn0042722,1,3,3
FBgn0042723,1,5,5
FBgn0042724,1,1,1
FBgn0042725,2,9,6
FBgn0042726,1,2,2
FBgn0042728,1,2,2
FBgn0043389,3,23,10
FBgn0043598,2,12,7
FBgn0043599,1,3,3
FBgn0043601,1,4,4
FBgn0043602,2,7,6
FBgn0043603,1,7,7
FBgn0043604,6,77,18
FBgn0044135,1,3,3
FBgn0044136,1,2,2
FBgn0044479,1,2,2
FBgn0044885,1,2,2
FBgn0045505,16,347,50
FBgn0046713,1,5,5
FBgn0046889,1,2,2
FBgn0046891,2,15,9
FBgn0046892,4,12,6
FBgn0046894,1,2,2
FBgn0061211,1,1,1
FBgn0064246,1,4,4
FBgn0064247,1,3,3
FBgn0064248,1,2,2
FBgn0064249,2,13,7
FBgn0064253,1,5,5
FBgn0064254,1,3,3
FBgn0064255,5,85,21
FBgn0064259,1,2,2
FBgn0066133,4,32,10
FBgn0066134,1,4,4
FBgn0066135,2,4,3
FBgn0066136,1,6,6
FBgn0066137,1,2,2
FBgn0066138,1,4,4
FBgn0066139,1,9,9
FBgn0067106,8,42,17
FBgn0067423,1,2,2
FBgn0067424,9,55,12
FBgn0067425,1,3,3
FBgn0067426,1,3,3
FBgn0067427,1,3,3
FBgn0067428,2,14,8
FBgn0067429,1,5,5
FBgn0067430,1,2,2
FBgn0067431,4,26,14
FBgn0067432,1,7,7
FBgn0067433,1,4,4
FBgn0067434,1,2,2
FBgn0067435,1,9,9
FBgn0067436,1,2,2
FBgn0067437,1,8,8
FBgn0067438,1,5,5
FBgn0067439,1,4,4
FBgn0067440,1,3,3
FBgn0067441,1,1,1
FBgn0067442,1,3,3
FBgn0067443,5,25,11
FBgn0067444,1,4,4
FBgn0067445,1,12,12
FBgn0067446,1,2,2
FBgn0067447,1,4,4
FBgn0067448,1,4,4
FBgn0067449,1,5,5
FBgn0067450,4,22,11
FBgn0067451,2,6,4
FBgn0067452,1,4,4
FBgn0067453,1,1,1
FBgn0067454,1,2,2
FBgn0067915,1,2,2
FBgn0067916,1,5,5
FBgn0067917,1,4,4
FBgn0067918,8,63,17
FBgn0067919,1,3,3
FBgn0067920,1,4,4
FBgn0067921,1,4,4
FBgn0067922,4,37,15
FBgn0067923,6,37,12
FBgn0067924,1,3,3
FBgn0067925,1,2,2
FBgn0067926,1,3,3
FBgn0067927,3,10,7
FBgn0067928,1,2,2
FBgn0067929,3,10,5
FBgn0067930,2,8,5
FBgn0067931,2,4,3
FBgn0067932,1,5,5
FBgn0067933,3,9,5
FBgn0067934,1,3,3
FBgn0067935,1,5,5
FBgn0067936,1,7,7
FBgn0067937,1,5,5
FBgn0067938,1,4,4
FBgn0067939,1,2,2
FBgn0067941,1,3,3
FBgn0067942,3,17,8
FBgn0067943,2,5,5
FBgn0067944,3,13,7
FBgn0067945,1,2,2
FBgn0067947,1,5,5
FBgn0067948,1,4,4
FBgn0067949,1,2,2
FBgn0067950,1,2,2
FBgn0067951,11,58,18
FBgn0067952,1,3,3
FBgn0067953,1,1,1
FBgn0067954,2,10,6
FBgn0067955,1,1,1
FBgn0067956,1,4,4
FBgn0067957,2,8,6
FBgn0067958,1,1,1
FBgn0067959,2,5,4
FBgn0067960,1,2,2
FBgn0067961,1,2,2
FBgn0067962,1,3,3
FBgn0067963,2,5,5
FBgn0067964,1,2,2
FBgn0067965,1,2,2
FBgn0067966,2,6,4
FBgn0067967,11,156,28
FBgn0067968,1,1,1
FBgn0067969,9,254,32
FBgn0067970,1,2,2
FBgn0067971,3,17,10
FBgn0067972,2,8,5
FBgn0067973,2,4,3
FBgn0067974,5,35,11
FBgn0067975,5,26,15
FBgn0067976,1,1,1
FBgn0067977,1,7,7
FBgn0067978,1,6,6
FBgn0067979,2,12,7
FBgn0067980,4,32,11
FBgn0067981,2,8,5
FBgn0067982,3,16,9
FBgn0067983,2,6,5
FBgn0067984,2,5,3
FBgn0067985,1,3,3
FBgn0067986,2,29,16
FBgn0067987,1,7,7
FBgn0067988,3,13,8
FBgn0067989,1,2,2
FBgn0067990,2,10,8
FBgn0067991,1,4,4
FBgn0067992,1,3,3
FBgn0067993,1,15,15
FBgn0067994,3,20,9
FBgn0067995,1,2,2
FBgn0067996,2,8,6
FBgn0067997,1,2,2
FBgn0067998,1,9,9
FBgn0067999,1,1,1
FBgn0068000,2,8,6
FBgn0068001,1,5,5
FBgn0068002,4,15,7
FBgn0068003,1,3,3
FBgn0068004,2,5,4
FBgn0068005,1,4,4
FBgn0068006,1,1,1
FBgn0068007,2,4,3
FBgn0068008,1,6,6
FBgn0068009,1,5,5
FBgn0068010,1,5,5
FBgn0068011,1,2,2
FBgn0068012,1,3,3
FBgn0068013,4,24,9
FBgn0068014,2,5,4
FBgn0068015,1,4,4
FBgn0068016,2,9,7
FBgn0068017,2,9,7
FBgn0068018,1,12,12
FBgn0068019,3,15,10
FBgn0068020,11,85,19
FBgn0068021,1,3,3
FBgn0068022,1,2,2
FBgn0068023,1,3,3
FBgn0068024,1,8,8
FBgn0068025,1,2,2
FBgn0068026,4,15,10
FBgn0068027,1,5,5
FBgn0068028,1,3,3
FBgn0068029,1,3,3
FBgn0068030,1,3,3
FBgn0068031,1,3,3
FBgn0068032,2,5,4
FBgn0068033,1,2,2
FBgn0068034,1,2,2
FBgn0068035,1,1,1
FBgn0068036,2,5,4
FBgn0068037,1,3,3
FBgn0068038,1,4,4
FBgn0068039,2,11,6
FBgn0068040,1,5,5
FBgn0068041,1,7,7
FBgn0068042,1,2,2
FBgn0068043,1,4,4
FBgn0068044,1,1,1
FBgn0068045,1,3,3
FBgn0068046,1,4,4
FBgn0068047,1,3,3
FBgn0068048,1,6,6
FBgn0068049,1,2,2
FBgn0068050,1,2,2
FBgn0068051,1,2,2
FBgn0068052,1,2,2
FBgn0068053,1,3,3
FBgn0068054,1,4,4
FBgn0068055,1,3,3
FBgn0068056,1,3,3
FBgn0068057,3,8,5
FBgn0068058,1,3,3
FBgn0068059,1,3,3
FBgn0068060,1,4,4
FBgn0068061,1,2,2
FBgn0068062,1,1,1
FBgn0068063,1,3,3
FBgn0068064,1,4,4
FBgn0068065,2,11,7
FBgn0068066,1,3,3
FBgn0068068,1,2,2
FBgn0068069,1,2,2
FBgn0068070,3,9,5
FBgn0068071,1,3,3
FBgn0068072,1,3,3
FBgn0068073,1,3,3
FBgn0068074,1,4,4
FBgn0068075,1,3,3
FBgn0068076,1,3,3
FBgn0068077,1,2,2
FBgn0068078,1,4,4
FBgn0068079,1,3,3
FBgn0068080,1,4,4
FBgn0068081,1,4,4
FBgn0068082,1,5,5
FBgn0068083,1,4,4
FBgn0068084,5,26,10
FBgn0068085,1,3,3
FBgn0068086,2,6,4
FBgn0068087,2,11,8
FBgn0068088,1,7,7
FBgn0068089,1,3,3
FBgn0068090,2,8,5
FBgn0068091,2,5,4
FBgn0068092,1,3,3
FBgn0068093,1,2,2
FBgn0068094,1,4,4
FBgn0068095,2,15,8
FBgn0068096,1,3,3
FBgn0068097,6,50,18
FBgn0068098,1,2,2
FBgn0068099,1,3,3
FBgn0068100,4,44,15
FBgn0068101,3,21,11
FBgn0068102,1,2,2
FBgn0068103,1,2,2
FBgn0068104,2,6,5
FBgn0068105,2,12,7
FBgn0068106,1,2,2
FBgn0068107,1,3,3
FBgn0068108,1,2,2
FBgn0068109,1,2,2
FBgn0068110,1,2,2
FBgn0068111,1,3,3
FBgn0068112,1,3,3
FBgn0068113,1,3,3
FBgn0068114,1,2,2
FBgn0068115,1,3,3
FBgn0068116,1,6,6
FBgn0068117,2,4,3
FBgn0068118,1,2,2
FBgn0068119,1,9,9
FBgn0068120,1,2,2
FBgn0068121,1,3,3
FBgn0068122,1,8,8
FBgn0068124,7,34,11
FBgn0068125,1,3,3
FBgn0068126,28,491,31
FBgn0068127,1,3,3
FBgn0068128,3,8,6
FBgn0068129,1,1,1
FBgn0068130,1,1,1
FBgn0068131,1,10,10
