transcript_id,num_exon
XM_002436264.2,6
XM_002436265.2,1
XM_002436268.2,4
XM_002436272.2,1
XM_002436274.2,5
XM_002436278.2,2
XM_002436282.1,1
XM_002436283.2,1
XM_002436285.2,14
XM_002436287.2,2
XM_002436291.2,5
XM_002436292.2,4
XM_002436293.2,5
XM_002436297.2,7
XM_002436298.2,4
XM_002436302.2,6
XM_002436303.2,1
XM_002436304.2,4
XM_002436305.2,10
XM_002436307.2,10
XM_002436309.2,6
XM_002436310.2,1
XM_002436311.2,4
XM_002436312.2,8
XM_002436313.2,6
XM_002436314.2,9
XM_002436321.2,1
XM_002436324.2,8
XM_002436325.2,4
XM_002436327.2,3
XM_002436328.2,11
XM_002436329.2,19
XM_002436331.2,4
XM_002436335.2,2
XM_002436336.2,1
XM_002436337.2,3
XM_002436339.2,4
XM_002436340.2,8
XM_002436341.2,1
XM_002436343.2,7
XM_002436344.2,7
XM_002436345.2,1
XM_002436348.2,16
XM_002436349.2,4
XM_002436351.2,3
XM_002436352.2,1
XM_002436353.2,5
XM_002436354.2,2
XM_002436356.2,5
XM_002436357.2,5
XM_002436358.2,5
XM_002436359.2,2
XM_002436360.2,1
XM_002436361.2,13
XM_002436362.2,26
XM_002436363.2,4
XM_002436365.2,3
XM_002436366.2,13
XM_002436367.2,7
XM_002436368.2,3
XM_002436369.2,1
XM_002436371.2,1
XM_002436372.2,3
XM_002436373.2,14
XM_002436375.2,1
XM_002436376.2,1
XM_002436377.2,2
XM_002436378.2,3
XM_002436379.2,8
XM_002436384.1,1
XM_002436388.2,2
XM_002436390.2,4
XM_002436391.2,1
XM_002436392.2,8
XM_002436394.2,1
XM_002436395.2,2
XM_002436396.2,3
XM_002436400.2,2
XM_002436401.2,2
XM_002436403.2,3
XM_002436404.2,3
XM_002436405.2,4
XM_002436407.2,9
XM_002436408.2,8
XM_002436411.2,9
XM_002436412.2,7
XM_002436413.2,5
XM_002436417.2,8
XM_002436418.2,1
XM_002436419.2,2
XM_002436422.2,6
XM_002436423.2,6
XM_002436426.2,4
XM_002436428.2,4
XM_002436429.2,1
XM_002436433.2,3
XM_002436435.2,5
XM_002436436.2,12
XM_002436437.2,2
XM_002436443.2,4
XM_002436446.2,1
XM_002436447.2,6
XM_002436448.2,3
XM_002436449.2,9
XM_002436450.2,2
XM_002436451.2,2
XM_002436453.2,12
XM_002436454.2,1
XM_002436455.2,11
XM_002436458.2,8
XM_002436459.2,9
XM_002436460.2,7
XM_002436462.2,3
XM_002436463.2,7
XM_002436464.2,5
XM_002436465.2,1
XM_002436466.2,1
XM_002436467.2,19
XM_002436468.2,19
XM_002436469.2,2
XM_002436470.2,3
XM_002436471.2,12
XM_002436473.2,3
XM_002436476.2,9
XM_002436477.2,1
XM_002436479.1,1
XM_002436482.2,1
XM_002436484.2,14
XM_002436486.1,1
XM_002436490.1,1
XM_002436491.2,3
XM_002436492.2,3
XM_002436496.2,13
XM_002436497.2,10
XM_002436501.2,21
XM_002436503.2,7
XM_002436504.2,1
XM_002436505.2,5
XM_002436506.2,2
XM_002436507.2,1
XM_002436508.2,4
XM_002436512.1,1
XM_002436515.2,6
XM_002436518.2,11
XM_002436519.2,5
XM_002436521.2,10
XM_002436522.2,3
XM_002436523.2,1
XM_002436524.2,2
XM_002436528.2,6
XM_002436530.2,9
XM_002436533.2,5
XM_002436536.2,3
XM_002436537.2,12
XM_002436538.2,2
XM_002436539.2,16
XM_002436542.2,12
XM_002436543.2,1
XM_002436544.2,4
XM_002436546.2,4
XM_002436547.2,5
XM_002436552.2,1
XM_002436553.2,1
XM_002436556.2,8
XM_002436557.2,2
XM_002436558.2,1
XM_002436562.2,6
XM_002436565.2,4
XM_002436567.2,1
XM_002436568.2,1
XM_002436569.2,6
XM_002436570.2,2
XM_002436572.2,19
XM_002436573.2,5
XM_002436574.2,1
XM_002436575.2,6
XM_002436576.2,7
XM_002436579.2,2
XM_002436580.2,1
XM_002436581.2,2
XM_002436583.2,3
XM_002436584.2,1
XM_002436585.2,2
XM_002436586.2,3
XM_002436589.2,7
XM_002436590.2,7
XM_002436591.2,6
XM_002436594.2,3
XM_002436595.2,1
XM_002436598.2,7
XM_002436599.2,1
XM_002436607.2,1
XM_002436609.2,11
XM_002436610.2,6
XM_002436611.2,2
XM_002436612.2,3
XM_002436613.2,3
XM_002436617.2,11
XM_002436618.2,6
XM_002436619.2,1
XM_002436623.2,1
XM_002436624.2,5
XM_002436625.2,3
XM_002436626.2,3
XM_002436627.2,5
XM_002436631.2,2
XM_002436632.2,2
XM_002436633.2,5
XM_002436634.2,4
XM_002436635.2,4
XM_002436636.2,1
XM_002436637.2,4
XM_002436638.2,38
XM_002436639.2,6
XM_002436640.2,4
XM_002436641.2,10
XM_002436642.2,1
XM_002436643.2,6
XM_002436646.2,4
XM_002436648.2,2
XM_002436649.2,1
XM_002436650.2,1
XM_002436653.2,7
XM_002436655.2,1
XM_002436657.2,1
XM_002436658.2,1
XM_002436661.2,2
XM_002436662.2,23
XM_002436664.2,5
XM_002436665.2,9
XM_002436668.2,10
XM_002436669.2,2
XM_002436670.2,2
XM_002436672.2,1
XM_002436673.2,4
XM_002436674.2,7
XM_002436676.2,2
XM_002436677.2,5
XM_002436679.2,11
XM_002436680.2,6
XM_002436681.2,2
XM_002436682.2,1
XM_002436685.2,5
XM_002436688.1,1
XM_002436693.2,3
XM_002436695.2,12
XM_002436696.2,1
XM_002436699.2,2
XM_002436700.2,1
XM_002436702.1,1
XM_002436706.2,4
XM_002436707.2,2
XM_002436708.2,8
XM_002436709.2,2
XM_002436713.2,39
XM_002436714.2,3
XM_002436715.2,7
XM_002436716.2,6
XM_002436718.2,8
XM_002436719.2,4
XM_002436720.2,6
XM_002436721.2,2
XM_002436723.2,2
XM_002436724.2,2
XM_002436726.2,3
XM_002436727.2,3
XM_002436728.2,2
XM_002436730.2,1
XM_002436732.2,1
XM_002436733.2,1
XM_002436737.2,10
XM_002436738.2,5
XM_002436739.2,4
XM_002436740.2,9
XM_002436741.2,5
XM_002436743.2,5
XM_002436744.2,10
XM_002436745.2,8
XM_002436746.2,1
XM_002436747.2,3
XM_002436748.2,22
XM_002436749.2,1
XM_002436762.1,1
XM_002436765.2,1
XM_002436767.2,6
XM_002436768.2,2
XM_002436769.2,6
XM_002436770.2,3
XM_002436771.2,2
XM_002436772.2,42
XM_002436777.2,1
XM_002436778.2,1
XM_002436779.2,2
XM_002436781.2,4
XM_002436786.2,2
XM_002436787.2,6
XM_002436788.2,4
XM_002436792.2,1
