transcript_id,num_exon
LOC100852304,2
NM_001001133.2,19
NM_001001134.1,10
NM_001001135.3,54
NM_001001136.3,1
NM_001001137.1,11
NM_001001138.1,5
NM_001001139.2,7
NM_001001140.1,2
NM_001001142.1,5
NM_001001143.2,10
NM_001001145.1,5
NM_001001147.1,9
NM_001001148.1,6
NM_001001149.2,5
NM_001001150.2,9
NM_001001151.2,7
NM_001001153.2,6
NM_001001154.1,4
NM_001001156.1,23
NM_001001157.1,4
NM_001001158.1,35
NM_001001159.1,4
NM_001001161.2,11
NM_001001162.1,11
NM_001001163.1,5
NM_001001164.1,6
NM_001001166.1,17
NM_001001168.1,14
NM_001001169.1,4
NM_001001170.1,12
NM_001001171.1,12
NM_001001172.3,5
NM_001001173.2,27
NM_001001174.2,3
NM_001001175.2,4
NM_001001439.3,5
NM_001001440.2,12
NM_001001441.2,15
NM_001001442.1,15
NM_001001443.1,9
NM_001001525.3,3
NM_001001526.2,22
NM_001001597.1,9
NM_001001598.2,13
NM_001001599.1,5
NM_001001601.1,12
NM_001001853.1,4
NM_001001854.2,4
NM_001001855.3,4
NM_001001856.1,8
NM_001002237.1,7
NM_001002763.1,21
NM_001002882.1,11
NM_001002883.2,11
NM_001002884.1,9
NM_001002885.1,3
NM_001002886.1,4
NM_001002888.1,6
NM_001002889.1,12
NM_001002890.1,7
NM_001002891.1,5
NM_001002892.2,6
NM_001003657.1,9
NM_001003658.2,6
NM_001003900.1,4
NM_001003901.1,3
NM_001003902.1,3
NM_001003903.3,3
NM_001003904.3,11
NM_001003905.1,6
NM_001003906.1,14
NM_001004024.3,17
NM_001007076.1,1
NM_001007805.1,4
NM_001007806.2,8
NM_001007807.1,1
NM_001007808.1,3
NM_001007809.2,24
NM_001007810.3,3
NM_001007811.2,20
NM_001007812.3,5
NM_001007813.2,6
NM_001007814.2,11
NM_001007815.1,3
NM_001007816.1,2
NM_001007817.1,8
NM_001007818.1,6
NM_001007819.1,22
NM_001007820.3,3
NM_001008412.2,3
NM_001008413.3,4
NM_001008414.2,3
NM_001008415.1,9
NM_001008416.1,5
NM_001008663.1,9
NM_001008664.1,6
NM_001008665.1,15
NM_001008666.1,9
NM_001008667.1,10
NM_001008668.2,6
NM_001008669.1,4
NM_001008670.1,4
NM_001009572.1,4
NM_001010991.1,15
NM_001010992.5,2
NM_001010993.3,1
NM_001010994.3,5
NM_001010995.2,9
NM_001010996.1,9
NM_001011672.2,2
NM_001011673.1,1
NM_001011674.1,10
NM_001011675.1,2
NM_001011676.3,5
NM_001011677.1,6
NM_001011678.2,5
NM_001011679.1,8
NM_001011680.3,14
NM_001011681.3,14
NM_001011682.2,2
NM_001011683.2,5
NM_001011685.1,15
NM_001012281.1,9
NM_001012282.1,20
NM_001012283.3,5
NM_001012284.1,24
NM_001012285.2,18
NM_001012286.1,5
NM_001012287.1,14
NM_001012399.1,6
NM_001012519.1,10
NM_001012666.2,8
NM_001012668.2,18
NM_001012669.1,47
NM_001012670.2,11
NM_001012671.2,24
NM_001012672.1,6
NM_001012673.1,19
NM_001012674.2,6
NM_001012675.2,5
NM_001012676.3,5
