transcript_id,num_exon
NM_001279537.1,16
NM_001279539.1,1
NM_001279544.1,10
NM_001279549.1,7
NM_001279551.1,8
NM_001279553.1,3
NM_001279556.1,2
NM_001279559.1,24
NM_001279568.1,3
NM_001279570.1,10
NM_001279585.1,8
NM_001279587.1,3
NM_001279591.1,18
NM_001279594.1,6
NM_001279597.1,10
NM_001279600.1,5
NM_001279603.1,7
NM_001279606.1,29
NM_001279609.1,13
NM_001279612.1,10
NM_001279616.1,4
NM_001279625.1,5
NM_001279631.1,4
NM_001279640.1,7
NM_001279641.1,8
NM_001279649.1,10
NM_001279652.1,4
NM_001279654.1,4
NM_001279659.1,4
NM_001279662.1,4
NM_001279682.1,11
NM_001279685.1,15
NM_001279691.1,6
NM_001279694.1,3
NM_001279697.1,3
NM_001279701.1,11
NM_001279707.1,6
NM_001279709.1,4
NM_001279713.1,4
NM_001279717.1,2
NM_001279718.1,1
NM_001279722.1,5
NM_001279724.1,5
NM_001279725.1,9
NM_001279728.1,4
NM_001279731.1,3
NM_001279739.1,14
NM_001279745.1,24
NM_001279747.1,5
NM_001279748.1,14
NM_001279752.1,4
NM_001279754.1,5
NM_001279755.1,5
NM_001279761.1,13
NM_001279763.1,4
NM_001279764.1,1
NM_001291511.1,13
NM_001293723.1,11
NM_001300774.1,22
NM_001301735.1,12
NM_001303546.1,17
NM_001304541.1,1
NM_001308065.1,1
NM_001367591.1,8
NM_001367592.1,3
NM_001367592.1_1,5
NM_001367593.1,9
NM_001367594.1,8
NM_001367595.1,9
XM_004024407.2,1
XM_004024471.3,11
XM_004024472.3,4
XM_004024473.3,3
XM_004024479.3,5
XM_004024489.3,12
XM_004024506.3,6
XM_004024541.2,12
XM_004024542.3,37
XM_004024543.3,4
XM_004024544.3,4
XM_004024545.3,7
XM_004024546.3,22
XM_004024558.3,4
XM_004024564.3,11
XM_004024565.1,11
XM_004024566.3,11
XM_004024567.3,6
XM_004024568.3,5
XM_004024569.3,6
XM_004024571.3,4
XM_004024584.3,5
XM_004024586.3,5
XM_004024591.3,9
XM_004024595.3,12
XM_004024612.3,11
XM_004024615.3,18
XM_004024620.3,8
XM_004024625.3,21
XM_004024634.3,5
XM_004024639.3,11
XM_004024642.3,2
XM_004024643.3,21
XM_004024644.3,6
XM_004024645.3,6
XM_004024646.3,5
XM_004024647.3,6
XM_004024648.3,5
XM_004024649.3,6
XM_004024650.3,9
XM_004024651.3,9
XM_004024652.3,5
XM_004024653.2,5
XM_004024655.3,23
XM_004024658.3,12
XM_004024663.2,10
XM_004024665.2,4
XM_004024678.3,4
XM_004024680.3,4
XM_004024682.2,4
XM_004024685.3,3
XM_004024694.3,4
XM_004024695.3,4
XM_004024701.3,2
XM_004024712.3,3
XM_004024714.3,4
XM_004024715.2,3
XM_004024717.3,8
XM_004024718.3,8
XM_004024720.3,7
XM_004024721.3,6
XM_004024722.3,5
XM_004024723.3,9
XM_004024727.3,15
XM_004024728.3,16
XM_004024731.3,3
XM_004024732.2,2
XM_004024733.3,19
XM_004024746.3,5
XM_004024747.3,10
XM_004024751.3,8
XM_004024752.3,7
XM_004024764.3,16
XM_004024765.3,9
XM_004024768.3,16
XM_004024771.3,16
XM_004024772.3,3
XM_004024774.3,1
XM_004024777.3,15
XM_004024780.3,9
XM_004024782.3,8
XM_004024783.2,23
XM_004024785.3,7
XM_004024786.3,9
XM_004024787.3,10
XM_004024788.3,9
XM_004024803.3,3
XM_004024810.3,4
XM_004024813.3,5
XM_004024815.3,5
XM_004024818.3,5
XM_004024823.3,1
XM_004024824.2,4
XM_004024825.2,8
XM_004024843.3,12
XM_004024844.3,12
XM_004024846.3,25
XM_004024847.3,25
XM_004024848.3,27
XM_004024850.3,5
XM_004024855.2,18
XM_004024856.2,19
XM_004024861.3,3
XM_004024862.3,3
XM_004024869.2,19
XM_004024870.2,21
XM_004024873.3,1
XM_004024874.3,10
XM_004024875.3,11
XM_004024878.3,3
XM_004024881.2,10
XM_004024884.3,3
XM_004024889.3,11
XM_004024890.1,12
XM_004024891.3,12
XM_004024892.1,6
XM_004024894.3,10
XM_004024896.1,9
XM_004024898.3,2
XM_004024909.3,6
XM_004024913.3,5
XM_004024915.3,7
XM_004024916.3,7
XM_004024919.3,6
XM_004025173.2,16
XM_004025174.3,16
XM_004025175.2,16
XM_004025177.3,5
XM_004025178.3,5
XM_004025179.3,5
XM_004025180.1,5
XM_004025187.3,7
XM_004025189.3,5
XM_004025190.3,7
XM_004025195.3,9
XM_004025196.3,12
XM_004025197.2,7
XM_004025199.3,7
XM_004025200.3,7
XM_004025204.3,4
XM_004025206.3,3
XM_004025208.3,5
XM_004025213.3,11
XM_004025215.3,11
XM_004025216.2,8
XM_004025218.2,9
XM_004025220.3,3
XM_004025222.3,3
XM_004025223.3,2
XM_004025225.2,3
XM_004025226.2,10
XM_004025237.3,4
XM_004025239.2,21
XM_004025240.3,22
XM_004025244.3,16
XM_004025246.2,4
XM_004025247.2,4
XM_004025248.3,1
XM_004025249.3,7
XM_004025250.3,5
XM_004025251.3,4
XM_004025252.2,2
XM_004025254.3,12
