transcript_id,num_exon
XM_013422405.1,2
XM_013422423.1,1
XM_013422448.1,2
XM_013422449.1,2
XM_013422478.1,1
XM_013422496.1,1
XM_013422517.1,4
XM_013422541.1,1
XM_013422554.1,3
XM_013422657.1,3
XM_013422739.1,1
XM_013422741.1,1
XM_013422774.1,1
XM_013422804.1,1
XM_013422868.1,9
XM_013422872.1,1
XM_013422874.1,2
XM_013422878.1,1
XM_013422976.1,2
XM_013422977.1,1
XM_013423003.1,2
XM_013423044.1,1
XM_013423113.1,2
XM_013423218.1,1
XM_013423237.1,2
XM_013423242.1,1
XM_013423334.1,2
XM_013423395.1,1
XM_013423430.1,2
XM_013423527.1,1
XM_013423626.1,1
XM_013423630.1,1
XM_013423659.1,1
XM_013423694.1,2
XM_013423697.1,2
XM_013423726.1,2
XM_013423915.1,2
XM_013424005.1,2
XM_013424177.1,1
XM_013424246.1,2
XM_013424285.1,1
XM_013424486.1,1
XM_013424494.1,2
XM_013424637.1,3
XM_013424739.1,1
XM_013424775.1,3
XM_013424810.1,5
XM_013424938.1,3
XM_013424962.1,1
XM_013425042.1,1
XM_013425052.1,3
XM_013425062.1,2
XM_013425063.1,1
XM_013425069.1,1
XM_013425082.1,2
XM_013425085.1,2
XM_013425091.1,1
XM_013425093.1,1
XM_013425095.1,3
XM_013425100.1,2
XM_013425101.1,2
XM_013425102.1,1
XM_013425106.1,1
XM_013425108.1,2
XM_013425115.1,1
XM_013425116.1,1
XM_013425117.1,2
XM_013425118.1,2
XM_013425120.1,1
XM_013425121.1,1
XM_013425122.1,2
XM_013425123.1,2
XM_013425125.1,2
XM_013425126.1,2
XM_013425127.1,1
XM_013425128.1,2
XM_013425129.1,3
XM_013425132.1,2
XM_013425133.1,1
XM_013425134.1,2
XM_013425135.1,6
XM_013425136.1,3
XM_013425137.1,1
XM_013425138.1,3
XM_013425139.1,1
XM_013425141.1,1
XM_013425142.1,1
XM_013425143.1,2
XM_013425144.1,4
XM_013425148.1,1
XM_013425150.1,1
XM_013425151.1,3
XM_013425152.1,2
XM_013425154.1,1
XM_013425155.1,2
XM_013425156.1,1
XM_013425157.1,3
XM_013425158.1,1
XM_013425159.1,2
XM_013425160.1,2
XM_013425161.1,2
XM_013425162.1,1
XM_013425164.1,1
XM_013425165.1,1
XM_013425167.1,2
XM_013425168.1,1
XM_013425170.1,1
XM_013425171.1,2
XM_013425173.1,1
XM_013425174.1,1
XM_013425177.1,2
XM_013425178.1,1
XM_013425180.1,2
XM_013425181.1,2
XM_013425182.1,1
XM_013425183.1,2
XM_013425184.1,2
XM_013425185.1,1
XM_013425186.1,1
XM_013425188.1,1
XM_013425189.1,4
XM_013425190.1,1
XM_013425191.1,2
XM_013425192.1,1
XM_013425193.1,2
XM_013425195.1,2
XM_013425196.1,2
XM_013425198.1,2
XM_013425199.1,1
XM_013425200.1,1
XM_013425201.1,2
XM_013425202.1,3
XM_013425204.1,1
XM_013425205.1,1
XM_013425207.1,2
XM_013425208.1,2
XM_013425209.1,1
XM_013425211.1,4
XM_013425213.1,2
XM_013425214.1,1
XM_013425215.1,1
XM_013425216.1,5
XM_013425221.1,3
XM_013425222.1,1
XM_013425223.1,4
XM_013425224.1,1
XM_013425227.1,2
XM_013425228.1,2
XM_013425229.1,2
XM_013425230.1,2
XM_013425233.1,3
XM_013425234.1,1
XM_013425235.1,2
XM_013425237.1,1
XM_013425239.1,1
XM_013425240.1,1
XM_013425241.1,1
XM_013425243.1,1
XM_013425244.1,2
XM_013425245.1,2
XM_013425246.1,1
XM_013425248.1,2
XM_013425251.1,2
XM_013425252.1,2
XM_013425253.1,1
XM_013425254.1,2
XM_013425257.1,3
XM_013425260.1,1
XM_013425262.1,2
XM_013425264.1,2
XM_013425265.1,3
XM_013425272.1,1
XM_013425274.1,1
XM_013425275.1,1
XM_013425276.1,2
XM_013425277.1,1
XM_013425278.1,2
XM_013425279.1,1
XM_013425280.1,3
XM_013425284.1,1
XM_013425285.1,1
XM_013425286.1,2
XM_013425287.1,2
XM_013425288.1,2
XM_013425289.1,1
XM_013425290.1,1
XM_013425293.1,1
XM_013425295.1,1
XM_013425296.1,1
XM_013425297.1,2
XM_013425298.1,2
XM_013425299.1,1
XM_013425300.1,1
XM_013425302.1,1
XM_013425303.1,1
XM_013425304.1,1
XM_013425306.1,8
XM_013425308.1,1
XM_013425311.1,1
XM_013425313.1,1
XM_013425315.1,2
XM_013425317.1,2
XM_013425318.1,2
XM_013425322.1,1
XM_013425323.1,1
XM_013425324.1,3
XM_013425326.1,3
XM_013425329.1,3
XM_013425341.1,1
XM_013425347.1,1
XM_013425352.1,1
XM_013425360.1,1
XM_013425361.1,1
XM_013425374.1,2
XM_013425385.1,1
XM_013425409.1,1
XM_013425431.1,1
XM_013425538.1,1
XM_013425556.1,1
XM_013425580.1,1
XM_013425668.1,2
XM_013425706.1,1
XM_013425754.1,5
XM_013425773.1,3
XM_013425831.1,1
XM_013425838.1,1
XM_013425875.1,1
XM_013425876.1,1
XM_013425922.1,2
XM_013425958.1,2
XM_013425967.1,1
XM_013425985.1,1
