gene_id,num_transcript,num_exon,num_uniq_exon
A1BG,1,8,8
A1CF,3,36,16
A2M,3,106,38
A2ML1,2,61,38
A3GALT2,1,5,5
A4GALT,7,19,8
A4GNT,1,3,3
AAAS,2,31,16
AACS,1,14,14
AADAC,2,11,8
AADACL3,1,4,4
AADACL4,1,4,4
AADAT,3,41,17
AAED1,1,5,5
AAGAB,4,39,13
AAK1,1,22,22
AAMDC,4,16,7
AAMP,2,23,15
AANAT,2,9,6
AAR2,2,8,5
AARS,1,21,21
AARS2,1,22,22
AARSD1,1,12,12
AASDH,3,39,16
AASDHPPT,1,6,6
AASS,1,23,23
AATF,1,12,12
AATK,1,15,15
ABAT,1,16,16
ABCA1,2,99,51
ABCA10,1,40,40
ABCA12,1,51,51
ABCA13,1,62,62
ABCA2,1,46,46
ABCA3,2,63,32
ABCA4,1,50,50
ABCA5,2,77,40
ABCA6,1,39,39
ABCA7,1,45,45
ABCA8,3,116,41
ABCA9,2,79,41
ABCB1,1,29,29
ABCB10,1,12,12
ABCB11,1,28,28
ABCB4,3,80,29
ABCB5,1,27,27
ABCB6,1,19,19
ABCB7,5,78,19
ABCB8,4,64,21
ABCB9,4,46,13
ABCC10,1,22,22
ABCC11,3,89,31
ABCC12,2,60,33
ABCC2,1,32,32
ABCC3,1,31,31
ABCC4,1,31,31
ABCC5,3,67,33
ABCC6,1,30,30
ABCC8,1,39,39
ABCC9,1,40,40
ABCD1,2,21,14
ABCD2,1,9,9
ABCD3,4,87,25
ABCD4,2,35,21
ABCE1,2,38,21
ABCF1,3,74,26
ABCF2,2,32,17
ABCF3,2,42,23
ABCG1,6,91,20
ABCG2,2,32,17
ABCG4,2,30,16
ABCG5,1,13,13
ABCG8,1,13,13
ABHD1,1,10,10
ABHD10,2,11,6
ABHD11,5,28,12
ABHD12,1,13,13
ABHD12B,2,25,13
ABHD13,1,2,2
ABHD14A,1,5,5
ABHD14B,3,13,7
ABHD15,1,4,4
ABHD16A,1,20,20
ABHD16B,1,1,1
ABHD17A,1,6,6
ABHD17B,1,5,5
ABHD17C,1,3,3
ABHD2,2,24,14
ABHD3,1,8,8
ABHD4,3,20,10
ABHD5,1,7,7
ABHD6,1,8,8
ABHD8,2,10,6
ABI1,13,129,15
ABI2,10,101,18
ABI3,2,16,9
ABL1,2,22,12
ABLIM1,6,134,29
ABLIM2,5,89,25
ABLIM3,2,43,26
ABO,1,6,6
ABR,1,21,21
ABRA,1,3,3
ABRACL,3,10,7
ABT1,1,3,3
ABTB1,3,36,16
ABTB2,1,17,17
ACAA1,3,35,15
ACAA2,1,10,10
ACACA,4,226,62
ACACB,1,54,54
ACAD11,1,20,20
ACAD8,1,11,11
ACAD9,3,53,20
ACADL,1,11,11
ACADM,5,57,14
ACADS,2,20,11
ACADSB,1,11,11
ACADVL,2,39,20
ACAN,1,22,22
ACAP1,1,22,22
ACAP2,1,25,25
ACAP3,1,22,22
ACAT1,1,12,12
ACAT2,2,18,10
ACBD3,1,8,8
ACBD4,1,11,11
ACBD5,7,85,17
ACBD6,2,17,10
ACBD7,1,4,4
ACCS,3,45,18
ACCSL,1,14,14
ACD,1,15,15
ACE,3,52,26
ACER1,1,6,6
ACER2,1,6,6
ACER3,4,42,14
ACHE,2,9,7
ACIN1,5,81,24
ACKR1,2,4,4
ACKR2,1,1,1
ACKR3,1,1,1
ACKR4,1,2,2
ACLY,1,30,30
ACMSD,2,20,12
ACO1,3,65,24
ACO2,1,17,17
ACOT11,1,16,16
ACOT12,1,15,15
ACOT13,2,6,5
ACOT2,1,4,4
ACOT4,1,3,3
ACOT6,1,2,2
ACOT7,3,27,11
ACOT8,1,6,6
ACOT9,1,14,14
ACOX1,5,72,21
ACOX2,1,15,15
ACOX3,1,18,18
ACOXL,1,18,18
ACP1,2,12,8
ACP2,4,40,13
ACP5,3,20,9
ACP6,1,10,10
ACPP,2,21,13
ACPT,1,11,11
ACR,1,6,6
ACRBP,1,10,10
ACRC,1,11,11
ACRV1,6,32,11
ACSBG1,3,44,18
ACSBG2,5,76,22
ACSF2,1,18,18
ACSF3,2,21,12
ACSL1,2,43,24
ACSL3,1,17,17
ACSL4,3,49,20
ACSL5,1,21,21
ACSL6,5,106,26
ACSM1,1,14,14
ACSM3,1,14,14
ACSM5,1,14,14
ACSM6,1,4,4
ACSS1,2,27,17
ACSS2,3,55,20
ACSS3,1,16,16
ACTA1,1,7,7
ACTA2,3,27,11
ACTB,1,4,4
ACTBL2,2,3,3
ACTC1,2,13,8
ACTG1,3,18,8
ACTG2,2,17,9
ACTL10,1,1,1
ACTL6A,1,14,14
ACTL6B,2,28,16
ACTL7A,1,1,1
ACTL7B,1,1,1
ACTL8,1,2,2
ACTL9,1,1,1
ACTN1,5,106,24
ACTN2,1,19,19
ACTN3,1,20,20
ACTN4,4,85,23
ACTR10,1,12,12
ACTR1A,3,31,13
ACTR1B,1,12,12
ACTR2,1,9,9
ACTR3,4,47,19
ACTR3B,4,44,14
ACTR5,1,11,11
ACTR6,1,11,11
ACTR8,2,26,15
ACTRT2,1,1,1
ACTRT3,1,2,2
ACVR1,3,35,14
ACVR1B,4,31,12
ACVR1C,4,33,10
ACVR2A,2,23,13
ACVR2B,1,17,17
ACVRL1,1,11,11
ACY1,1,11,11
ACY3,1,8,8
ACYP1,4,12,6
ACYP2,2,9,6
ADA,2,23,12
ADAD1,3,37,17
ADAD2,1,12,12
ADAL,3,27,12
ADAM10,1,16,16
ADAM11,3,74,30
ADAM12,1,23,23
ADAM15,1,24,24
ADAM17,2,37,19
ADAM19,2,45,24
ADAM2,3,61,22
ADAM20,1,2,2
ADAM21,1,2,2
ADAM22,5,154,34
ADAM23,1,26,26
ADAM28,1,21,21
ADAM29,1,4,4
ADAM30,1,3,3
ADAM32,1,19,19
ADAM33,1,23,23
ADAM7,1,22,22
ADAM8,1,23,23
ADAM9,2,43,22
ADAMDEC1,2,27,14
ADAMTS1,1,9,9
ADAMTS10,3,62,28
ADAMTS12,2,46,25
ADAMTS13,1,29,29
ADAMTS14,2,42,22
ADAMTS15,1,8,8
ADAMTS16,1,22,22
ADAMTS17,1,20,20
ADAMTS18,1,23,23
ADAMTS19,1,24,24
ADAMTS2,1,24,24
ADAMTS20,1,39,39
ADAMTS3,1,22,22
ADAMTS4,1,9,9
ADAMTS5,1,8,8
ADAMTS6,1,18,18
ADAMTS7,1,25,25
ADAMTS8,1,11,11
ADAMTS9,2,79,40
ADAMTSL1,1,29,29
ADAMTSL2,3,57,22
ADAMTSL3,2,60,32
ADAMTSL4,3,56,21
ADAMTSL5,1,11,11
ADAP1,5,52,15
ADAP2,1,11,11
ADAR,4,60,18
ADARB1,1,10,10
ADARB2,1,10,10
ADAT1,2,21,12
ADAT2,1,6,6
ADAT3,1,1,1
ADCK1,2,19,10
ADCK2,1,10,10
ADCK3,2,30,17
ADCK4,1,15,15
ADCK5,1,12,12
ADCY1,1,20,20
ADCY10,3,96,35
ADCY2,1,24,24
ADCY3,1,23,23
ADCY4,4,103,30
ADCY5,2,42,22
ADCY6,2,41,22
ADCY7,3,66,31
ADCY8,2,33,20
ADCY9,1,11,11
ADCYAP1,1,4,4
ADCYAP1R1,1,5,5
ADD1,6,91,21
ADD2,4,59,21
ADD3,8,122,25
ADGB,1,36,36
ADGRA1,2,10,7
ADGRA2,1,23,23
ADGRA3,1,17,17
ADGRB2,3,96,36
ADGRB3,2,63,32
ADGRD1,2,51,28
ADGRD2,1,22,22
ADGRE1,2,39,22
ADGRE5,1,14,14
ADGRF1,2,28,16
ADGRF2,1,8,8
ADGRF3,2,25,16
ADGRF4,1,10,10
ADGRF5,4,82,23
ADGRG1,6,85,22
ADGRG2,9,240,30
ADGRG3,1,12,12
ADGRG4,2,46,26
ADGRG5,2,23,13
ADGRG6,1,26,26
ADGRL1,2,45,23
ADGRL2,2,46,31
ADGRL3,1,26,26
ADGRL4,1,15,15
ADGRV1,1,90,90
ADH4,2,19,11
ADH5,1,9,9
ADH7,1,8,8
ADHFE1,1,14,14
ADI1,1,4,4
ADIG,2,6,4
ADIPOQ,2,7,5
ADIPOR1,1,8,8
ADIPOR2,2,17,10
