transcript_id,num_exon
XM_002143094.1,2
XM_002143095.1,2
XM_002143099.1,1
XM_002143104.1,3
XM_002143105.1,2
XM_002143179.1,2
XM_002143233.1,1
XM_002143241.1,2
XM_002143252.1,2
XM_002143280.1,2
XM_002143338.1,2
XM_002143586.1,3
XM_002143641.1,2
XM_002143642.1,1
XM_002143658.1,3
XM_002143762.1,2
XM_002143782.1,1
XM_002143898.1,3
XM_002143938.1,1
XM_002143944.1,8
XM_002144044.1,2
XM_002144066.1,1
XM_002144122.1,3
XM_002144151.1,1
XM_002144255.1,2
XM_002144317.1,2
XM_002144360.1,2
XM_002144486.1,3
XM_002144487.1,3
XM_002144488.1,2
XM_002144501.1,3
XM_002144502.1,2
XM_002144616.1,2
XM_002144664.1,3
XM_002144752.1,9
XM_002144818.1,6
XM_002144943.1,2
XM_002144982.1,2
XM_002144996.1,2
XM_002144997.1,3
XM_002145008.1,3
XM_002145090.1,3
XM_002145091.1,2
XM_002145128.1,1
XM_002145135.1,2
XM_002145137.1,2
XM_002145155.1,2
XM_002145168.1,1
XM_002145191.1,1
XM_002145275.1,2
XM_002145278.1,2
XM_002145377.1,1
XM_002145472.1,1
XM_002145587.1,1
XM_002145602.1,2
XM_002145603.1,1
XM_002145612.1,2
XM_002145673.1,4
XM_002145708.1,2
XM_002145838.1,3
XM_002145848.1,2
XM_002145880.1,3
XM_002145881.1,2
XM_002145884.1,1
XM_002145887.1,1
XM_002145935.1,3
XM_002146265.1,1
XM_002146327.1,1
XM_002146366.1,2
XM_002146383.1,3
XM_002146425.1,2
XM_002146427.1,1
XM_002146440.1,3
XM_002146570.1,3
XM_002146642.1,1
XM_002146678.1,1
XM_002146722.1,2
XM_002146724.1,1
XM_002146733.1,1
XM_002146855.1,2
XM_002146919.1,4
XM_002146920.1,4
XM_002146921.1,3
XM_002146922.1,2
XM_002146991.1,1
XM_002147104.1,1
XM_002147127.1,2
XM_002147128.1,3
XM_002147150.1,2
XM_002147157.1,2
XM_002147165.1,3
XM_002147169.1,1
XM_002147187.1,3
XM_002147222.1,3
XM_002147273.1,3
XM_002147309.1,1
XM_002147313.1,1
XM_002147360.1,2
XM_002147406.1,3
XM_002147648.1,1
XM_002147676.1,2
XM_002147678.1,2
XM_002147679.1,1
XM_002147723.1,4
XM_002147725.1,2
XM_002147835.1,6
XM_002147879.1,1
XM_002147898.1,2
XM_002147958.1,4
XM_002147960.1,3
XM_002148002.1,2
XM_002148010.1,2
XM_002148058.1,2
XM_002148171.1,2
XM_002148173.1,2
XM_002148182.1,4
XM_002148280.1,2
XM_002148303.1,1
XM_002148323.1,2
XM_002148330.1,2
XM_002148493.1,2
XM_002148511.1,3
XM_002148513.1,2
XM_002148535.1,2
XM_002148539.1,2
XM_002148578.1,2
XM_002148584.1,1
XM_002148588.1,2
XM_002148589.1,1
XM_002148633.1,1
XM_002148679.1,1
XM_002148695.1,2
XM_002148697.1,2
XM_002148748.1,2
XM_002148749.1,2
XM_002148771.1,7
XM_002148823.1,2
XM_002148855.1,1
XM_002148959.1,2
XM_002149022.1,1
XM_002149023.1,2
XM_002149024.1,1
XM_002149104.1,2
XM_002149106.1,2
XM_002149115.1,2
XM_002149137.1,2
XM_002149153.1,3
XM_002149218.1,2
XM_002149316.1,3
XM_002149323.1,1
XM_002149324.1,4
XM_002149369.1,1
XM_002149443.1,1
XM_002149448.1,3
XM_002149450.1,2
XM_002149490.1,2
XM_002149509.1,2
XM_002149514.1,2
XM_002149571.1,5
XM_002149572.1,2
XM_002149626.1,2
XM_002149639.1,3
XM_002149641.1,1
XM_002149680.1,2
XM_002149774.1,2
XM_002149783.1,1
XM_002149816.1,2
XM_002149827.1,1
XM_002149839.1,7
XM_002149949.1,3
XM_002149955.1,2
XM_002149963.1,2
XM_002150076.1,2
XM_002150077.1,1
XM_002150185.1,2
XM_002150304.1,2
XM_002150311.1,2
XM_002150319.1,1
XM_002150361.1,2
XM_002150423.1,2
XM_002150452.1,2
XM_002150485.1,2
XM_002150510.1,2
XM_002150567.1,1
XM_002150568.1,1
XM_002150616.1,6
XM_002150660.1,2
XM_002150711.1,2
XM_002150714.1,3
XM_002150782.1,3
XM_002150795.1,1
XM_002150804.1,4
XM_002150806.1,1
XM_002150849.1,1
XM_002150889.1,1
XM_002150910.1,2
XM_002150913.1,2
XM_002150919.1,2
XM_002150920.1,1
XM_002150922.1,2
XM_002150943.1,15
XM_002150958.1,1
XM_002150961.1,2
XM_002150975.1,2
XM_002150987.1,1
XM_002150990.1,3
XM_002151012.1,3
XM_002151031.1,4
XM_002151032.1,3
XM_002151036.1,2
XM_002151091.1,2
XM_002151154.1,1
XM_002151177.1,1
XM_002151195.1,2
XM_002151276.1,2
XM_002151347.1,7
XM_002151353.1,1
XM_002151376.1,3
XM_002151411.1,2
XM_002151412.1,4
XM_002151413.1,3
XM_002151459.1,4
XM_002151476.1,1
XM_002151522.1,2
XM_002151532.1,3
XM_002151648.1,1
XM_002151703.1,2
XM_002151728.1,2
XM_002151773.1,2
XM_002151774.1,2
XM_002151778.1,2
XM_002151824.1,2
XM_002151840.1,1
XM_002151850.1,1
XM_002151857.1,2
XM_002151893.1,3
XM_002152003.1,1
XM_002152023.1,1
XM_002152061.1,1
XM_002152064.1,1
XM_002152065.1,2
XM_002152143.1,2
XM_002152163.1,1
XM_002152165.1,2
XM_002152166.1,5
XM_002152187.1,2
XM_002152206.1,7
XM_002152288.1,1
XM_002152305.1,2
XM_002152323.1,1
XM_002152333.1,3
XM_002152384.1,3
XM_002152392.1,2
XM_002152453.1,1
XM_002152509.1,2
XM_002152565.1,4
XM_002152569.1,2
XM_002152570.1,1
XM_002152731.1,2
XM_002152810.1,2
XM_002152819.1,2
XM_002152842.1,2
XM_002152854.1,1
XM_002152856.1,1
XM_002152903.1,1
XM_002152911.1,1
XM_002152912.1,1
XM_002152937.1,3
XM_002152938.1,2
XM_002153024.1,1
XM_002153027.1,2
XM_002153051.1,1
XM_002153073.1,1
XM_002153146.1,3
XM_002153152.1,2
XM_002153171.1,1
XM_002153187.1,1
XM_002153249.1,2
XM_002153296.1,1
XM_002153311.1,1
XM_002153345.1,2
XM_002153357.1,2
XM_002153395.1,2
XM_002153420.1,7
XM_002153433.1,1
XM_002153451.1,1
XM_002153465.1,1
XM_002153532.1,2
XM_002153600.1,2
XM_002153607.1,1
XM_002153622.1,1
XM_002153626.1,2
XM_002153629.1,1
XM_002153639.1,2
XM_002153653.1,2
XM_002153655.1,2
XM_002153670.1,1
XM_002153673.1,3
XM_002153674.1,3
XM_002153687.1,1
XM_002153689.1,2
XM_002153725.1,1
unassigned_transcript_1,1
unassigned_transcript_10,1
unassigned_transcript_100,1
unassigned_transcript_101,1
unassigned_transcript_102,1
unassigned_transcript_103,1
unassigned_transcript_104,1
unassigned_transcript_105,1
unassigned_transcript_106,1
unassigned_transcript_107,1
unassigned_transcript_108,1
unassigned_transcript_109,1
unassigned_transcript_11,1
unassigned_transcript_110,1
unassigned_transcript_111,1
unassigned_transcript_12,1
unassigned_transcript_13,1
unassigned_transcript_14,1
unassigned_transcript_15,1
unassigned_transcript_16,1
unassigned_transcript_17,1
unassigned_transcript_18,1
unassigned_transcript_19,1
unassigned_transcript_2,1
unassigned_transcript_20,1
unassigned_transcript_21,1
unassigned_transcript_22,1
unassigned_transcript_23,1
unassigned_transcript_24,1
unassigned_transcript_25,1
unassigned_transcript_26,1
unassigned_transcript_27,1
unassigned_transcript_28,1
unassigned_transcript_29,1
unassigned_transcript_3,1
unassigned_transcript_30,1
unassigned_transcript_31,1
unassigned_transcript_32,1
unassigned_transcript_33,1
unassigned_transcript_34,1
unassigned_transcript_35,1
unassigned_transcript_36,1
unassigned_transcript_37,1
unassigned_transcript_38,1
unassigned_transcript_39,1
unassigned_transcript_4,1
unassigned_transcript_40,1
unassigned_transcript_41,1
unassigned_transcript_42,1
unassigned_transcript_43,1
unassigned_transcript_44,1
unassigned_transcript_45,1
unassigned_transcript_46,1
unassigned_transcript_47,1
unassigned_transcript_48,1
unassigned_transcript_49,1
unassigned_transcript_5,1
unassigned_transcript_50,1
unassigned_transcript_51,1
unassigned_transcript_52,1
unassigned_transcript_53,1
unassigned_transcript_54,1
unassigned_transcript_55,1
unassigned_transcript_56,1
unassigned_transcript_57,1
unassigned_transcript_58,1
unassigned_transcript_59,1
unassigned_transcript_6,1
unassigned_transcript_60,1
unassigned_transcript_61,1
unassigned_transcript_62,1
unassigned_transcript_63,1
unassigned_transcript_64,1
unassigned_transcript_65,1
unassigned_transcript_66,1
unassigned_transcript_67,1
unassigned_transcript_68,1
unassigned_transcript_69,1
unassigned_transcript_7,1
unassigned_transcript_70,1
unassigned_transcript_71,1
unassigned_transcript_72,1
unassigned_transcript_73,1
unassigned_transcript_74,1
unassigned_transcript_75,1
unassigned_transcript_76,1
unassigned_transcript_77,1
unassigned_transcript_78,1
unassigned_transcript_79,1
unassigned_transcript_8,1
unassigned_transcript_80,1
unassigned_transcript_81,1
unassigned_transcript_82,1
unassigned_transcript_83,1
unassigned_transcript_84,1
unassigned_transcript_85,1
unassigned_transcript_86,1
unassigned_transcript_87,1
unassigned_transcript_88,1
unassigned_transcript_89,1
unassigned_transcript_9,1
unassigned_transcript_90,1
unassigned_transcript_91,1
unassigned_transcript_92,1
unassigned_transcript_93,1
unassigned_transcript_94,1
unassigned_transcript_95,1
unassigned_transcript_96,1
unassigned_transcript_97,1
unassigned_transcript_98,1
unassigned_transcript_99,1
