transcript_id,num_exon
XM_007261070.1,1
XM_007261071.1,1
XM_007261072.1,2
XM_007261073.1,5
XM_007261074.1,4
XM_007261075.1,16
XM_007261076.1,2
XM_007261077.1,8
XM_007261078.1,6
XM_007261079.1,2
XM_007261080.1,3
XM_007261081.1,7
XM_007261082.1,4
XM_007261083.1,2
XM_007261084.1,3
XM_007261085.1,3
XM_007261086.1,4
XM_007261087.1,2
XM_007261088.1,7
XM_007261089.1,4
XM_007261090.1,7
XM_007261091.1,4
XM_007261092.1,4
XM_007261093.1,4
XM_007261094.1,18
XM_007261095.1,3
XM_007261096.1,7
XM_007261097.1,21
XM_007261098.1,14
XM_007261099.1,14
XM_007261100.1,6
XM_007261101.1,3
XM_007261102.1,5
XM_007261103.1,3
XM_007261104.1,23
XM_007261105.1,12
XM_007261106.1,12
XM_007261107.1,3
XM_007261108.1,5
XM_007261109.1,3
XM_007261110.1,4
XM_007261111.1,13
XM_007261112.1,13
XM_007261113.1,13
XM_007261114.1,3
XM_007261115.1,3
XM_007261116.1,2
XM_007261117.1,4
XM_007261118.1,3
XM_007261119.1,7
XM_007261120.1,7
XM_007261121.1,10
XM_007261122.1,9
XM_007261123.1,5
XM_007261124.1,2
XM_007261125.1,3
XM_007261126.1,1
XM_007261127.1,2
XM_007261128.1,4
XM_007261129.1,1
XM_007261130.1,22
XM_007261131.1,6
XM_007261132.1,6
XM_007261133.1,11
XM_007261134.1,5
XM_007261135.1,5
XM_007261136.1,4
XM_007261137.1,3
XM_007261138.1,5
XM_007261139.1,2
XM_007261140.1,4
XM_007261141.1,7
XM_007261142.1,11
XM_007261143.1,14
XM_007261144.1,4
XM_007261145.1,7
XM_007261146.1,13
XM_007261147.1,5
XM_007261148.1,6
XM_007261149.1,4
XM_007261150.1,10
XM_007261151.1,18
XM_007261152.1,3
XM_007261153.1,3
XM_007261154.1,13
XM_007261155.1,18
XM_007261156.1,8
XM_007261157.1,6
XM_007261158.1,9
XM_007261159.1,6
XM_007261160.1,4
XM_007261161.1,4
XM_007261162.1,11
XM_007261163.1,1
XM_007261164.1,8
XM_007261165.1,4
XM_007261166.1,4
XM_007261167.1,5
XM_007261168.1,12
XM_007261169.1,4
XM_007261170.1,20
XM_007261171.1,6
XM_007261172.1,3
XM_007261173.1,9
XM_007261174.1,2
XM_007261175.1,5
XM_007261176.1,2
XM_007261177.1,3
XM_007261178.1,4
XM_007261179.1,2
XM_007261180.1,6
XM_007261181.1,3
XM_007261182.1,3
XM_007261183.1,5
XM_007261184.1,5
XM_007261185.1,10
XM_007261186.1,2
XM_007261187.1,14
XM_007261188.1,5
XM_007261189.1,2
XM_007261190.1,2
XM_007261191.1,7
XM_007261192.1,1
XM_007261193.1,4
XM_007261194.1,19
XM_007261195.1,3
XM_007261196.1,4
XM_007261197.1,3
XM_007261198.1,3
XM_007261199.1,15
XM_007261200.1,6
XM_007261201.1,2
XM_007261202.1,4
XM_007261203.1,4
XM_007261204.1,4
XM_007261205.1,7
XM_007261206.1,7
XM_007261207.1,3
XM_007261208.1,7
XM_007261209.1,6
XM_007261210.1,6
XM_007261211.1,11
XM_007261212.1,2
XM_007261213.1,21
XM_007261214.1,4
XM_007261215.1,5
XM_007261216.1,6
XM_007261217.1,2
XM_007261218.1,5
XM_007261219.1,7
XM_007261220.1,5
XM_007261221.1,2
