transcript_id,num_exon
XM_006690511.1,1
XM_006690525.1,3
XM_006690528.1,3
XM_006690529.1,1
XM_006690532.1,5
XM_006690535.1,2
XM_006690566.1,1
XM_006690567.1,1
XM_006690568.1,1
XM_006690599.1,2
XM_006690604.1,2
XM_006690606.1,1
XM_006690624.1,1
XM_006690631.1,4
XM_006690633.1,1
XM_006690673.1,1
XM_006690688.1,1
XM_006690697.1,1
XM_006690731.1,2
XM_006690763.1,3
XM_006690800.1,2
XM_006690801.1,1
XM_006690822.1,2
XM_006690861.1,4
XM_006690874.1,3
XM_006690877.1,4
XM_006690897.1,2
XM_006690915.1,3
XM_006690918.1,2
XM_006690924.1,3
XM_006690934.1,3
XM_006690961.1,1
XM_006690965.1,6
XM_006690988.1,1
XM_006690991.1,5
XM_006691028.1,1
XM_006691031.1,1
XM_006691050.1,2
XM_006691115.1,4
XM_006691119.1,1
XM_006691137.1,1
XM_006691153.1,1
XM_006691175.1,2
XM_006691206.1,1
XM_006691220.1,1
XM_006691251.1,1
XM_006691252.1,1
XM_006691258.1,1
XM_006691262.1,2
XM_006691269.1,2
XM_006691325.1,3
XM_006691444.1,1
XM_006691468.1,2
XM_006691483.1,1
XM_006691498.1,3
XM_006691517.1,1
XM_006691522.1,1
XM_006691523.1,2
XM_006691526.1,2
XM_006691529.1,1
XM_006691532.1,1
XM_006691534.1,2
XM_006691546.1,2
XM_006691569.1,2
XM_006691580.1,3
XM_006691584.1,1
XM_006691599.1,5
XM_006691660.1,2
XM_006691706.1,3
XM_006691718.1,1
XM_006691726.1,3
XM_006691800.1,2
XM_006691803.1,3
XM_006691822.1,1
XM_006691824.1,1
XM_006691825.1,3
XM_006691833.1,5
XM_006691860.1,2
XM_006691917.1,1
XM_006691936.1,1
XM_006691949.1,2
XM_006691950.1,1
XM_006691951.1,1
XM_006691955.1,1
XM_006691994.1,2
XM_006692007.1,1
XM_006692012.1,1
XM_006692019.1,3
XM_006692022.1,6
XM_006692036.1,2
XM_006692086.1,3
XM_006692117.1,1
XM_006692135.1,2
XM_006692136.1,1
XM_006692137.1,2
XM_006692138.1,1
XM_006692139.1,1
XM_006692140.1,1
XM_006692147.1,1
XM_006692152.1,1
XM_006692169.1,3
XM_006692199.1,1
XM_006692223.1,2
XM_006692233.1,1
XM_006692235.1,4
XM_006692270.1,3
XM_006692277.1,2
XM_006692312.1,3
XM_006692327.1,1
XM_006692332.1,2
XM_006692333.1,2
XM_006692363.1,3
XM_006692366.1,2
XM_006692386.1,1
XM_006692387.1,1
XM_006692390.1,2
XM_006692393.1,2
XM_006692394.1,1
XM_006692405.1,2
XM_006692431.1,3
XM_006692434.1,3
XM_006692453.1,1
XM_006692461.1,1
XM_006692462.1,2
XM_006692464.1,2
XM_006692466.1,2
XM_006692469.1,1
