gene_id,num_transcript,num_exon,num_uniq_exon
CC85DRAFT_100090,1,1,1
CC85DRAFT_100514,1,5,5
CC85DRAFT_100675,1,4,4
CC85DRAFT_101080,1,4,4
CC85DRAFT_101425,1,2,2
CC85DRAFT_101518,1,4,4
CC85DRAFT_101637,1,1,1
CC85DRAFT_101955,1,6,6
CC85DRAFT_10243,1,4,4
CC85DRAFT_102798,1,7,7
CC85DRAFT_103035,1,7,7
CC85DRAFT_103115,1,6,6
CC85DRAFT_103441,1,9,9
CC85DRAFT_105204,1,4,4
CC85DRAFT_105257,1,3,3
CC85DRAFT_105615,1,3,3
CC85DRAFT_105626,1,6,6
CC85DRAFT_105683,1,2,2
CC85DRAFT_105717,1,1,1
CC85DRAFT_106836,1,1,1
CC85DRAFT_107268,1,5,5
CC85DRAFT_10745,1,3,3
CC85DRAFT_107510,1,12,12
CC85DRAFT_1077,1,4,4
CC85DRAFT_10775,1,3,3
CC85DRAFT_107865,1,3,3
CC85DRAFT_107908,1,5,5
CC85DRAFT_108079,1,13,13
CC85DRAFT_108549,1,3,3
CC85DRAFT_109856,1,5,5
CC85DRAFT_110091,1,4,4
CC85DRAFT_111456,1,8,8
CC85DRAFT_111793,1,4,4
CC85DRAFT_112412,1,10,10
CC85DRAFT_112550,1,3,3
CC85DRAFT_112636,1,2,2
CC85DRAFT_112688,1,3,3
CC85DRAFT_113593,1,4,4
CC85DRAFT_114349,1,2,2
CC85DRAFT_114352,1,6,6
CC85DRAFT_114458,1,4,4
CC85DRAFT_11457,1,2,2
CC85DRAFT_115293,1,5,5
CC85DRAFT_115769,1,4,4
CC85DRAFT_116289,1,1,1
CC85DRAFT_117020,1,5,5
CC85DRAFT_11712,1,3,3
CC85DRAFT_11719,1,6,6
CC85DRAFT_117288,1,9,9
CC85DRAFT_117662,1,3,3
CC85DRAFT_117943,1,5,5
CC85DRAFT_117953,1,3,3
CC85DRAFT_117963,1,2,2
CC85DRAFT_118344,1,15,15
CC85DRAFT_11841,1,3,3
CC85DRAFT_118441,1,3,3
CC85DRAFT_118698,1,3,3
CC85DRAFT_118735,1,1,1
CC85DRAFT_118927,1,5,5
CC85DRAFT_118965,1,4,4
CC85DRAFT_118987,1,4,4
CC85DRAFT_119336,1,2,2
CC85DRAFT_119899,1,3,3
CC85DRAFT_119954,1,2,2
CC85DRAFT_119993,1,4,4
CC85DRAFT_120131,1,4,4
CC85DRAFT_120436,1,7,7
CC85DRAFT_120472,1,9,9
CC85DRAFT_120653,1,5,5
CC85DRAFT_120784,1,6,6
CC85DRAFT_120906,1,1,1
CC85DRAFT_120982,1,6,6
CC85DRAFT_121122,1,7,7
CC85DRAFT_121410,1,2,2
CC85DRAFT_121455,1,11,11
CC85DRAFT_122356,1,1,1
CC85DRAFT_122549,1,2,2
CC85DRAFT_122991,1,2,2
CC85DRAFT_123085,1,6,6
CC85DRAFT_123605,1,2,2
CC85DRAFT_123789,1,5,5
CC85DRAFT_124254,1,2,2
CC85DRAFT_124694,1,1,1
CC85DRAFT_124750,1,4,4
CC85DRAFT_125064,1,2,2
CC85DRAFT_125201,1,7,7
CC85DRAFT_125703,1,4,4
CC85DRAFT_125897,1,2,2
CC85DRAFT_125935,1,3,3
CC85DRAFT_126050,1,3,3
CC85DRAFT_126397,1,3,3
CC85DRAFT_126424,1,2,2
CC85DRAFT_127465,1,21,21
CC85DRAFT_128427,1,1,1
CC85DRAFT_128488,1,3,3
CC85DRAFT_129302,1,5,5
CC85DRAFT_129532,1,9,9
CC85DRAFT_129889,1,6,6
CC85DRAFT_130294,1,1,1
CC85DRAFT_130322,1,2,2
