gene_id,num_transcript,num_exon,num_uniq_exon
J056_000031,1,5,5
J056_000048,1,1,1
J056_000051,1,2,2
J056_000069,1,1,1
J056_000071,1,2,2
J056_000072,1,1,1
J056_000084,1,2,2
J056_000115,1,2,2
J056_000120,1,2,2
J056_000133,1,2,2
J056_000143,1,3,3
J056_000157,1,2,2
J056_000165,1,1,1
J056_000168,1,2,2
J056_000207,1,1,1
J056_000269,1,2,2
J056_000272,1,2,2
J056_000275,1,4,4
J056_000283,1,3,3
J056_000291,1,2,2
J056_000306,1,5,5
J056_000315,1,2,2
J056_000340,1,3,3
J056_000342,1,2,2
J056_000347,1,2,2
J056_000348,1,2,2
J056_000349,1,2,2
J056_000373,1,1,1
J056_000385,1,2,2
J056_000387,1,1,1
J056_000394,1,1,1
J056_000395,1,3,3
J056_000453,1,1,1
J056_000456,1,2,2
J056_000458,1,2,2
J056_000497,1,1,1
J056_000498,1,4,4
J056_000509,1,2,2
J056_000511,1,2,2
J056_000518,1,4,4
J056_000539,1,2,2
J056_000545,1,3,3
J056_000553,1,2,2
J056_000567,1,2,2
J056_000587,1,4,4
J056_000593,1,2,2
J056_000616,1,2,2
J056_000629,1,2,2
J056_000630,1,3,3
J056_000667,1,2,2
J056_000669,1,3,3
J056_000703,1,2,2
J056_000705,1,2,2
J056_000706,1,8,8
J056_000707,1,1,1
J056_000713,1,1,1
J056_000730,1,2,2
J056_000760,1,5,5
J056_000774,1,2,2
J056_000788,1,2,2
J056_000789,1,4,4
J056_000790,1,4,4
J056_000791,1,2,2
J056_000792,1,1,1
J056_000794,1,3,3
J056_000799,1,2,2
J056_000800,1,3,3
J056_000802,1,2,2
J056_000803,1,3,3
J056_000804,1,2,2
J056_000806,1,1,1
J056_000807,1,1,1
J056_000808,1,2,2
J056_000809,1,2,2
J056_000812,1,7,7
J056_000813,1,5,5
J056_000823,1,2,2
J056_000885,1,2,2
J056_000925,1,7,7
J056_000950,1,2,2
J056_000962,1,1,1
J056_000976,1,2,2
J056_000988,1,2,2
J056_000989,1,3,3
J056_000999,1,2,2
J056_001034,1,4,4
J056_001051,1,1,1
J056_001065,1,3,3
J056_001067,1,2,2
J056_001103,1,10,10
J056_001171,1,1,1
J056_001215,1,2,2
J056_001235,1,4,4
J056_001245,1,1,1
J056_001254,1,1,1
J056_001268,1,2,2
J056_001269,1,3,3
J056_001270,1,2,2
J056_001287,1,4,4
J056_001307,1,2,2
J056_001308,1,3,3
J056_001334,1,2,2
J056_001335,1,7,7
J056_001336,1,4,4
J056_001338,1,1,1
J056_001361,1,3,3
J056_001377,1,2,2
J056_001440,1,2,2
J056_001460,1,2,2
J056_001476,1,1,1
J056_001486,1,3,3
J056_001490,1,4,4
J056_001493,1,1,1
J056_001506,1,2,2
J056_001512,1,1,1
J056_001530,1,1,1
J056_001550,1,1,1
J056_001555,1,1,1
J056_001563,1,7,7
J056_001566,1,2,2
J056_001626,1,1,1
J056_001667,1,5,5
J056_001691,1,1,1
J056_001704,1,2,2
J056_001727,1,2,2
J056_001732,1,1,1
J056_001765,1,1,1
J056_001783,1,2,2
J056_001785,1,1,1
J056_001820,1,2,2
J056_001821,1,2,2
J056_001834,1,3,3
J056_001837,1,2,2
J056_001840,1,2,2
J056_001844,1,1,1
J056_001849,1,2,2
J056_001852,1,1,1
J056_001879,1,1,1
J056_001888,1,1,1
J056_001916,1,4,4
J056_001957,1,2,2
J056_001969,1,5,5
J056_002007,1,1,1
J056_002015,1,2,2
J056_002021,1,6,6
J056_002030,1,3,3
J056_002033,1,1,1
J056_002035,1,2,2
J056_002038,1,3,3
J056_002059,1,2,2
J056_002086,1,9,9
J056_002088,1,2,2
J056_002089,1,6,6
J056_002117,1,2,2
J056_002228,1,2,2
J056_002284,1,2,2
J056_002292,1,3,3
J056_002304,1,4,4
J056_002330,1,2,2
J056_002369,1,2,2
J056_002396,1,1,1
J056_002400,1,1,1
J056_002420,1,2,2
J056_002436,1,3,3
J056_002439,1,2,2
J056_002447,1,1,1
J056_002454,1,3,3
J056_002471,1,2,2
J056_002495,1,2,2
J056_002515,1,2,2
J056_002536,1,3,3
J056_002538,1,1,1
J056_002565,1,1,1
J056_002583,1,2,2
J056_002585,1,3,3
J056_002621,1,1,1
J056_002630,1,4,4
J056_002637,1,2,2
J056_002641,1,1,1
J056_002684,1,2,2
J056_002686,1,1,1
J056_002740,1,1,1
J056_002751,1,3,3
J056_002771,1,1,1
J056_002772,1,2,2
J056_002778,1,2,2
J056_002779,1,3,3
J056_002780,1,1,1
J056_002784,1,3,3
J056_002793,1,2,2
J056_002797,1,7,7
J056_002804,1,2,2
J056_002809,1,2,2
J056_002811,1,2,2
J056_002816,1,5,5
J056_002830,1,1,1
J056_002847,1,3,3
J056_002853,1,4,4
J056_002866,1,2,2
J056_002872,1,4,4
J056_002877,1,2,2
J056_002881,1,2,2
J056_002887,1,2,2
J056_002915,1,2,2
J056_002944,1,2,2
J056_002964,1,2,2
J056_002967,1,2,2
J056_002977,1,4,4
J056_002993,1,4,4
J056_002994,1,1,1
J056_002995,1,2,2
J056_002997,1,2,2
J056_003001,1,1,1
J056_003002,1,2,2
J056_003004,1,2,2
J056_003005,1,2,2
J056_003017,1,7,7
J056_003021,1,1,1
