gene_id,num_transcript,num_exon,num_uniq_exon
PICMEDRAFT_10051,1,2,2
PICMEDRAFT_10055,1,1,1
PICMEDRAFT_100754,1,1,1
PICMEDRAFT_100845,1,1,1
PICMEDRAFT_101033,1,1,1
PICMEDRAFT_101036,1,1,1
PICMEDRAFT_10117,1,1,1
PICMEDRAFT_101549,1,2,2
PICMEDRAFT_101846,1,1,1
PICMEDRAFT_101890,1,1,1
PICMEDRAFT_102262,1,1,1
PICMEDRAFT_10424,1,1,1
PICMEDRAFT_104794,1,1,1
PICMEDRAFT_10481,1,1,1
PICMEDRAFT_105663,1,1,1
PICMEDRAFT_105842,1,1,1
PICMEDRAFT_105843,1,1,1
PICMEDRAFT_10650,1,1,1
PICMEDRAFT_10669,1,1,1
PICMEDRAFT_106839,1,1,1
PICMEDRAFT_107063,1,1,1
PICMEDRAFT_107702,1,1,1
PICMEDRAFT_107851,1,1,1
PICMEDRAFT_107896,1,1,1
PICMEDRAFT_107978,1,1,1
PICMEDRAFT_108259,1,1,1
PICMEDRAFT_108790,1,1,1
PICMEDRAFT_108797,1,2,2
PICMEDRAFT_109147,1,1,1
PICMEDRAFT_109405,1,1,1
PICMEDRAFT_10969,1,1,1
PICMEDRAFT_110194,1,1,1
PICMEDRAFT_11028,1,1,1
PICMEDRAFT_110467,1,3,3
PICMEDRAFT_11053,1,1,1
PICMEDRAFT_111070,1,1,1
PICMEDRAFT_111099,1,1,1
PICMEDRAFT_111250,1,1,1
PICMEDRAFT_111427,1,1,1
PICMEDRAFT_11147,1,1,1
PICMEDRAFT_111676,1,1,1
PICMEDRAFT_112317,1,1,1
PICMEDRAFT_112969,1,1,1
PICMEDRAFT_114088,1,1,1
PICMEDRAFT_114110,1,1,1
PICMEDRAFT_114314,1,1,1
PICMEDRAFT_114368,1,1,1
PICMEDRAFT_114660,1,1,1
PICMEDRAFT_114931,1,1,1
PICMEDRAFT_116115,1,4,4
PICMEDRAFT_116311,1,1,1
PICMEDRAFT_116594,1,1,1
PICMEDRAFT_116687,1,1,1
PICMEDRAFT_116688,1,1,1
PICMEDRAFT_116768,1,1,1
PICMEDRAFT_117881,1,1,1
PICMEDRAFT_117889,1,2,2
PICMEDRAFT_117894,1,1,1
PICMEDRAFT_11896,1,1,1
PICMEDRAFT_119397,1,1,1
PICMEDRAFT_119403,1,1,1
PICMEDRAFT_120125,1,1,1
PICMEDRAFT_12021,1,1,1
PICMEDRAFT_12041,1,1,1
PICMEDRAFT_12073,1,1,1
PICMEDRAFT_121151,1,1,1
PICMEDRAFT_121304,1,1,1
PICMEDRAFT_12147,1,1,1
PICMEDRAFT_121621,1,1,1
PICMEDRAFT_121754,1,1,1
PICMEDRAFT_12186,1,1,1
PICMEDRAFT_12214,1,1,1
PICMEDRAFT_122888,1,1,1
PICMEDRAFT_122889,1,1,1
PICMEDRAFT_12292,1,1,1
PICMEDRAFT_123377,1,1,1
PICMEDRAFT_123421,1,1,1
PICMEDRAFT_123434,1,1,1
PICMEDRAFT_123438,1,1,1
PICMEDRAFT_123735,1,1,1
PICMEDRAFT_124232,1,1,1
PICMEDRAFT_124633,1,1,1
PICMEDRAFT_124654,1,1,1
PICMEDRAFT_125280,1,1,1
PICMEDRAFT_125421,1,1,1
PICMEDRAFT_125428,1,1,1
PICMEDRAFT_126071,1,2,2
PICMEDRAFT_12663,1,1,1
PICMEDRAFT_126853,1,1,1
PICMEDRAFT_127365,1,1,1
PICMEDRAFT_128760,1,1,1
PICMEDRAFT_129048,1,1,1
PICMEDRAFT_129177,1,1,1
PICMEDRAFT_129183,1,1,1
PICMEDRAFT_129217,1,1,1
PICMEDRAFT_12934,1,1,1
PICMEDRAFT_13004,1,1,1
PICMEDRAFT_13036,1,1,1
PICMEDRAFT_13049,1,1,1
PICMEDRAFT_13051,1,1,1
PICMEDRAFT_13089,1,1,1
PICMEDRAFT_131288,1,1,1
PICMEDRAFT_131474,1,1,1
PICMEDRAFT_131882,1,1,1
PICMEDRAFT_131883,1,1,1
PICMEDRAFT_13232,1,1,1
PICMEDRAFT_132412,1,1,1
PICMEDRAFT_133271,1,2,2
PICMEDRAFT_133368,1,1,1
PICMEDRAFT_133414,1,1,1
PICMEDRAFT_134060,1,1,1
PICMEDRAFT_13423,1,1,1
PICMEDRAFT_13472,1,1,1
PICMEDRAFT_13520,1,1,1
PICMEDRAFT_13554,1,1,1
PICMEDRAFT_13564,1,1,1
PICMEDRAFT_136200,1,1,1
PICMEDRAFT_137091,1,1,1
PICMEDRAFT_13756,1,1,1
PICMEDRAFT_13768,1,1,1
PICMEDRAFT_138675,1,1,1
PICMEDRAFT_139072,1,1,1
PICMEDRAFT_13910,1,1,1
PICMEDRAFT_139397,1,1,1
PICMEDRAFT_139707,1,1,1
PICMEDRAFT_139846,1,1,1
PICMEDRAFT_13990,1,1,1
PICMEDRAFT_14027,1,1,1
PICMEDRAFT_14051,1,1,1
PICMEDRAFT_14058,1,1,1
PICMEDRAFT_14100,1,1,1
PICMEDRAFT_141070,1,1,1
PICMEDRAFT_141150,1,2,2
PICMEDRAFT_14140,1,1,1
PICMEDRAFT_14141,1,1,1
PICMEDRAFT_142349,1,1,1
PICMEDRAFT_142558,1,1,1
PICMEDRAFT_14269,1,1,1
PICMEDRAFT_142963,1,1,1
PICMEDRAFT_143199,1,1,1
PICMEDRAFT_14321,1,1,1
PICMEDRAFT_14330,1,1,1
PICMEDRAFT_14332,1,1,1
PICMEDRAFT_14360,1,2,2
PICMEDRAFT_14405,1,1,1
PICMEDRAFT_14457,1,1,1
PICMEDRAFT_14463,1,1,1
PICMEDRAFT_14478,1,1,1
PICMEDRAFT_144806,1,2,2
PICMEDRAFT_14494,1,1,1
PICMEDRAFT_14497,1,1,1
PICMEDRAFT_14551,1,1,1
PICMEDRAFT_14553,1,1,1
PICMEDRAFT_145542,1,1,1
PICMEDRAFT_145744,1,1,1
PICMEDRAFT_14575,1,1,1
PICMEDRAFT_14595,1,2,2
PICMEDRAFT_14624,1,1,1
PICMEDRAFT_146353,1,1,1
PICMEDRAFT_14651,1,1,1
PICMEDRAFT_14700,1,1,1
PICMEDRAFT_14714,1,1,1
PICMEDRAFT_147178,1,1,1
PICMEDRAFT_147381,1,1,1
PICMEDRAFT_14741,1,1,1
PICMEDRAFT_147431,1,1,1
PICMEDRAFT_148286,1,1,1
PICMEDRAFT_14872,1,1,1
PICMEDRAFT_14887,1,1,1
PICMEDRAFT_14894,1,1,1
PICMEDRAFT_14911,1,1,1
PICMEDRAFT_14913,1,1,1
PICMEDRAFT_14943,1,1,1
PICMEDRAFT_14975,1,2,2
PICMEDRAFT_14993,1,1,1
PICMEDRAFT_15035,1,1,1
PICMEDRAFT_15070,1,1,1
PICMEDRAFT_15083,1,1,1
PICMEDRAFT_150994,1,1,1
PICMEDRAFT_15103,1,1,1
PICMEDRAFT_15217,1,1,1
PICMEDRAFT_15230,1,1,1
PICMEDRAFT_152312,1,1,1
PICMEDRAFT_15243,1,1,1
PICMEDRAFT_15263,1,1,1
PICMEDRAFT_152785,1,1,1
PICMEDRAFT_15287,1,1,1
PICMEDRAFT_15296,1,1,1
PICMEDRAFT_153294,1,1,1
PICMEDRAFT_15351,1,1,1
PICMEDRAFT_153969,1,1,1
PICMEDRAFT_154025,1,1,1
PICMEDRAFT_154124,1,1,1
PICMEDRAFT_154278,1,1,1
PICMEDRAFT_15447,1,1,1
PICMEDRAFT_15468,1,1,1
PICMEDRAFT_154729,1,1,1
PICMEDRAFT_15497,1,1,1
PICMEDRAFT_15505,1,1,1
PICMEDRAFT_15513,1,1,1
