gene_id,num_transcript,num_exon,num_uniq_exon
AJ78_00001,1,3,3
AJ78_00003,1,1,1
AJ78_00004,1,1,1
AJ78_00005,1,6,6
AJ78_00006,1,7,7
AJ78_00007,1,10,10
AJ78_00008,1,5,5
AJ78_00009,1,2,2
AJ78_00010,1,1,1
AJ78_00011,1,1,1
AJ78_00012,1,3,3
AJ78_00013,1,6,6
AJ78_00014,1,6,6
AJ78_00015,1,2,2
AJ78_00016,1,1,1
AJ78_00017,1,4,4
AJ78_00018,1,1,1
AJ78_00019,1,5,5
AJ78_00021,1,2,2
AJ78_00022,1,3,3
AJ78_00023,1,3,3
AJ78_00024,1,2,2
AJ78_00025,1,6,6
AJ78_00026,1,1,1
AJ78_00027,1,3,3
AJ78_00028,1,4,4
AJ78_00029,1,2,2
AJ78_00030,1,2,2
AJ78_00031,1,6,6
AJ78_00032,1,4,4
AJ78_00033,1,7,7
AJ78_00034,1,2,2
AJ78_00035,1,3,3
AJ78_00036,1,2,2
AJ78_00037,1,7,7
AJ78_00038,1,2,2
AJ78_00039,1,4,4
AJ78_00042,1,4,4
AJ78_00043,1,10,10
AJ78_00044,1,5,5
AJ78_00045,1,1,1
AJ78_00046,1,3,3
AJ78_00047,1,6,6
AJ78_00048,1,2,2
AJ78_00049,1,4,4
AJ78_00050,1,2,2
AJ78_00051,1,3,3
AJ78_00052,1,8,8
AJ78_00053,1,2,2
AJ78_00054,1,2,2
AJ78_00055,1,4,4
AJ78_00056,1,4,4
AJ78_00057,1,2,2
AJ78_00058,1,3,3
AJ78_00060,1,5,5
AJ78_00061,1,5,5
AJ78_00062,1,2,2
AJ78_00064,1,3,3
AJ78_00065,1,5,5
AJ78_00066,1,4,4
AJ78_00067,1,5,5
AJ78_00068,1,3,3
AJ78_00069,1,5,5
AJ78_00071,1,7,7
AJ78_00072,1,2,2
AJ78_00073,1,3,3
AJ78_00074,1,2,2
AJ78_00075,1,3,3
AJ78_00076,1,1,1
AJ78_00077,1,3,3
AJ78_00078,1,3,3
AJ78_00079,1,2,2
AJ78_00080,1,5,5
AJ78_00081,1,4,4
AJ78_00082,1,2,2
AJ78_00083,1,1,1
AJ78_00084,1,1,1
AJ78_00085,1,3,3
AJ78_00086,1,1,1
AJ78_00087,1,2,2
AJ78_00088,1,2,2
AJ78_00089,1,3,3
AJ78_00090,1,2,2
AJ78_00091,1,2,2
AJ78_00092,1,1,1
AJ78_00093,1,3,3
AJ78_00094,1,1,1
AJ78_00095,1,2,2
AJ78_00096,1,1,1
AJ78_00097,1,6,6
AJ78_00098,1,4,4
AJ78_00099,1,5,5
AJ78_00100,1,3,3
AJ78_00101,1,3,3
AJ78_00102,1,1,1
AJ78_00103,1,1,1
AJ78_00104,1,6,6
AJ78_00105,1,3,3
AJ78_00106,1,3,3
AJ78_00108,1,2,2
AJ78_00109,1,1,1
AJ78_00110,1,3,3
AJ78_00111,1,3,3
AJ78_00112,1,3,3
AJ78_00113,1,5,5
AJ78_00114,1,5,5
AJ78_00115,1,2,2
AJ78_00116,1,4,4
AJ78_00117,1,1,1
AJ78_00118,1,1,1
AJ78_00119,1,3,3
AJ78_00120,1,5,5
AJ78_00121,1,2,2
AJ78_00122,1,3,3
AJ78_00123,1,3,3
AJ78_00124,1,2,2
AJ78_00125,1,3,3
AJ78_00126,1,5,5
AJ78_00127,1,2,2
AJ78_00128,1,2,2
AJ78_00129,1,3,3
AJ78_00130,1,3,3
AJ78_00131,1,3,3
AJ78_00132,1,5,5
AJ78_00133,1,3,3
AJ78_00134,1,1,1
AJ78_00135,1,1,1
AJ78_00136,1,5,5
AJ78_00137,1,2,2
AJ78_00138,1,2,2
AJ78_00139,1,2,2
AJ78_00140,1,1,1
AJ78_00141,1,1,1
AJ78_00142,1,3,3
AJ78_00143,1,3,3
AJ78_00144,1,1,1
AJ78_00145,1,1,1
AJ78_00146,1,1,1
AJ78_00147,1,4,4
AJ78_00148,1,4,4
AJ78_00149,1,2,2
AJ78_00150,1,9,9
AJ78_00151,1,2,2
AJ78_00152,1,1,1
AJ78_00154,1,3,3
AJ78_00155,1,4,4
AJ78_00156,1,10,10
AJ78_00157,1,3,3
AJ78_00158,1,2,2
AJ78_00159,1,1,1
AJ78_00160,1,2,2
AJ78_00161,1,2,2
AJ78_00162,1,4,4
AJ78_00163,1,5,5
AJ78_00164,1,1,1
AJ78_00165,1,1,1
AJ78_00166,1,3,3
AJ78_00167,1,3,3
AJ78_00168,1,2,2
AJ78_00169,1,1,1
AJ78_00170,1,2,2
AJ78_00173,1,2,2
AJ78_00175,1,2,2
AJ78_00176,1,1,1
AJ78_00177,1,1,1
AJ78_00178,1,2,2
AJ78_00179,1,2,2
AJ78_00180,1,2,2
AJ78_00181,1,5,5
AJ78_00182,1,1,1
AJ78_00183,1,4,4
AJ78_00184,1,1,1
AJ78_00185,1,2,2
AJ78_00186,1,4,4
AJ78_00187,1,4,4
AJ78_00188,1,3,3
AJ78_00189,1,7,7
AJ78_00190,1,1,1
AJ78_00191,1,4,4
AJ78_00192,1,2,2
AJ78_00193,1,2,2
AJ78_00194,1,2,2
AJ78_00195,1,7,7
AJ78_00196,1,3,3
AJ78_00197,1,4,4
AJ78_00198,1,6,6
AJ78_00199,1,5,5
AJ78_00200,1,2,2
AJ78_00201,1,4,4
AJ78_00202,1,1,1
AJ78_00203,1,3,3
AJ78_00205,1,2,2
AJ78_00206,1,2,2
AJ78_00207,1,1,1
AJ78_00208,1,2,2
AJ78_00209,1,3,3
AJ78_00210,1,3,3
AJ78_00211,1,1,1
AJ78_00212,1,4,4
AJ78_00213,1,3,3
AJ78_00214,1,7,7
AJ78_00215,1,2,2
AJ78_00216,1,6,6
AJ78_00217,1,5,5
AJ78_00218,1,3,3
AJ78_00219,1,4,4
AJ78_00220,1,7,7
AJ78_00221,1,3,3
AJ78_00222,1,2,2
AJ78_00223,1,2,2
AJ78_00224,1,4,4
AJ78_00225,1,5,5
AJ78_00226,1,6,6
AJ78_00227,1,1,1
AJ78_00228,1,5,5
AJ78_00229,1,3,3
AJ78_00230,1,5,5
AJ78_00232,1,2,2
AJ78_00234,1,2,2
AJ78_00235,1,4,4
AJ78_00236,1,6,6
AJ78_00237,1,3,3
AJ78_00238,1,2,2
AJ78_00239,1,2,2
AJ78_00240,1,4,4
AJ78_00241,1,5,5
AJ78_00242,1,3,3
AJ78_00243,1,4,4
AJ78_00246,1,1,1
AJ78_00247,1,1,1
AJ78_00248,1,3,3
AJ78_00249,1,3,3
AJ78_00250,1,4,4
AJ78_00251,1,2,2
AJ78_00252,1,2,2
AJ78_00253,1,2,2
AJ78_00254,1,4,4
AJ78_00255,1,4,4
AJ78_00256,1,6,6
AJ78_00257,1,3,3
AJ78_00258,1,6,6
AJ78_00259,1,2,2
AJ78_00261,1,2,2
AJ78_00262,1,2,2
AJ78_00263,1,2,2
AJ78_00264,1,5,5
AJ78_00265,1,1,1
AJ78_00266,1,2,2
AJ78_00267,1,1,1
AJ78_00270,1,3,3
AJ78_00272,1,4,4
AJ78_00273,1,3,3
AJ78_00274,1,4,4
AJ78_00275,1,3,3
AJ78_00276,1,3,3
AJ78_00277,1,2,2
AJ78_00278,1,4,4
AJ78_00279,1,2,2
AJ78_00280,1,3,3
AJ78_00281,1,2,2
AJ78_00283,1,2,2
AJ78_00284,1,2,2
AJ78_00285,1,2,2
AJ78_00286,1,3,3
AJ78_00287,1,2,2
AJ78_00288,1,5,5
AJ78_00289,1,3,3
AJ78_00290,1,2,2
AJ78_00291,1,2,2
AJ78_00292,1,1,1
AJ78_00293,1,1,1
AJ78_00294,1,2,2
AJ78_00295,1,2,2
AJ78_00296,1,2,2
AJ78_00297,1,2,2
AJ78_00298,1,1,1
AJ78_00299,1,2,2
AJ78_00300,1,2,2
AJ78_00301,1,1,1
AJ78_00302,1,3,3
AJ78_00303,1,2,2
AJ78_00304,1,3,3
AJ78_00305,1,2,2
AJ78_00306,1,3,3
AJ78_00307,1,2,2
AJ78_00309,1,2,2
AJ78_00310,1,8,8
AJ78_00311,1,4,4
