gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
A1CF,4,48,18
A2M,1,36,36
A4GALT,5,20,10
A4GNT,2,8,5
AAAS,4,71,21
AACS,2,34,19
AADAC,2,10,6
AADAT,2,27,14
AAGAB,1,10,10
AAK1,33,637,30
AAMDC,4,17,8
AANAT,1,3,3
AAR2,1,3,3
AARS1,1,22,22
AARS2,1,22,22
AASDH,4,59,18
AASDHPPT,3,19,9
AASS,3,71,27
AATF,3,33,14
AATK,11,156,27
ABAT,3,48,18
ABCA1,3,150,52
ABCA12,1,62,62
ABCA13,1,61,61
ABCA2,12,599,57
ABCA3,2,62,32
ABCA4,6,293,57
ABCA5,1,40,40
ABCA7,1,59,59
ABCB1,6,155,38
ABCB10,1,13,13
ABCB11,2,58,30
ABCB5,6,165,35
ABCB6,3,60,23
ABCB7,1,17,17
ABCB8,1,18,18
ABCB9,3,32,16
ABCC1,5,160,36
ABCC10,5,103,28
ABCC2,1,37,37
ABCC3,1,32,32
ABCC4,5,142,34
ABCC5,8,190,38
ABCC8,1,39,39
ABCC9,18,701,51
ABCD2,1,10,10
ABCD3,2,46,24
ABCD4,8,137,27
ABCE1,1,18,18
ABCF2,3,44,18
ABCF3,1,21,21
ABCG1,1,15,15
ABCG2,5,81,20
ABCG4,1,16,16
ABCG5,2,27,16
ABCG8,2,24,13
ABHD10,1,5,5
ABHD11,2,11,7
ABHD12,1,13,13
ABHD12B,1,13,13
ABHD13,3,8,4
ABHD14A,1,4,4
ABHD15,1,4,4
ABHD17A,1,5,5
ABHD17B,4,18,7
ABHD17C,1,3,3
ABHD18,7,89,20
ABHD2,5,56,16
ABHD3,3,26,12
ABHD5,2,14,9
ABHD6,4,37,13
ABHD8,1,5,5
ABI1,17,174,13
ABI2,19,194,21
ABI3,2,15,9
ABITRAM,1,6,6
ABL1,5,56,16
ABL2,5,56,17
ABLIM1,24,556,33
ABLIM2,16,321,33
ABLIM3,28,590,38
ABR,1,24,24
ABRA,1,2,2
ABRACL,2,6,4
ABRAXAS1,3,25,11
ABRAXAS2,1,9,9
ABTB1,1,12,12
ABTB2,2,34,18
ACAA1,1,12,12
ACAA2,1,11,11
ACACA,12,668,66
ACACB,1,54,54
ACAD10,4,58,16
ACAD11,1,20,20
ACAD8,1,12,12
ACAD9,1,18,18
ACADL,1,11,11
ACADM,1,12,12
ACADS,1,10,10
ACADSB,5,48,15
ACAN,2,35,19
ACAP2,6,148,26
ACAP3,1,25,25
