transcript_id,num_exon
LOC101080387,2
LOC101081143,2
LOC101081388,2
LOC101081900,2
LOC101082137,2
LOC101082160,2
LOC101082412,2
LOC101082664,2
LOC101082918,4
LOC101083182,2
LOC101083685,2
LOC101083943,2
LOC101085033,7
LOC101086484,2
LOC101086979,2
LOC101088367,3
LOC101090949,4
LOC101091208,5
LOC101091707,12
LOC101092505,6
LOC101093027,2
LOC101093530,3
LOC101093781,2
LOC101094024,6
LOC101095329,2
LOC101097308,6
LOC101097553,6
LOC101099449,4
LOC101100310,2
LOC101100802,4
LOC101101063,3
LOC101101319,2
LOC102899903,2
LOC105259932,6
LOC105260055,4
LOC105260289,4
LOC105260295,2
LOC105260394,2
LOC105260635,2
LOC105260657,2
LOC105260658,2
LOC105260702,9
LOC109492277,2
LOC109493262,3
LOC109496970,2
LOC109497660,2
LOC109497661,2
LOC109498252,2
LOC109500742,2
LOC109500743,2
LOC109500744,2
LOC109500745,2
LOC109500746,2
LOC109500747,2
LOC109500748,2
LOC109500749,1
LOC109500750,2
LOC109501106,2
LOC111556216,2
LOC111557359,1
LOC111557360,2
LOC111557370,2
LOC111557371,3
LOC111557372,2
LOC111557373,2
LOC111557462,3
LOC111559004,2
LOC111559009,2
LOC111559020,3
LOC111559116,2
LOC111559117,2
LOC111559550,2
LOC111559716,2
LOC111559844,2
LOC111559896,4
LOC111560849,2
LOC111560850,2
LOC111560851,2
LOC111560852,2
LOC111560853,1
LOC111560938,2
LOC111560958,1
LOC111560959,3
LOC111560960,3
LOC111560961,4
LOC111560962,2
NM_001009188.1,13
NM_001009190.1,3
NM_001009193.1,1
NM_001009197.2,1
NM_001009199.1,2
NM_001009200.1,11
NM_001009203.1,4
NM_001009205.1,5
NM_001009206.1,1
NM_001009207.1,6
NM_001009209.1,5
NM_001009210.1,3
NM_001009211.1,8
NM_001009213.2,5
NM_001009216.1,21
NM_001009217.1,36
NM_001009219.1,37
NM_001009221.1,44
NM_001009222.1,24
NM_001009223.1,3
NM_001009225.1,17
NM_001009227.1,5
NM_001009228.1,2
NM_001009229.1,7
NM_001009231.1,21
NM_001009232.1,8
NM_001009233.1,7
NM_001009236.1,4
NM_001009237.1,8
NM_001009242.1,5
NM_001009244.1,3
NM_001009247.1,1
NM_001009248.1,1
NM_001009249.1,14
NM_001009250.1,10
NM_001009252.2,20
NM_001009253.1,3
NM_001009260.1,11
NM_001009262.1,2
NM_001009267.1,4
NM_001009269.1,5
NM_001009272.1,2
NM_001009277.1,3
NM_001009278.1,6
NM_001009280.1,4
NM_001009281.1,4
NM_001009282.2,6
NM_001009285.1,2
NM_001009288.1,10
NM_001009294.1,11
NM_001009296.1,4
NM_001009297.1,1
NM_001009298.1,5
NM_001009300.1,7
NM_001009302.1,10
NM_001009303.1,3
NM_001009305.1,8
NM_001009307.1,10
NM_001009308.1,6
NM_001009310.1,12
NM_001009312.1,18
NM_001009314.1,9
NM_001009317.1,2
NM_001009318.1,9
NM_001009322.1,7
NM_001009324.1,1
NM_001009325.2,10
