gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
LOC100628564,1,6,6
LOC100689935,1,6,6
LOC100689992,2,18,10
LOC100690125,2,11,8
LOC100690160,1,4,4
LOC100690167,1,4,4
LOC100690202,1,4,4
LOC100690215,1,12,12
LOC100690239,1,4,4
LOC100690354,1,7,7
LOC100690470,1,2,2
LOC100690507,2,8,5
LOC100690515,1,3,3
LOC100690620,1,2,2
LOC100690721,2,12,8
LOC100690730,1,2,2
LOC100690774,1,3,3
LOC100691040,1,3,3
LOC100691131,1,3,3
LOC100691270,1,1,1
LOC100691273,1,2,2
LOC100691351,1,3,3
LOC100691448,6,24,10
LOC100691467,1,4,4
LOC100691542,2,21,11
LOC100691646,1,2,2
LOC100691700,1,3,3
LOC100692079,1,1,1
LOC100692138,1,5,5
LOC100692240,1,5,5
LOC100692456,1,3,3
LOC100692508,2,8,5
LOC100692521,2,6,6
LOC100692545,10,39,16
LOC100692562,1,2,2
LOC100692572,2,13,9
LOC100692611,1,3,3
LOC100692622,3,38,16
LOC100692654,1,3,3
LOC100692887,1,5,5
LOC100692928,1,8,8
LOC100692951,1,3,3
LOC100693201,1,2,2
LOC100693210,1,3,3
LOC100693256,1,2,2
LOC100693288,1,4,4
LOC100693320,2,11,9
LOC100693380,1,2,2
LOC100693773,1,3,3
LOC100693827,1,3,3
LOC100693855,1,4,4
LOC100693865,2,13,8
LOC100693915,1,2,2
LOC100694001,1,7,7
LOC100694002,1,4,4
LOC100694032,1,1,1
LOC100694271,2,12,10
LOC100694334,1,3,3
LOC100694375,1,2,2
LOC100694471,12,107,19
LOC100694524,1,4,4
LOC100694628,2,9,6
LOC100694680,1,5,5
LOC100694729,1,3,3
LOC100694740,1,5,5
LOC100694747,1,4,4
LOC100694827,1,3,3
LOC100694877,1,4,4
LOC100694959,1,4,4
LOC100695137,1,5,5
LOC100695193,4,13,7
LOC100695241,1,3,3
LOC100695388,2,7,4
LOC100695447,1,3,3
LOC100695458,2,7,5
LOC100695492,15,63,23
LOC100695503,1,3,3
LOC100695515,3,35,13
LOC100695540,1,7,7
LOC100695671,1,13,13
LOC100695706,2,12,8
LOC100695714,1,1,1
LOC100695805,1,6,6
LOC100695889,4,44,14
LOC100695942,3,17,8
LOC100696033,3,59,23
LOC100696186,1,3,3
LOC100696246,2,7,4
LOC100696331,8,28,11
LOC100696406,1,3,3
LOC100696422,1,3,3
LOC100696451,1,3,3
LOC100696594,4,25,15
LOC100696622,5,57,16
LOC100696652,1,1,1
LOC100696805,2,4,3
LOC100696883,2,9,6
LOC100696893,1,3,3
LOC100697016,1,5,5
LOC100697264,3,17,8
LOC100697333,4,29,12
LOC100697337,1,3,3
LOC100697361,4,23,10
LOC100697377,4,14,7
LOC100697527,1,4,4
LOC100697559,1,2,2
LOC100697644,1,2,2
LOC100697818,1,4,4
LOC100697921,6,30,12
LOC100697935,2,8,6
LOC100698154,1,3,3
LOC100698243,2,6,4
LOC100698364,1,2,2
LOC100698378,2,35,20
LOC100698499,4,17,10
LOC100698513,1,6,6
LOC100698521,1,3,3
LOC100698600,1,6,6
LOC100698624,1,3,3
LOC100698635,1,1,1
LOC100698781,1,3,3
LOC100698964,1,3,3
LOC100699027,2,13,8
LOC100699085,1,2,2
LOC100699101,1,4,4
LOC100699209,2,8,6
LOC100699364,4,26,11
LOC100699397,1,6,6
LOC100699444,1,6,6
LOC100699464,1,2,2
LOC100699725,1,19,19
LOC100699769,1,4,4
LOC100699780,1,2,2
LOC100699871,1,2,2
LOC100700024,4,16,9
LOC100700381,1,6,6
LOC100700423,2,9,6
LOC100700483,4,13,9
LOC100700543,1,4,4
LOC100700746,1,2,2
LOC100700777,2,9,5
LOC100700792,2,7,5
LOC100701011,1,7,7
LOC100701016,1,2,2
LOC100701123,1,2,2
LOC100701205,1,5,5
LOC100701218,1,6,6
LOC100701240,1,1,1
LOC100701290,1,2,2
LOC100701339,1,4,4
LOC100701368,1,2,2
LOC100701486,1,3,3
LOC100701499,1,3,3
LOC100701506,5,34,13
LOC100701592,3,15,8
LOC100701627,1,4,4
LOC100701698,1,2,2
LOC100701701,3,12,6
LOC100701783,1,2,2
LOC100701786,10,37,15
LOC100701880,2,6,4
LOC100701935,1,3,3
LOC100702214,2,8,6
LOC100702249,1,4,4
LOC100702330,3,12,8
LOC100702430,1,4,4
LOC100702598,3,13,9
LOC100702732,2,6,4
LOC100702887,1,7,7
LOC100702934,2,12,7
LOC100702942,1,1,1
LOC100703023,1,21,21
LOC100703043,1,5,5
LOC100703051,2,13,8
LOC100703154,1,27,27
LOC100703213,1,2,2
LOC100703255,1,2,2
LOC100703361,3,70,24
LOC100703412,4,20,10
LOC100703487,2,10,7
LOC100703511,1,16,16
LOC100703541,1,6,6
LOC100703681,1,4,4
LOC100703773,1,28,28
LOC100703954,1,3,3
LOC100704091,2,20,11
LOC100704177,1,2,2
LOC100704283,1,3,3
LOC100704331,1,3,3
LOC100704457,2,5,4
