gene_id,num_transcript,num_exon,num_uniq_exon
CIMG_00013,1,2,2
CIMG_00034,1,20,20
CIMG_00035,1,3,3
CIMG_00036,1,5,5
CIMG_00037,1,4,4
CIMG_00038,1,1,1
CIMG_00039,1,2,2
CIMG_00040,1,2,2
CIMG_00042,1,12,12
CIMG_00043,1,2,2
CIMG_00044,1,6,6
CIMG_00045,1,3,3
CIMG_00046,1,1,1
CIMG_00047,1,5,5
CIMG_00048,1,4,4
CIMG_00063,1,3,3
CIMG_00064,1,2,2
CIMG_00065,1,5,5
CIMG_00066,1,3,3
CIMG_00067,1,4,4
CIMG_00068,1,7,7
CIMG_00070,1,1,1
CIMG_00073,1,1,1
CIMG_00075,1,3,3
CIMG_00076,1,3,3
CIMG_00078,1,3,3
CIMG_00080,1,11,11
CIMG_00083,1,6,6
CIMG_00084,1,7,7
CIMG_00087,1,3,3
CIMG_00088,1,1,1
CIMG_00089,1,1,1
CIMG_00090,1,2,2
CIMG_00091,1,1,1
CIMG_00092,1,3,3
CIMG_00093,1,4,4
CIMG_00094,1,8,8
CIMG_00095,1,2,2
CIMG_00096,1,3,3
CIMG_00097,1,1,1
CIMG_00098,1,3,3
CIMG_00099,1,3,3
CIMG_00101,1,4,4
CIMG_00103,1,1,1
CIMG_00104,1,4,4
CIMG_00107,1,1,1
CIMG_00108,1,4,4
CIMG_00109,1,4,4
CIMG_00110,1,5,5
CIMG_00111,1,6,6
CIMG_00112,1,4,4
CIMG_00113,1,5,5
CIMG_00115,1,2,2
CIMG_00116,1,9,9
CIMG_00117,1,7,7
CIMG_00118,1,4,4
CIMG_00119,1,3,3
CIMG_00121,1,2,2
CIMG_00122,1,1,1
CIMG_00124,1,6,6
CIMG_00125,1,2,2
CIMG_00126,1,2,2
CIMG_00127,1,4,4
CIMG_00128,1,2,2
CIMG_00130,1,1,1
CIMG_00131,1,2,2
CIMG_00133,1,3,3
CIMG_00134,1,4,4
CIMG_00135,1,3,3
CIMG_00136,1,5,5
CIMG_00137,1,3,3
CIMG_00139,1,2,2
CIMG_00140,1,4,4
CIMG_00141,1,2,2
CIMG_00142,1,5,5
CIMG_00144,1,1,1
CIMG_00146,1,1,1
CIMG_00151,1,1,1
CIMG_00152,1,5,5
CIMG_00153,1,8,8
CIMG_00154,1,3,3
CIMG_00155,1,4,4
CIMG_00156,1,3,3
CIMG_00158,1,5,5
CIMG_00161,1,1,1
CIMG_00162,1,5,5
CIMG_00165,1,2,2
CIMG_00167,1,1,1
CIMG_00170,1,2,2
CIMG_00171,1,2,2
CIMG_00172,1,1,1
CIMG_00174,1,1,1
CIMG_00175,1,2,2
CIMG_00176,1,5,5
CIMG_00177,2,17,10
CIMG_00178,1,7,7
CIMG_00179,1,6,6
CIMG_00181,1,7,7
CIMG_00182,1,1,1
CIMG_00185,1,4,4
CIMG_00186,2,9,6
CIMG_00189,1,2,2
CIMG_00190,1,5,5
CIMG_00193,1,4,4
CIMG_00194,1,2,2
CIMG_00195,1,3,3
CIMG_00196,1,3,3
CIMG_00197,1,3,3
CIMG_00198,1,6,6
CIMG_00200,1,2,2
CIMG_00201,1,3,3
CIMG_00202,1,2,2
CIMG_00203,1,1,1
CIMG_00205,1,5,5
CIMG_00206,1,1,1
CIMG_00208,1,1,1
CIMG_00209,1,2,2
CIMG_00210,1,1,1
CIMG_00211,1,3,3
CIMG_00213,1,3,3
CIMG_00215,1,8,8
CIMG_00216,1,4,4
CIMG_00218,1,6,6
CIMG_00220,1,2,2
CIMG_00223,1,1,1
CIMG_00224,1,3,3
CIMG_00225,1,1,1
CIMG_00230,1,2,2
CIMG_00231,1,6,6
CIMG_00232,1,1,1
CIMG_00233,1,3,3
CIMG_00234,1,2,2
CIMG_00235,1,2,2
CIMG_00236,1,3,3
CIMG_00238,1,3,3
CIMG_00240,1,3,3
CIMG_00242,1,1,1
CIMG_00243,1,3,3
CIMG_00244,1,3,3
CIMG_00245,1,4,4
CIMG_00246,1,2,2
CIMG_00249,1,1,1
CIMG_00251,1,6,6
CIMG_00252,1,5,5
CIMG_00254,1,3,3
CIMG_00255,1,4,4
CIMG_00256,1,4,4
CIMG_00259,1,5,5
CIMG_00260,1,3,3
CIMG_00262,1,3,3
CIMG_00263,1,4,4
CIMG_00264,1,4,4
CIMG_00265,1,5,5
CIMG_00266,1,5,5
CIMG_00267,1,2,2
CIMG_00269,1,4,4
CIMG_00270,1,4,4
CIMG_00271,1,2,2
CIMG_00272,1,2,2
CIMG_00273,1,4,4
CIMG_00274,1,2,2
CIMG_00276,1,7,7
CIMG_00277,1,1,1
CIMG_00278,1,3,3
CIMG_00280,1,3,3
CIMG_00281,1,3,3
CIMG_00282,1,3,3
CIMG_00284,1,2,2
CIMG_00285,1,2,2
CIMG_00287,1,2,2
CIMG_00288,1,2,2
CIMG_00290,1,4,4
CIMG_00291,1,1,1
CIMG_00294,1,9,9
CIMG_00295,1,3,3
CIMG_00297,1,2,2
CIMG_00299,1,3,3
CIMG_00300,1,2,2
CIMG_00301,1,2,2
CIMG_00302,1,3,3
CIMG_00303,1,4,4
CIMG_00304,1,3,3
CIMG_00305,1,1,1
CIMG_00306,1,3,3
CIMG_00307,1,1,1
CIMG_00308,1,4,4
CIMG_00309,1,5,5
CIMG_00311,1,3,3
CIMG_00313,1,7,7
CIMG_00314,1,3,3
CIMG_00315,1,2,2
CIMG_00316,1,5,5
CIMG_00317,1,2,2
CIMG_00318,1,2,2
CIMG_00320,1,2,2
CIMG_00321,1,4,4
CIMG_00322,1,6,6
CIMG_00323,1,3,3
CIMG_00324,1,3,3
CIMG_00325,1,2,2
CIMG_00327,1,2,2
CIMG_00328,1,1,1
CIMG_00329,1,2,2
CIMG_00330,1,11,11
CIMG_00331,1,5,5
CIMG_00332,1,2,2
CIMG_00333,1,2,2
CIMG_00335,1,3,3
CIMG_00336,1,7,7
CIMG_00337,1,1,1
CIMG_00338,1,3,3
CIMG_00339,1,3,3
CIMG_00340,1,1,1
CIMG_00341,1,8,8
CIMG_00342,1,5,5
CIMG_00343,1,4,4
CIMG_00345,1,1,1
CIMG_00346,1,2,2
CIMG_00348,1,4,4
CIMG_00351,1,1,1
CIMG_00352,1,2,2
CIMG_00354,1,4,4
CIMG_00355,1,4,4
CIMG_00356,1,1,1
CIMG_00357,1,2,2
CIMG_00358,1,3,3
CIMG_00362,1,1,1
CIMG_00363,1,1,1
CIMG_00364,1,3,3
CIMG_00365,1,4,4
CIMG_00366,1,2,2
CIMG_00367,1,4,4
CIMG_00369,1,5,5
CIMG_00372,1,4,4
CIMG_00374,1,4,4
CIMG_00375,1,2,2
CIMG_00376,1,2,2
CIMG_00377,1,6,6
CIMG_00378,1,4,4
CIMG_00379,1,3,3
CIMG_00382,1,9,9
CIMG_00383,1,4,4
CIMG_00384,1,3,3
CIMG_00385,1,6,6
CIMG_00386,1,3,3
CIMG_00387,1,1,1
CIMG_00389,1,3,3
CIMG_00391,1,5,5
CIMG_00392,1,3,3
CIMG_00393,1,4,4
CIMG_00395,1,4,4
CIMG_00396,1,3,3
CIMG_00397,1,5,5
CIMG_00398,1,1,1
CIMG_00399,1,2,2
CIMG_00400,1,10,10
CIMG_00401,1,8,8
CIMG_00404,1,5,5
CIMG_00405,1,6,6
CIMG_00406,1,3,3
CIMG_00407,1,3,3
CIMG_00409,1,12,12
CIMG_00410,1,2,2
CIMG_00411,1,9,9
CIMG_00412,1,2,2
CIMG_00413,1,3,3
CIMG_00414,1,7,7
CIMG_00415,1,4,4
CIMG_00416,1,5,5
CIMG_00417,1,3,3
CIMG_00419,1,9,9
CIMG_00420,1,3,3
CIMG_00422,3,23,12
CIMG_00423,2,5,4
CIMG_00424,1,5,5
CIMG_00425,1,5,5
CIMG_00426,1,4,4
CIMG_00427,1,4,4
CIMG_00428,1,5,5
CIMG_00429,1,3,3
CIMG_00430,1,3,3
CIMG_00431,1,1,1
CIMG_00433,2,11,7
CIMG_00434,1,2,2
CIMG_00435,2,9,6
CIMG_00436,1,3,3
CIMG_00437,1,3,3
CIMG_00438,1,5,5
CIMG_00439,1,3,3
CIMG_00440,1,3,3
CIMG_00441,1,4,4
CIMG_00442,1,2,2
CIMG_00443,1,5,5
CIMG_00444,1,3,3
CIMG_00447,1,2,2
CIMG_00448,1,5,5
CIMG_00450,1,6,6
