gene_id,num_transcript,num_exon,num_uniq_exon
LOC110429508,1,1,1
LOC110429512,1,1,1
LOC110429513,2,11,7
LOC110429514,3,31,15
LOC110429519,1,1,1
LOC110429520,1,2,2
LOC110429524,1,1,1
LOC110429530,3,9,7
LOC110429531,1,4,4
LOC110429533,1,2,2
LOC110429534,1,2,2
LOC110429535,1,4,4
LOC110429538,28,247,37
LOC110429539,1,2,2
LOC110429540,1,4,4
LOC110429541,3,14,8
LOC110429542,1,4,4
LOC110429544,1,4,4
LOC110429546,2,5,5
LOC110429547,2,7,5
LOC110429548,1,2,2
LOC110429549,1,5,5
LOC110429550,1,3,3
LOC110429551,6,22,14
LOC110429553,2,9,5
LOC110429554,1,3,3
LOC110429555,1,5,5
LOC110429556,5,20,9
LOC110429557,3,9,5
LOC110429559,1,2,2
LOC110429560,3,15,9
LOC110429561,11,65,16
LOC110429563,1,4,4
LOC110429565,4,8,7
LOC110429566,1,2,2
LOC110429567,1,2,2
LOC110429569,13,62,15
LOC110429570,7,54,15
LOC110429571,1,2,2
LOC110429572,1,4,4
LOC110429573,1,2,2
LOC110429574,6,40,15
LOC110429576,3,10,6
LOC110429578,1,4,4
LOC110429579,1,2,2
LOC110429580,1,2,2
LOC110429581,1,2,2
LOC110429583,1,2,2
LOC110429584,1,3,3
LOC110429585,1,3,3
LOC110429586,1,2,2
LOC110429588,1,2,2
LOC110429589,1,2,2
LOC110429590,1,2,2
LOC110429592,1,2,2
LOC110429594,1,5,5
LOC110429596,4,16,6
LOC110429597,1,2,2
LOC110429598,3,8,6
LOC110429600,2,6,5
LOC110429601,3,10,5
LOC110429602,1,3,3
LOC110429603,1,3,3
LOC110429605,1,2,2
LOC110429607,1,2,2
LOC110429609,4,28,10
LOC110429611,1,3,3
LOC110429612,1,4,4
LOC110429616,1,2,2
LOC110429618,1,4,4
LOC110429624,1,2,2
LOC110429625,4,26,13
LOC110429630,9,62,20
LOC110429631,1,4,4
LOC110429632,1,5,5
LOC110429634,1,2,2
LOC110429635,2,5,4
LOC110429636,1,2,2
LOC110429637,1,4,4
LOC110429638,1,3,3
LOC110429640,1,4,4
LOC110429641,1,3,3
LOC110429642,3,13,7
LOC110429644,2,8,5
LOC110429645,6,18,10
LOC110429647,1,5,5
LOC110429648,2,5,4
LOC110429649,1,3,3
LOC110429650,2,12,7
LOC110429651,2,8,5
LOC110429652,2,7,5
LOC110429653,2,7,4
LOC110429654,1,2,2
LOC110429655,1,2,2
LOC110429656,2,5,4
LOC110429660,1,2,2
LOC110429661,9,51,21
LOC110429662,2,9,6
LOC110429666,1,2,2
LOC110429667,2,10,6
LOC110429668,2,9,6
LOC110429670,1,3,3
LOC110429671,1,3,3
LOC110429674,1,2,2
LOC110429676,1,3,3
LOC110429679,1,1,1
LOC110429685,8,43,16
LOC110429686,10,56,15
LOC110429692,1,3,3
LOC110429694,1,3,3
LOC110429695,1,6,6
LOC110429698,1,3,3
LOC110429699,1,3,3
LOC110429700,1,3,3
LOC110429702,1,3,3
LOC110429705,1,2,2
LOC110429706,2,9,6
LOC110429715,5,23,13
LOC110429716,1,3,3
LOC110429717,1,3,3
LOC110429721,1,2,2
LOC110429723,1,2,2
LOC110429724,3,17,9
LOC110429726,1,2,2
LOC110429727,1,4,4
LOC110429733,1,5,5
LOC110429738,1,2,2
LOC110429740,1,6,6
LOC110429741,1,4,4
LOC110429744,2,11,8
LOC110429747,1,4,4
